eye_packets,773
norm_X,norm_Y,phi,theta,confidence,timestamp
1603874768.2620502,"{'circle_3d': {'center': [-0.31792220318014414, 0.8351974852768365, 18.321170581044548], 'normal': [-0.041720217129662424, 0.6383077047988415, -0.7686499186737021], 'radius': 1.4139306623058208}, 'confidence': 0.997351821725376, 'timestamp': 198260.073345, 'diameter_3d': 2.8278613246116415, 'ellipse': {'center': [154.16514391617298, 134.50552913736914], 'axes': [38.76830432778449, 52.418508635255336], 'angle': -85.40103881377699}, 'location': [154.16514391617298, 134.50552913736914], 'diameter': 52.418508635255336, 'sphere': {'center': [0.18272040237580495, -6.824494972309261, 27.544969605128973], 'radius': 12.0}, 'projected_sphere': {'center': [162.24985341736746, 35.96935462259985], 'axes': [295.5142464373718, 295.5142464373718], 'angle': 90.0}, 'model_confidence': 0.6396516132689878, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.2630941728649376, 'phi': -1.6250203874858313, 'norm_pos': [0.48176607473804056, 0.43956029526096196], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603874768.2701929,"{'circle_3d': {'center': [-0.3314540923023191, 0.8448651535144558, 18.32995252161536], 'normal': [-0.04284787455651034, 0.639113343818643, -0.767918090292801], 'radius': 1.4108746067084812}, 'confidence': 0.9978709517080347, 'timestamp': 198260.081745, 'diameter_3d': 2.8217492134169624, 'ellipse': {'center': [153.91835298604457, 134.6822653562789], 'axes': [38.60563283389386, 52.28041222216784], 'angle': -85.27169377296757}, 'location': [153.91835298604457, 134.6822653562789], 'diameter': 52.28041222216784, 'sphere': {'center': [0.18272040237580495, -6.824494972309261, 27.544969605128973], 'radius': 12.0}, 'projected_sphere': {'center': [162.24985341736746, 35.96935462259985], 'axes': [295.5142464373718, 295.5142464373718], 'angle': 90.0}, 'model_confidence': 0.6412085760891917, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.2641412092559845, 'phi': -1.626535983255156, 'norm_pos': [0.4809948530813893, 0.43882389434883795], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603874768.2774432,"{'circle_3d': {'center': [-0.332076241438429, 0.8432891516511019, 18.32867582487983], 'normal': [-0.04289972031785283, 0.6389820103300302, -0.7680244816874285], 'radius': 1.403468221201659}, 'confidence': 0.9975409351762974, 'timestamp': 198260.090145, 'diameter_3d': 2.806936442403318, 'ellipse': {'center': [153.90594699633604, 134.66402046735914], 'axes': [38.41310466305796, 52.0089348576269], 'angle': -85.26367878542365}, 'location': [153.90594699633604, 134.66402046735914], 'diameter': 52.0089348576269, 'sphere': {'center': [0.18272040237580495, -6.824494972309261, 27.544969605128973], 'radius': 12.0}, 'projected_sphere': {'center': [162.24985341736746, 35.96935462259985], 'axes': [295.5142464373718, 295.5142464373718], 'angle': 90.0}, 'model_confidence': 0.6418634840837711, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.2639704615929515, 'phi': -1.6265955734799011, 'norm_pos': [0.48095608436355014, 0.438899914719337], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603874768.2852962,"{'circle_3d': {'center': [-0.3199622156853052, 0.8331302565370793, 18.319565221578337], 'normal': [-0.04189021817175918, 0.638135435737195, -0.7687836986292196], 'radius': 1.4215102393474446}, 'confidence': 0.9972527062638481, 'timestamp': 198260.098545, 'diameter_3d': 2.843020478694889, 'ellipse': {'center': [154.12760544716, 134.4581296086696], 'axes': [38.99121222938197, 52.70486869466656], 'angle': -85.37780825804234}, 'location': [154.12760544716, 134.4581296086696], 'diameter': 52.70486869466656, 'sphere': {'center': [0.18272040237580495, -6.824494972309261, 27.544969605128973], 'radius': 12.0}, 'projected_sphere': {'center': [162.24985341736746, 35.96935462259985], 'axes': [295.5142464373718, 295.5142464373718], 'angle': 90.0}, 'model_confidence': 0.6421374560160897, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.2628704040117054, 'phi': -1.625231448079236, 'norm_pos': [0.48164876702237497, 0.43975779329721], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603874768.293588,"{'circle_3d': {'center': [-0.3222816090524622, 0.8524587087890012, 18.33577012055241], 'normal': [-0.04208350095235559, 0.6397461400915219, -0.7674332903813803], 'radius': 1.3914201171454992}, 'confidence': 0.9969458164669104, 'timestamp': 198260.106945, 'diameter_3d': 2.7828402342909984, 'ellipse': {'center': [154.08771679804073, 134.84448822606007], 'axes': [38.02113794929563, 51.5411857885094], 'angle': -85.37402510038666}, 'location': [154.08771679804073, 134.84448822606007], 'diameter': 51.5411857885094, 'sphere': {'center': [0.18272040237580495, -6.824494972309261, 27.544969605128973], 'radius': 12.0}, 'projected_sphere': {'center': [162.24985341736746, 35.96935462259985], 'axes': [295.5142464373718, 295.5142464373718], 'angle': 90.0}, 'model_confidence': 0.6421527998510479, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.264964252387652, 'phi': -1.6255781493337897, 'norm_pos': [0.48152411499387726, 0.4381479657247497], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603874768.301374,"{'circle_3d': {'center': [-0.32078039801800934, 0.8502192449189536, 18.333821542706033], 'normal': [-0.04195840003281786, 0.6395595181023512, -0.7675956718685785], 'radius': 1.406112611087413}, 'confidence': 0.9970206681539586, 'timestamp': 198260.115345, 'diameter_3d': 2.812225222174826, 'ellipse': {'center': [154.11580594533632, 134.78483580365466], 'axes': [38.44174864625636, 52.092208372432424], 'angle': -85.38705796796556}, 'location': [154.11580594533632, 134.78483580365466], 'diameter': 52.092208372432424, 'sphere': {'center': [0.18272040237580495, -6.824494972309261, 27.544969605128973], 'radius': 12.0}, 'projected_sphere': {'center': [162.24985341736746, 35.96935462259985], 'axes': [295.5142464373718, 295.5142464373718], 'angle': 90.0}, 'model_confidence': 0.6425792308593636, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.2647214648962795, 'phi': -1.62540409298225, 'norm_pos': [0.481611893579176, 0.43839651748477226], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603874768.309512,"{'circle_3d': {'center': [-0.3012785786755529, 0.8544841083243098, 18.336330983403542], 'normal': [-0.04033324842094649, 0.6399149233861309, -0.7673865518104527], 'radius': 1.3935566733914917}, 'confidence': 0.9181142353951215, 'timestamp': 198260.123745, 'diameter_3d': 2.7871133467829834, 'ellipse': {'center': [154.47481796637206, 134.8785788801735], 'axes': [38.0766861562891, 51.61827952898915], 'angle': -85.59185312998508}, 'location': [154.47481796637206, 134.8785788801735], 'diameter': 51.61827952898915, 'sphere': {'center': [0.18272040237580495, -6.824494972309261, 27.544969605128973], 'radius': 12.0}, 'projected_sphere': {'center': [162.24985341736746, 35.96935462259985], 'axes': [295.5142464373718, 295.5142464373718], 'angle': 90.0}, 'model_confidence': 0.643477507714163, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.2651838747360977, 'phi': -1.6233072418316565, 'norm_pos': [0.4827338061449127, 0.4380059213326104], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603874768.317683,"{'circle_3d': {'center': [-0.3088748535601824, 0.8365246743170136, 18.321786202509927], 'normal': [-0.040966271327998946, 0.6384183038855229, -0.7685986168849206], 'radius': 1.4157850417876574}, 'confidence': 0.9963440977641473, 'timestamp': 198260.132145, 'diameter_3d': 2.831570083575315, 'ellipse': {'center': [154.33217853972934, 134.52708737423023], 'axes': [38.81473819260291, 52.48537157547625], 'angle': -85.49573003779226}, 'location': [154.33217853972934, 134.52708737423023], 'diameter': 52.48537157547625, 'sphere': {'center': [0.18272040237580495, -6.824494972309261, 27.544969605128973], 'radius': 12.0}, 'projected_sphere': {'center': [162.24985341736746, 35.96935462259985], 'axes': [295.5142464373718, 295.5142464373718], 'angle': 90.0}, 'model_confidence': 0.6431144858064175, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.2632378574073098, 'phi': -1.624045894162123, 'norm_pos': [0.4822880579366542, 0.43947046927404065], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603874768.325461,"{'circle_3d': {'center': [-0.3120786159391844, 0.8535161031159033, 18.336097803593074], 'normal': [-0.04123325152624911, 0.6398342562854303, -0.7674059834613249], 'radius': 1.4258145570203644}, 'confidence': 0.9984674004961315, 'timestamp': 198260.140545, 'diameter_3d': 2.851629114040729, 'ellipse': {'center': [154.27813473721662, 134.81739975781906], 'axes': [38.96358619728089, 52.817090405786075], 'angle': -85.47970754189754}, 'location': [154.27813473721662, 134.81739975781906], 'diameter': 52.817090405786075, 'sphere': {'center': [0.18272040237580495, -6.824494972309261, 27.544969605128973], 'radius': 12.0}, 'projected_sphere': {'center': [162.24985341736746, 35.96935462259985], 'axes': [295.5142464373718, 295.5142464373718], 'angle': 90.0}, 'model_confidence': 0.6431232573834822, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.2650789049656574, 'phi': -1.6244753976574937, 'norm_pos': [0.4821191710538019, 0.4382608343424206], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603874768.33344,"{'circle_3d': {'center': [-0.30184340136220145, 0.8454916829939441, 18.32886941971553], 'normal': [-0.0403803169781672, 0.6391655546086005, -0.7680083487844536], 'radius': 1.4382163254867948}, 'confidence': 0.9979357483115661, 'timestamp': 198260.148945, 'diameter_3d': 2.8764326509735896, 'ellipse': {'center': [154.46536950407324, 134.6571892930715], 'axes': [39.36985148041639, 53.29826301817907], 'angle': -85.57697407860928}, 'location': [154.46536950407324, 134.6571892930715], 'diameter': 53.29826301817907, 'sphere': {'center': [0.18272040237580495, -6.824494972309261, 27.544969605128973], 'radius': 12.0}, 'projected_sphere': {'center': [162.24985341736746, 35.96935462259985], 'axes': [295.5142464373718, 295.5142464373718], 'angle': 90.0}, 'model_confidence': 0.6432939259007897, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.2642090956295027, 'phi': -1.6233259235764241, 'norm_pos': [0.4827042797002289, 0.4389283779455354], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603874768.34681,"{'circle_3d': {'center': [-0.3158031449037692, 0.8425504085005242, 18.327166754047205], 'normal': [-0.041543628939964515, 0.6389204484008154, -0.7681502375901471], 'radius': 1.4120662459770545}, 'confidence': 0.9524657374113588, 'timestamp': 198260.157345, 'diameter_3d': 2.824132491954109, 'ellipse': {'center': [154.20587611280956, 134.6397741304725], 'axes': [38.664305851823144, 52.33208013268282], 'angle': -85.43040652873547}, 'location': [154.20587611280956, 134.6397741304725], 'diameter': 52.33208013268282, 'sphere': {'center': [0.18272040237580495, -6.824494972309261, 27.544969605128973], 'radius': 12.0}, 'projected_sphere': {'center': [162.24985341736746, 35.96935462259985], 'axes': [295.5142464373718, 295.5142464373718], 'angle': 90.0}, 'model_confidence': 0.6437007249534776, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.263890432799176, 'phi': -1.624826376748249, 'norm_pos': [0.48189336285252987, 0.43900094112303134], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
