eye_packets,772
norm_X,norm_Y,phi,theta,confidence,timestamp
1603878376.989609,"{'circle_3d': {'center': [-4.958750776765555, -5.113503802708414, 27.447432518243943], 'normal': [-0.0973250230038646, -0.027143320619611225, -0.9948824453386632], 'radius': 2.4502512675034906}, 'confidence': 0.2664888044386491, 'timestamp': 201868.800349, 'diameter_3d': 4.900502535006981, 'ellipse': {'center': [98.98221132394485, 56.88105837244858], 'axes': [58.78937531100217, 60.64925983281498], 'angle': 28.147840962925983}, 'location': [98.98221132394485, 56.88105837244858], 'diameter': 60.64925983281498, 'sphere': {'center': [-3.79085050071918, -4.787783955273079, 39.3860218623079], 'radius': 12.0}, 'projected_sphere': {'center': [127.35595120900274, 78.77108500927767], 'axes': [206.67055343788977, 206.67055343788977], 'angle': 90.0}, 'model_confidence': 0.6045076173635144, 'model_id': 56, 'model_birth_timestamp': 201831.840248, 'theta': 1.543649672051608, 'phi': -1.668311698378045, 'norm_pos': [0.3093194103873277, 0.7629955901147976], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878376.9979908,"{'circle_3d': {'center': [-4.330892842842548, -6.067342182323141, 27.466664286821608], 'normal': [-0.04500352851028066, -0.10662985225417175, -0.9932797979571908], 'radius': 2.4591434195053417}, 'confidence': 0.2883634268107979, 'timestamp': 201868.808749, 'diameter_3d': 4.918286839010683, 'ellipse': {'center': [106.63708093587334, 45.359196329281914], 'axes': [58.44997107809264, 60.754658131474265], 'angle': 62.0008362355252}, 'location': [106.63708093587334, 45.359196329281914], 'diameter': 60.754658131474265, 'sphere': {'center': [-3.79085050071918, -4.787783955273079, 39.3860218623079], 'radius': 12.0}, 'projected_sphere': {'center': [127.35595120900274, 78.77108500927767], 'axes': [206.67055343788977, 206.67055343788977], 'angle': 90.0}, 'model_confidence': 0.6045076173635144, 'model_id': 56, 'model_birth_timestamp': 201831.840248, 'theta': 1.463963371400461, 'phi': -1.6160733694057545, 'norm_pos': [0.3332408779246042, 0.8110033486279921], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878377.006391,"{'circle_3d': {'center': [-4.353932789103026, -5.89176450843245, 27.450186521840337], 'normal': [-0.046923524031987164, -0.09199837942994757, -0.9946529450389634], 'radius': 1.9845857709124932}, 'confidence': 0.992802476092477, 'timestamp': 201868.817149, 'diameter_3d': 3.9691715418249864, 'ellipse': {'center': [106.28425254418813, 47.36183047103259], 'axes': [47.44103268762492, 49.0506995921984], 'angle': 59.083620568550906}, 'location': [106.28425254418813, 47.36183047103259], 'diameter': 49.0506995921984, 'sphere': {'center': [-3.79085050071918, -4.787783955273079, 39.3860218623079], 'radius': 12.0}, 'projected_sphere': {'center': [127.35595120900274, 78.77108500927767], 'axes': [206.67055343788977, 206.67055343788977], 'angle': 90.0}, 'model_confidence': 0.6037192180622486, 'model_id': 56, 'model_birth_timestamp': 201831.840248, 'theta': 1.4786676761176272, 'phi': -1.6179371515415908, 'norm_pos': [0.3321382892005879, 0.8026590397040309], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878377.0176,"{'circle_3d': {'center': [-3.8828121308103163, -6.43805000791096, 27.50039335498436], 'normal': [-0.007663469174261344, -0.13752217105315676, -0.9904690422769616], 'radius': 2.440035581630409}, 'confidence': 0.3349771482861779, 'timestamp': 201868.825549, 'diameter_3d': 4.880071163260818, 'ellipse': {'center': [112.12619205805947, 40.95108190892469], 'axes': [57.51564421410363, 60.29813075692395], 'angle': 75.86300837298641}, 'location': [112.12619205805947, 40.95108190892469], 'diameter': 60.29813075692395, 'sphere': {'center': [-3.79085050071918, -4.787783955273079, 39.3860218623079], 'radius': 12.0}, 'projected_sphere': {'center': [127.35595120900274, 78.77108500927767], 'axes': [206.67055343788977, 206.67055343788977], 'angle': 90.0}, 'model_confidence': 0.6037192180622486, 'model_id': 56, 'model_birth_timestamp': 201831.840248, 'theta': 1.43283694668337, 'phi': -1.578533384622577, 'norm_pos': [0.35039435018143583, 0.8293704920461471], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878377.023489,"{'circle_3d': {'center': [-4.8693632631232, -6.461855978976697, 27.55241323768352], 'normal': [-0.0898760635336683, -0.13950600197530147, -0.9861340520520318], 'radius': 2.4349949205470316}, 'confidence': 0.3341952745398071, 'timestamp': 201868.833949, 'diameter_3d': 4.869989841094063, 'ellipse': {'center': [100.28120994863947, 40.80345400718933], 'axes': [56.21269332230481, 59.958060085254445], 'angle': 55.62023933896398}, 'location': [100.28120994863947, 40.80345400718933], 'diameter': 59.958060085254445, 'sphere': {'center': [-3.79085050071918, -4.787783955273079, 39.3860218623079], 'radius': 12.0}, 'projected_sphere': {'center': [127.35595120900274, 78.77108500927767], 'axes': [206.67055343788977, 206.67055343788977], 'angle': 90.0}, 'model_confidence': 0.6001947302792243, 'model_id': 56, 'model_birth_timestamp': 201831.840248, 'theta': 1.430833806063135, 'phi': -1.6616850305397854, 'norm_pos': [0.31337878108949835, 0.8299856083033778], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878377.0288231,"{'circle_3d': {'center': [-4.917532603132935, -6.643900949960314, 27.584097564036295], 'normal': [-0.09389017520114626, -0.15467641622393627, -0.9834936915226339], 'radius': 2.4425033790286452}, 'confidence': 0.3349038074919348, 'timestamp': 201868.842349, 'diameter_3d': 4.8850067580572905, 'ellipse': {'center': [99.76594640685641, 38.69273343926474], 'axes': [55.83898712372139, 60.07737125686598], 'angle': 56.79943553516035}, 'location': [99.76594640685641, 38.69273343926474], 'diameter': 60.07737125686598, 'sphere': {'center': [-3.79085050071918, -4.787783955273079, 39.3860218623079], 'radius': 12.0}, 'projected_sphere': {'center': [127.35595120900274, 78.77108500927767], 'axes': [206.67055343788977, 206.67055343788977], 'angle': 90.0}, 'model_confidence': 0.6001947302792243, 'model_id': 56, 'model_birth_timestamp': 201831.840248, 'theta': 1.415496407339121, 'phi': -1.665973850646728, 'norm_pos': [0.3117685825214263, 0.8387802773363969], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878377.036434,"{'circle_3d': {'center': [-4.674850374778173, -7.288940595805324, 27.682912887245543], 'normal': [-0.07366665617158277, -0.2084297200443538, -0.9752590812551967], 'radius': 2.449521095281391}, 'confidence': 0.27770264661964383, 'timestamp': 201868.850749, 'diameter_3d': 4.899042190562782, 'ellipse': {'center': [102.89389147585746, 31.20362901374645], 'axes': [54.47844734649062, 60.07573083735106], 'angle': 65.89240257075038}, 'location': [102.89389147585746, 31.20362901374645], 'diameter': 60.07573083735106, 'sphere': {'center': [-3.79085050071918, -4.787783955273079, 39.3860218623079], 'radius': 12.0}, 'projected_sphere': {'center': [127.35595120900274, 78.77108500927767], 'axes': [206.67055343788977, 206.67055343788977], 'angle': 90.0}, 'model_confidence': 0.6001947302792243, 'model_id': 56, 'model_birth_timestamp': 201831.840248, 'theta': 1.3608271844109998, 'phi': -1.6461886311783307, 'norm_pos': [0.32154341086205457, 0.8699848791093898], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878377.044609,"{'circle_3d': {'center': [-4.702932518555648, -7.313023500418327, 27.69024178433217], 'normal': [-0.07600683481970565, -0.21043662876210395, -0.9746483398313109], 'radius': 2.449805597164}, 'confidence': 0.32803351993538665, 'timestamp': 201868.859149, 'diameter_3d': 4.899611194328, 'ellipse': {'center': [102.57031301304231, 30.93605762981153], 'axes': [54.36559839779412, 60.06562924709913], 'angle': 65.62733410281766}, 'location': [102.57031301304231, 30.93605762981153], 'diameter': 60.06562924709913, 'sphere': {'center': [-3.79085050071918, -4.787783955273079, 39.3860218623079], 'radius': 12.0}, 'projected_sphere': {'center': [127.35595120900274, 78.77108500927767], 'axes': [206.67055343788977, 206.67055343788977], 'angle': 90.0}, 'model_confidence': 0.6001947302792243, 'model_id': 56, 'model_birth_timestamp': 201831.840248, 'theta': 1.358774758567055, 'phi': -1.6486226703548337, 'norm_pos': [0.3205322281657572, 0.8710997598757853], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878377.05229,"{'circle_3d': {'center': [-4.604489438796214, -6.560146291961155, 27.54555213235485], 'normal': [-0.0678032448397528, -0.147696861390673, -0.986705810829421], 'radius': 2.4363284774639244}, 'confidence': 0.3006750799197032, 'timestamp': 201868.867549, 'diameter_3d': 4.872656954927849, 'ellipse': {'center': [103.47151720145446, 39.59606718411787], 'axes': [56.40223792217551, 60.02121462770929], 'angle': 61.396706342782714}, 'location': [103.47151720145446, 39.59606718411787], 'diameter': 60.02121462770929, 'sphere': {'center': [-3.79085050071918, -4.787783955273079, 39.3860218623079], 'radius': 12.0}, 'projected_sphere': {'center': [127.35595120900274, 78.77108500927767], 'axes': [206.67055343788977, 206.67055343788977], 'angle': 90.0}, 'model_confidence': 0.6001947302792243, 'model_id': 56, 'model_birth_timestamp': 201831.840248, 'theta': 1.4225571391386465, 'phi': -1.6394052507883836, 'norm_pos': [0.3233484912545452, 0.8350163867328422], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878377.0661361,"{'circle_3d': {'center': [-4.0271204419228255, -7.164114168887789, 27.626037541283253], 'normal': [-0.019689161766970442, -0.19802751780122577, -0.9799986934187205], 'radius': 2.4223266939140435}, 'confidence': 0.305474898580167, 'timestamp': 201868.875949, 'diameter_3d': 4.844653387828087, 'ellipse': {'center': [110.59447031931455, 32.525859707353646], 'axes': [54.97343802938536, 59.601634398212745], 'angle': 75.78279681418242}, 'location': [110.59447031931455, 32.525859707353646], 'diameter': 59.601634398212745, 'sphere': {'center': [-3.79085050071918, -4.787783955273079, 39.3860218623079], 'radius': 12.0}, 'projected_sphere': {'center': [127.35595120900274, 78.77108500927767], 'axes': [206.67055343788977, 206.67055343788977], 'angle': 90.0}, 'model_confidence': 0.6001947302792243, 'model_id': 56, 'model_birth_timestamp': 201831.840248, 'theta': 1.3714511501101134, 'phi': -1.5908846323946904, 'norm_pos': [0.345607719747858, 0.8644755845526931], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878377.072452,"{'circle_3d': {'center': [-4.783559123336331, -6.958690314090533, 27.62584774914837], 'normal': [-0.08272571855142923, -0.1809088632347878, -0.9800145094299607], 'radius': 2.4430923641982094}, 'confidence': 0.3479621727182981, 'timestamp': 201868.884349, 'diameter_3d': 4.886184728396419, 'ellipse': {'center': [101.46895883260758, 35.011813856601975], 'axes': [55.1934701739421, 60.0186635191249], 'angle': 61.835864522799255}, 'location': [101.46895883260758, 35.011813856601975], 'diameter': 60.0186635191249, 'sphere': {'center': [-3.79085050071918, -4.787783955273079, 39.3860218623079], 'radius': 12.0}, 'projected_sphere': {'center': [127.35595120900274, 78.77108500927767], 'axes': [206.67055343788977, 206.67055343788977], 'angle': 90.0}, 'model_confidence': 0.6001947302792243, 'model_id': 56, 'model_birth_timestamp': 201831.840248, 'theta': 1.388885842751047, 'phi': -1.655009433689129, 'norm_pos': [0.3170904963518987, 0.8541174422641584], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
