eye_packets,775
norm_X,norm_Y,phi,theta,confidence,timestamp
1603874688.6093068,"{'circle_3d': {'center': [-0.4949699224739101, 0.14222254484605124, 18.240223674166636], 'normal': [-0.04727951637511409, 0.5866253175791346, -0.8084772007338951], 'radius': 1.4507746227371094}, 'confidence': 0.9987955255787927, 'timestamp': 198180.424545, 'diameter_3d': 2.901549245474219, 'ellipse': {'center': [150.8583753172365, 121.63049693518089], 'axes': [43.38341521587016, 54.0298603526498], 'angle': -83.37460196148263}, 'location': [150.8583753172365, 121.63049693518089], 'diameter': 54.0298603526498, 'sphere': {'center': [0.072384274027459, -6.897281266103564, 27.941950082973378], 'radius': 12.0}, 'projected_sphere': {'center': [160.87861171357997, 36.27971415510203], 'axes': [291.31577831284307, 291.31577831284307], 'angle': 90.0}, 'model_confidence': 0.8805696543220498, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.1976818448538493, 'phi': -1.6292095138871512, 'norm_pos': [0.47143242286636405, 0.4932062627700796], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603874688.6214132,"{'circle_3d': {'center': [-0.49378020433014186, 0.13910222229079494, 18.23789087109213], 'normal': [-0.047180373196466736, 0.5863652906995299, -0.808671600990104], 'radius': 1.4484573768983466}, 'confidence': 0.9999929863223322, 'timestamp': 198180.432945, 'diameter_3d': 2.8969147537966933, 'ellipse': {'center': [150.87905223005313, 121.57586916152457], 'axes': [43.3356287861756, 53.95017682277367], 'angle': -83.38318591281948}, 'location': [150.87905223005313, 121.57586916152457], 'diameter': 53.95017682277367, 'sphere': {'center': [0.072384274027459, -6.897281266103564, 27.941950082973378], 'radius': 12.0}, 'projected_sphere': {'center': [160.87861171357997, 36.27971415510203], 'axes': [291.31577831284307, 291.31577831284307], 'angle': 90.0}, 'model_confidence': 0.8807706633890522, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.197360805235281, 'phi': -1.6290733203093868, 'norm_pos': [0.47149703821891603, 0.4934338784936476], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603874688.6301792,"{'circle_3d': {'center': [-0.49792746617271116, 0.14315522946460213, 18.24107391270599], 'normal': [-0.04752597835001418, 0.5867030412973472, -0.8084063475222825], 'radius': 1.4527698429689497}, 'confidence': 0.9995463895953732, 'timestamp': 198180.441345, 'diameter_3d': 2.9055396859378995, 'ellipse': {'center': [150.80427417644282, 121.64500650310777], 'axes': [43.434915846579514, 54.10203207873135], 'angle': -83.34070977730622}, 'location': [150.80427417644282, 121.64500650310777], 'diameter': 54.10203207873135, 'sphere': {'center': [0.072384274027459, -6.897281266103564, 27.941950082973378], 'radius': 12.0}, 'projected_sphere': {'center': [160.87861171357997, 36.27971415510203], 'axes': [291.31577831284307, 291.31577831284307], 'angle': 90.0}, 'model_confidence': 0.8807083517733405, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.1977778201671496, 'phi': -1.629518451109561, 'norm_pos': [0.4712633568013838, 0.49314580623705095], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603874688.6374521,"{'circle_3d': {'center': [-0.4883689846590045, 0.1503708018463641, 18.245757216080023], 'normal': [-0.04672943822387196, 0.5873043389958273, -0.808016072241113], 'radius': 1.4658972513130546}, 'confidence': 0.9996525277311673, 'timestamp': 198180.449745, 'diameter_3d': 2.931794502626109, 'ellipse': {'center': [150.98434706448992, 121.76022704048181], 'axes': [43.787011176950465, 54.577285934937535], 'angle': -83.46871166044905}, 'location': [150.98434706448992, 121.76022704048181], 'diameter': 54.577285934937535, 'sphere': {'center': [0.072384274027459, -6.897281266103564, 27.941950082973378], 'radius': 12.0}, 'projected_sphere': {'center': [160.87861171357997, 36.27971415510203], 'axes': [291.31577831284307, 291.31577831284307], 'angle': 90.0}, 'model_confidence': 0.8811123989593939, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.1985205442623315, 'phi': -1.6285642937918083, 'norm_pos': [0.471826084576531, 0.4926657206646591], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603874688.645473,"{'circle_3d': {'center': [-0.4944743112762599, 0.14696089595640416, 18.243634574261353], 'normal': [-0.04723821544197657, 0.587020180171664, -0.8081929590593353], 'radius': 1.4620508044863416}, 'confidence': 0.9999191034792912, 'timestamp': 198180.458145, 'diameter_3d': 2.9241016089726832, 'ellipse': {'center': [150.87015088307467, 121.70248615659948], 'axes': [43.69033489541144, 54.44053675268402], 'angle': -83.389137910725}, 'location': [150.87015088307467, 121.70248615659948], 'diameter': 54.44053675268402, 'sphere': {'center': [0.072384274027459, -6.897281266103564, 27.941950082973378], 'radius': 12.0}, 'projected_sphere': {'center': [160.87861171357997, 36.27971415510203], 'axes': [291.31577831284307, 291.31577831284307], 'angle': 90.0}, 'model_confidence': 0.8815871767806738, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.1981695008782363, 'phi': -1.6291790824233874, 'norm_pos': [0.47146922150960835, 0.49290630768083554], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603874688.653232,"{'circle_3d': {'center': [-0.48301984175157225, 0.15067145332872833, 18.245667871072637], 'normal': [-0.046283676314919274, 0.5873293932860243, -0.808023517658395], 'radius': 1.4494462495699127}, 'confidence': 0.9990641806232943, 'timestamp': 198180.466545, 'diameter_3d': 2.8988924991398255, 'ellipse': {'center': [151.08178682461778, 121.78892891398016], 'axes': [43.295208896758844, 53.96331345036267], 'angle': -83.5338223713525}, 'location': [151.08178682461778, 121.78892891398016], 'diameter': 53.96331345036267, 'sphere': {'center': [0.072384274027459, -6.897281266103564, 27.941950082973378], 'radius': 12.0}, 'projected_sphere': {'center': [160.87861171357997, 36.27971415510203], 'axes': [291.31577831284307, 291.31577831284307], 'angle': 90.0}, 'model_confidence': 0.8815647945538463, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.1985515000549185, 'phi': -1.6280139146945047, 'norm_pos': [0.47213058382693057, 0.4925461295250827], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603874688.661597,"{'circle_3d': {'center': [-0.48236177018211474, 0.15770596038960516, 18.25074726492999], 'normal': [-0.04622883701746448, 0.5879156022077641, -0.8076002348369489], 'radius': 1.4631460388913067}, 'confidence': 0.9999962139865102, 'timestamp': 198180.474945, 'diameter_3d': 2.9262920777826134, 'ellipse': {'center': [151.09748664423998, 121.89999737778544], 'axes': [43.65889964681425, 54.45930913683673], 'angle': -83.55416008048218}, 'location': [151.09748664423998, 121.89999737778544], 'diameter': 54.45930913683673, 'sphere': {'center': [0.072384274027459, -6.897281266103564, 27.941950082973378], 'radius': 12.0}, 'projected_sphere': {'center': [160.87861171357997, 36.27971415510203], 'axes': [291.31577831284307, 291.31577831284307], 'angle': 90.0}, 'model_confidence': 0.881603918284668, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.199275988301373, 'phi': -1.6279761563759534, 'norm_pos': [0.47217964576324994, 0.4920833442592273], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603874688.669773,"{'circle_3d': {'center': [-0.48427670583453325, 0.1438214603572101, 18.24076453949851], 'normal': [-0.046388414988499355, 0.5867585605383978, -0.8084321286229056], 'radius': 1.4616682278264415}, 'confidence': 0.9992925500309282, 'timestamp': 198180.483345, 'diameter_3d': 2.923336455652883, 'ellipse': {'center': [151.0572702158493, 121.6447793976659], 'axes': [43.70747626245475, 54.434057158233614], 'angle': -83.50609284754492}, 'location': [151.0572702158493, 121.6447793976659], 'diameter': 54.434057158233614, 'sphere': {'center': [0.072384274027459, -6.897281266103564, 27.941950082973378], 'radius': 12.0}, 'projected_sphere': {'center': [160.87861171357997, 36.27971415510203], 'axes': [291.31577831284307, 291.31577831284307], 'angle': 90.0}, 'model_confidence': 0.8815046935793491, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.197846380888064, 'phi': -1.6281141914407713, 'norm_pos': [0.47205396942452904, 0.4931467525097254], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603874688.677127,"{'circle_3d': {'center': [-0.4805533488361214, 0.16304092648592672, 18.254529862808965], 'normal': [-0.0460781352386317, 0.5883601827157908, -0.8072850183470345], 'radius': 1.4630029971679748}, 'confidence': 0.9997349415669727, 'timestamp': 198180.491745, 'diameter_3d': 2.9260059943359495, 'ellipse': {'center': [151.13265935086685, 121.99899027538736], 'axes': [43.61960522070215, 54.44257346181202], 'angle': -83.58539329584434}, 'location': [151.13265935086685, 121.99899027538736], 'diameter': 54.44257346181202, 'sphere': {'center': [0.072384274027459, -6.897281266103564, 27.941950082973378], 'radius': 12.0}, 'projected_sphere': {'center': [160.87861171357997, 36.27971415510203], 'axes': [291.31577831284307, 291.31577831284307], 'angle': 90.0}, 'model_confidence': 0.8814990073434004, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.1998256942151713, 'phi': -1.6278123653200147, 'norm_pos': [0.47228956047145887, 0.4916708738525527], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603874688.68541,"{'circle_3d': {'center': [-0.47916281628995866, 0.15313238703550525, 18.247236929568963], 'normal': [-0.04596225752645147, 0.5875344710949224, -0.8078927627837014], 'radius': 1.46709652209055}, 'confidence': 0.9999435651082255, 'timestamp': 198180.500145, 'diameter_3d': 2.9341930441811, 'ellipse': {'center': [151.15529224568328, 121.80966873711235], 'axes': [43.81075452655317, 54.61693826526434], 'angle': -83.58430588021126}, 'location': [151.15529224568328, 121.80966873711235], 'diameter': 54.61693826526434, 'sphere': {'center': [0.072384274027459, -6.897281266103564, 27.941950082973378], 'radius': 12.0}, 'projected_sphere': {'center': [160.87861171357997, 36.27971415510203], 'axes': [291.31577831284307, 291.31577831284307], 'angle': 90.0}, 'model_confidence': 0.8819822521463072, 'model_id': 22, 'model_birth_timestamp': 198032.836545, 'theta': 2.198804909798834, 'phi': -1.6276265991510168, 'norm_pos': [0.4723602882677603, 0.4924597135953652], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
