eye_packets,774
norm_X,norm_Y,phi,theta,confidence,timestamp
1603878436.8972428,"{'circle_3d': {'center': [-1.8461215611193698, 5.032997967081769, 30.70979593895355], 'normal': [-0.04781548899754383, 0.36314971359376097, -0.9305030706712876], 'radius': 2.3417611456904432}, 'confidence': 0.9987042298620233, 'timestamp': 201928.709313, 'diameter_3d': 4.6835222913808865, 'ellipse': {'center': [139.683040859524, 174.9616796234154], 'axes': [44.92078856773616, 51.76631747992789], 'angle': -79.67637018689247}, 'location': [139.683040859524, 174.9616796234154], 'diameter': 51.76631747992789, 'sphere': {'center': [-1.2723356931488439, 0.6752014039566377, 41.875832787009], 'radius': 12.0}, 'projected_sphere': {'center': [149.6950062637996, 125.46864029352739], 'axes': [194.38254463861605, 194.38254463861605], 'angle': 90.0}, 'model_confidence': 0.6750705550482405, 'model_id': 64, 'model_birth_timestamp': 201881.845584, 'theta': 1.94244249999515, 'phi': -1.6221378752173055, 'norm_pos': [0.4365095026860125, 0.27099300156910255], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878436.904398,"{'circle_3d': {'center': [-1.8669217511961524, 5.024617866889069, 30.707617000611066], 'normal': [-0.04954883817060906, 0.36245137191103594, -0.9306846488664948], 'radius': 2.3435593266720316}, 'confidence': 0.9508670472692623, 'timestamp': 201928.717713, 'diameter_3d': 4.687118653344063, 'ellipse': {'center': [139.45504418719952, 174.87299586783752], 'axes': [44.97166857758118, 51.809569322048745], 'angle': -79.40035077656087}, 'location': [139.45504418719952, 174.87299586783752], 'diameter': 51.809569322048745, 'sphere': {'center': [-1.2723356931488439, 0.6752014039566377, 41.875832787009], 'radius': 12.0}, 'projected_sphere': {'center': [149.6950062637996, 125.46864029352739], 'axes': [194.38254463861605, 194.38254463861605], 'angle': 90.0}, 'model_confidence': 0.6748801488291156, 'model_id': 64, 'model_birth_timestamp': 201881.845584, 'theta': 1.9416930992297907, 'phi': -1.6239852387047922, 'norm_pos': [0.4357970130849985, 0.2713625172173437], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878436.9124632,"{'circle_3d': {'center': [-1.8474853490200396, 5.036672163263504, 30.711300746253222], 'normal': [-0.04792913798926631, 0.3634558966089056, -0.9303776700629816], 'radius': 2.3534914036908687}, 'confidence': 0.9989988626636095, 'timestamp': 201928.726113, 'diameter_3d': 4.7069828073817375, 'ellipse': {'center': [139.66985410913773, 174.9929550389268], 'axes': [45.13230906508521, 52.02330783160046], 'angle': -79.66818022181732}, 'location': [139.66985410913773, 174.9929550389268], 'diameter': 52.02330783160046, 'sphere': {'center': [-1.2723356931488439, 0.6752014039566377, 41.875832787009], 'radius': 12.0}, 'projected_sphere': {'center': [149.6950062637996, 125.46864029352739], 'axes': [194.38254463861605, 194.38254463861605], 'angle': 90.0}, 'model_confidence': 0.6757943197152394, 'model_id': 64, 'model_birth_timestamp': 201881.845584, 'theta': 1.942771138514999, 'phi': -1.6222666141643725, 'norm_pos': [0.4364682940910554, 0.27086268733780505], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878436.9216042,"{'circle_3d': {'center': [-1.8543976122269745, 5.046969343056418, 30.71568722303815], 'normal': [-0.04850515992317755, 0.3643139949249817, -0.9300121303309046], 'radius': 2.34788202375932}, 'confidence': 0.9989009147048156, 'timestamp': 201928.734513, 'diameter_3d': 4.69576404751864, 'ellipse': {'center': [139.59696378389907, 175.1008780891617], 'axes': [44.98384377278047, 51.891867426506316], 'angle': -79.6076996391753}, 'location': [139.59696378389907, 175.1008780891617], 'diameter': 51.891867426506316, 'sphere': {'center': [-1.2723356931488439, 0.6752014039566377, 41.875832787009], 'radius': 12.0}, 'projected_sphere': {'center': [149.6950062637996, 125.46864029352739], 'axes': [194.38254463861605, 194.38254463861605], 'angle': 90.0}, 'model_confidence': 0.6764179344338594, 'model_id': 64, 'model_birth_timestamp': 201881.845584, 'theta': 1.9436923945956464, 'phi': -1.6229045186786286, 'norm_pos': [0.4362405118246846, 0.2704130079618262], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878436.928884,"{'circle_3d': {'center': [-1.8435344998597079, 5.02293831022554, 30.705742558318843], 'normal': [-0.04759990055923868, 0.3623114088557419, -0.9308408523908467], 'radius': 2.352773740995966}, 'confidence': 0.9365568229470246, 'timestamp': 201928.742913, 'diameter_3d': 4.705547481991932, 'ellipse': {'center': [139.70935020594152, 174.85287900110677], 'axes': [45.169499577933024, 52.016730333784885], 'angle': -79.68439257288061}, 'location': [139.70935020594152, 174.85287900110677], 'diameter': 52.016730333784885, 'sphere': {'center': [-1.2723356931488439, 0.6752014039566377, 41.875832787009], 'radius': 12.0}, 'projected_sphere': {'center': [149.6950062637996, 125.46864029352739], 'axes': [194.38254463861605, 194.38254463861605], 'angle': 90.0}, 'model_confidence': 0.6763388165415662, 'model_id': 64, 'model_birth_timestamp': 201881.845584, 'theta': 1.9415429290946737, 'phi': -1.621888277869278, 'norm_pos': [0.4365917193935672, 0.2714463374953885], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878436.936197,"{'circle_3d': {'center': [-1.8486695708944696, 5.028457034700905, 30.708156006462566], 'normal': [-0.04802782314546881, 0.3627713025620223, -0.9306397317122032], 'radius': 2.380039160342376}, 'confidence': 0.9978538645407832, 'timestamp': 201928.751313, 'diameter_3d': 4.760078320684752, 'ellipse': {'center': [139.6566131337576, 174.89435303828344], 'axes': [45.67083725640597, 52.6159070585854], 'angle': -79.63396560158289}, 'location': [139.6566131337576, 174.89435303828344], 'diameter': 52.6159070585854, 'sphere': {'center': [-1.2723356931488439, 0.6752014039566377, 41.875832787009], 'radius': 12.0}, 'projected_sphere': {'center': [149.6950062637996, 125.46864029352739], 'axes': [194.38254463861605, 194.38254463861605], 'angle': 90.0}, 'model_confidence': 0.6789869135057414, 'model_id': 64, 'model_birth_timestamp': 201881.845584, 'theta': 1.9420363943945922, 'phi': -1.6223579051008266, 'norm_pos': [0.43642691604299244, 0.2712735290071523], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878436.945183,"{'circle_3d': {'center': [-1.8542209357184039, 5.015249159352107, 30.703304199201924], 'normal': [-0.04849043688079667, 0.3616706462829558, -0.9310440489839235], 'radius': 2.3555212338796037}, 'confidence': 0.9446244216015399, 'timestamp': 201928.759713, 'diameter_3d': 4.711042467759207, 'ellipse': {'center': [139.59149320573192, 174.77163619970136], 'axes': [45.24273284349209, 52.08151670123471], 'angle': -79.53421125921984}, 'location': [139.59149320573192, 174.77163619970136], 'diameter': 52.08151670123471, 'sphere': {'center': [-1.2723356931488439, 0.6752014039566377, 41.875832787009], 'radius': 12.0}, 'projected_sphere': {'center': [149.6950062637996, 125.46864029352739], 'axes': [194.38254463861605, 194.38254463861605], 'angle': 90.0}, 'model_confidence': 0.6801482284256588, 'model_id': 64, 'model_birth_timestamp': 201881.845584, 'theta': 1.940855549505073, 'phi': -1.6228310984192653, 'norm_pos': [0.4362234162679123, 0.271784849167911], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878436.9563541,"{'circle_3d': {'center': [-1.8472086453117054, 5.0237235846768415, 30.70623673645033], 'normal': [-0.04790607934690513, 0.3623768483933504, -0.9307996708798896], 'radius': 2.358583471305476}, 'confidence': 0.9992286985353861, 'timestamp': 201928.768113, 'diameter_3d': 4.717166942610952, 'ellipse': {'center': [139.66997679463185, 174.8575085050613], 'axes': [45.27613235416151, 52.144424374121385], 'angle': -79.64090281583816}, 'location': [139.66997679463185, 174.8575085050613], 'diameter': 52.144424374121385, 'sphere': {'center': [-1.2723356931488439, 0.6752014039566377, 41.875832787009], 'radius': 12.0}, 'projected_sphere': {'center': [149.6950062637996, 125.46864029352739], 'axes': [194.38254463861605, 194.38254463861605], 'angle': 90.0}, 'model_confidence': 0.6812272435280264, 'model_id': 64, 'model_birth_timestamp': 201881.845584, 'theta': 1.9416131398472947, 'phi': -1.6222186125547151, 'norm_pos': [0.43646867748322454, 0.2714270478955779], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878436.964673,"{'circle_3d': {'center': [-1.865105486677059, 5.0338989136721395, 30.71113932992383], 'normal': [-0.04939748279401794, 0.36322479247629186, -0.9303911214237641], 'radius': 2.383869179624184}, 'confidence': 0.9896677948963722, 'timestamp': 201928.776513, 'diameter_3d': 4.767738359248368, 'ellipse': {'center': [139.47968950732346, 174.94662590540537], 'axes': [45.7144083170413, 52.69548696386618], 'angle': -79.44478692614962}, 'location': [139.47968950732346, 174.94662590540537], 'diameter': 52.69548696386618, 'sphere': {'center': [-1.2723356931488439, 0.6752014039566377, 41.875832787009], 'radius': 12.0}, 'projected_sphere': {'center': [149.6950062637996, 125.46864029352739], 'axes': [194.38254463861605, 194.38254463861605], 'angle': 90.0}, 'model_confidence': 0.6813182381915861, 'model_id': 64, 'model_birth_timestamp': 201881.845584, 'theta': 1.9425230812763097, 'phi': -1.623839766919263, 'norm_pos': [0.4358740297103858, 0.27105572539414424], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878436.9722571,"{'circle_3d': {'center': [-1.8945814126308067, 5.014761877736987, 30.705290044644617], 'normal': [-0.05185380995683024, 0.3616300394816958, -0.9308785618636988], 'radius': 2.3477418250513042}, 'confidence': 0.9989926305425152, 'timestamp': 201928.784913, 'diameter_3d': 4.6954836501026085, 'ellipse': {'center': [139.1523193745405, 174.76719008477323], 'axes': [45.06867687402763, 51.90577818130835], 'angle': -79.03570646436627}, 'location': [139.1523193745405, 174.76719008477323], 'diameter': 51.90577818130835, 'sphere': {'center': [-1.2723356931488439, 0.6752014039566377, 41.875832787009], 'radius': 12.0}, 'projected_sphere': {'center': [149.6950062637996, 125.46864029352739], 'axes': [194.38254463861605, 194.38254463861605], 'angle': 90.0}, 'model_confidence': 0.6815837083423038, 'model_id': 64, 'model_birth_timestamp': 201881.845584, 'theta': 1.9408119946407323, 'phi': -1.6264429797403634, 'norm_pos': [0.43485099804543903, 0.2718033746467782], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878436.980288,"{'circle_3d': {'center': [-1.8848252336543112, 5.020329498157789, 30.706915274207894], 'normal': [-0.05104079504212228, 0.362094007850096, -0.9307431260667589], 'radius': 2.384486691705022}, 'confidence': 0.9977184249177196, 'timestamp': 201928.793313, 'diameter_3d': 4.768973383410044, 'ellipse': {'center': [139.2621783417115, 174.80544390037073], 'axes': [45.76183695702472, 52.71614039170529], 'angle': -79.16928313427606}, 'location': [139.2621783417115, 174.80544390037073], 'diameter': 52.71614039170529, 'sphere': {'center': [-1.2723356931488439, 0.6752014039566377, 41.875832787009], 'radius': 12.0}, 'projected_sphere': {'center': [149.6950062637996, 125.46864029352739], 'axes': [194.38254463861605, 194.38254463861605], 'angle': 90.0}, 'model_confidence': 0.6824239554559464, 'model_id': 64, 'model_birth_timestamp': 201881.845584, 'theta': 1.9413096910751557, 'phi': -1.6255802096161398, 'norm_pos': [0.4351943073178484, 0.27164398374845533], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
