eye_packets,776
norm_X,norm_Y,phi,theta,confidence,timestamp
1603878454.796244,"{'circle_3d': {'center': [-1.7811820192013863, 5.126874109580441, 30.743731209208573], 'normal': [-0.042403860504378534, 0.3709727254686503, -0.9276751314833692], 'radius': 2.383162676859776}, 'confidence': 0.991750626873336, 'timestamp': 201946.609761, 'diameter_3d': 4.766325353719552, 'ellipse': {'center': [140.41382137464464, 175.9049730076623], 'axes': [45.41634886570384, 52.6254762050417], 'angle': -80.67937474960829}, 'location': [140.41382137464464, 175.9049730076623], 'diameter': 52.6254762050417, 'sphere': {'center': [-1.2723356931488439, 0.6752014039566377, 41.875832787009], 'radius': 12.0}, 'projected_sphere': {'center': [149.6950062637996, 125.46864029352739], 'axes': [194.38254463861605, 194.38254463861605], 'angle': 90.0}, 'model_confidence': 0.3283514409796462, 'model_id': 64, 'model_birth_timestamp': 201881.845584, 'theta': 1.9508525975313216, 'phi': -1.616474348483081, 'norm_pos': [0.4387931917957645, 0.2670626124680737], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878454.804558,"{'circle_3d': {'center': [-1.7831413272723837, 5.138578919127931, 30.748508815756484], 'normal': [-0.04256713617696166, 0.3719481262642745, -0.9272769976043767], 'radius': 2.379466177342314}, 'confidence': 0.9947906857266839, 'timestamp': 201946.618161, 'diameter_3d': 4.758932354684628, 'ellipse': {'center': [140.39521644490506, 176.0263356669297], 'axes': [45.301930571610455, 52.53572697103467], 'angle': -80.68038544349591}, 'location': [140.39521644490506, 176.0263356669297], 'diameter': 52.53572697103467, 'sphere': {'center': [-1.2723356931488439, 0.6752014039566377, 41.875832787009], 'radius': 12.0}, 'projected_sphere': {'center': [149.6950062637996, 125.46864029352739], 'axes': [194.38254463861605, 194.38254463861605], 'angle': 90.0}, 'model_confidence': 0.32802872563882923, 'model_id': 64, 'model_birth_timestamp': 201881.845584, 'theta': 1.9519031679823624, 'phi': -1.6166696453591325, 'norm_pos': [0.4387350513903283, 0.2665569347211263], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878454.813128,"{'circle_3d': {'center': [-1.7788561860151928, 5.139099126810453, 30.74852160639547], 'normal': [-0.04221004107219575, 0.37199147690448464, -0.9272759317177944], 'radius': 2.333832318962087}, 'confidence': 0.530014917231091, 'timestamp': 201946.626562, 'diameter_3d': 4.667664637924174, 'ellipse': {'center': [140.4394587675555, 176.0568230006568], 'axes': [44.432281030392126, 51.52737048945596], 'angle': -80.73367439037321}, 'location': [140.4394587675555, 176.0568230006568], 'diameter': 51.52737048945596, 'sphere': {'center': [-1.2723356931488439, 0.6752014039566377, 41.875832787009], 'radius': 12.0}, 'projected_sphere': {'center': [149.6950062637996, 125.46864029352739], 'axes': [194.38254463861605, 194.38254463861605], 'angle': 90.0}, 'model_confidence': 0.3275511417608068, 'model_id': 64, 'model_birth_timestamp': 201881.845584, 'theta': 1.951949869713153, 'phi': -1.616285399847767, 'norm_pos': [0.4388733086486109, 0.26642990416393], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878454.820533,"{'circle_3d': {'center': [-1.745802821903132, 5.1412456896872625, 30.747927444318403], 'normal': [-0.03945559406285735, 0.37217035714421876, -0.9273254452242167], 'radius': 2.3947927541236664}, 'confidence': 0.9939051580205276, 'timestamp': 201946.634962, 'diameter_3d': 4.789585508247333, 'ellipse': {'center': [140.8019554639544, 176.04787921829228], 'axes': [45.6057316197336, 52.8756560979627], 'angle': -81.1379529307208}, 'location': [140.8019554639544, 176.04787921829228], 'diameter': 52.8756560979627, 'sphere': {'center': [-1.2723356931488439, 0.6752014039566377, 41.875832787009], 'radius': 12.0}, 'projected_sphere': {'center': [149.6950062637996, 125.46864029352739], 'axes': [194.38254463861605, 194.38254463861605], 'angle': 90.0}, 'model_confidence': 0.32918658691114544, 'model_id': 64, 'model_birth_timestamp': 201881.845584, 'theta': 1.9521425869970621, 'phi': -1.613318411299816, 'norm_pos': [0.4400061108248575, 0.26646716992378217], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878454.8290172,"{'circle_3d': {'center': [-1.7439378681090478, 5.142557321294586, 30.748374744113562], 'normal': [-0.03930018124668366, 0.37227965977816235, -0.9272881702412867], 'radius': 2.3179554755541685}, 'confidence': 0.4202175661553563, 'timestamp': 201946.643362, 'diameter_3d': 4.635910951108337, 'ellipse': {'center': [140.81880723508422, 176.10326367389212], 'axes': [44.136428159039035, 51.17703349678319], 'angle': -81.1637856598751}, 'location': [140.81880723508422, 176.10326367389212], 'diameter': 51.17703349678319, 'sphere': {'center': [-1.2723356931488439, 0.6752014039566377, 41.875832787009], 'radius': 12.0}, 'projected_sphere': {'center': [149.6950062637996, 125.46864029352739], 'axes': [194.38254463861605, 194.38254463861605], 'angle': 90.0}, 'model_confidence': 0.32905747662528295, 'model_id': 64, 'model_birth_timestamp': 201881.845584, 'theta': 1.9522603519214394, 'phi': -1.6131528209638537, 'norm_pos': [0.4400587726096382, 0.2662364013587829], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878454.836693,"{'circle_3d': {'center': [-1.7863312432964984, 5.140082567813512, 30.749258976214215], 'normal': [-0.04283296251230455, 0.3720734303214062, -0.9272144842328992], 'radius': 2.3988033640077693}, 'confidence': 0.9952515071999133, 'timestamp': 201946.651762, 'diameter_3d': 4.797606728015539, 'ellipse': {'center': [140.36200925725166, 176.03075754668018], 'axes': [45.663294982797375, 52.96173790450124], 'angle': -80.64483084603614}, 'location': [140.36200925725166, 176.03075754668018], 'diameter': 52.96173790450124, 'sphere': {'center': [-1.2723356931488439, 0.6752014039566377, 41.875832787009], 'radius': 12.0}, 'projected_sphere': {'center': [149.6950062637996, 125.46864029352739], 'axes': [194.38254463861605, 194.38254463861605], 'angle': 90.0}, 'model_confidence': 0.3312117744566079, 'model_id': 64, 'model_birth_timestamp': 201881.845584, 'theta': 1.9520381606802204, 'phi': -1.6169588205662244, 'norm_pos': [0.4386312789289114, 0.2665385102221659], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878454.848454,"{'circle_3d': {'center': [-1.7787913867777965, 5.141729843628901, 30.749574371531246], 'normal': [-0.042204641135746054, 0.372210703306022, -0.9271882012898133], 'radius': 2.344312344864966}, 'confidence': 0.47493203725670396, 'timestamp': 201946.660162, 'diameter_3d': 4.688624689729932, 'ellipse': {'center': [140.44135315229272, 176.0780170039306], 'axes': [44.622689380993236, 51.75719650382674], 'angle': -80.73989578239937}, 'location': [140.44135315229272, 176.0780170039306], 'diameter': 51.75719650382674, 'sphere': {'center': [-1.2723356931488439, 0.6752014039566377, 41.875832787009], 'radius': 12.0}, 'projected_sphere': {'center': [149.6950062637996, 125.46864029352739], 'axes': [194.38254463861605, 194.38254463861605], 'angle': 90.0}, 'model_confidence': 0.3304822350809089, 'model_id': 64, 'model_birth_timestamp': 201881.845584, 'theta': 1.952186056140841, 'phi': -1.616283886133976, 'norm_pos': [0.4388792286009148, 0.2663415958169558], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878454.856607,"{'circle_3d': {'center': [-1.7869477543087104, 5.162301538431858, 30.75822932179667], 'normal': [-0.042884338429988886, 0.3739250112062683, -0.9264669554343611], 'radius': 2.4187849523360088}, 'confidence': 0.9946990545181976, 'timestamp': 201946.668562, 'diameter_3d': 4.8375699046720175, 'ellipse': {'center': [140.3618739234514, 176.24616202420654], 'axes': [45.961221145140186, 53.38794636489805], 'angle': -80.68406171178849}, 'location': [140.3618739234514, 176.24616202420654], 'diameter': 53.38794636489805, 'sphere': {'center': [-1.2723356931488439, 0.6752014039566377, 41.875832787009], 'radius': 12.0}, 'projected_sphere': {'center': [149.6950062637996, 125.46864029352739], 'axes': [194.38254463861605, 194.38254463861605], 'angle': 90.0}, 'model_confidence': 0.33113771266995995, 'model_id': 64, 'model_birth_timestamp': 201881.845584, 'theta': 1.9540337612072134, 'phi': -1.6170513494344139, 'norm_pos': [0.43863085601078566, 0.2656409915658061], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878454.8647768,"{'circle_3d': {'center': [-1.8018553565814506, 5.147275971621419, 30.752876435962577], 'normal': [-0.04412663861938389, 0.37267288063873183, -0.926913029253869], 'radius': 2.4179772610145247}, 'confidence': 0.9972844540873872, 'timestamp': 201946.676962, 'diameter_3d': 4.835954522029049, 'ellipse': {'center': [140.1964226010277, 176.09223685997694], 'axes': [45.99286328871676, 53.37914119532242], 'angle': -80.47254226419658}, 'location': [140.1964226010277, 176.09223685997694], 'diameter': 53.37914119532242, 'sphere': {'center': [-1.2723356931488439, 0.6752014039566377, 41.875832787009], 'radius': 12.0}, 'projected_sphere': {'center': [149.6950062637996, 125.46864029352739], 'axes': [194.38254463861605, 194.38254463861605], 'angle': 90.0}, 'model_confidence': 0.3327290012066886, 'model_id': 64, 'model_birth_timestamp': 201881.845584, 'theta': 1.9526840622545114, 'phi': -1.6183664302080456, 'norm_pos': [0.4381138206282116, 0.26628234641676274], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878454.872342,"{'circle_3d': {'center': [-1.7944380507609774, 5.127888439975852, 30.744750751221005], 'normal': [-0.04350852980101112, 0.3710572530016012, -0.9275901696489998], 'radius': 2.4241114634874315}, 'confidence': 0.9959860771598213, 'timestamp': 201946.685362, 'diameter_3d': 4.848222926974863, 'ellipse': {'center': [140.27245441798578, 175.89159022205143], 'axes': [46.186378355958496, 53.5286530006611], 'angle': -80.52052907990544}, 'location': [140.27245441798578, 175.89159022205143], 'diameter': 53.5286530006611, 'sphere': {'center': [-1.2723356931488439, 0.6752014039566377, 41.875832787009], 'radius': 12.0}, 'projected_sphere': {'center': [149.6950062637996, 125.46864029352739], 'axes': [194.38254463861605, 194.38254463861605], 'angle': 90.0}, 'model_confidence': 0.33379033361385924, 'model_id': 64, 'model_birth_timestamp': 201881.845584, 'theta': 1.9509436217467895, 'phi': -1.6176668801954546, 'norm_pos': [0.4383514200562056, 0.26711837407478567], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603878454.880783,"{'circle_3d': {'center': [-1.79388298840444, 5.1512317250422965, 30.75409097272769], 'normal': [-0.043462274604633006, 0.3730025267571383, -0.926811817856776], 'radius': 2.43873313495424}, 'confidence': 0.9922199936099781, 'timestamp': 201946.693762, 'diameter_3d': 4.87746626990848, 'ellipse': {'center': [140.28503700221108, 176.12154947703647], 'axes': [46.37836896820998, 53.83571769485756], 'angle': -80.57697511016593}, 'location': [140.28503700221108, 176.12154947703647], 'diameter': 53.83571769485756, 'sphere': {'center': [-1.2723356931488439, 0.6752014039566377, 41.875832787009], 'radius': 12.0}, 'projected_sphere': {'center': [149.6950062637996, 125.46864029352739], 'axes': [194.38254463861605, 194.38254463861605], 'angle': 90.0}, 'model_confidence': 0.33245392114502614, 'model_id': 64, 'model_birth_timestamp': 201881.845584, 'theta': 1.953039323962808, 'phi': -1.6176563869249214, 'norm_pos': [0.43839074063190964, 0.26616021051234806], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
