eye_packets,774
norm_X,norm_Y,phi,theta,confidence,timestamp
1603861267.954922,"{'circle_3d': {'center': [-0.5745913694063323, 0.3924633456503992, 28.980057555007036], 'normal': [-0.1331646547782627, 0.5787058282720913, -0.8045910383801816], 'radius': 2.113637353834272}, 'confidence': 0.9995892062135593, 'timestamp': 184761.676029, 'diameter_3d': 4.227274707668544, 'ellipse': {'center': [153.4563828497573, 123.76013987656444], 'axes': [39.356234342066074, 49.52604413061236], 'angle': -75.8450951990286}, 'location': [153.4563828497573, 123.76013987656444], 'diameter': 49.52604413061236, 'sphere': {'center': [1.0233844879328202, -6.5520065936146965, 38.63515001556922], 'radius': 12.0}, 'projected_sphere': {'center': [168.98391646962023, 62.482341056063234], 'axes': [210.6871833736834, 210.6871833736834], 'angle': 90.0}, 'model_confidence': 0.9454997073442772, 'model_id': 18, 'model_birth_timestamp': 184747.051629, 'theta': 2.1879372259127696, 'phi': -1.734815507357624, 'norm_pos': [0.47955119640549154, 0.4843327505143148], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861267.961519,"{'circle_3d': {'center': [-0.5445911144816515, 0.37044873164090664, 28.959352127018974], 'normal': [-0.1306646335345393, 0.5768712771046336, -0.8063164907125202], 'radius': 2.1135521942991704}, 'confidence': 0.9997666528775621, 'timestamp': 184761.684429, 'diameter_3d': 4.227104388598341, 'ellipse': {'center': [153.8006856151155, 123.50480749116534], 'axes': [39.50010776941408, 49.55858433221266], 'angle': -76.08714069818573}, 'location': [153.8006856151155, 123.50480749116534], 'diameter': 49.55858433221266, 'sphere': {'center': [1.0233844879328202, -6.5520065936146965, 38.63515001556922], 'radius': 12.0}, 'projected_sphere': {'center': [168.98391646962023, 62.482341056063234], 'axes': [210.6871833736834, 210.6871833736834], 'angle': 90.0}, 'model_confidence': 0.9455135884888666, 'model_id': 18, 'model_birth_timestamp': 184747.051629, 'theta': 2.185689513957132, 'phi': -1.7314510415499136, 'norm_pos': [0.48062714254723593, 0.4853966354534778], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861267.969804,"{'circle_3d': {'center': [-0.5585213609541555, 0.3533839363452911, 28.949430862403762], 'normal': [-0.13182548740724798, 0.575449210829999, -0.8071432627637878], 'radius': 2.105512114719236}, 'confidence': 0.9934362009012134, 'timestamp': 184761.692829, 'diameter_3d': 4.211024229438472, 'ellipse': {'center': [153.63567511658786, 123.31295718586242], 'axes': [39.416345675786495, 49.386916204222516], 'angle': -75.89989385483709}, 'location': [153.63567511658786, 123.31295718586242], 'diameter': 49.386916204222516, 'sphere': {'center': [1.0233844879328202, -6.5520065936146965, 38.63515001556922], 'radius': 12.0}, 'projected_sphere': {'center': [168.98391646962023, 62.482341056063234], 'axes': [210.6871833736834, 210.6871833736834], 'angle': 90.0}, 'model_confidence': 0.9455263233448918, 'model_id': 18, 'model_birth_timestamp': 184747.051629, 'theta': 2.183949635369317, 'phi': -1.7326904703145405, 'norm_pos': [0.48011148473933707, 0.48619601172557325], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861267.978335,"{'circle_3d': {'center': [-0.5437791231128071, 0.3875121871127005, 28.971451070126733], 'normal': [-0.1305969675871356, 0.5782932317272831, -0.8053082454535403], 'radius': 2.1313590795193997}, 'confidence': 0.9993849577356223, 'timestamp': 184761.701229, 'diameter_3d': 4.2627181590387995, 'ellipse': {'center': [153.81536000452255, 123.68870028795841], 'axes': [39.75001747467993, 49.95609905357778], 'angle': -76.14110724064963}, 'location': [153.81536000452255, 123.68870028795841], 'diameter': 49.95609905357778, 'sphere': {'center': [1.0233844879328202, -6.5520065936146965, 38.63515001556922], 'radius': 12.0}, 'projected_sphere': {'center': [168.98391646962023, 62.482341056063234], 'axes': [210.6871833736834, 210.6871833736834], 'angle': 90.0}, 'model_confidence': 0.945438066078641, 'model_id': 18, 'model_birth_timestamp': 184747.051629, 'theta': 2.1874313961979035, 'phi': -1.7315668610147459, 'norm_pos': [0.48067300001413293, 0.48463041546683994], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861267.985829,"{'circle_3d': {'center': [-0.5482043972463502, 0.3784783437071555, 28.965688453024164], 'normal': [-0.13096574043159753, 0.5775404114434877, -0.8057884635454211], 'radius': 2.1208693342933755}, 'confidence': 0.9652343797310805, 'timestamp': 184761.709629, 'diameter_3d': 4.241738668586751, 'ellipse': {'center': [153.76114672865228, 123.59221634826409], 'axes': [39.59316937642674, 49.71972866640487], 'angle': -76.07230659754303}, 'location': [153.76114672865228, 123.59221634826409], 'diameter': 49.71972866640487, 'sphere': {'center': [1.0233844879328202, -6.5520065936146965, 38.63515001556922], 'radius': 12.0}, 'projected_sphere': {'center': [168.98391646962023, 62.482341056063234], 'axes': [210.6871833736834, 210.6871833736834], 'angle': 90.0}, 'model_confidence': 0.9453075000926403, 'model_id': 18, 'model_birth_timestamp': 184747.051629, 'theta': 2.1865089303943943, 'phi': -1.7319185976780376, 'norm_pos': [0.48050358352703837, 0.485032431882233], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861267.993696,"{'circle_3d': {'center': [-0.5353477617873856, 0.3848483354713892, 28.968175438872727], 'normal': [-0.1298943541433505, 0.5780712440905071, -0.8055812147247075], 'radius': 2.121828334712788}, 'confidence': 0.9933442553889295, 'timestamp': 184761.718029, 'diameter_3d': 4.243656669425576, 'ellipse': {'center': [153.91100841099512, 123.66538555598397], 'axes': [39.59499412840698, 49.737688791481304], 'angle': -76.21898585006532}, 'location': [153.91100841099512, 123.66538555598397], 'diameter': 49.737688791481304, 'sphere': {'center': [1.0233844879328202, -6.5520065936146965, 38.63515001556922], 'radius': 12.0}, 'projected_sphere': {'center': [168.98391646962023, 62.482341056063234], 'axes': [210.6871833736834, 210.6871833736834], 'angle': 90.0}, 'model_confidence': 0.9454383618575202, 'model_id': 18, 'model_birth_timestamp': 184747.051629, 'theta': 2.1871593217328353, 'phi': -1.7306633539177485, 'norm_pos': [0.48097190128435974, 0.48472756018340013], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861268.0037792,"{'circle_3d': {'center': [-0.5150026478237641, 0.3815272973406403, 28.96253543607147], 'normal': [-0.12819892797971535, 0.5777944909129448, -0.8060512149581456], 'radius': 2.1133929102023674}, 'confidence': 0.9996199302333376, 'timestamp': 184761.726429, 'diameter_3d': 4.226785820404735, 'ellipse': {'center': [154.1447899668797, 123.63355491687383], 'axes': [39.4775762696745, 49.5487204272561], 'angle': -76.4156562205758}, 'location': [154.1447899668797, 123.63355491687383], 'diameter': 49.5487204272561, 'sphere': {'center': [1.0233844879328202, -6.5520065936146965, 38.63515001556922], 'radius': 12.0}, 'projected_sphere': {'center': [168.98391646962023, 62.482341056063234], 'axes': [210.6871833736834, 210.6871833736834], 'angle': 90.0}, 'model_confidence': 0.945428721649666, 'model_id': 18, 'model_birth_timestamp': 184747.051629, 'theta': 2.1868201984614175, 'phi': -1.7285209083785373, 'norm_pos': [0.48170246864649907, 0.484860187846359], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861268.009888,"{'circle_3d': {'center': [-0.5335551447659126, 0.3764508405904978, 28.96186636612842], 'normal': [-0.12974496939156108, 0.5773714528504329, -0.8061069707867332], 'radius': 2.132851039464063}, 'confidence': 0.8981937500188397, 'timestamp': 184761.734829, 'diameter_3d': 4.265702078928126, 'ellipse': {'center': [153.93255159498258, 123.55916142853481], 'axes': [39.84556641835408, 50.00736838271845], 'angle': -76.21461700888389}, 'location': [153.93255159498258, 123.55916142853481], 'diameter': 50.00736838271845, 'sphere': {'center': [1.0233844879328202, -6.5520065936146965, 38.63515001556922], 'radius': 12.0}, 'projected_sphere': {'center': [168.98391646962023, 62.482341056063234], 'axes': [210.6871833736834, 210.6871833736834], 'angle': 90.0}, 'model_confidence': 0.9454026781365865, 'model_id': 18, 'model_birth_timestamp': 184747.051629, 'theta': 2.1863019802832064, 'phi': -1.730380220332584, 'norm_pos': [0.48103922373432056, 0.4851701607144383], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861268.018715,"{'circle_3d': {'center': [-0.5312044649316412, 0.39614867034370516, 28.975626651781596], 'normal': [-0.12954907940537178, 0.5790129386632001, -0.8049602803156352], 'radius': 2.1230652990003573}, 'confidence': 0.9375944874925978, 'timestamp': 184761.743229, 'diameter_3d': 4.246130598000715, 'ellipse': {'center': [153.96064286658805, 123.79549025183277], 'axes': [39.56686187536606, 49.753894366586955], 'angle': -76.29070288782597}, 'location': [153.96064286658805, 123.79549025183277], 'diameter': 49.753894366586955, 'sphere': {'center': [1.0233844879328202, -6.5520065936146965, 38.63515001556922], 'radius': 12.0}, 'projected_sphere': {'center': [168.98391646962023, 62.482341056063234], 'axes': [210.6871833736834, 210.6871833736834], 'angle': 90.0}, 'model_confidence': 0.9452393283403637, 'model_id': 18, 'model_birth_timestamp': 184747.051629, 'theta': 2.1883138509841267, 'phi': -1.7303665038430667, 'norm_pos': [0.48112700895808763, 0.48418545728403006], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861268.029836,"{'circle_3d': {'center': [-0.5453238885545906, 0.37977173058872626, 28.966147828495217], 'normal': [-0.13072569804061757, 0.5776481936836185, -0.8057501822561668], 'radius': 2.106617400119465}, 'confidence': 0.9993658680116406, 'timestamp': 184761.751629, 'diameter_3d': 4.21323480023893, 'ellipse': {'center': [153.7922572700689, 123.61849436200428], 'axes': [39.3232012458333, 49.384145743433784], 'angle': -76.10490626967857}, 'location': [153.7922572700689, 123.61849436200428], 'diameter': 49.384145743433784, 'sphere': {'center': [1.0233844879328202, -6.5520065936146965, 38.63515001556922], 'radius': 12.0}, 'projected_sphere': {'center': [168.98391646962023, 62.482341056063234], 'axes': [210.6871833736834, 210.6871833736834], 'angle': 90.0}, 'model_confidence': 0.9451318659698726, 'model_id': 18, 'model_birth_timestamp': 184747.051629, 'theta': 2.186640964053184, 'phi': -1.7316358633628866, 'norm_pos': [0.48060080396896526, 0.4849229401583155], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
