eye_packets,775
norm_X,norm_Y,phi,theta,confidence,timestamp
1603861245.833971,"{'circle_3d': {'center': [0.26217046969335833, 0.09699712385746295, 1.016539120018109], 'normal': [-0.05390398001017462, 0.6148391776547536, -0.7868082018890556], 'radius': 0.08908349592712232}, 'confidence': 0.15154646884462197, 'timestamp': 184739.558829, 'diameter_3d': 0.17816699185424464, 'ellipse': {'center': [247.83946109649307, 151.19387322520456], 'axes': [43.04417156535044, 61.18550202022217], 'angle': 81.42247276279016}, 'location': [247.83946109649307, 151.19387322520456], 'diameter': 61.18550202022217, 'sphere': {'center': [0.9090182298154539, -7.281073007999582, 10.458237542686778], 'radius': 12.0}, 'projected_sphere': {'center': [189.47973459542175, -116.12738755447538], 'axes': [778.3272184032652, 778.3272184032652], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 184685.630829, 'theta': 2.2329783566713424, 'phi': -1.639199124874768, 'norm_pos': [0.7744983159265408, 0.37002552822831436], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861245.842449,"{'circle_3d': {'center': [-0.04832411080316712, 0.00266518699799434, 0.9697891158051561], 'normal': [-0.07977852838488508, 0.6069781829164647, -0.7907040355734685], 'radius': 0.08981733304667126}, 'confidence': 0.19183726940875295, 'timestamp': 184739.567229, 'diameter_3d': 0.17963466609334253, 'ellipse': {'center': [143.22923887570175, 119.53435048026783], 'axes': [49.42104358449554, 62.99898202048505], 'angle': -78.98862757482637}, 'location': [143.22923887570175, 119.53435048026783], 'diameter': 62.99898202048505, 'sphere': {'center': [0.9090182298154539, -7.281073007999582, 10.458237542686778], 'radius': 12.0}, 'projected_sphere': {'center': [189.47973459542175, -116.12738755447538], 'axes': [778.3272184032652, 778.3272184032652], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 184685.630829, 'theta': 2.223048996948289, 'phi': -1.6713515959131071, 'norm_pos': [0.44759137148656797, 0.5019402063322174], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861245.8554711,"{'circle_3d': {'center': [0.07647434175720502, 0.10490316868290428, 1.0372913804408856], 'normal': [-0.0693786573381874, 0.6154980147235405, -0.7850788468538243], 'radius': 0.08941264800325836}, 'confidence': 0.13740197069346738, 'timestamp': 184739.575629, 'diameter_3d': 0.17882529600651673, 'ellipse': {'center': [185.21399649119732, 153.1771109857759], 'axes': [42.561177878437206, 58.724765935705456], 'angle': -88.17822532200724}, 'location': [185.21399649119732, 153.1771109857759], 'diameter': 58.724765935705456, 'sphere': {'center': [0.9090182298154539, -7.281073007999582, 10.458237542686778], 'radius': 12.0}, 'projected_sphere': {'center': [189.47973459542175, -116.12738755447538], 'axes': [778.3272184032652, 778.3272184032652], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 184685.630829, 'theta': 2.2338140248759917, 'phi': -1.65893893074878, 'norm_pos': [0.5787937390349916, 0.36176203755926706], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861245.862279,"{'circle_3d': {'center': [-0.02542370532076632, 0.09774682908498811, 1.04124035240865], 'normal': [-0.07787016126135167, 0.6149016530903807, -0.7847497658565106], 'radius': 0.09046607695664283}, 'confidence': 0.21112242209571014, 'timestamp': 184739.584029, 'diameter_3d': 0.18093215391328565, 'ellipse': {'center': [151.85154451797925, 150.692711853476], 'axes': [42.85688748229551, 59.024485653189885], 'angle': -82.10366354293159}, 'location': [151.85154451797925, 150.692711853476], 'diameter': 59.024485653189885, 'sphere': {'center': [0.9090182298154539, -7.281073007999582, 10.458237542686778], 'radius': 12.0}, 'projected_sphere': {'center': [189.47973459542175, -116.12738755447538], 'axes': [778.3272184032652, 778.3272184032652], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 184685.630829, 'theta': 2.2330575770681844, 'phi': -1.6697018409426552, 'norm_pos': [0.47453607661868513, 0.37211370061051663], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861245.870819,"{'circle_3d': {'center': [0.16456452678118372, 0.0034236856871263655, 0.9512981506581344], 'normal': [-0.06203780858618919, 0.6070413911405591, -0.7922449493357204], 'radius': 0.09009028372844613}, 'confidence': 0.14740605810753551, 'timestamp': 184739.592429, 'diameter_3d': 0.18018056745689226, 'ellipse': {'center': [219.0183408359945, 119.75694191939706], 'axes': [50.866765829999004, 65.29295079646562], 'angle': 83.48605197628866}, 'location': [219.0183408359945, 119.75694191939706], 'diameter': 65.29295079646562, 'sphere': {'center': [0.9090182298154539, -7.281073007999582, 10.458237542686778], 'radius': 12.0}, 'projected_sphere': {'center': [189.47973459542175, -116.12738755447538], 'axes': [778.3272184032652, 778.3272184032652], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 184685.630829, 'theta': 2.2231285347274534, 'phi': -1.6489432057929962, 'norm_pos': [0.6844323151124828, 0.5010127420025122], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861245.877751,"{'circle_3d': {'center': [-0.038682635029623214, 0.010719916973254584, 0.975009241623475], 'normal': [-0.07897507207042309, 0.607649410414403, -0.7902690250886085], 'radius': 0.0901479703574321}, 'confidence': 0.283298787103306, 'timestamp': 184739.600829, 'diameter_3d': 0.1802959407148642, 'ellipse': {'center': [146.68218168663847, 122.344225361846], 'axes': [49.07146985049536, 62.86174795584992], 'angle': -79.92579760347797}, 'location': [146.68218168663847, 122.344225361846], 'diameter': 62.86174795584992, 'sphere': {'center': [0.9090182298154539, -7.281073007999582, 10.458237542686778], 'radius': 12.0}, 'projected_sphere': {'center': [189.47973459542175, -116.12738755447538], 'axes': [778.3272184032652, 778.3272184032652], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 184685.630829, 'theta': 2.223893880037476, 'phi': -1.6704000424135292, 'norm_pos': [0.4583818177707452, 0.4902323943256417], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861245.8864572,"{'circle_3d': {'center': [-0.11057234954451856, 0.10507144477012087, 1.0558280018669493], 'normal': [-0.08496588161333103, 0.6155120377308085, -0.7835341284016524], 'radius': 0.08975645258518722}, 'confidence': 0.19143548352571424, 'timestamp': 184739.609229, 'diameter_3d': 0.17951290517037444, 'ellipse': {'center': [124.54508178444088, 152.66115752219133], 'axes': [41.12129932805371, 57.92952164588625], 'angle': -77.52285104520863}, 'location': [124.54508178444088, 152.66115752219133], 'diameter': 57.92952164588625, 'sphere': {'center': [0.9090182298154539, -7.281073007999582, 10.458237542686778], 'radius': 12.0}, 'projected_sphere': {'center': [189.47973459542175, -116.12738755447538], 'axes': [778.3272184032652, 778.3272184032652], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 184685.630829, 'theta': 2.233831817568316, 'phi': -1.6788135382597562, 'norm_pos': [0.38920338057637777, 0.36391184365753615], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861245.893687,"{'circle_3d': {'center': [-0.10528340658640589, 0.09791516076541829, 1.0496390394229334], 'normal': [-0.08452513636682164, 0.6149156807304167, -0.784049875271987], 'radius': 0.08975767544595654}, 'confidence': 0.12022927761384367, 'timestamp': 184739.617629, 'diameter_3d': 0.1795153508919131, 'ellipse': {'center': [126.04909658073322, 150.5290400633658], 'axes': [41.653754157969686, 58.260877927309934], 'angle': -77.64024230013368}, 'location': [126.04909658073322, 150.5290400633658], 'diameter': 58.260877927309934, 'sphere': {'center': [0.9090182298154539, -7.281073007999582, 10.458237542686778], 'radius': 12.0}, 'projected_sphere': {'center': [189.47973459542175, -116.12738755447538], 'axes': [778.3272184032652, 778.3272184032652], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 184685.630829, 'theta': 2.2330753651352437, 'phi': -1.6781873877799922, 'norm_pos': [0.3939034268147913, 0.3727956664026425], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861245.903154,"{'circle_3d': {'center': [0.16984144063452156, 0.0035932681932964172, 0.951016344101232], 'normal': [-0.06159806576507768, 0.6070555230160731, -0.792268433215462], 'radius': 0.08942523735431293}, 'confidence': 0.14842434159988271, 'timestamp': 184739.626029, 'diameter_3d': 0.17885047470862586, 'ellipse': {'center': [220.91794580454498, 119.83865048664688], 'axes': [50.46942573340889, 64.88765941974738], 'angle': 83.10638317592137}, 'location': [220.91794580454498, 119.83865048664688], 'diameter': 64.88765941974738, 'sphere': {'center': [0.9090182298154539, -7.281073007999582, 10.458237542686778], 'radius': 12.0}, 'projected_sphere': {'center': [189.47973459542175, -116.12738755447538], 'axes': [778.3272184032652, 778.3272184032652], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 184685.630829, 'theta': 2.223146318169251, 'phi': -1.648389214862273, 'norm_pos': [0.690368580639203, 0.5006722896389713], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861245.911052,"{'circle_3d': {'center': [-0.04126897989983713, 0.010889356202830491, 0.9753983529658488], 'normal': [-0.07919060080960759, 0.607663530350201, -0.7902365991434107], 'radius': 0.09053576152875249}, 'confidence': 0.20885749545450216, 'timestamp': 184739.634429, 'diameter_3d': 0.18107152305750498, 'ellipse': {'center': [145.7868985865927, 122.39100695310403], 'axes': [49.237136325785734, 63.113886261448926], 'angle': -79.73059969094743}, 'location': [145.7868985865927, 122.39100695310403], 'diameter': 63.113886261448926, 'sphere': {'center': [0.9090182298154539, -7.281073007999582, 10.458237542686778], 'radius': 12.0}, 'projected_sphere': {'center': [189.47973459542175, -116.12738755447538], 'axes': [778.3272184032652, 778.3272184032652], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 184685.630829, 'theta': 2.223911658854008, 'phi': -1.67067413760111, 'norm_pos': [0.4555840580831022, 0.4900374710287332], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861245.918601,"{'circle_3d': {'center': [0.07508717121594755, 0.10523954354713805, 1.037677799212588], 'normal': [-0.0694942548832922, 0.6155260459622266, -0.7850466452895158], 'radius': 0.08947491328746891}, 'confidence': 0.11240318685033933, 'timestamp': 184739.642829, 'diameter_3d': 0.17894982657493783, 'ellipse': {'center': [184.7503352742299, 153.2738373036875], 'axes': [42.561496952596755, 58.73852128465158], 'angle': -88.09304579170627}, 'location': [184.7503352742299, 153.2738373036875], 'diameter': 58.73852128465158, 'sphere': {'center': [0.9090182298154539, -7.281073007999582, 10.458237542686778], 'radius': 12.0}, 'projected_sphere': {'center': [189.47973459542175, -116.12738755447538], 'axes': [778.3272184032652, 778.3272184032652], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 184685.630829, 'theta': 2.2338495917595806, 'phi': -1.6590886337940036, 'norm_pos': [0.5773447977319685, 0.36135901123463543], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
