eye_packets,775
norm_X,norm_Y,phi,theta,confidence,timestamp
1603861245.833971,"{'circle_3d': {'center': [0.26217046969335833, 0.09699712385746295, 1.016539120018109], 'normal': [-0.05390398001017462, 0.6148391776547536, -0.7868082018890556], 'radius': 0.08908349592712232}, 'confidence': 0.15154646884462197, 'timestamp': 184739.558829, 'diameter_3d': 0.17816699185424464, 'ellipse': {'center': [247.83946109649307, 151.19387322520456], 'axes': [43.04417156535044, 61.18550202022217], 'angle': 81.42247276279016}, 'location': [247.83946109649307, 151.19387322520456], 'diameter': 61.18550202022217, 'sphere': {'center': [0.9090182298154539, -7.281073007999582, 10.458237542686778], 'radius': 12.0}, 'projected_sphere': {'center': [189.47973459542175, -116.12738755447538], 'axes': [778.3272184032652, 778.3272184032652], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 184685.630829, 'theta': 2.2329783566713424, 'phi': -1.639199124874768, 'norm_pos': [0.7744983159265408, 0.37002552822831436], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861245.925926,"{'circle_3d': {'center': [-0.02680821219677587, 0.09808331503810575, 1.0416415106482546], 'normal': [-0.07798553683435248, 0.614929693586474, -0.7847163360032102], 'radius': 0.09005914629626231}, 'confidence': 0.16850945334689554, 'timestamp': 184739.651229, 'diameter_3d': 0.18011829259252463, 'ellipse': {'center': [151.4015650821038, 150.80149753204302], 'axes': [42.627206811747165, 58.73631536367455], 'angle': -82.02590712764214}, 'location': [151.4015650821038, 150.80149753204302], 'diameter': 58.73631536367455, 'sphere': {'center': [0.9090182298154539, -7.281073007999582, 10.458237542686778], 'radius': 12.0}, 'projected_sphere': {'center': [189.47973459542175, -116.12738755447538], 'axes': [778.3272184032652, 778.3272184032652], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 184685.630829, 'theta': 2.233093134701486, 'phi': -1.669851619573407, 'norm_pos': [0.4731298908815743, 0.3716604269498208], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861245.938026,"{'circle_3d': {'center': [0.35770014243949344, 0.09875468006646493, 1.0118524319163171], 'normal': [-0.04594317394799671, 0.6149856406721707, -0.7871987592308718], 'radius': 0.0907935548330669}, 'confidence': 0.14708920969422887, 'timestamp': 184739.659629, 'diameter_3d': 0.1815871096661338, 'ellipse': {'center': [280.3651896992502, 151.8772788950005], 'axes': [43.28383123932956, 63.923470446942055], 'angle': 77.39080872622546}, 'location': [280.3651896992502, 151.8772788950005], 'diameter': 63.923470446942055, 'sphere': {'center': [0.9090182298154539, -7.281073007999582, 10.458237542686778], 'radius': 12.0}, 'projected_sphere': {'center': [189.47973459542175, -116.12738755447538], 'axes': [778.3272184032652, 778.3272184032652], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 184685.630829, 'theta': 2.2331640831099784, 'phi': -1.6290930600097349, 'norm_pos': [0.8761412178101569, 0.3671780046041646], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861245.9458098,"{'circle_3d': {'center': [-0.046347809970332055, 0.0994290328815639, 1.0446587676101462], 'normal': [-0.0796138366488155, 0.6150418367400955, -0.7844648979230526], 'radius': 0.08961653399744725}, 'confidence': 0.17003969538756716, 'timestamp': 184739.668029, 'diameter_3d': 0.1792330679948945, 'ellipse': {'center': [145.06611745158148, 151.1650588869925], 'axes': [42.13868885616582, 58.296958633671586], 'angle': -80.9115266727471}, 'location': [145.06611745158148, 151.1650588869925], 'diameter': 58.296958633671586, 'sphere': {'center': [0.9090182298154539, -7.281073007999582, 10.458237542686778], 'radius': 12.0}, 'projected_sphere': {'center': [189.47973459542175, -116.12738755447538], 'axes': [778.3272184032652, 778.3272184032652], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 184685.630829, 'theta': 2.2332353512135903, 'phi': -1.671938108129978, 'norm_pos': [0.4533316170361921, 0.3701455879708645], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861245.9559839,"{'circle_3d': {'center': [0.16701373157910404, 0.005124840610057468, 0.952410370077688], 'normal': [-0.061833708186362475, 0.6071831540508031, -0.7921522643840907], 'radius': 0.08954252007842399}, 'confidence': 0.15405894151353744, 'timestamp': 184739.676429, 'diameter_3d': 0.17908504015684798, 'ellipse': {'center': [219.81922358146687, 120.38433390036911], 'axes': [50.41138619710508, 64.84127209313732], 'angle': 83.38019929244692}, 'location': [219.81922358146687, 120.38433390036911], 'diameter': 64.84127209313732, 'sphere': {'center': [0.9090182298154539, -7.281073007999582, 10.458237542686778], 'radius': 12.0}, 'projected_sphere': {'center': [189.47973459542175, -116.12738755447538], 'axes': [778.3272184032652, 778.3272184032652], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 184685.630829, 'theta': 2.2233069390125704, 'phi': -1.6486962246144516, 'norm_pos': [0.686935073692084, 0.498398608748462], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861245.9618921,"{'circle_3d': {'center': [-0.03619203750647437, 0.012426081353194895, 0.9760727801360112], 'normal': [-0.07876752227682736, 0.607791590779398, -0.7901803968792306], 'radius': 0.08972832753522811}, 'confidence': 0.29078735110732107, 'timestamp': 184739.684829, 'diameter_3d': 0.17945665507045622, 'ellipse': {'center': [147.56297929299907, 122.95062713930889], 'axes': [48.734660618077285, 62.493567200000506], 'angle': -80.15353907698369}, 'location': [147.56297929299907, 122.95062713930889], 'diameter': 62.493567200000506, 'sphere': {'center': [0.9090182298154539, -7.281073007999582, 10.458237542686778], 'radius': 12.0}, 'projected_sphere': {'center': [189.47973459542175, -116.12738755447538], 'axes': [778.3272184032652, 778.3272184032652], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 184685.630829, 'theta': 2.2240729144622993, 'phi': -1.6701510701842512, 'norm_pos': [0.46113431029062213, 0.4877057202528796], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861245.9704478,"{'circle_3d': {'center': [0.08014787954631908, 0.1067705085259405, 1.0384316997950815], 'normal': [-0.06907252918909457, 0.6156536263771268, -0.7849838202409747], 'radius': 0.08967659521122875}, 'confidence': 0.19333609997915996, 'timestamp': 184739.693229, 'diameter_3d': 0.1793531904224575, 'ellipse': {'center': [186.38990219326388, 153.74668527701616], 'axes': [42.575512983460264, 58.847969302448085], 'angle': -88.37830132977912}, 'location': [186.38990219326388, 153.74668527701616], 'diameter': 58.847969302448085, 'sphere': {'center': [0.9090182298154539, -7.281073007999582, 10.458237542686778], 'radius': 12.0}, 'projected_sphere': {'center': [189.47973459542175, -116.12738755447538], 'axes': [778.3272184032652, 778.3272184032652], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 184685.630829, 'theta': 2.234011482132842, 'phi': -1.6585625749797352, 'norm_pos': [0.5824684443539496, 0.35938881134576606], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861245.9780679,"{'circle_3d': {'center': [0.35557165622898346, 0.09962119023143234, 1.0126539163360775], 'normal': [-0.046120547798872535, 0.6150578498525845, -0.7871319688625583], 'radius': 0.09018409607957639}, 'confidence': 0.15420358558503555, 'timestamp': 184739.701629, 'diameter_3d': 0.18036819215915278, 'ellipse': {'center': [279.5484303647295, 152.16042894485716], 'axes': [42.94792665516088, 63.405380322727645], 'angle': 77.50887948697904}, 'location': [279.5484303647295, 152.16042894485716], 'diameter': 63.405380322727645, 'sphere': {'center': [0.9090182298154539, -7.281073007999582, 10.458237542686778], 'radius': 12.0}, 'projected_sphere': {'center': [189.47973459542175, -116.12738755447538], 'axes': [778.3272184032652, 778.3272184032652], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 184685.630829, 'theta': 2.2332556598394673, 'phi': -1.6293225693619522, 'norm_pos': [0.8735888448897796, 0.36599821272976185], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861245.986403,"{'circle_3d': {'center': [-0.04798491447517894, 0.005318432532390283, 0.9717922254375253], 'normal': [-0.0797502620242194, 0.6071992867109977, -0.7905371097707711], 'radius': 0.09035237174603868}, 'confidence': 0.18564558587532268, 'timestamp': 184739.710029, 'diameter_3d': 0.18070474349207735, 'ellipse': {'center': [143.38382412858192, 120.45031053025824], 'axes': [49.503798965031834, 63.24162796451007], 'angle': -79.08205268242986}, 'location': [143.38382412858192, 120.45031053025824], 'diameter': 63.24162796451007, 'sphere': {'center': [0.9090182298154539, -7.281073007999582, 10.458237542686778], 'radius': 12.0}, 'projected_sphere': {'center': [189.47973459542175, -116.12738755447538], 'axes': [778.3272184032652, 778.3272184032652], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 184685.630829, 'theta': 2.2233272430131703, 'phi': -1.6713372902242245, 'norm_pos': [0.4480744504018185, 0.498123706123924], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861245.9939358,"{'circle_3d': {'center': [-0.016652789376895738, 0.012619515825275762, 0.9742941364802249], 'normal': [-0.07713925159936248, 0.6078077103187381, -0.7903286171838795], 'radius': 0.08936723055084704}, 'confidence': 0.19985205100727496, 'timestamp': 184739.718429, 'diameter_3d': 0.17873446110169408, 'ellipse': {'center': [154.35911136177253, 123.031829287691], 'axes': [48.750546287799494, 62.32525541801466], 'angle': -81.68097625759674}, 'location': [154.35911136177253, 123.031829287691], 'diameter': 62.32525541801466, 'sphere': {'center': [0.9090182298154539, -7.281073007999582, 10.458237542686778], 'radius': 12.0}, 'projected_sphere': {'center': [189.47973459542175, -116.12738755447538], 'axes': [778.3272184032652, 778.3272184032652], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 184685.630829, 'theta': 2.2240932138376186, 'phi': -1.6680921652257554, 'norm_pos': [0.48237222300553917, 0.48736737796795415], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861246.00308,"{'circle_3d': {'center': [-0.017298272379756008, 0.012034068647195362, 0.9739069439399408], 'normal': [-0.07719304184960082, 0.6077589230538981, -0.7903608832289031], 'radius': 0.08924627042114425}, 'confidence': 0.20572254755082656, 'timestamp': 184739.726829, 'diameter_3d': 0.1784925408422885, 'ellipse': {'center': [154.13113020119894, 122.83171802194674], 'axes': [48.724401303861576, 62.2661489096431], 'angle': -81.62122132304815}, 'location': [154.13113020119894, 122.83171802194674], 'diameter': 62.2661489096431, 'sphere': {'center': [0.9090182298154539, -7.281073007999582, 10.458237542686778], 'radius': 12.0}, 'projected_sphere': {'center': [189.47973459542175, -116.12738755447538], 'axes': [778.3272184032652, 778.3272184032652], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 184685.630829, 'theta': 2.2240317768828786, 'phi': -1.668155633400791, 'norm_pos': [0.4816597818787467, 0.4882011749085552], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861246.009946,"{'circle_3d': {'center': [-0.10487593129003203, 0.10637840818014865, 1.0562388081803586], 'normal': [-0.08449118009212382, 0.6156209513483109, -0.7834998945422016], 'radius': 0.08962804602789189}, 'confidence': 0.1982255549082157, 'timestamp': 184739.735229, 'diameter_3d': 0.17925609205578377, 'ellipse': {'center': [126.39201840020777, 153.07266804971908], 'axes': [41.045598950927605, 57.80234613418], 'angle': -77.8444504199683}, 'location': [126.39201840020777, 153.07266804971908], 'diameter': 57.80234613418, 'sphere': {'center': [0.9090182298154539, -7.281073007999582, 10.458237542686778], 'radius': 12.0}, 'projected_sphere': {'center': [189.47973459542175, -116.12738755447538], 'axes': [778.3272184032652, 778.3272184032652], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 184685.630829, 'theta': 2.2339700179203703, 'phi': -1.6782193516630113, 'norm_pos': [0.3949750575006493, 0.36219721645950387], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861246.0224671,"{'circle_3d': {'center': [0.0888062467929136, 0.09922576784689774, 1.031761940313153], 'normal': [-0.0683509985852117, 0.6150248979872066, -0.7855396335311354], 'radius': 0.09023809137460936}, 'confidence': 0.14735717232001647, 'timestamp': 184739.743629, 'diameter_3d': 0.18047618274921873, 'ellipse': {'center': [189.41811470058164, 151.45651926926666], 'axes': [43.40604457279357, 59.63960348847392], 'angle': -88.97322370686572}, 'location': [189.41811470058164, 151.45651926926666], 'diameter': 59.63960348847392, 'sphere': {'center': [0.9090182298154539, -7.281073007999582, 10.458237542686778], 'radius': 12.0}, 'projected_sphere': {'center': [189.47973459542175, -116.12738755447538], 'axes': [778.3272184032652, 778.3272184032652], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 184685.630829, 'theta': 2.2332138689946475, 'phi': -1.6575892520560993, 'norm_pos': [0.5919316084393176, 0.36893116971138895], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861246.029855,"{'circle_3d': {'center': [0.16244768859319914, 0.004916852984096387, 0.9526084644709574], 'normal': [-0.06221421176852123, 0.6071658217486399, -0.7921357565179851], 'radius': 0.08966455153810787}, 'confidence': 0.16490541164665234, 'timestamp': 184739.752029, 'diameter_3d': 0.17932910307621575, 'ellipse': {'center': [218.17746823109485, 120.30638859552049], 'axes': [50.501620062249735, 64.86624766746083], 'angle': 83.7076616647222}, 'location': [218.17746823109485, 120.30638859552049], 'diameter': 64.86624766746083, 'sphere': {'center': [0.9090182298154539, -7.281073007999582, 10.458237542686778], 'radius': 12.0}, 'projected_sphere': {'center': [189.47973459542175, -116.12738755447538], 'axes': [778.3272184032652, 778.3272184032652], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 184685.630829, 'theta': 2.2232851255356776, 'phi': -1.6491752659231187, 'norm_pos': [0.6818045882221714, 0.49872338085199797], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861246.038947,"{'circle_3d': {'center': [-0.03288647796862576, 0.012215058872807383, 0.9755815489753648], 'normal': [-0.07849205898200663, 0.6077740055726991, -0.7902213328092844], 'radius': 0.08909422333727322}, 'confidence': 0.20084240126207753, 'timestamp': 184739.760429, 'diameter_3d': 0.17818844667454645, 'ellipse': {'center': [148.706999259002, 122.89713573052867], 'axes': [48.445236093829664, 62.075303157099206], 'angle': -80.40439767239927}, 'location': [148.706999259002, 122.89713573052867], 'diameter': 62.075303157099206, 'sphere': {'center': [0.9090182298154539, -7.281073007999582, 10.458237542686778], 'radius': 12.0}, 'projected_sphere': {'center': [189.47973459542175, -116.12738755447538], 'axes': [778.3272184032652, 778.3272184032652], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 184685.630829, 'theta': 2.2240507697281915, 'phi': -1.6698007845873895, 'norm_pos': [0.4647093726843813, 0.48792860112279723], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603861246.0460968,"{'circle_3d': {'center': [-0.017844696953188244, 0.011626479946843737, 0.973646919286745], 'normal': [-0.07723857723072018, 0.6077249573288688, -0.7903825519500027], 'radius': 0.08933729693786098}, 'confidence': 0.1711931944508224, 'timestamp': 184739.768829, 'diameter_3d': 0.17867459387572196, 'ellipse': {'center': [153.93908024177844, 122.68693557562847], 'axes': [48.80138251985475, 62.34716226837113], 'angle': -81.57176018196917}, 'location': [153.93908024177844, 122.68693557562847], 'diameter': 62.34716226837113, 'sphere': {'center': [0.9090182298154539, -7.281073007999582, 10.458237542686778], 'radius': 12.0}, 'projected_sphere': {'center': [189.47973459542175, -116.12738755447538], 'axes': [778.3272184032652, 778.3272184032652], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 184685.630829, 'theta': 2.223989006141229, 'phi': -1.6682100482490636, 'norm_pos': [0.4810596257555576, 0.48880443510154803], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
