eye_packets,774
norm_X,norm_Y,phi,theta,confidence,timestamp
1582518621.8947608,"{'circle_3d': {'center': [-4.7332005737033e-07, 4.505104788776748e-06, 5.141599718783141e-05], 'normal': [-0.27591496930419535, 0.6543422610705036, -0.7040647236518854], 'radius': 2.033487440519468e-06}, 'confidence': 0.9999999999999742, 'timestamp': 8424.58653, 'diameter_3d': 4.066974881038936e-06, 'ellipse': {'center': [154.47650484649483, 173.9205741782617], 'axes': [31.60820034120197, 49.07481339453958], 'angle': -68.28194967202226}, 'location': [154.47650484649483, 173.9205741782617], 'diameter': 49.07481339453958, 'sphere': {'center': [3.3109791583302868, -7.852102627741255, 8.448828099819814], 'radius': 12.0}, 'projected_sphere': {'center': [402.96944545582096, -456.21051957530096], 'axes': [1761.1909988223506, 1761.1909988223506], 'angle': 90.0}, 'model_confidence': 0.9577505458018054, 'model_id': 1, 'model_birth_timestamp': 8421.33573, 'theta': 2.2841088229591935, 'phi': -1.9442906567474567, 'norm_pos': [0.48273907764529633, 0.27533094092390964], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582518621.9027772,"{'circle_3d': {'center': [-4.736920704573322e-07, 4.500443761656925e-06, 5.141181111945059e-05], 'normal': [-0.27591496933519644, 0.6543422606820847, -0.7040647240007245], 'radius': 2.0259724606511754e-06}, 'confidence': 0.9999999999999708, 'timestamp': 8424.59493, 'diameter_3d': 4.051944921302351e-06, 'ellipse': {'center': [154.47022092619412, 173.87166656954145], 'axes': [31.49636439297647, 48.89725228358255], 'angle': -68.2803834501039}, 'location': [154.47022092619412, 173.87166656954145], 'diameter': 48.89725228358255, 'sphere': {'center': [3.3109791583302868, -7.852102627741255, 8.448828099819814], 'radius': 12.0}, 'projected_sphere': {'center': [402.96944545582096, -456.21051957530096], 'axes': [1761.1909988223506, 1761.1909988223506], 'angle': 90.0}, 'model_confidence': 0.9579004391709556, 'model_id': 1, 'model_birth_timestamp': 8421.33573, 'theta': 2.2841088224455466, 'phi': -1.944290656617309, 'norm_pos': [0.4827194403943566, 0.2755347226269106], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582518621.911225,"{'circle_3d': {'center': [-4.5844917551107756e-07, 4.515154667039667e-06, 5.141950959242081e-05], 'normal': [-0.2759149680649552, 0.6543422619079935, -0.704064723359185], 'radius': 2.038000170755258e-06}, 'confidence': 0.9999999999999789, 'timestamp': 8424.60333, 'diameter_3d': 4.076000341510516e-06, 'ellipse': {'center': [154.65713863892995, 174.0363925382195], 'axes': [31.673886966523384, 49.18081482373815], 'angle': -68.29699807142778}, 'location': [154.65713863892995, 174.0363925382195], 'diameter': 49.18081482373815, 'sphere': {'center': [3.3109791583302868, -7.852102627741255, 8.448828099819814], 'radius': 12.0}, 'projected_sphere': {'center': [402.96944545582096, -456.21051957530096], 'axes': [1761.1909988223506, 1761.1909988223506], 'angle': 90.0}, 'model_confidence': 0.958056962112519, 'model_id': 1, 'model_birth_timestamp': 8421.33573, 'theta': 2.2841088240666934, 'phi': -1.944290655362891, 'norm_pos': [0.4833035582466561, 0.27484836442408545], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582518621.919049,"{'circle_3d': {'center': [-4.540791249674214e-07, 4.52053404931263e-06, 5.1422796500943946e-05], 'normal': [-0.27591496770078433, 0.6543422623562754, -0.704064723085276], 'radius': 2.030492411413031e-06}, 'confidence': 0.9999999999999755, 'timestamp': 8424.61173, 'diameter_3d': 4.060984822826062e-06, 'ellipse': {'center': [154.70883813318366, 174.10085860169747], 'axes': [31.55290084860155, 48.99648815644165], 'angle': -68.30204987738642}, 'location': [154.70883813318366, 174.10085860169747], 'diameter': 48.99648815644165, 'sphere': {'center': [3.3109791583302868, -7.852102627741255, 8.448828099819814], 'radius': 12.0}, 'projected_sphere': {'center': [402.96944545582096, -456.21051957530096], 'axes': [1761.1909988223506, 1761.1909988223506], 'angle': 90.0}, 'model_confidence': 0.9581942713808966, 'model_id': 1, 'model_birth_timestamp': 8421.33573, 'theta': 2.284108824659503, 'phi': -1.944290655046674, 'norm_pos': [0.48346511916619894, 0.2745797558262606], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582518621.9264588,"{'circle_3d': {'center': [-4.494117260556152e-07, 4.520419363274186e-06, 5.142086081555419e-05], 'normal': [-0.2759149673118344, 0.6543422623467182, -0.7040647232465832], 'radius': 2.0214810346321962e-06}, 'confidence': 0.9999999999999362, 'timestamp': 8424.62013, 'diameter_3d': 4.0429620692643925e-06, 'ellipse': {'center': [154.76333845951785, 174.10506818401103], 'axes': [31.414956777838754, 48.780800544187166], 'angle': -68.30588578306963}, 'location': [154.76333845951785, 174.10506818401103], 'diameter': 48.780800544187166, 'sphere': {'center': [3.3109791583302868, -7.852102627741255, 8.448828099819814], 'radius': 12.0}, 'projected_sphere': {'center': [402.96944545582096, -456.21051957530096], 'axes': [1761.1909988223506, 1761.1909988223506], 'angle': 90.0}, 'model_confidence': 0.9581579163748577, 'model_id': 1, 'model_birth_timestamp': 8421.33573, 'theta': 2.284108824646865, 'phi': -1.9442906544899534, 'norm_pos': [0.4836354326859933, 0.274562215899954], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582518621.934731,"{'circle_3d': {'center': [-4.302418958879173e-07, 4.523823636581881e-06, 5.1416512230062494e-05], 'normal': [-0.27591496571434854, 0.6543422626304076, -0.7040647236089653], 'radius': 2.0405701031389084e-06}, 'confidence': 0.9999999999999831, 'timestamp': 8424.62853, 'diameter_3d': 4.081140206277817e-06, 'ellipse': {'center': [154.9977095018152, 174.14311304106783], 'axes': [31.71718134874372, 49.24639202166202], 'angle': -68.32276234043975}, 'location': [154.9977095018152, 174.14311304106783], 'diameter': 49.24639202166202, 'sphere': {'center': [3.3109791583302868, -7.852102627741255, 8.448828099819814], 'radius': 12.0}, 'projected_sphere': {'center': [402.96944545582096, -456.21051957530096], 'axes': [1761.1909988223506, 1761.1909988223506], 'angle': 90.0}, 'model_confidence': 0.958201336095188, 'model_id': 1, 'model_birth_timestamp': 8421.33573, 'theta': 2.2841088250220167, 'phi': -1.944290652348221, 'norm_pos': [0.48436784219317247, 0.27440369566221734], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582518621.943427,"{'circle_3d': {'center': [-4.3403177274470295e-07, 4.524657244431296e-06, 5.141877217695878e-05], 'normal': [-0.2759149660301716, 0.6543422626998749, -0.7040647234206363], 'radius': 2.0242679771383243e-06}, 'confidence': 0.9999999999999769, 'timestamp': 8424.63693, 'diameter_3d': 4.048535954276649e-06, 'ellipse': {'center': [154.94923003018388, 174.15728851634884], 'axes': [31.460672534005955, 48.85043333872115], 'angle': -68.31980431578546}, 'location': [154.94923003018388, 174.15728851634884], 'diameter': 48.85043333872115, 'sphere': {'center': [3.3109791583302868, -7.852102627741255, 8.448828099819814], 'radius': 12.0}, 'projected_sphere': {'center': [402.96944545582096, -456.21051957530096], 'axes': [1761.1909988223506, 1761.1909988223506], 'angle': 90.0}, 'model_confidence': 0.958246439574395, 'model_id': 1, 'model_birth_timestamp': 8421.33573, 'theta': 2.2841088251138806, 'phi': -1.9442906528279436, 'norm_pos': [0.48421634384432466, 0.2743446311818798], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582518621.951251,"{'circle_3d': {'center': [-4.264718325153183e-07, 4.526708224261711e-06, 5.141771565853048e-05], 'normal': [-0.2759149654001766, 0.6543422628707899, -0.7040647235086795], 'radius': 2.0289907793734662e-06}, 'confidence': 0.9999999999999869, 'timestamp': 8424.64533, 'diameter_3d': 4.0579815587469325e-06, 'ellipse': {'center': [155.041214397308, 174.1812724287442], 'axes': [31.535375920456207, 48.965672122036146], 'angle': -68.3266437218159}, 'location': [155.041214397308, 174.1812724287442], 'diameter': 48.965672122036146, 'sphere': {'center': [3.3109791583302868, -7.852102627741255, 8.448828099819814], 'radius': 12.0}, 'projected_sphere': {'center': [402.96944545582096, -456.21051957530096], 'axes': [1761.1909988223506, 1761.1909988223506], 'angle': 90.0}, 'model_confidence': 0.9583945637385294, 'model_id': 1, 'model_birth_timestamp': 8421.33573, 'theta': 2.2841088253398993, 'phi': -1.9442906520097902, 'norm_pos': [0.4845037949915875, 0.2742446982135659], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582518621.962761,"{'circle_3d': {'center': [-4.20929494371336e-07, 4.536956478062848e-06, 5.142506818067716e-05], 'normal': [-0.2759149649383151, 0.6543422637248111, -0.7040647228959694], 'radius': 2.0178331488876905e-06}, 'confidence': 0.9999999999999656, 'timestamp': 8424.65373, 'diameter_3d': 4.035666297775381e-06, 'ellipse': {'center': [155.1067547885014, 174.30164401142358], 'axes': [31.35259260239284, 48.689417310292804], 'angle': -68.3339422008372}, 'location': [155.1067547885014, 174.30164401142358], 'diameter': 48.689417310292804, 'sphere': {'center': [3.3109791583302868, -7.852102627741255, 8.448828099819814], 'radius': 12.0}, 'projected_sphere': {'center': [402.96944545582096, -456.21051957530096], 'axes': [1761.1909988223506, 1761.1909988223506], 'angle': 90.0}, 'model_confidence': 0.9584146617948375, 'model_id': 1, 'model_birth_timestamp': 8421.33573, 'theta': 2.2841088264692604, 'phi': -1.944290651736767, 'norm_pos': [0.4847086087140669, 0.2737431499524018], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582518621.971947,"{'circle_3d': {'center': [-4.158383632990592e-07, 4.531818293074252e-06, 5.1418297708494265e-05], 'normal': [-0.2759149645140542, 0.654342263296629, -0.7040647234601755], 'radius': 2.0260207714709167e-06}, 'confidence': 0.9999999999999738, 'timestamp': 8424.66213, 'diameter_3d': 4.052041542941833e-06, 'ellipse': {'center': [155.16904927511658, 174.24350608242426], 'axes': [31.48826352000614, 48.893643738934806], 'angle': -68.33683646455452}, 'location': [155.16904927511658, 174.24350608242426], 'diameter': 48.893643738934806, 'sphere': {'center': [3.3109791583302868, -7.852102627741255, 8.448828099819814], 'radius': 12.0}, 'projected_sphere': {'center': [402.96944545582096, -456.21051957530096], 'axes': [1761.1909988223506, 1761.1909988223506], 'angle': 90.0}, 'model_confidence': 0.9584503724236026, 'model_id': 1, 'model_birth_timestamp': 8421.33573, 'theta': 2.2841088259030307, 'phi': -1.944290650942169, 'norm_pos': [0.4849032789847393, 0.2739853913232323], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582518621.9794838,"{'circle_3d': {'center': [-4.159609798826125e-07, 4.5297157553747525e-06, 5.141639170958001e-05], 'normal': [-0.2759149645242722, 0.6543422631214175, -0.7040647236190087], 'radius': 2.009027669574014e-06}, 'confidence': 0.9999999999999613, 'timestamp': 8424.67053, 'diameter_3d': 4.018055339148028e-06, 'ellipse': {'center': [155.16433407615838, 174.22683487440824], 'axes': [31.226078093458, 48.48501453476181], 'angle': -68.33615326969466}, 'location': [155.16433407615838, 174.22683487440824], 'diameter': 48.48501453476181, 'sphere': {'center': [3.3109791583302868, -7.852102627741255, 8.448828099819814], 'radius': 12.0}, 'projected_sphere': {'center': [402.96944545582096, -456.21051957530096], 'axes': [1761.1909988223506, 1761.1909988223506], 'angle': 90.0}, 'model_confidence': 0.9584222834714495, 'model_id': 1, 'model_birth_timestamp': 8421.33573, 'theta': 2.2841088256713302, 'phi': -1.9442906508781115, 'norm_pos': [0.48488854398799497, 0.2740548546899657], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
