eye_packets,774
norm_X,norm_Y,phi,theta,confidence,timestamp
1582517962.141065,"{'circle_3d': {'center': [-5.9048774469676735, 8.510180737435716, 69.05193198853192], 'normal': [0.14277753776095628, -0.10348784804907026, -0.9843296399159639], 'radius': 3.202469465684184}, 'confidence': 0.10467168682286845, 'timestamp': 7764.844046, 'diameter_3d': 6.404938931368368, 'ellipse': {'center': [106.790608152807, 196.55174485523912], 'axes': [57.41132432340906, 58.1466989018341], 'angle': 32.35890217893498}, 'location': [106.790608152807, 196.55174485523912], 'diameter': 58.1466989018341, 'sphere': {'center': [-7.618207900099149, 9.75203491402456, 80.86388766752349], 'radius': 12.0}, 'projected_sphere': {'center': [101.5896386594527, 194.77085038941954], 'axes': [184.01291885915717, 184.01291885915717], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 53, 'model_birth_timestamp': 7729.505246, 'theta': 1.4671228615542806, 'phi': -1.426750414170142, 'norm_pos': [0.33372065047752186, 0.18103439643650365], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582517962.148918,"{'circle_3d': {'center': [-5.863245056121578, 8.492923225019716, 69.05987380905697], 'normal': [0.14624690366479756, -0.10492597408373691, -0.9836678215388762], 'radius': 3.21625172524966}, 'confidence': 0.07681625180108063, 'timestamp': 7764.852446, 'diameter_3d': 6.43250345049932, 'ellipse': {'center': [107.16427981296604, 196.39122305331807], 'axes': [57.642788493429826, 58.38196108023088], 'angle': 31.6274843345204}, 'location': [107.16427981296604, 196.39122305331807], 'diameter': 58.38196108023088, 'sphere': {'center': [-7.618207900099149, 9.75203491402456, 80.86388766752349], 'radius': 12.0}, 'projected_sphere': {'center': [101.5896386594527, 194.77085038941954], 'axes': [184.01291885915717, 184.01291885915717], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 53, 'model_birth_timestamp': 7729.505246, 'theta': 1.4656768628517038, 'phi': -1.4232023840994341, 'norm_pos': [0.3348883744155189, 0.18170323727784132], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582517962.157789,"{'circle_3d': {'center': [-5.705597062958333, 8.3564233602414, 69.09978174413949], 'normal': [0.1593842364284014, -0.11630096281526327, -0.9803421602819999], 'radius': 3.253073344125171}, 'confidence': 0.08690682732932238, 'timestamp': 7764.860846, 'diameter_3d': 6.506146688250342, 'ellipse': {'center': [108.58720368454411, 195.14142929287925], 'axes': [58.24271068912688, 58.9612072657763], 'angle': 27.843051448589822}, 'location': [108.58720368454411, 195.14142929287925], 'diameter': 58.9612072657763, 'sphere': {'center': [-7.618207900099149, 9.75203491402456, 80.86388766752349], 'radius': 12.0}, 'projected_sphere': {'center': [101.5896386594527, 194.77085038941954], 'axes': [184.01291885915717, 184.01291885915717], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 53, 'model_birth_timestamp': 7729.505246, 'theta': 1.4542315757453053, 'phi': -1.409626274679792, 'norm_pos': [0.3393350115142003, 0.18691071127966974], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582517962.164733,"{'circle_3d': {'center': [-5.671544965771858, 8.347481969630591, 69.10643324717762], 'normal': [0.1622219111939409, -0.11704607869949733, -0.9797878683621554], 'radius': 3.2009457380957973}, 'confidence': 0.08834498126198163, 'timestamp': 7764.869246, 'diameter_3d': 6.401891476191595, 'ellipse': {'center': [108.90096923685212, 195.04982878391075], 'axes': [57.2929438828374, 58.00302002348061], 'angle': 27.093112695139826}, 'location': [108.90096923685212, 195.04982878391075], 'diameter': 58.00302002348061, 'sphere': {'center': [-7.618207900099149, 9.75203491402456, 80.86388766752349], 'radius': 12.0}, 'projected_sphere': {'center': [101.5896386594527, 194.77085038941954], 'axes': [184.01291885915717, 184.01291885915717], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 53, 'model_birth_timestamp': 7729.505246, 'theta': 1.4534813359470256, 'phi': -1.4067164216229207, 'norm_pos': [0.34031552886516286, 0.18729238006703852], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582517962.173876,"{'circle_3d': {'center': [-5.6276566314274294, 8.328686509330309, 69.11604595231283], 'normal': [0.16587927238931002, -0.11861236705785425, -0.9789868096008884], 'radius': 3.1940667326715992}, 'confidence': 0.07196091733637262, 'timestamp': 7764.877646, 'diameter_3d': 6.3881334653431985, 'ellipse': {'center': [109.29802440419223, 194.87222500424326], 'axes': [57.14839233780993, 57.85817705380249], 'angle': 26.02181175739631}, 'location': [109.29802440419223, 194.87222500424326], 'diameter': 57.85817705380249, 'sphere': {'center': [-7.618207900099149, 9.75203491402456, 80.86388766752349], 'radius': 12.0}, 'projected_sphere': {'center': [101.5896386594527, 194.77085038941954], 'axes': [184.01291885915717, 184.01291885915717], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 53, 'model_birth_timestamp': 7729.505246, 'theta': 1.451904059915342, 'phi': -1.402950741387765, 'norm_pos': [0.34155632626310073, 0.18803239581565312], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582517962.187907,"{'circle_3d': {'center': [-5.352004288359161, 8.190839258659537, 69.18369120873881], 'normal': [0.18885030097833222, -0.13009963794708515, -0.9733497048987227], 'radius': 3.2276250380107956}, 'confidence': 0.0933724423098534, 'timestamp': 7764.886046, 'diameter_3d': 6.455250076021591, 'ellipse': {'center': [111.78364511575809, 193.58273564744468], 'axes': [57.583858118095826, 58.32214249700813], 'angle': 18.032008167245827}, 'location': [111.78364511575809, 193.58273564744468], 'diameter': 58.32214249700813, 'sphere': {'center': [-7.618207900099149, 9.75203491402456, 80.86388766752349], 'radius': 12.0}, 'projected_sphere': {'center': [101.5896386594527, 194.77085038941954], 'axes': [184.01291885915717, 184.01291885915717], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 53, 'model_birth_timestamp': 7729.505246, 'theta': 1.4403268557176763, 'phi': -1.3791563420415145, 'norm_pos': [0.34932389098674405, 0.19340526813564718], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582517962.193217,"{'circle_3d': {'center': [-4.636492593540814, 7.942733849810432, 69.38191033390758], 'normal': [0.24847627554652793, -0.1507750886845106, -0.956831444467992], 'radius': 3.2321872492867842}, 'confidence': 0.06088441198414731, 'timestamp': 7764.894446, 'diameter_3d': 6.4643744985735685, 'ellipse': {'center': [118.2405307256773, 191.1838055859486], 'axes': [56.91393442191098, 58.101234639567686], 'angle': 0.17008992809120088}, 'location': [118.2405307256773, 191.1838055859486], 'diameter': 58.101234639567686, 'sphere': {'center': [-7.618207900099149, 9.75203491402456, 80.86388766752349], 'radius': 12.0}, 'projected_sphere': {'center': [101.5896386594527, 194.77085038941954], 'axes': [184.01291885915717, 184.01291885915717], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 53, 'model_birth_timestamp': 7729.505246, 'theta': 1.4194440489181777, 'phi': -1.3167218747123945, 'norm_pos': [0.3695016585177416, 0.2034008100585475], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582517962.2115352,"{'circle_3d': {'center': [-4.098634546690491, 7.348317362664478, 69.6462789498306], 'normal': [0.2932977794507214, -0.20030979594667336, -0.9348007264744065], 'radius': 3.2276253884971755}, 'confidence': 0.05051347016105778, 'timestamp': 7764.902846, 'diameter_3d': 6.455250776994351, 'ellipse': {'center': [123.13836761229129, 185.68278242700518], 'axes': [55.76570025123117, 57.65318105667591], 'angle': -16.763846708307852}, 'location': [123.13836761229129, 185.68278242700518], 'diameter': 57.65318105667591, 'sphere': {'center': [-7.618207900099149, 9.75203491402456, 80.86388766752349], 'radius': 12.0}, 'projected_sphere': {'center': [101.5896386594527, 194.77085038941954], 'axes': [184.01291885915717, 184.01291885915717], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 53, 'model_birth_timestamp': 7729.505246, 'theta': 1.36912221163119, 'phi': -1.2667691283106244, 'norm_pos': [0.3848073987884103, 0.2263217398874784], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582517962.214626,"{'circle_3d': {'center': [-4.79981605984397, 6.664976092721057, 69.61547732345285], 'normal': [0.2348659866879316, -0.25725490177529187, -0.9373675286725529], 'radius': 3.228242691679564}, 'confidence': 0.12869396406442155, 'timestamp': 7764.911246, 'diameter_3d': 6.456485383359128, 'ellipse': {'center': [116.94776678787596, 179.69579399175586], 'axes': [56.247856406360654, 57.52433247477851], 'angle': -41.49569763945355}, 'location': [116.94776678787596, 179.69579399175586], 'diameter': 57.52433247477851, 'sphere': {'center': [-7.618207900099149, 9.75203491402456, 80.86388766752349], 'radius': 12.0}, 'projected_sphere': {'center': [101.5896386594527, 194.77085038941954], 'axes': [184.01291885915717, 184.01291885915717], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 53, 'model_birth_timestamp': 7729.505246, 'theta': 1.3106159088765676, 'phi': -1.3252914987481141, 'norm_pos': [0.3654617712121124, 0.25126752503435057], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582517962.216428,"{'circle_3d': {'center': [-4.808344533306323, 6.566741736114799, 69.64076086476851], 'normal': [0.23415528056606894, -0.2654410981591468, -0.9352605668962483], 'radius': 3.2419688504330306}, 'confidence': 0.08925675959956007, 'timestamp': 7764.919646, 'diameter_3d': 6.483937700866061, 'ellipse': {'center': [116.88615817044212, 178.81213461176384], 'axes': [56.37318928901196, 57.741977321424734], 'angle': -44.08408692884758}, 'location': [116.88615817044212, 178.81213461176384], 'diameter': 57.741977321424734, 'sphere': {'center': [-7.618207900099149, 9.75203491402456, 80.86388766752349], 'radius': 12.0}, 'projected_sphere': {'center': [101.5896386594527, 194.77085038941954], 'axes': [184.01291885915717, 184.01291885915717], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 53, 'model_birth_timestamp': 7729.505246, 'theta': 1.3021349228760835, 'phi': -1.3254754026109603, 'norm_pos': [0.36526924428263163, 0.25494943911765067], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582517962.226732,"{'circle_3d': {'center': [-4.182465721378195, 6.650608750140825, 69.79244551072497], 'normal': [0.2863118482267461, -0.2584521803236445, -0.9226201797332091], 'radius': 3.2658689744852207}, 'confidence': 0.04466570748601472, 'timestamp': 7764.928046, 'diameter_3d': 6.5317379489704415, 'ellipse': {'center': [122.47429245692177, 179.42365196197312], 'axes': [55.923056284502366, 58.09054242707266], 'angle': -33.03828334134943}, 'location': [122.47429245692177, 179.42365196197312], 'diameter': 58.09054242707266, 'sphere': {'center': [-7.618207900099149, 9.75203491402456, 80.86388766752349], 'radius': 12.0}, 'projected_sphere': {'center': [101.5896386594527, 194.77085038941954], 'axes': [184.01291885915717, 184.01291885915717], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 53, 'model_birth_timestamp': 7729.505246, 'theta': 1.3093767260476241, 'phi': -1.2698944343306675, 'norm_pos': [0.38273216392788056, 0.2524014501584453], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
