eye_packets,779
norm_X,norm_Y,phi,theta,confidence,timestamp
1581479172.269658,"{'circle_3d': {'center': [0.4316281579835124, 0.6405656860556688, 4.978143876044212], 'normal': [-0.745267782293088, -0.5961826690505966, -0.29856683975225573], 'radius': 0.5768780419462401}, 'confidence': 0.07936496166494063, 'timestamp': 346856.736755, 'diameter_3d': 1.1537560838924803, 'ellipse': {'center': [216.29807881475097, 202.26712771890934], 'axes': [63.91502889865457, 144.75846751875622], 'angle': 37.260083322326835}, 'location': [216.29807881475097, 202.26712771890934], 'diameter': 144.75846751875622, 'sphere': {'center': [9.37484154550057, 7.794757714662828, 8.56094595307128], 'radius': 12.0}, 'projected_sphere': {'center': [838.943867894076, 684.5111894856877], 'axes': [1738.1256792845104, 1738.1256792845104], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 346691.046755, 'theta': 0.9320583917812693, 'phi': -2.7605546126562395, 'norm_pos': [0.6759314962960967, 0.1572203011712111], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581479172.2777479,"{'circle_3d': {'center': [0.4790898939291086, 0.4652536344503675, 5.222687051830618], 'normal': [-0.741312637630955, -0.6107920066843717, -0.27818824177005524], 'radius': 0.5772035619486918}, 'confidence': 0.08500310192937915, 'timestamp': 346856.745155, 'diameter_3d': 1.1544071238973836, 'ellipse': {'center': [219.10186013778943, 177.16249726560136], 'axes': [55.52203683665411, 137.83004282117878], 'angle': 39.20890598703271}, 'location': [219.10186013778943, 177.16249726560136], 'diameter': 137.83004282117878, 'sphere': {'center': [9.37484154550057, 7.794757714662828, 8.56094595307128], 'radius': 12.0}, 'projected_sphere': {'center': [838.943867894076, 684.5111894856877], 'axes': [1738.1256792845104, 1738.1256792845104], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 346691.046755, 'theta': 0.9137358490273694, 'phi': -2.782590201208042, 'norm_pos': [0.684693312930592, 0.2618229280599943], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581479172.290723,"{'circle_3d': {'center': [0.7959502829017584, 0.7672759033918837, 3.976502246713679], 'normal': [-0.7149076052165676, -0.5856234842725787, -0.38203697552980015], 'radius': 0.5763694985259296}, 'confidence': 0.04431299969562483, 'timestamp': 346856.753555, 'diameter_3d': 1.1527389970518591, 'ellipse': {'center': [289.9911926599999, 244.78362205425344], 'axes': [116.74371558735429, 181.43248340497118], 'angle': 38.00681264714962}, 'location': [289.9911926599999, 244.78362205425344], 'diameter': 181.43248340497118, 'sphere': {'center': [9.37484154550057, 7.794757714662828, 8.56094595307128], 'radius': 12.0}, 'projected_sphere': {'center': [838.943867894076, 684.5111894856877], 'axes': [1738.1256792845104, 1738.1256792845104], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 346691.046755, 'theta': 0.945147302705724, 'phi': -2.6508157436971276, 'norm_pos': [0.9062224770624997, -0.019931758559389445], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581479172.297385,"{'circle_3d': {'center': [0.32503112936236356, 0.7446680085222939, 5.039984924129365], 'normal': [-0.754150868011517, -0.5875074755117111, -0.293413419078493], 'radius': 0.5770009641493221}, 'confidence': 0.10760650432976272, 'timestamp': 346856.761955, 'diameter_3d': 1.1540019282986442, 'ellipse': {'center': [202.28880235531943, 214.13464926299815], 'axes': [61.412828618540075, 143.29764820038955], 'angle': 35.69206954898419}, 'location': [202.28880235531943, 214.13464926299815], 'diameter': 143.29764820038955, 'sphere': {'center': [9.37484154550057, 7.794757714662828, 8.56094595307128], 'radius': 12.0}, 'projected_sphere': {'center': [838.943867894076, 684.5111894856877], 'axes': [1738.1256792845104, 1738.1256792845104], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 346691.046755, 'theta': 0.942821104251941, 'phi': -2.770548730129441, 'norm_pos': [0.6321525073603732, 0.10777229473750771], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581479172.3057652,"{'circle_3d': {'center': [0.3192942225630748, 0.7461802757663705, 5.051726841941363], 'normal': [-0.7546289435781245, -0.5873814532413715, -0.29243492592749315], 'radius': 0.5778728451701499}, 'confidence': 0.08983206086420052, 'timestamp': 346856.770355, 'diameter_3d': 1.1557456903402998, 'ellipse': {'center': [201.4737212400172, 214.0985085519202], 'axes': [61.0771307063948, 143.18915355070524], 'angle': 35.65959759549679}, 'location': [201.4737212400172, 214.0985085519202], 'diameter': 143.18915355070524, 'sphere': {'center': [9.37484154550057, 7.794757714662828, 8.56094595307128], 'radius': 12.0}, 'projected_sphere': {'center': [838.943867894076, 684.5111894856877], 'axes': [1738.1256792845104, 1738.1256792845104], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 346691.046755, 'theta': 0.9429768287073257, 'phi': -2.771889688213949, 'norm_pos': [0.6296053788750537, 0.10792288103366587], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581479172.31347,"{'circle_3d': {'center': [0.8223569194890565, 0.650924887118582, 4.108906055009059], 'normal': [-0.7127070521676261, -0.5953194022953539, -0.3710033248385185], 'radius': 0.5782290942847446}, 'confidence': 0.039783317277800746, 'timestamp': 346856.778755, 'diameter_3d': 1.1564581885694891, 'ellipse': {'center': [289.545833842183, 222.68468780211322], 'axes': [107.92776688310983, 176.01498962817357], 'angle': 40.22623324208214}, 'location': [289.545833842183, 222.68468780211322], 'diameter': 176.01498962817357, 'sphere': {'center': [9.37484154550057, 7.794757714662828, 8.56094595307128], 'radius': 12.0}, 'projected_sphere': {'center': [838.943867894076, 684.5111894856877], 'axes': [1738.1256792845104, 1738.1256792845104], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 346691.046755, 'theta': 0.9331332174914119, 'phi': -2.661636474326779, 'norm_pos': [0.904830730756822, 0.07214713415786156], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581479172.321642,"{'circle_3d': {'center': [0.31986685428108785, 0.7559685545540686, 5.030665440008603], 'normal': [-0.7545812242682902, -0.5865657633423967, -0.2941900427552232], 'radius': 0.5776134776722632}, 'confidence': 0.10124010727174187, 'timestamp': 346856.787155, 'diameter_3d': 1.1552269553445265, 'ellipse': {'center': [201.73881302378282, 215.73198056418354], 'axes': [61.790524693335676, 143.75486279187413], 'angle': 35.544052361126994}, 'location': [201.73881302378282, 215.73198056418354], 'diameter': 143.75486279187413, 'sphere': {'center': [9.37484154550057, 7.794757714662828, 8.56094595307128], 'radius': 12.0}, 'projected_sphere': {'center': [838.943867894076, 684.5111894856877], 'axes': [1738.1256792845104, 1738.1256792845104], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 346691.046755, 'theta': 0.943984343375843, 'phi': -2.7698477415998157, 'norm_pos': [0.6304337906993214, 0.10111674764923528], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581479172.3296902,"{'circle_3d': {'center': [0.3521753866739328, 0.7494584256954955, 4.961605275219156], 'normal': [-0.7518888465688863, -0.5871082740806111, -0.29994505648767705], 'radius': 0.5767043746197855}, 'confidence': 0.05555712280311264, 'timestamp': 346856.795555, 'diameter_3d': 1.153408749239571, 'ellipse': {'center': [206.46806772057369, 216.31118740121943], 'axes': [64.28883643589799, 145.4953114801543], 'angle': 35.70593884415859}, 'location': [206.46806772057369, 216.31118740121943], 'diameter': 145.4953114801543, 'sphere': {'center': [9.37484154550057, 7.794757714662828, 8.56094595307128], 'radius': 12.0}, 'projected_sphere': {'center': [838.943867894076, 684.5111894856877], 'axes': [1738.1256792845104, 1738.1256792845104], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 346691.046755, 'theta': 0.9433143330485788, 'phi': -2.762015870128804, 'norm_pos': [0.6452127116267927, 0.09870338582825233], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581479172.337557,"{'circle_3d': {'center': [0.4131490375246223, 0.5581082332470393, 5.196578007139626], 'normal': [-0.7468077089979955, -0.6030541234513157, -0.2803639954943045], 'radius': 0.5769657491999659}, 'confidence': 0.09691920032925401, 'timestamp': 346856.803955, 'diameter_3d': 1.1539314983999318, 'ellipse': {'center': [211.47745989570694, 188.65956298921873], 'axes': [56.294547344613285, 138.55062608044827], 'angle': 38.016349947921725}, 'location': [211.47745989570694, 188.65956298921873], 'diameter': 138.55062608044827, 'sphere': {'center': [9.37484154550057, 7.794757714662828, 8.56094595307128], 'radius': 12.0}, 'projected_sphere': {'center': [838.943867894076, 684.5111894856877], 'axes': [1738.1256792845104, 1738.1256792845104], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 346691.046755, 'theta': 0.923472073217176, 'phi': -2.7824568131548384, 'norm_pos': [0.6608670621740842, 0.21391848754492193], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581479172.345691,"{'circle_3d': {'center': [0.440085490332887, 0.5729210779377851, 5.094649683693783], 'normal': [-0.7445630045973068, -0.6018197197270869, -0.2888580224481248], 'radius': 0.576163064975046}, 'confidence': 0.057824579991087574, 'timestamp': 346856.812355, 'diameter_3d': 1.152326129950092, 'ellipse': {'center': [215.9177280267381, 191.94423982722137], 'axes': [59.68078081006586, 141.1506398943617], 'angle': 38.00599040787528}, 'location': [215.9177280267381, 191.94423982722137], 'diameter': 141.1506398943617, 'sphere': {'center': [9.37484154550057, 7.794757714662828, 8.56094595307128], 'radius': 12.0}, 'projected_sphere': {'center': [838.943867894076, 684.5111894856877], 'axes': [1738.1256792845104, 1738.1256792845104], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 346691.046755, 'theta': 0.9250186227948872, 'phi': -2.7715115639315853, 'norm_pos': [0.6747429000835565, 0.20023233405324425], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
