Processing_10/T2_EW_PW_B3_C6_P2351259_S10_0816091538.csv
UDPSynch,1565916887162,pupilPackets,777,imuPackets,1163,logDataStart,2351897,logDataEnd,2358427,logDataDur,6529
2351908,2351906,1,415616.91788,184,156,{"topic":"pupil.1","circle_3d":{"center":[2.665891532172883,-3.9983515576887356,68.55058654997255],"normal":[-0.3284295545625266,0.4593276367065461,-0.8253194229190535],"radius":1.5556262533728529},"confidence":0.9969925393796326,"timestamp":415616.91788,"diameter_3d":3.1112525067457057,"ellipse":{"center":[184.2019505614808,83.71024894071482],"axes":[24.34125926315185,28.141864956040155],"angle":-54.179875222243},"norm_pos":[0.5756310955046275,0.651207296080355],"diameter":28.141864956040155,"sphere":{"center":[6.607046186923202,-9.510283198167288,78.4544196250012],"radius":12.0},"projected_sphere":{"center":[212.21335720119188,44.84329613236076],"axes":[189.66426711361672,189.66426711361672],"angle":90.0},"model_confidence":0.7525314635167812,"model_id":233,"model_birth_timestamp":415608.593482,"theta":2.048034438698478,"phi":-1.9495276141583329,"method":"3d c++","id":1}
2351915,2351909,1,415616.92628,184,156,{"topic":"pupil.1","circle_3d":{"center":[2.724004659384711,-4.061094769143266,69.70389030376278],"normal":[-0.3250421221160285,0.47030138109491565,-0.8204658614412447],"radius":1.5595697405703581},"confidence":0.9999294014525798,"timestamp":415616.92628,"diameter_3d":3.1191394811407163,"ellipse":{"center":[184.31614335669786,83.75180614551475],"axes":[23.879544565783988,27.746311689468783],"angle":-55.24405904741977},"norm_pos":[0.5759879479896808,0.6510341410603553],"diameter":27.746311689468783,"sphere":{"center":[6.6245101247770535,-9.704711342282254,79.54948064105771],"radius":12.0},"projected_sphere":{"center":[211.63071140456867,44.36253532107291],"axes":[187.0533896649982,187.0533896649982],"angle":90.0},"model_confidence":0.7533381303027276,"model_id":233,"model_birth_timestamp":415608.593482,"theta":2.0604285797965023,"phi":-1.9479946889824313,"method":"3d c++","id":1}
2351923,2351920,1,415616.93468,184,156,{"topic":"pupil.1","circle_3d":{"center":[2.7193069337661635,-4.038475030827012,69.71875563729199],"normal":[-0.3254335992509075,0.47218635928793684,-0.819227083647143],"radius":1.5847268751105967},"confidence":0.9975416400535414,"timestamp":415616.93468,"diameter_3d":3.1694537502211935,"ellipse":{"center":[184.2719758071088,83.95631878205312],"axes":[24.223153153526848,28.187952886106025],"angle":-55.343506653461276},"norm_pos":[0.5758499243972149,0.6501820050747786],"diameter":28.187952886106025,"sphere":{"center":[6.6245101247770535,-9.704711342282254,79.54948064105771],"radius":12.0},"projected_sphere":{"center":[211.63071140456867,44.36253532107291],"axes":[187.0533896649982,187.0533896649982],"angle":90.0},"model_confidence":0.7529469562087776,"model_id":233,"model_birth_timestamp":415608.593482,"theta":2.062565736872497,"phi":-1.9489251720865866,"method":"3d c++","id":1}
2351932,2351926,1,415616.94308,184,156,{"topic":"pupil.1","circle_3d":{"center":[2.716921646500568,-4.039419878489799,69.71915893143289],"normal":[-0.3256323731897071,0.47210762198270456,-0.819193475802069],"radius":1.5892206363092563},"confidence":0.9953957327056161,"timestamp":415616.94308,"diameter_3d":3.1784412726185125,"ellipse":{"center":[184.2511774744038,83.94741048080982],"axes":[24.290723624215065,28.26773680900771],"angle":-55.31609820700842},"norm_pos":[0.5757849296075118,0.6502191229966258],"diameter":28.26773680900771,"sphere":{"center":[6.6245101247770535,-9.704711342282254,79.54948064105771],"radius":12.0},"projected_sphere":{"center":[211.63071140456867,44.36253532107291],"axes":[187.0533896649982,187.0533896649982],"angle":90.0},"model_confidence":0.7514995861515494,"model_id":233,"model_birth_timestamp":415608.593482,"theta":2.062476416925097,"phi":-1.9491488025236474,"method":"3d c++","id":1}
2351939,2351937,1,415616.95148,184,156,{"topic":"pupil.1","circle_3d":{"center":[2.709354524481549,-4.042488000563196,69.72040217693063],"normal":[-0.326262966691292,0.4718519451432548,-0.8190898720105895],"radius":1.5682269210336952},"confidence":0.9994602606524198,"timestamp":415616.95148,"diameter_3d":3.1364538420673904,"ellipse":{"center":[184.18122932443163,83.92427754804739],"axes":[23.966256682052567,27.89376543406358],"angle":-55.228755198008514},"norm_pos":[0.5755663416388488,0.6503155102164693],"diameter":27.89376543406358,"sphere":{"center":[6.6245101247770535,-9.704711342282254,79.54948064105771],"radius":12.0},"projected_sphere":{"center":[211.63071140456867,44.36253532107291],"axes":[187.0533896649982,187.0533896649982],"angle":90.0},"model_confidence":0.7514746989420229,"model_id":233,"model_birth_timestamp":415608.593482,"theta":2.062186405442253,"phi":-1.9498568442814779,"method":"3d c++","id":1}
2351947,2351943,1,415616.95988,184,156,{"topic":"pupil.1","circle_3d":{"center":[2.7297811473460647,-4.037516257982837,69.71515371600321],"normal":[-0.32456074811924907,0.4722662570249514,-0.8195272437545418],"radius":1.5935643743763905},"confidence":0.9981111813796462,"timestamp":415616.95988,"diameter_3d":3.187128748752781,"ellipse":{"center":[184.36719655051436,83.96146497528451],"axes":[24.3684732842611,28.34663068601161],"angle":-55.444061047071415},"norm_pos":[0.5761474892203574,0.6501605626029812],"diameter":28.34663068601161,"sphere":{"center":[6.6245101247770535,-9.704711342282254,79.54948064105771],"radius":12.0},"projected_sphere":{"center":[211.63071140456867,44.36253532107291],"axes":[187.0533896649982,187.0533896649982],"angle":90.0},"model_confidence":0.7510348627268515,"model_id":233,"model_birth_timestamp":415608.593482,"theta":2.062656377587549,"phi":-1.9478791705400538,"method":"3d c++","id":1}
2351956,2351955,1,415616.96828,184,155,{"topic":"pupil.1","circle_3d":{"center":[2.689737751389197,-4.025808763646615,69.73787364362914],"normal":[-0.32789769778232136,0.4732418815529699,-0.8176339164523805],"radius":1.6196734200395149},"confidence":0.9941826930857754,"timestamp":415616.96828,"diameter_3d":3.2393468400790297,"ellipse":{"center":[184.0068914183269,84.0729819293806],"axes":[24.702586304550362,28.801800913361575],"angle":-55.15716761233614},"norm_pos":[0.5750215356822715,0.6496959086275809],"diameter":28.801800913361575,"sphere":{"center":[6.6245101247770535,-9.704711342282254,79.54948064105771],"radius":12.0},"projected_sphere":{"center":[211.63071140456867,44.36253532107291],"axes":[187.0533896649982,187.0533896649982],"angle":90.0},"model_confidence":0.7492526349622719,"model_id":233,"model_birth_timestamp":415608.593482,"theta":2.0637635391953637,"phi":-1.9521923932099772,"method":"3d c++","id":1}
2351963,2351960,1,415616.97668,184,156,{"topic":"pupil.1","circle_3d":{"center":[2.7205034540339135,-4.04844072815612,69.71254338119039],"normal":[-0.325333889228595,0.4713558845105112,-0.819744771655611],"radius":1.5971925809779963},"confidence":0.9895656280089035,"timestamp":415616.97668,"diameter_3d":3.1943851619559926,"ellipse":{"center":[184.286222286931,83.86255138237702],"axes":[24.431331412395707,28.412250909900216],"angle":-55.29192454726254},"norm_pos":[0.5758944446466594,0.6505727025734291],"diameter":28.412250909900216,"sphere":{"center":[6.6245101247770535,-9.704711342282254,79.54948064105771],"radius":12.0},"projected_sphere":{"center":[211.63071140456867,44.36253532107291],"axes":[187.0533896649982,187.0533896649982],"angle":90.0},"model_confidence":0.748919963228134,"model_id":233,"model_birth_timestamp":415608.593482,"theta":2.0616238575385806,"phi":-1.9486033969197674,"method":"3d c++","id":1}
2351971,2351965,1,415616.98508,184,155,{"topic":"pupil.1","circle_3d":{"center":[2.7174424538898307,-4.0232177647490035,69.72830693606927],"normal":[-0.3255889725739352,0.47345779812777083,-0.8184311420823698],"radius":1.6018951836718827},"confidence":0.9964366595285793,"timestamp":415616.98508,"diameter_3d":3.2037903673437653,"ellipse":{"center":[184.25398065802167,84.0938857555274],"axes":[24.45856997170047,28.489484789533396],"angle":-55.42178076734854},"norm_pos":[0.5757936895563177,0.6496088093519692],"diameter":28.489484789533396,"sphere":{"center":[6.6245101247770535,-9.704711342282254,79.54948064105771],"radius":12.0},"projected_sphere":{"center":[211.63071140456867,44.36253532107291],"axes":[187.0533896649982,187.0533896649982],"angle":90.0},"model_confidence":0.7482718977639857,"model_id":233,"model_birth_timestamp":415608.593482,"theta":2.0640086553494084,"phi":-1.9494227158151671,"method":"3d c++","id":1}
2351978,2351976,1,415616.99348,184,155,{"topic":"pupil.1","circle_3d":{"center":[2.7256206219704966,-4.023732372564183,69.72475985161408],"normal":[-0.3249074585672131,0.47341491414317255,-0.8187267324536357],"radius":1.6028591865316602},"confidence":0.9938378664954343,"timestamp":415616.99348,"diameter_3d":3.2057183730633203,"ellipse":{"center":[184.32790578504975,84.08728987825373],"axes":[24.483379414352314,28.508076415162286],"angle":-55.49226216588809},"norm_pos":[0.5760247055782804,0.6496362921739428],"diameter":28.508076415162286,"sphere":{"center":[6.6245101247770535,-9.704711342282254,79.54948064105771],"radius":12.0},"projected_sphere":{"center":[211.63071140456867,44.36253532107291],"axes":[187.0533896649982,187.0533896649982],"angle":90.0},"model_confidence":0.7466189410127333,"model_id":233,"model_birth_timestamp":415608.593482,"theta":2.063959969359415,"phi":-1.9485797608979694,"method":"3d c++","id":1}
2351990,2351987,1,415617.00188,184,155,{"topic":"pupil.1","circle_3d":{"center":[2.7256281230081676,-4.03333083201828,69.71921298223577],"normal":[-0.3249068334807405,0.47261504252199776,-0.819188971568495],"radius":1.5911588846942217},"confidence":0.9973013979304044,"timestamp":415617.00188,"diameter_3d":3.1823177693884435,"ellipse":{"center":[184.3286244914632,84.00114368062881],"axes":[24.320229567412824,28.302190409080403],"angle":-55.43263334397622},"norm_pos":[0.5760269515358225,0.6499952346640466],"diameter":28.302190409080403,"sphere":{"center":[6.6245101247770535,-9.704711342282254,79.54948064105771],"radius":12.0},"projected_sphere":{"center":[211.63071140456867,44.36253532107291],"axes":[187.0533896649982,187.0533896649982],"angle":90.0},"model_confidence":0.7462472227457995,"model_id":233,"model_birth_timestamp":415608.593482,"theta":2.063052112040358,"phi":-1.9483856282925154,"method":"3d c++","id":1}
