eye_packets,777
norm_X,norm_Y,phi,theta,confidence,timestamp
1596175528.100984,"{'circle_3d': {'center': [1.2306731900224577e-06, 9.404203542118239e-06, 7.444576464443742e-05], 'normal': [0.34373737648266334, -0.608451108262931, -0.7152844642954486], 'radius': 2.6836401375721363e-06}, 'confidence': 0.21424424501151634, 'timestamp': 50916.59617, 'diameter_3d': 5.3672802751442725e-06, 'ellipse': {'center': [170.05759670167768, 198.72078751442726], 'axes': [35.04730444104906, 44.879641584590196], 'angle': -54.353432433692056}, 'location': [170.05759670167768, 198.72078751442726], 'diameter': 44.879641584590196, 'sphere': {'center': [-4.12484728711877, 7.301422703358713, 8.583488017310026], 'radius': 12.0}, 'projected_sphere': {'center': [-137.9447647455446, 647.3942326188601], 'axes': [1733.5609917544025, 1733.5609917544025], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9166889493640722, 'phi': -1.1228210029765933, 'norm_pos': [0.5314299896927428, 0.17199671868988642], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175528.1074612,"{'circle_3d': {'center': [1.2330467145105217e-06, 9.401980285872469e-06, 7.444879645923663e-05], 'normal': [0.343737376680457, -0.6084511084482023, -0.7152844640427972], 'radius': 2.7025244730332487e-06}, 'confidence': 0.21275802193860938, 'timestamp': 50916.60457, 'diameter_3d': 5.405048946066497e-06, 'ellipse': {'center': [170.0742647432786, 198.70469736779856], 'axes': [35.29134698071351, 45.193838474464556], 'angle': -54.35355635174482}, 'location': [170.0742647432786, 198.70469736779856], 'diameter': 45.193838474464556, 'sphere': {'center': [-4.12484728711877, 7.301422703358713, 8.583488017310026], 'radius': 12.0}, 'projected_sphere': {'center': [-137.9447647455446, 647.3942326188601], 'axes': [1733.5609917544025, 1733.5609917544025], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9166889491306129, 'phi': -1.122821002614051, 'norm_pos': [0.5314820773227457, 0.17206376096750597], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175528.115384,"{'circle_3d': {'center': [1.2354557190619175e-06, 9.399721933256444e-06, 7.44518751822909e-05], 'normal': [0.34373737688120737, -0.6084511086363983, -0.715284463786237], 'radius': 2.6920762755059112e-06}, 'confidence': 0.22150792973912323, 'timestamp': 50916.61297, 'diameter_3d': 5.3841525510118224e-06, 'ellipse': {'center': [170.09543078268672, 198.6794687894042], 'axes': [35.151808381711945, 45.017159924530844], 'angle': -54.353903285680495}, 'location': [170.09543078268672, 198.6794687894042], 'diameter': 45.017159924530844, 'sphere': {'center': [-4.12484728711877, 7.301422703358713, 8.583488017310026], 'radius': 12.0}, 'projected_sphere': {'center': [-137.9447647455446, 647.3942326188601], 'axes': [1733.5609917544025, 1733.5609917544025], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9166889488934681, 'phi': -1.1228210022460172, 'norm_pos': [0.531548221195896, 0.1721688800441491], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175528.12336,"{'circle_3d': {'center': [1.2379002045648235e-06, 9.397428477164738e-06, 7.445500081360024e-05], 'normal': [0.3437373770849145, -0.6084511088275196, -0.7152844635257676], 'radius': 2.7098592869435502e-06}, 'confidence': 0.18862800255069156, 'timestamp': 50916.62137, 'diameter_3d': 5.4197185738871005e-06, 'ellipse': {'center': [170.1128258417259, 198.66238155239535], 'axes': [35.38131712852588, 45.31284309889268], 'angle': -54.35404606150022}, 'location': [170.1128258417259, 198.66238155239535], 'diameter': 45.31284309889268, 'sphere': {'center': [-4.12484728711877, 7.301422703358713, 8.583488017310026], 'radius': 12.0}, 'projected_sphere': {'center': [-137.9447647455446, 647.3942326188601], 'axes': [1733.5609917544025, 1733.5609917544025], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9166889486526373, 'phi': -1.1228210018724918, 'norm_pos': [0.5316025807553935, 0.1722400768650194], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175528.1318731,"{'circle_3d': {'center': [1.2403801692428829e-06, 9.395099920261885e-06, 7.445817335494098e-05], 'normal': [0.34373737729157816, -0.608451109021566, -0.7152844632613892], 'radius': 2.6809904765482404e-06}, 'confidence': 0.22245115555422107, 'timestamp': 50916.62977, 'diameter_3d': 5.361980953096481e-06, 'ellipse': {'center': [170.13720946323372, 198.63095014598227], 'axes': [35.000913469583885, 44.8279113587031], 'angle': -54.35454043570354}, 'location': [170.13720946323372, 198.63095014598227], 'diameter': 44.8279113587031, 'sphere': {'center': [-4.12484728711877, 7.301422703358713, 8.583488017310026], 'radius': 12.0}, 'projected_sphere': {'center': [-137.9447647455446, 647.3942326188601], 'axes': [1733.5609917544025, 1733.5609917544025], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9166889484081204, 'phi': -1.1228210014934747, 'norm_pos': [0.5316787795726053, 0.17237104105840717], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175528.141044,"{'circle_3d': {'center': [1.2428956130960955e-06, 9.392736264324242e-06, 7.446139280453679e-05], 'normal': [0.34373737750119854, -0.6084511092185374, -0.7152844629931018], 'radius': 2.681887411572257e-06}, 'confidence': 0.23033272844301722, 'timestamp': 50916.63817, 'diameter_3d': 5.363774823144514e-06, 'ellipse': {'center': [170.15760915137784, 198.60810518647384], 'axes': [35.00959097788591, 44.84100054791873], 'angle': -54.354819671416614}, 'location': [170.15760915137784, 198.60810518647384], 'diameter': 44.84100054791873, 'sphere': {'center': [-4.12484728711877, 7.301422703358713, 8.583488017310026], 'radius': 12.0}, 'projected_sphere': {'center': [-137.9447647455446, 647.3942326188601], 'axes': [1733.5609917544025, 1733.5609917544025], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.916688948159918, 'phi': -1.122821001108966, 'norm_pos': [0.5317425285980557, 0.1724662283896924], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175528.1495318,"{'circle_3d': {'center': [1.2454465396771752e-06, 9.390337508463631e-06, 7.446465916238765e-05], 'normal': [0.34373737771377577, -0.6084511094184337, -0.7152844627209053], 'radius': 2.697120985633072e-06}, 'confidence': 0.18955428196535726, 'timestamp': 50916.64657, 'diameter_3d': 5.394241971266144e-06, 'ellipse': {'center': [170.1762438055594, 198.5892099584145], 'axes': [35.205594848836256, 45.09391417195721], 'angle': -54.35499841239962}, 'location': [170.1762438055594, 198.5892099584145], 'diameter': 45.09391417195721, 'sphere': {'center': [-4.12484728711877, 7.301422703358713, 8.583488017310026], 'radius': 12.0}, 'projected_sphere': {'center': [-137.9447647455446, 647.3942326188601], 'axes': [1733.5609917544025, 1733.5609917544025], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9166889479080296, 'phi': -1.1228210007189658, 'norm_pos': [0.5318007618923731, 0.17254495850660623], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175528.1553931,"{'circle_3d': {'center': [1.2480326363473182e-06, 9.387903944890752e-06, 7.446797202881328e-05], 'normal': [0.3437373779292838, -0.6084511096212307, -0.7152844624448331], 'radius': 2.6846510466822236e-06}, 'confidence': 0.12696497211827393, 'timestamp': 50916.654969, 'diameter_3d': 5.369302093364447e-06, 'ellipse': {'center': [170.19913001171304, 198.56168715626478], 'axes': [35.03948151130335, 44.8833152291152], 'angle': -54.35538741124215}, 'location': [170.19913001171304, 198.56168715626478], 'diameter': 44.8833152291152, 'sphere': {'center': [-4.12484728711877, 7.301422703358713, 8.583488017310026], 'radius': 12.0}, 'projected_sphere': {'center': [-137.9447647455446, 647.3942326188601], 'axes': [1733.5609917544025, 1733.5609917544025], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9166889476524864, 'phi': -1.1228210003235213, 'norm_pos': [0.5318722812866032, 0.17265963684889674], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175528.163743,"{'circle_3d': {'center': [1.250654517725991e-06, 9.38543499184874e-06, 7.447133219784519e-05], 'normal': [0.34373737814777394, -0.6084511098269768, -0.715284462164819], 'radius': 2.697598079057463e-06}, 'confidence': 0.15005615996632082, 'timestamp': 50916.663369, 'diameter_3d': 5.395196158114926e-06, 'ellipse': {'center': [170.21866628594717, 198.5414289558188], 'axes': [35.20548025441714, 45.097898051601675], 'angle': -54.355594016421094}, 'location': [170.21866628594717, 198.5414289558188], 'diameter': 45.097898051601675, 'sphere': {'center': [-4.12484728711877, 7.301422703358713, 8.583488017310026], 'radius': 12.0}, 'projected_sphere': {'center': [-137.9447647455446, 647.3942326188601], 'axes': [1733.5609917544025, 1733.5609917544025], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9166889473932268, 'phi': -1.1228209999225385, 'norm_pos': [0.5319333321435848, 0.17274404601742177], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175528.176089,"{'circle_3d': {'center': [1.2533118791679954e-06, 9.382930937995582e-06, 7.44747392733558e-05], 'normal': [0.34373737836922075, -0.6084511100356479, -0.7152844618808961], 'radius': 2.6803921258759133e-06}, 'confidence': 0.19872367018217232, 'timestamp': 50916.671769, 'diameter_3d': 5.360784251751827e-06, 'ellipse': {'center': [170.2428053057789, 198.5118108018935], 'axes': [34.97742772184756, 44.808038223192106], 'angle': -54.3560288583643}, 'location': [170.2428053057789, 198.5118108018935], 'diameter': 44.808038223192106, 'sphere': {'center': [-4.12484728711877, 7.301422703358713, 8.583488017310026], 'radius': 12.0}, 'projected_sphere': {'center': [-137.9447647455446, 647.3942326188601], 'axes': [1733.5609917544025, 1733.5609917544025], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 50892.221891, 'theta': 0.9166889471302817, 'phi': -1.122820999516064, 'norm_pos': [0.5320087665805591, 0.17286745499211043], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
