eye_packets,763
norm_X,norm_Y,phi,theta,confidence,timestamp
1596175604.226867,"{'circle_3d': {'center': [-1.0208569509728704e-06, 1.428351440058151e-05, 9.879942170165634e-05], 'normal': [-0.3699455581586538, 0.3045312155846416, -0.877724912904506], 'radius': 3.994142388742069e-06}, 'confidence': 0.9999999999889144, 'timestamp': 50992.726073, 'diameter_3d': 7.988284777484138e-06, 'ellipse': {'center': [153.9205168643948, 209.39661510771], 'axes': [41.4510033782091, 50.338971783681465], 'angle': -46.92243282897354}, 'location': [153.9205168643948, 209.39661510771], 'diameter': 50.338971783681465, 'sphere': {'center': [4.439345677046894, -3.6543603035012984, 10.532797754275775], 'radius': 12.0}, 'projected_sphere': {'center': [421.3165451365231, -95.10936040246722], 'axes': [1412.7300596804382, 1412.7300596804382], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50982.805675, 'theta': 1.8802425564275107, 'phi': -1.9696837234786293, 'norm_pos': [0.4810016152012338, 0.12751410371787497], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175604.23531,"{'circle_3d': {'center': [-1.0568484594131178e-06, 1.4272311824825579e-05, 9.881070469752729e-05], 'normal': [-0.36994556115794613, 0.3045312146510936, -0.8777249119642565], 'radius': 3.979754742096222e-06}, 'confidence': 0.9999999999888434, 'timestamp': 50992.734473, 'diameter_3d': 7.959509484192444e-06, 'ellipse': {'center': [153.69290662156982, 209.3178190116357], 'axes': [41.293237551364655, 50.150513998155844], 'angle': -46.895885210514884}, 'location': [153.69290662156982, 209.3178190116357], 'diameter': 50.150513998155844, 'sphere': {'center': [4.439345677046894, -3.6543603035012984, 10.532797754275775], 'radius': 12.0}, 'projected_sphere': {'center': [421.3165451365231, -95.10936040246722], 'axes': [1412.7300596804382, 1412.7300596804382], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50982.805675, 'theta': 1.8802425554474103, 'phi': -1.9696837267636769, 'norm_pos': [0.48029033319240566, 0.1278424207848513], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175604.2433212,"{'circle_3d': {'center': [-1.0979392177645764e-06, 1.4252247562573928e-05, 9.882106232517174e-05], 'normal': [-0.36994556458217603, 0.30453121297907176, -0.8777249111011207], 'radius': 3.9793193240677435e-06}, 'confidence': 0.9999999999894139, 'timestamp': 50992.742873, 'diameter_3d': 7.958638648135487e-06, 'ellipse': {'center': [153.43556493991096, 209.18260081641202], 'axes': [41.28144933370225, 50.13807798601094], 'angle': -46.86302788926286}, 'location': [153.43556493991096, 209.18260081641202], 'diameter': 50.13807798601094, 'sphere': {'center': [4.439345677046894, -3.6543603035012984, 10.532797754275775], 'radius': 12.0}, 'projected_sphere': {'center': [421.3165451365231, -95.10936040246722], 'axes': [1412.7300596804382, 1412.7300596804382], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50982.805675, 'theta': 1.880242553692011, 'phi': -1.9696837304283843, 'norm_pos': [0.47948614043722176, 0.12840582993161653], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175604.251478,"{'circle_3d': {'center': [-1.1403261854781022e-06, 1.4252105798640002e-05, 9.883887850037354e-05], 'normal': [-0.3699455681144233, 0.3045312129672581, -0.8777249096164396], 'radius': 4.0056860560894635e-06}, 'confidence': 0.9999999999886933, 'timestamp': 50992.751273, 'diameter_3d': 8.011372112178927e-06, 'ellipse': {'center': [153.17501135920136, 209.1625405835821], 'axes': [41.54121451998233, 50.46007922923479], 'angle': -46.83674696084724}, 'location': [153.17501135920136, 209.1625405835821], 'diameter': 50.46007922923479, 'sphere': {'center': [4.439345677046894, -3.6543603035012984, 10.532797754275775], 'radius': 12.0}, 'projected_sphere': {'center': [421.3165451365231, -95.10936040246722], 'axes': [1412.7300596804382, 1412.7300596804382], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50982.805675, 'theta': 1.8802425536796084, 'phi': -1.9696837344510345, 'norm_pos': [0.47867191049750424, 0.12848941423507454], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175604.259187,"{'circle_3d': {'center': [-1.1831713164767166e-06, 1.4254092785215278e-05, 9.885762636230311e-05], 'normal': [-0.3699455716848509, 0.3045312131328403, -0.8777249080541177], 'radius': 4.009087738293246e-06}, 'confidence': 0.9999999999891284, 'timestamp': 50992.759673, 'diameter_3d': 8.018175476586492e-06, 'ellipse': {'center': [152.90799043231175, 209.15773122898457], 'axes': [41.561727041528485, 50.49217174883271], 'angle': -46.81090316818885}, 'location': [152.90799043231175, 209.15773122898457], 'diameter': 50.49217174883271, 'sphere': {'center': [4.439345677046894, -3.6543603035012984, 10.532797754275775], 'radius': 12.0}, 'projected_sphere': {'center': [421.3165451365231, -95.10936040246722], 'axes': [1412.7300596804382, 1412.7300596804382], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50982.805675, 'theta': 1.8802425538534475, 'phi': -1.969683738542281, 'norm_pos': [0.4778374701009742, 0.12850945321256424], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175604.2678761,"{'circle_3d': {'center': [-1.2329054879245405e-06, 1.424467382049599e-05, 9.88753204786974e-05], 'normal': [-0.3699455758293652, 0.30453121234792657, -0.877724906579608], 'radius': 3.991088782827265e-06}, 'confidence': 0.9999999999898539, 'timestamp': 50992.768073, 'diameter_3d': 7.98217756565453e-06, 'ellipse': {'center': [152.59428292943662, 209.08486916937687], 'axes': [41.3615494522551, 50.25473921306519], 'angle': -46.77659398969199}, 'location': [152.59428292943662, 209.08486916937687], 'diameter': 50.25473921306519, 'sphere': {'center': [4.439345677046894, -3.6543603035012984, 10.532797754275775], 'radius': 12.0}, 'projected_sphere': {'center': [421.3165451365231, -95.10936040246722], 'axes': [1412.7300596804382, 1412.7300596804382], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50982.805675, 'theta': 1.8802425530293931, 'phi': -1.9696837431531184, 'norm_pos': [0.47685713415448944, 0.1288130451275964], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175604.275265,"{'circle_3d': {'center': [-1.264647583987255e-06, 1.4233836645338727e-05, 9.888493919874008e-05], 'normal': [-0.36994557847453985, 0.30453121144482864, -0.877724905778048], 'radius': 4.034814771585974e-06}, 'confidence': 0.9999999999891398, 'timestamp': 50992.776473, 'diameter_3d': 8.069629543171948e-06, 'ellipse': {'center': [152.40304273368014, 209.00303361331044], 'axes': [41.807881463719575, 50.799410309378345], 'angle': -46.75319139545373}, 'location': [152.40304273368014, 209.00303361331044], 'diameter': 50.799410309378345, 'sphere': {'center': [4.439345677046894, -3.6543603035012984, 10.532797754275775], 'radius': 12.0}, 'projected_sphere': {'center': [421.3165451365231, -95.10936040246722], 'axes': [1412.7300596804382, 1412.7300596804382], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50982.805675, 'theta': 1.8802425520812611, 'phi': -1.9696837460390244, 'norm_pos': [0.47625950854275045, 0.12915402661120656], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175604.287025,"{'circle_3d': {'center': [-1.302508102263289e-06, 1.4250908483504077e-05, 9.890681990398775e-05], 'normal': [-0.3699455816295831, 0.3045312128674818, -0.8777249039546559], 'radius': 4.008016757837059e-06}, 'confidence': 0.9999999999891405, 'timestamp': 50992.784873, 'diameter_3d': 8.016033515674118e-06, 'ellipse': {'center': [152.16283254871365, 209.09364782396003], 'axes': [41.512166905193766, 50.45005110380695], 'angle': -46.73593341847257}, 'location': [152.16283254871365, 209.09364782396003], 'diameter': 50.45005110380695, 'sphere': {'center': [4.439345677046894, -3.6543603035012984, 10.532797754275775], 'radius': 12.0}, 'projected_sphere': {'center': [421.3165451365231, -95.10936040246722], 'axes': [1412.7300596804382, 1412.7300596804382], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50982.805675, 'theta': 1.8802425535748566, 'phi': -1.9696837498348636, 'norm_pos': [0.4755088517147302, 0.12877646740016657], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175604.2956002,"{'circle_3d': {'center': [-1.2918529268546308e-06, 1.4247877071493775e-05, 9.890127717149255e-05], 'normal': [-0.3699455807416518, 0.30453121261486416, -0.8777249044165503], 'radius': 4.030680991783429e-06}, 'confidence': 0.9999999999890886, 'timestamp': 50992.793273, 'diameter_3d': 8.061361983566858e-06, 'ellipse': {'center': [152.2329507299824, 209.0769118425774], 'axes': [41.751573557875766, 50.73851985079868], 'angle': -46.741497029323966}, 'location': [152.2329507299824, 209.0769118425774], 'diameter': 50.73851985079868, 'sphere': {'center': [4.439345677046894, -3.6543603035012984, 10.532797754275775], 'radius': 12.0}, 'projected_sphere': {'center': [421.3165451365231, -95.10936040246722], 'axes': [1412.7300596804382, 1412.7300596804382], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50982.805675, 'theta': 1.8802425533096419, 'phi': -1.9696837487874963, 'norm_pos': [0.475727971031195, 0.12884620065592745], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175604.305088,"{'circle_3d': {'center': [-1.2992083053831038e-06, 1.4207119436449034e-05, 9.889023625930804e-05], 'normal': [-0.3699455813546, 0.30453120921839455, -0.8777249053366263], 'radius': 4.002222686894795e-06}, 'confidence': 0.9999999999894734, 'timestamp': 50992.801673, 'diameter_3d': 8.00444537378959e-06, 'ellipse': {'center': [152.18132159895134, 208.83460178276735], 'axes': [41.46682200725726, 50.38456908299656], 'angle': -46.721933455828605}, 'location': [152.18132159895134, 208.83460178276735], 'diameter': 50.38456908299656, 'sphere': {'center': [4.439345677046894, -3.6543603035012984, 10.532797754275775], 'radius': 12.0}, 'projected_sphere': {'center': [421.3165451365231, -95.10936040246722], 'axes': [1412.7300596804382, 1412.7300596804382], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50982.805675, 'theta': 1.8802425497438033, 'phi': -1.969683749005319, 'norm_pos': [0.47556662999672294, 0.129855825905136], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596175604.3112352,"{'circle_3d': {'center': [-1.3466851553900483e-06, 1.4169799513297221e-05, 9.88972985762615e-05], 'normal': [-0.36994558531100413, 0.30453120610840095, -0.8777249047480999], 'radius': 4.050026897339607e-06}, 'confidence': 0.9999999999889952, 'timestamp': 50992.810073, 'diameter_3d': 8.100053794679213e-06, 'ellipse': {'center': [151.89195923262753, 208.5884973349481], 'axes': [41.958376732706874, 50.980694772919854], 'angle': -46.67914911552191}, 'location': [151.89195923262753, 208.5884973349481], 'diameter': 50.980694772919854, 'sphere': {'center': [4.439345677046894, -3.6543603035012984, 10.532797754275775], 'radius': 12.0}, 'projected_sphere': {'center': [421.3165451365231, -95.10936040246722], 'axes': [1412.7300596804382, 1412.7300596804382], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 50982.805675, 'theta': 1.8802425464787262, 'phi': -1.9696837530729006, 'norm_pos': [0.47466237260196104, 0.13088126110438292], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
