eye_packets,773
norm_X,norm_Y,phi,theta,confidence,timestamp
1581404132.315066,"{'circle_3d': {'center': [16.323548455299598, 21.238600482821912, 149.21000589233896], 'normal': [-0.09577173388429969, -0.7383595348847247, -0.6675724471797859], 'radius': 0.781996687360158}, 'confidence': 0.49208347794157065, 'timestamp': 277450.873315, 'diameter_3d': 1.563993374720316, 'ellipse': {'center': [227.83001276393372, 208.2607384101343], 'axes': [5.060648503465879, 6.535893962581003], 'angle': -89.86635358446622}, 'location': [227.83001276393372, 208.2607384101343], 'diameter': 6.535893962581003, 'sphere': {'center': [17.472809261911195, 30.098914901438615, 157.2208752584964], 'radius': 12.0}, 'projected_sphere': {'center': [228.90396535812127, 238.69497106036155], 'axes': [94.64392037975166, 94.64392037975166], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 0.7401616730662762, 'phi': -1.713286759653498, 'norm_pos': [0.7119687898872928, 0.1322469232911071], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581404132.320846,"{'circle_3d': {'center': [16.23827024418903, 21.680587502507024, 148.75874330383394], 'normal': [-0.10287825147684689, -0.701527283244299, -0.7051776628885374], 'radius': 0.7574759299476588}, 'confidence': 0.38678187299482364, 'timestamp': 277450.881715, 'diameter_3d': 1.5149518598953176, 'ellipse': {'center': [227.6802724323285, 210.36996547280867], 'axes': [5.140246543113589, 6.3494945975953625], 'angle': -89.93390870099684}, 'location': [227.6802724323285, 210.36996547280867], 'diameter': 6.3494945975953625, 'sphere': {'center': [17.472809261911195, 30.098914901438615, 157.2208752584964], 'radius': 12.0}, 'projected_sphere': {'center': [228.90396535812127, 238.69497106036155], 'axes': [94.64392037975166, 94.64392037975166], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 0.7932579579570426, 'phi': -1.7156641476817216, 'norm_pos': [0.7115008513510266, 0.1234584771966305], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581404132.32798,"{'circle_3d': {'center': [15.857093224493074, 21.22037868020476, 149.31132051409588], 'normal': [-0.13464300311817662, -0.7398780184361539, -0.6591295620333751], 'radius': 0.7853160945860327}, 'confidence': 0.4916184029895891, 'timestamp': 277450.890115, 'diameter_3d': 1.5706321891720654, 'ellipse': {'center': [225.84751144709938, 208.1251968590445], 'axes': [5.055574576084634, 6.550744919422524], 'angle': 86.2428385294594}, 'location': [225.84751144709938, 208.1251968590445], 'diameter': 6.550744919422524, 'sphere': {'center': [17.472809261911195, 30.098914901438615, 157.2208752584964], 'radius': 12.0}, 'projected_sphere': {'center': [228.90396535812127, 238.69497106036155], 'axes': [94.64392037975166, 94.64392037975166], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 0.7379073067702362, 'phi': -1.7722980616487911, 'norm_pos': [0.7057734732721855, 0.13281167975398123], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581404132.337652,"{'circle_3d': {'center': [16.19503263366627, 22.001862057249543, 148.457027808505], 'normal': [-0.10648138568707709, -0.6747544036824223, -0.7303206208326165], 'radius': 0.7093226516037565}, 'confidence': 0.34911562770119603, 'timestamp': 277450.898515, 'diameter_3d': 1.418645303207513, 'ellipse': {'center': [227.63701760884464, 211.89416948249794], 'axes': [4.960597148689948, 5.957751477915935], 'angle': -89.81898654978603}, 'location': [227.63701760884464, 211.89416948249794], 'diameter': 5.957751477915935, 'sphere': {'center': [17.472809261911195, 30.098914901438615, 157.2208752584964], 'radius': 12.0}, 'projected_sphere': {'center': [228.90396535812127, 238.69497106036155], 'axes': [94.64392037975166, 94.64392037975166], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 0.8301644424798478, 'phi': -1.7155770426676475, 'norm_pos': [0.7113656800276396, 0.11710762715625855], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581404132.348166,"{'circle_3d': {'center': [15.605024180700179, 22.288062676398695, 148.30448773837398], 'normal': [-0.15564875676758458, -0.6509043520866595, -0.7430322933435338], 'radius': 0.7427638326850646}, 'confidence': 0.3305298572458887, 'timestamp': 277450.906915, 'diameter_3d': 1.4855276653701293, 'ellipse': {'center': [225.24071245036328, 213.18578164948406], 'axes': [5.30390144071088, 6.233707628117536], 'angle': 84.62164391815571}, 'location': [225.24071245036328, 213.18578164948406], 'diameter': 6.233707628117536, 'sphere': {'center': [17.472809261911195, 30.098914901438615, 157.2208752584964], 'radius': 12.0}, 'projected_sphere': {'center': [228.90396535812127, 238.69497106036155], 'axes': [94.64392037975166, 94.64392037975166], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 0.862021243532014, 'phi': -1.7772883076176473, 'norm_pos': [0.7038772264073853, 0.11172590979381647], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581404132.357731,"{'circle_3d': {'center': [15.15870404612772, 21.812254326051878, 148.8556990165625], 'normal': [-0.19284210131528942, -0.6905550479488943, -0.6970980201611563], 'radius': 0.7889016244726893}, 'confidence': 0.5313228493784437, 'timestamp': 277450.915315, 'diameter_3d': 1.5778032489453786, 'ellipse': {'center': [223.14088576228525, 210.8600806583422], 'axes': [5.361091735233492, 6.589126394972677], 'angle': 80.23915659826946}, 'location': [223.14088576228525, 210.8600806583422], 'diameter': 6.589126394972677, 'sphere': {'center': [17.472809261911195, 30.098914901438615, 157.2208752584964], 'radius': 12.0}, 'projected_sphere': {'center': [228.90396535812127, 238.69497106036155], 'axes': [94.64392037975166, 94.64392037975166], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 0.8085401507500358, 'phi': -1.8406824682514609, 'norm_pos': [0.6973152680071414, 0.12141633059024082], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581404132.36358,"{'circle_3d': {'center': [15.122187389763148, 21.84097813378669, 148.83749544152272], 'normal': [-0.19588515601233736, -0.6881613973043275, -0.6986149847478066], 'radius': 0.7442569569522791}, 'confidence': 0.9002802413632851, 'timestamp': 277450.923715, 'diameter_3d': 1.4885139139045582, 'ellipse': {'center': [222.9961686884028, 210.98976754031185], 'axes': [5.06851283264542, 6.216437871813333], 'angle': 79.88797865632557}, 'location': [222.9961686884028, 210.98976754031185], 'diameter': 6.216437871813333, 'sphere': {'center': [17.472809261911195, 30.098914901438615, 157.2208752584964], 'radius': 12.0}, 'projected_sphere': {'center': [228.90396535812127, 238.69497106036155], 'axes': [94.64392037975166, 94.64392037975166], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 0.8118443839694914, 'phi': -1.8441673042509725, 'norm_pos': [0.6968630271512588, 0.12087596858203398], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581404132.371972,"{'circle_3d': {'center': [15.748917513100551, 21.006479765112303, 149.58177710949468], 'normal': [-0.14365764573422027, -0.7577029280271924, -0.6365915124168091], 'radius': 0.7678756756598915}, 'confidence': 0.22627046081724794, 'timestamp': 277450.932115, 'diameter_3d': 1.535751351319783, 'ellipse': {'center': [225.2800467763392, 207.07879192337128], 'axes': [4.80611870111012, 6.391813230959785], 'angle': 85.2150898635155}, 'location': [225.2800467763392, 207.07879192337128], 'diameter': 6.391813230959785, 'sphere': {'center': [17.472809261911195, 30.098914901438615, 157.2208752584964], 'radius': 12.0}, 'projected_sphere': {'center': [228.90396535812127, 238.69497106036155], 'axes': [94.64392037975166, 94.64392037975166], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 0.7110103205090887, 'phi': -1.792745462207953, 'norm_pos': [0.70400014617606, 0.13717170031928627], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581404132.379919,"{'circle_3d': {'center': [15.832198663921922, 21.214066448417377, 149.323542491504], 'normal': [-0.13671754983243936, -0.7404040377517697, -0.6581110639160312], 'radius': 0.7874769863246991}, 'confidence': 0.6540213314295321, 'timestamp': 277450.940515, 'diameter_3d': 1.5749539726493982, 'ellipse': {'center': [225.73879401238432, 208.09182377357655], 'axes': [5.06427709401568, 6.567802592151707], 'angle': 86.03114859615422}, 'location': [225.73879401238432, 208.09182377357655], 'diameter': 6.567802592151707, 'sphere': {'center': [17.472809261911195, 30.098914901438615, 157.2208752584964], 'radius': 12.0}, 'projected_sphere': {'center': [228.90396535812127, 238.69497106036155], 'axes': [94.64392037975166, 94.64392037975166], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 0.7371250656138932, 'phi': -1.7756252650118038, 'norm_pos': [0.705433731288701, 0.1329507342767644], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581404132.389057,"{'circle_3d': {'center': [15.837614209841195, 21.185440349206523, 149.35473843357423], 'normal': [-0.13626625433916667, -0.7427895460193413, -0.6555114020768474], 'radius': 0.8267732267273075}, 'confidence': 0.3639204689487742, 'timestamp': 277450.948915, 'diameter_3d': 1.653546453454615, 'ellipse': {'center': [225.74780275195354, 207.95559055167092], 'axes': [5.298942284418824, 6.89418810896776], 'angle': 86.05495988134454}, 'location': [225.74780275195354, 207.95559055167092], 'diameter': 6.89418810896776, 'sphere': {'center': [17.472809261911195, 30.098914901438615, 157.2208752584964], 'radius': 12.0}, 'projected_sphere': {'center': [228.90396535812127, 238.69497106036155], 'axes': [94.64392037975166, 94.64392037975166], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 0.7335690862242454, 'phi': -1.7757550717603745, 'norm_pos': [0.7054618835998548, 0.13351837270137112], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581404132.396226,"{'circle_3d': {'center': [16.18088288773448, 21.581973020136076, 148.86667707828656], 'normal': [-0.1076605311813929, -0.7097451567752118, -0.696183181684153], 'radius': 0.777411190198813}, 'confidence': 0.3786813444040568, 'timestamp': 277450.957315, 'diameter_3d': 1.554822380397626, 'ellipse': {'center': [227.39236234145, 209.89422833238456], 'axes': [5.222103095768857, 6.510540459909526], 'angle': 89.4093666073454}, 'location': [227.39236234145, 209.89422833238456], 'diameter': 6.510540459909526, 'sphere': {'center': [17.472809261911195, 30.098914901438615, 157.2208752584964], 'radius': 12.0}, 'projected_sphere': {'center': [228.90396535812127, 238.69497106036155], 'axes': [94.64392037975166, 94.64392037975166], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 0.7816599410056316, 'phi': -1.7242249312987157, 'norm_pos': [0.7106011323170313, 0.12544071528173106], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
