eye_packets,775
norm_X,norm_Y,phi,theta,confidence,timestamp
1581403913.045181,"{'circle_3d': {'center': [10.130466846464445, 12.864200002227161, 100.76254568570037], 'normal': [0.08421582776530968, 0.0015214154928346875, -0.9964463757015235], 'radius': 1.1294115131112286}, 'confidence': 0.46084220098816875, 'timestamp': 277231.607862, 'diameter_3d': 2.258823026222457, 'ellipse': {'center': [222.32709153042296, 199.1544036272839], 'axes': [13.701656737570197, 13.926422352956036], 'angle': 21.356837695271057}, 'location': [222.32709153042296, 199.1544036272839], 'diameter': 13.926422352956036, 'sphere': {'center': [9.119876913280729, 12.845943016313145, 112.71990219411866], 'radius': 12.0}, 'projected_sphere': {'center': [210.1626028427221, 190.65730643021894], 'axes': [132.00863122090598, 132.00863122090598], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 1.57231774287467, 'phi': -1.4864805347590582, 'norm_pos': [0.6947721610325718, 0.1701899848863171], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403913.052831,"{'circle_3d': {'center': [10.131550946990222, 12.86766742887732, 100.76264315621968], 'normal': [0.08430616947579106, 0.0018103677136812964, -0.9964382531582477], 'radius': 1.1158178316678897}, 'confidence': 0.3964993905270719, 'timestamp': 277231.616262, 'diameter_3d': 2.2316356633357795, 'ellipse': {'center': [222.33385020543324, 199.1756418152852], 'axes': [13.536130629565054, 13.758630972723624], 'angle': 21.46887252996777}, 'location': [222.33385020543324, 199.1756418152852], 'diameter': 13.758630972723624, 'sphere': {'center': [9.119876913280729, 12.845943016313145, 112.71990219411866], 'radius': 12.0}, 'projected_sphere': {'center': [210.1626028427221, 190.65730643021894], 'axes': [132.00863122090598, 132.00863122090598], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 1.572606695497472, 'phi': -1.486389829788627, 'norm_pos': [0.6947932818919789, 0.17010149243631167], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403913.0612879,"{'circle_3d': {'center': [10.132629775337211, 12.871172665258973, 100.76274136450654], 'normal': [0.08439607183804018, 0.002102470745485678, -0.9964300691343436], 'radius': 1.150555729302468}, 'confidence': 0.520258991070661, 'timestamp': 277231.624662, 'diameter_3d': 2.301111458604936, 'ellipse': {'center': [222.34002008650538, 199.19710495909985], 'axes': [13.95690561446588, 14.186789710830435], 'angle': 21.58202504555717}, 'location': [222.34002008650538, 199.19710495909985], 'diameter': 14.186789710830435, 'sphere': {'center': [9.119876913280729, 12.845943016313145, 112.71990219411866], 'radius': 12.0}, 'projected_sphere': {'center': [210.1626028427221, 190.65730643021894], 'axes': [132.00863122090598, 132.00863122090598], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 1.5728987990893397, 'phi': -1.4862995573245537, 'norm_pos': [0.6948125627703293, 0.17001206267041735], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403913.069012,"{'circle_3d': {'center': [10.133703328532887, 12.874715711008154, 100.76284034215114], 'normal': [0.08448553460434646, 0.0023977245579174236, -0.9964218209972934], 'radius': 1.1290995234859307}, 'confidence': 0.5532113503613276, 'timestamp': 277231.633062, 'diameter_3d': 2.2581990469718614, 'ellipse': {'center': [222.34680678396865, 199.21880856453834], 'axes': [13.696000244477263, 13.922049603706496], 'angle': 21.696194868150958}, 'location': [222.34680678396865, 199.21880856453834], 'diameter': 13.922049603706496, 'sphere': {'center': [9.119876913280729, 12.845943016313145, 112.71990219411866], 'radius': 12.0}, 'projected_sphere': {'center': [210.1626028427221, 190.65730643021894], 'axes': [132.00863122090598, 132.00863122090598], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 1.5731940536502729, 'phi': -1.486209717366838, 'norm_pos': [0.694833771199902, 0.16992163098109025], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403913.078458,"{'circle_3d': {'center': [9.775064616086034, 13.358140952491524, 100.7487542813967], 'normal': [0.05459897523377543, 0.0426831613481983, -0.9975956593934966], 'radius': 1.1081379377261518}, 'confidence': 0.3994186928813491, 'timestamp': 277231.641462, 'diameter_3d': 2.2162758754523035, 'ellipse': {'center': [220.15093708374351, 202.20181468070277], 'axes': [13.45416784609967, 13.641226961357045], 'angle': 44.49924003993782}, 'location': [220.15093708374351, 202.20181468070277], 'diameter': 13.641226961357045, 'sphere': {'center': [9.119876913280729, 12.845943016313145, 112.71990219411866], 'radius': 12.0}, 'projected_sphere': {'center': [210.1626028427221, 190.65730643021894], 'axes': [132.00863122090598, 132.00863122090598], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 1.6134924591823507, 'phi': -1.5161203099148621, 'norm_pos': [0.6879716783866985, 0.1574924388304051], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403913.087253,"{'circle_3d': {'center': [9.801133277205, 13.328458188980287, 100.74897621177466], 'normal': [0.05677136366035596, 0.040209597722261854, -0.9975771651953335], 'radius': 1.1528059051396504}, 'confidence': 0.429092052589094, 'timestamp': 277231.649862, 'diameter_3d': 2.305611810279301, 'ellipse': {'center': [220.3107201866481, 202.01891050732803], 'axes': [13.996941340093196, 14.19195397606018], 'angle': 42.84656595824207}, 'location': [220.3107201866481, 202.01891050732803], 'diameter': 14.19195397606018, 'sphere': {'center': [9.119876913280729, 12.845943016313145, 112.71990219411866], 'radius': 12.0}, 'projected_sphere': {'center': [210.1626028427221, 190.65730643021894], 'axes': [132.00863122090598, 132.00863122090598], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 1.6110167676330904, 'phi': -1.5139483989336047, 'norm_pos': [0.6884710005832753, 0.1582545395527999], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403913.097142,"{'circle_3d': {'center': [9.7973781166623, 13.338511174319626, 100.74917252842431], 'normal': [0.05645843361513086, 0.04104734650054007, -0.9975608054745287], 'radius': 1.148109881640478}, 'confidence': 0.5442560558396553, 'timestamp': 277231.658262, 'diameter_3d': 2.296219763280956, 'ellipse': {'center': [220.28755632294474, 202.0805749316066], 'axes': [13.938734015611038, 14.133879591928268], 'angle': 43.27251912802803}, 'location': [220.28755632294474, 202.0805749316066], 'diameter': 14.133879591928268, 'sphere': {'center': [9.119876913280729, 12.845943016313145, 112.71990219411866], 'radius': 12.0}, 'projected_sphere': {'center': [210.1626028427221, 190.65730643021894], 'axes': [132.00863122090598, 132.00863122090598], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 1.6118552087177533, 'phi': -1.5142601567073484, 'norm_pos': [0.6883986135092023, 0.15799760445163913], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403913.1042612,"{'circle_3d': {'center': [9.793594371535853, 13.348632254935985, 100.7493797194806], 'normal': [0.05614312152126039, 0.041890769885236746, -0.9975435395531721], 'radius': 1.1225906942783455}, 'confidence': 0.44068723912036406, 'timestamp': 277231.666662, 'diameter_3d': 2.245181388556691, 'ellipse': {'center': [220.26436981884308, 202.14276842334112], 'axes': [13.627720567959742, 13.81947329478919], 'angle': 43.6987866774735}, 'location': [220.26436981884308, 202.14276842334112], 'diameter': 13.81947329478919, 'sphere': {'center': [9.119876913280729, 12.845943016313145, 112.71990219411866], 'radius': 12.0}, 'projected_sphere': {'center': [210.1626028427221, 190.65730643021894], 'axes': [132.00863122090598, 132.00863122090598], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 1.6126993582746731, 'phi': -1.5145742651148428, 'norm_pos': [0.6883261556838847, 0.15773846490274535], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403913.11291,"{'circle_3d': {'center': [9.78978204462611, 13.358821416422776, 100.74959798488078], 'normal': [0.055825427612115064, 0.04273986667580262, -0.9975253507698234], 'radius': 1.1520062341447583}, 'confidence': 0.3616485095807834, 'timestamp': 277231.675062, 'diameter_3d': 2.3040124682895167, 'ellipse': {'center': [220.24057781152175, 202.20505696739275], 'axes': [13.983552604210164, 14.181338197996348], 'angle': 44.12525451873181}, 'location': [220.24057781152175, 202.20505696739275], 'diameter': 14.181338197996348, 'sphere': {'center': [9.119876913280729, 12.845943016313145, 112.71990219411866], 'radius': 12.0}, 'projected_sphere': {'center': [210.1626028427221, 190.65730643021894], 'axes': [132.00863122090598, 132.00863122090598], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 1.6135492163038494, 'phi': -1.5148907241560883, 'norm_pos': [0.6882518056610054, 0.15747892930253016], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403913.119295,"{'circle_3d': {'center': [9.785941139054994, 13.369078644029921, 100.74982752592393], 'normal': [0.05550535214785546, 0.043594635643064684, -0.9975062223495605], 'radius': 1.1589647531381626}, 'confidence': 0.4269023369983988, 'timestamp': 277231.683462, 'diameter_3d': 2.317929506276325, 'ellipse': {'center': [220.21677653615345, 202.26788053139063], 'axes': [14.066718019600103, 14.266752900981624], 'angle': 44.551767035673876}, 'location': [220.21677653615345, 202.26788053139063], 'diameter': 14.266752900981624, 'sphere': {'center': [9.119876913280729, 12.845943016313145, 112.71990219411866], 'radius': 12.0}, 'projected_sphere': {'center': [210.1626028427221, 190.65730643021894], 'axes': [132.00863122090598, 132.00863122090598], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 1.6144047828052823, 'phi': -1.5152095338310847, 'norm_pos': [0.6881774266754795, 0.15721716445253908], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403913.128073,"{'circle_3d': {'center': [9.782071658272187, 13.379403922658884, 100.75006854527012], 'normal': [0.05518289541595483, 0.044455075528811616, -0.9974861374040441], 'radius': 1.1478274295734234}, 'confidence': 0.3856928058703126, 'timestamp': 277231.691862, 'diameter_3d': 2.295654859146847, 'ellipse': {'center': [220.19293271651404, 202.33122254103392], 'axes': [13.930219393650141, 14.129416699002695], 'angle': 44.97819242531356}, 'location': [220.19293271651404, 202.33122254103392], 'diameter': 14.129416699002695, 'sphere': {'center': [9.119876913280729, 12.845943016313145, 112.71990219411866], 'radius': 12.0}, 'projected_sphere': {'center': [210.1626028427221, 190.65730643021894], 'axes': [132.00863122090598, 132.00863122090598], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 1.6152660577789717, 'phi': -1.515530694139832, 'norm_pos': [0.6881029147391063, 0.1569532394123586], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
