eye_packets,774
norm_X,norm_Y,phi,theta,confidence,timestamp
1581403715.067599,"{'circle_3d': {'center': [20.508161009720453, 27.26385888466091, 219.0679676453733], 'normal': [0.05703714307026132, -0.3358873631093971, -0.9401736241853409], 'radius': 1.018743359076075}, 'confidence': 0.6700190699886771, 'timestamp': 277033.633786, 'diameter_3d': 2.03748671815215, 'ellipse': {'center': [218.04104712090893, 197.16583436733256], 'axes': [5.570221670349263, 5.830117705297123], 'angle': -51.53185951200058}, 'location': [218.04104712090893, 197.16583436733256], 'diameter': 5.830117705297123, 'sphere': {'center': [19.823715292877317, 31.294507241973676, 230.3500511355974], 'radius': 12.0}, 'projected_sphere': {'center': [213.35663448300653, 204.23091027925227], 'axes': [64.5973375158522, 64.5973375158522], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.2282491578481545, 'phi': -1.5102039831599918, 'norm_pos': [0.6813782722528404, 0.1784756901361143], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403715.080531,"{'circle_3d': {'center': [20.072912512571886, 27.242598826310445, 219.05757846851628], 'normal': [0.0207664349745474, -0.3376590346386025, -0.9410393889234259], 'radius': 1.0145244594060172}, 'confidence': 0.33565171468249205, 'timestamp': 277033.642186, 'diameter_3d': 2.0290489188120344, 'ellipse': {'center': [216.812366256098, 197.10930842766396], 'axes': [5.579005251896059, 5.7999287277746685], 'angle': -56.65284600533208}, 'location': [216.812366256098, 197.10930842766396], 'diameter': 5.7999287277746685, 'sphere': {'center': [19.823715292877317, 31.294507241973676, 230.3500511355974], 'radius': 12.0}, 'projected_sphere': {'center': [213.35663448300653, 204.23091027925227], 'axes': [64.5973375158522, 64.5973375158522], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.226367574781494, 'phi': -1.548732356594093, 'norm_pos': [0.6775386445503062, 0.17871121488473352], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403715.08828,"{'circle_3d': {'center': [20.459368989259147, 27.221204679371922, 219.08043931389838], 'normal': [0.05297114136515248, -0.33944188021681265, -0.9391343184749176], 'radius': 0.9893803054669758}, 'confidence': 0.6325372264705957, 'timestamp': 277033.650586, 'diameter_3d': 1.9787606109339515, 'ellipse': {'center': [217.89974466232948, 197.04051843897884], 'axes': [5.408811909112684, 5.660751152630975], 'angle': -52.53075427256705}, 'location': [217.89974466232948, 197.04051843897884], 'diameter': 5.660751152630975, 'sphere': {'center': [19.823715292877317, 31.294507241973676, 230.3500511355974], 'radius': 12.0}, 'projected_sphere': {'center': [213.35663448300653, 204.23091027925227], 'axes': [64.5973375158522, 64.5973375158522], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.2244728414951371, 'phi': -1.5144518055273877, 'norm_pos': [0.6809367020697796, 0.1789978398375882], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403715.0960839,"{'circle_3d': {'center': [20.3388513638752, 27.539860576419706, 218.96421505539664], 'normal': [0.04292800591649024, -0.3128872221294974, -0.948819673350063], 'radius': 1.001257356893859}, 'confidence': 0.4525721804813845, 'timestamp': 277033.658986, 'diameter_3d': 2.002514713787718, 'ellipse': {'center': [217.58931212012206, 197.98348182826444], 'axes': [5.518668421563655, 5.733665690007304], 'angle': -50.00993214215998}, 'location': [217.58931212012206, 197.98348182826444], 'diameter': 5.733665690007304, 'sphere': {'center': [19.823715292877317, 31.294507241973676, 230.3500511355974], 'radius': 12.0}, 'projected_sphere': {'center': [213.35663448300653, 204.23091027925227], 'axes': [64.5973375158522, 64.5973375158522], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.2525649579890832, 'phi': -1.5255835723707223, 'norm_pos': [0.6799666003753815, 0.1750688257155648], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403715.104347,"{'circle_3d': {'center': [19.906444581227426, 27.494031386048913, 218.96806804241973], 'normal': [0.006894107362509056, -0.31670632132706333, -0.9484985910981382], 'radius': 1.1177815513461964}, 'confidence': 0.20236128003156795, 'timestamp': 277033.667386, 'diameter_3d': 2.235563102692393, 'ellipse': {'center': [216.36440459846625, 197.85339163423845], 'axes': [6.1898108887848915, 6.393193033912527], 'angle': -55.49307297928858}, 'location': [216.36440459846625, 197.85339163423845], 'diameter': 6.393193033912527, 'sphere': {'center': [19.823715292877317, 31.294507241973676, 230.3500511355974], 'radius': 12.0}, 'projected_sphere': {'center': [213.35663448300653, 204.23091027925227], 'axes': [64.5973375158522, 64.5973375158522], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.248541288370607, 'phi': -1.563528012402822, 'norm_pos': [0.676138764370207, 0.17561086819067317], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403715.1127691,"{'circle_3d': {'center': [20.29650627954853, 27.70464692160955, 218.9093618397902], 'normal': [0.039399248889267845, -0.2991550266970105, -0.9533907746506007], 'radius': 1.0507302452214022}, 'confidence': 0.5918374755041338, 'timestamp': 277033.675786, 'diameter_3d': 2.1014604904428045, 'ellipse': {'center': [217.48380392917147, 198.46996034463922], 'axes': [5.811569343881717, 6.019846021333716], 'angle': -48.34627753769677}, 'location': [217.48380392917147, 198.46996034463922], 'diameter': 6.019846021333716, 'sphere': {'center': [19.823715292877317, 31.294507241973676, 230.3500511355974], 'radius': 12.0}, 'projected_sphere': {'center': [213.35663448300653, 204.23091027925227], 'axes': [64.5973375158522, 64.5973375158522], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.2669893222589832, 'phi': -1.5294944342585355, 'norm_pos': [0.6796368872786609, 0.17304183189733657], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403715.120607,"{'circle_3d': {'center': [20.871278428494595, 28.479723847089893, 218.73197875173], 'normal': [0.08729692796810644, -0.2345652829069818, -0.9681726986556162], 'radius': 1.0101570169186107}, 'confidence': 0.5025633861475947, 'timestamp': 277033.684186, 'diameter_3d': 2.0203140338372214, 'ellipse': {'center': [219.15900147313215, 200.7294358106011], 'axes': [5.599432865757663, 5.800388580144993], 'angle': -33.02352037740045}, 'location': [219.15900147313215, 200.7294358106011], 'diameter': 5.800388580144993, 'sphere': {'center': [19.823715292877317, 31.294507241973676, 230.3500511355974], 'radius': 12.0}, 'projected_sphere': {'center': [213.35663448300653, 204.23091027925227], 'axes': [64.5973375158522, 64.5973375158522], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.3340249764756946, 'phi': -1.4808728040160983, 'norm_pos': [0.684871879603538, 0.16362735078916202], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403715.127809,"{'circle_3d': {'center': [19.795317917528916, 27.828676684599003, 218.86148237632014], 'normal': [-0.002366447945700104, -0.288819213114556, -0.9573807299397711], 'radius': 1.0530273942838706}, 'confidence': 0.42798388860394077, 'timestamp': 277033.692586, 'diameter_3d': 2.106054788567741, 'ellipse': {'center': [216.0771488612989, 198.83836508919103], 'axes': [5.870809998769736, 6.028550187141109], 'angle': -52.043541699111444}, 'location': [216.0771488612989, 198.83836508919103], 'diameter': 6.028550187141109, 'sphere': {'center': [19.823715292877317, 31.294507241973676, 230.3500511355974], 'radius': 12.0}, 'projected_sphere': {'center': [213.35663448300653, 204.23091027925227], 'axes': [64.5973375158522, 64.5973375158522], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.2778030665456774, 'phi': -1.5732681157626835, 'norm_pos': [0.6752410901915591, 0.1715068121283707], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403715.1360152,"{'circle_3d': {'center': [19.65890892570473, 27.634646966429962, 218.92296657194615], 'normal': [-0.013733863931048983, -0.30498835629530935, -0.9522570469709368], 'radius': 0.9900713098415612}, 'confidence': 0.6837875727705043, 'timestamp': 277033.700986, 'diameter_3d': 1.9801426196831224, 'ellipse': {'center': [215.67521428350014, 198.26643454992666], 'axes': [5.510508290089468, 5.661221059433959], 'angle': -56.61737313719052}, 'location': [215.67521428350014, 198.26643454992666], 'diameter': 5.661221059433959, 'sphere': {'center': [19.823715292877317, 31.294507241973676, 230.3500511355974], 'radius': 12.0}, 'projected_sphere': {'center': [213.35663448300653, 204.23091027925227], 'axes': [64.5973375158522, 64.5973375158522], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.2608701237498154, 'phi': -1.585217760428634, 'norm_pos': [0.6739850446359379, 0.17388985604197227], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403715.144243,"{'circle_3d': {'center': [20.024638664447842, 27.638309867057835, 218.92237199438875], 'normal': [0.016743614297543757, -0.3046831145763203, -0.9523065951007208], 'radius': 1.0560681788201938}, 'confidence': 0.4279386093361107, 'timestamp': 277033.709386, 'diameter_3d': 2.1121363576403875, 'ellipse': {'center': [216.71075275080514, 198.27754443935476], 'axes': [5.854917090270853, 6.0454622116950905], 'angle': -52.15580005014839}, 'location': [216.71075275080514, 198.27754443935476], 'diameter': 6.0454622116950905, 'sphere': {'center': [19.823715292877317, 31.294507241973676, 230.3500511355974], 'radius': 12.0}, 'projected_sphere': {'center': [213.35663448300653, 204.23091027925227], 'axes': [64.5973375158522, 64.5973375158522], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.261190619483397, 'phi': -1.5532159704567678, 'norm_pos': [0.6772211023462661, 0.1738435648360218], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403715.1557,"{'circle_3d': {'center': [19.661783770963165, 27.622944049100198, 218.9266802713145], 'normal': [-0.013494293492845985, -0.30596359940612294, -0.9519475720235744], 'radius': 0.9380466109251897}, 'confidence': 0.42105211546506915, 'timestamp': 277033.717786, 'diameter_3d': 1.8760932218503794, 'ellipse': {'center': [215.68238154527438, 198.23158234896886], 'axes': [5.219779517866047, 5.363548906075391], 'angle': -56.75486709677992}, 'location': [215.68238154527438, 198.23158234896886], 'diameter': 5.363548906075391, 'sphere': {'center': [19.823715292877317, 31.294507241973676, 230.3500511355974], 'radius': 12.0}, 'projected_sphere': {'center': [213.35663448300653, 204.23091027925227], 'axes': [64.5973375158522, 64.5973375158522], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.2598459235936106, 'phi': -1.5849708361210975, 'norm_pos': [0.6740074423289825, 0.17403507354596315], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
