eye_packets,774
norm_X,norm_Y,phi,theta,confidence,timestamp
1581403595.201921,"{'circle_3d': {'center': [4.7776102805164635, 5.508196345433234, 44.52626330078532], 'normal': [0.8162334701962857, 0.2877616463231604, -0.5009552445445736], 'radius': 1.3249849716636548}, 'confidence': 0.17821820619584663, 'timestamp': 276913.769938, 'diameter_3d': 2.6499699433273096, 'ellipse': {'center': [226.3447119936488, 196.66985401849678], 'axes': [13.909084727511177, 37.017006291758555], 'angle': 21.178898798542992}, 'location': [226.3447119936488, 196.66985401849678], 'diameter': 37.017006291758555, 'sphere': {'center': [-5.017191361838964, 2.055056589555309, 50.5377262353202], 'radius': 12.0}, 'projected_sphere': {'center': [98.44878121631527, 145.21156332976875], 'axes': [294.4335075684618, 294.4335075684618], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 276690.504604, 'theta': 1.8626851281929484, 'phi': -0.5504613331907037, 'norm_pos': [0.7073272249801524, 0.18054227492293007], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403595.209973,"{'circle_3d': {'center': [4.815386442404397, 5.393827222066195, 44.523324819802305], 'normal': [0.8193814836869469, 0.27823088604257384, -0.5012001179598247], 'radius': 1.3173046324758535}, 'confidence': 0.1911017721205874, 'timestamp': 276913.778338, 'diameter_3d': 2.634609264951707, 'ellipse': {'center': [226.87657872899362, 195.08411505819998], 'axes': [13.870439637547989, 36.80207433402153], 'angle': 20.498247872543995}, 'location': [226.87657872899362, 195.08411505819998], 'diameter': 36.80207433402153, 'sphere': {'center': [-5.017191361838964, 2.055056589555309, 50.5377262353202], 'radius': 12.0}, 'projected_sphere': {'center': [98.44878121631527, 145.21156332976875], 'axes': [294.4335075684618, 294.4335075684618], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 276690.504604, 'theta': 1.8527481029081154, 'phi': -0.5489642565629799, 'norm_pos': [0.708989308528105, 0.18714952059083345], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403595.2179048,"{'circle_3d': {'center': [4.295676967554049, 5.974357622645567, 44.06396667140324], 'normal': [0.7760723607827509, 0.32660841942418806, -0.5394799636597464], 'radius': 1.3199215524739951}, 'confidence': 0.16181540993280139, 'timestamp': 276913.786738, 'diameter_3d': 2.6398431049479902, 'ellipse': {'center': [220.24753392819576, 204.0173466136218], 'axes': [15.542550222003376, 37.27674976950845], 'angle': 24.948284923549465}, 'location': [220.24753392819576, 204.0173466136218], 'diameter': 37.27674976950845, 'sphere': {'center': [-5.017191361838964, 2.055056589555309, 50.5377262353202], 'radius': 12.0}, 'projected_sphere': {'center': [98.44878121631527, 145.21156332976875], 'axes': [294.4335075684618, 294.4335075684618], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 276690.504604, 'theta': 1.903509299114138, 'phi': -0.6074576552796339, 'norm_pos': [0.6882735435256118, 0.14992772244324248], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403595.2255218,"{'circle_3d': {'center': [4.375374502676885, 5.820263828796881, 44.087693605457424], 'normal': [0.7827138220429873, 0.31376726993679765, -0.5375027191552313], 'radius': 1.327639771326458}, 'confidence': 0.18407139595253125, 'timestamp': 276913.795138, 'diameter_3d': 2.655279542652916, 'ellipse': {'center': [221.3333840931234, 201.8076105158207], 'axes': [15.584458453699924, 37.47066519357608], 'angle': 23.927066097381843}, 'location': [221.3333840931234, 201.8076105158207], 'diameter': 37.47066519357608, 'sphere': {'center': [-5.017191361838964, 2.055056589555309, 50.5377262353202], 'radius': 12.0}, 'projected_sphere': {'center': [98.44878121631527, 145.21156332976875], 'axes': [294.4335075684618, 294.4335075684618], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 276690.504604, 'theta': 1.8899544078443404, 'phi': -0.6017553130963667, 'norm_pos': [0.6916668252910106, 0.15913495618408047], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403595.2372842,"{'circle_3d': {'center': [4.376178408822759, 5.834875142459696, 44.09741754250599], 'normal': [0.7827808142218102, 0.3149848794086989, -0.536692391067851], 'radius': 1.3226742201057764}, 'confidence': 0.21957119110890505, 'timestamp': 276913.803538, 'diameter_3d': 2.645348440211553, 'ellipse': {'center': [221.3330572861106, 201.99528777304195], 'axes': [15.482864218869658, 37.3224884246922], 'angle': 23.998125720295487}, 'location': [221.3330572861106, 201.99528777304195], 'diameter': 37.3224884246922, 'sphere': {'center': [-5.017191361838964, 2.055056589555309, 50.5377262353202], 'radius': 12.0}, 'projected_sphere': {'center': [98.44878121631527, 145.21156332976875], 'axes': [294.4335075684618, 294.4335075684618], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 276690.504604, 'theta': 1.8912370492419028, 'phi': -0.6010115404525574, 'norm_pos': [0.6916658040190956, 0.1583529676123252], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403595.242317,"{'circle_3d': {'center': [4.767655321289717, 5.034347467216158, 44.26232973358802], 'normal': [0.8154038902607234, 0.2482742398050707, -0.5229497084776819], 'radius': 1.3184436162679336}, 'confidence': 0.18722543839616507, 'timestamp': 276913.811938, 'diameter_3d': 2.636887232535867, 'ellipse': {'center': [226.5907904730169, 190.49211852025906], 'axes': [14.999137534316162, 37.044124795876606], 'angle': 18.767683444833498}, 'location': [226.5907904730169, 190.49211852025906], 'diameter': 37.044124795876606, 'sphere': {'center': [-5.017191361838964, 2.055056589555309, 50.5377262353202], 'radius': 12.0}, 'projected_sphere': {'center': [98.44878121631527, 145.21156332976875], 'axes': [294.4335075684618, 294.4335075684618], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 276690.504604, 'theta': 1.8216946334632937, 'phi': -0.5702620009910977, 'norm_pos': [0.7080962202281779, 0.20628283949892057], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403595.250586,"{'circle_3d': {'center': [4.808037930604397, 5.096406069330552, 44.35589295604262], 'normal': [0.8187691077036132, 0.2534457899812702, -0.5151527732731319], 'radius': 1.3198808672420523}, 'confidence': 0.3413149691825337, 'timestamp': 276913.820338, 'diameter_3d': 2.6397617344841047, 'ellipse': {'center': [227.01806835433874, 191.21144149958565], 'axes': [14.62999821633809, 37.0072575115521], 'angle': 18.989410629596062}, 'location': [227.01806835433874, 191.21144149958565], 'diameter': 37.0072575115521, 'sphere': {'center': [-5.017191361838964, 2.055056589555309, 50.5377262353202], 'radius': 12.0}, 'projected_sphere': {'center': [98.44878121631527, 145.21156332976875], 'axes': [294.4335075684618, 294.4335075684618], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 276690.504604, 'theta': 1.8270370226073758, 'phi': -0.5615991855330552, 'norm_pos': [0.7094314636073086, 0.20328566041839313], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403595.258395,"{'circle_3d': {'center': [5.077033819954761, 4.974921683752302, 44.74281417292172], 'normal': [0.8411854318161437, 0.24332209118308276, -0.4829093385332068], 'radius': 1.317013454501146}, 'confidence': 0.25444141658295777, 'timestamp': 276913.828738, 'diameter_3d': 2.634026909002292, 'ellipse': {'center': [230.18073659716154, 188.92002712650452], 'axes': [13.13061233876218, 36.60283525359622], 'angle': 17.68941265201425}, 'location': [230.18073659716154, 188.92002712650452], 'diameter': 36.60283525359622, 'sphere': {'center': [-5.017191361838964, 2.055056589555309, 50.5377262353202], 'radius': 12.0}, 'projected_sphere': {'center': [98.44878121631527, 145.21156332976875], 'axes': [294.4335075684618, 294.4335075684618], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 276690.504604, 'theta': 1.8165857429241363, 'phi': -0.52114403634264, 'norm_pos': [0.7193148018661298, 0.2128332203062312], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403595.267485,"{'circle_3d': {'center': [4.4373375837948315, 4.977761868228241, 43.75026159304102], 'normal': [0.7878774121361497, 0.2435587732227444, -0.5656220535232653], 'radius': 1.3256705666970148}, 'confidence': 0.1345143191701503, 'timestamp': 276913.837138, 'diameter_3d': 2.6513411333940295, 'ellipse': {'center': [222.6684867671894, 190.5071789495486], 'axes': [17.17351409574788, 37.68489381275314], 'angle': 19.320787229590223}, 'location': [222.6684867671894, 190.5071789495486], 'diameter': 37.68489381275314, 'sphere': {'center': [-5.017191361838964, 2.055056589555309, 50.5377262353202], 'radius': 12.0}, 'projected_sphere': {'center': [98.44878121631527, 145.21156332976875], 'axes': [294.4335075684618, 294.4335075684618], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 276690.504604, 'theta': 1.8168297661972626, 'phi': -0.6226427105307404, 'norm_pos': [0.6958390211474669, 0.20622008771021416], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403595.2780612,"{'circle_3d': {'center': [4.617557093731173, 5.3187866942556195, 44.1722185570936], 'normal': [0.8028957046308446, 0.27197750872502585, -0.5304589731855499], 'radius': 1.3248974364630144}, 'confidence': 0.23158996256331055, 'timestamp': 276913.845538, 'diameter_3d': 2.6497948729260288, 'ellipse': {'center': [224.61611582926844, 194.62210916903865], 'axes': [15.356341744973594, 37.30882531079024], 'angle': 20.65341376363684}, 'location': [224.61611582926844, 194.62210916903865], 'diameter': 37.30882531079024, 'sphere': {'center': [-5.017191361838964, 2.055056589555309, 50.5377262353202], 'radius': 12.0}, 'projected_sphere': {'center': [98.44878121631527, 145.21156332976875], 'axes': [294.4335075684618, 294.4335075684618], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 276690.504604, 'theta': 1.8462437371109692, 'phi': -0.5838481229872111, 'norm_pos': [0.7019253619664638, 0.18907454512900557], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403595.289927,"{'circle_3d': {'center': [4.53053458019187, 5.861358866813765, 44.34474695955893], 'normal': [0.7956438285025693, 0.3171918564382046, -0.5160816063134389], 'radius': 1.3191866461181836}, 'confidence': 0.22410421091734523, 'timestamp': 276913.853938, 'diameter_3d': 2.638373292236367, 'ellipse': {'center': [223.15875717904441, 201.91315150833202], 'axes': [14.45639633138247, 37.01531349982228], 'angle': 23.658468460032452}, 'location': [223.15875717904441, 201.91315150833202], 'diameter': 37.01531349982228, 'sphere': {'center': [-5.017191361838964, 2.055056589555309, 50.5377262353202], 'radius': 12.0}, 'projected_sphere': {'center': [98.44878121631527, 145.21156332976875], 'axes': [294.4335075684618, 294.4335075684618], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 70, 'model_birth_timestamp': 276690.504604, 'theta': 1.893563294083017, 'phi': -0.5754143109599834, 'norm_pos': [0.6973711161845138, 0.15869520204861653], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
