eye_packets,780
norm_X,norm_Y,phi,theta,confidence,timestamp
1581403842.3077078,"{'circle_3d': {'center': [28.21075873560947, 31.2215810931385, 220.10585458377471], 'normal': [0.5291915183501316, -0.2208824095188509, -0.8192480076701005], 'radius': 2.1962589839267532}, 'confidence': 0.3441825920052675, 'timestamp': 277160.864143, 'diameter_3d': 4.3925179678535065, 'ellipse': {'center': [239.44065084075015, 207.9598267219547], 'axes': [9.559411328049345, 12.536105223815346], 'angle': -11.59040856483623}, 'location': [239.44065084075015, 207.9598267219547], 'diameter': 12.536105223815346, 'sphere': {'center': [21.860460515407897, 33.87217000736471, 229.9368306758159], 'radius': 12.0}, 'projected_sphere': {'center': [218.94438694191507, 211.3326731643732], 'axes': [64.71342566680438, 64.71342566680438], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.348077192247853, 'phi': -0.9972749691907278, 'norm_pos': [0.7482520338773442, 0.13350072199185548], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403842.3143392,"{'circle_3d': {'center': [28.60812305145204, 31.127497996402557, 220.40080289419177], 'normal': [0.5623052113370116, -0.2287226675801792, -0.7946689818020115], 'radius': 2.0921860781754833}, 'confidence': 0.15297639494148169, 'timestamp': 277160.872543, 'diameter_3d': 4.184372156350967, 'ellipse': {'center': [240.45398498111132, 207.57648572039864], 'axes': [8.759293444599079, 11.927035489062419], 'angle': -11.955268647760754}, 'location': [240.45398498111132, 207.57648572039864], 'diameter': 11.927035489062419, 'sphere': {'center': [21.860460515407897, 33.87217000736471, 229.9368306758159], 'radius': 12.0}, 'projected_sphere': {'center': [218.94438694191507, 211.3326731643732], 'axes': [64.71342566680438, 64.71342566680438], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.3400309610654861, 'phi': -0.9549900288325214, 'norm_pos': [0.7514187030659729, 0.13509797616500563], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403842.323571,"{'circle_3d': {'center': [29.025039314629034, 30.645136133998797, 220.8673729737314], 'normal': [0.5970482332684276, -0.2689194894471591, -0.7557881418403761], 'radius': 2.4536370456010843}, 'confidence': 0.053344841557443214, 'timestamp': 277160.880943, 'diameter_3d': 4.907274091202169, 'ellipse': {'center': [241.44639095550448, 206.04450997071024], 'axes': [9.711000490961991, 13.965571713054388], 'angle': -14.969756683621185}, 'location': [241.44639095550448, 206.04450997071024], 'diameter': 13.965571713054388, 'sphere': {'center': [21.860460515407897, 33.87217000736471, 229.9368306758159], 'radius': 12.0}, 'projected_sphere': {'center': [218.94438694191507, 211.3326731643732], 'axes': [64.71342566680438, 64.71342566680438], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.2985253073178358, 'phi': -0.9022026363865746, 'norm_pos': [0.7545199717359515, 0.14148120845537404], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403842.331006,"{'circle_3d': {'center': [29.487062897220337, 30.19033108747252, 221.43512506589857], 'normal': [0.63555019848437, -0.3068199099910158, -0.7084754674931114], 'radius': 1.845691694511429}, 'confidence': 0.03645101559770769, 'timestamp': 277160.889343, 'diameter_3d': 3.691383389022858, 'ellipse': {'center': [242.54479372209178, 204.5427138147014], 'axes': [6.784152362603621, 10.482331654395546], 'angle': -17.5196365554598}, 'location': [242.54479372209178, 204.5427138147014], 'diameter': 10.482331654395546, 'sphere': {'center': [21.860460515407897, 33.87217000736471, 229.9368306758159], 'radius': 12.0}, 'projected_sphere': {'center': [218.94438694191507, 211.3326731643732], 'axes': [64.71342566680438, 64.71342566680438], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.258946348355101, 'phi': -0.839603847473208, 'norm_pos': [0.7579524803815368, 0.14773869243874427], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403842.338779,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 277160.897743, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [21.860460515407897, 33.87217000736471, 229.9368306758159], 'radius': 12.0}, 'projected_sphere': {'center': [218.94438694191507, 211.3326731643732], 'axes': [64.71342566680438, 64.71342566680438], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403842.350846,"{'circle_3d': {'center': [30.042551908789576, 29.80869879030335, 222.15598354337183], 'normal': [0.6818409494484734, -0.33862260142177997, -0.6484039277036735], 'radius': 1.988146629185753}, 'confidence': 0.07016232099239694, 'timestamp': 277160.906143, 'diameter_3d': 3.976293258371506, 'ellipse': {'center': [243.82564912758363, 203.20583168978365], 'axes': [6.581743248816642, 11.25759019143523], 'angle': -19.35216052515521}, 'location': [243.82564912758363, 203.20583168978365], 'diameter': 11.25759019143523, 'sphere': {'center': [21.860460515407897, 33.87217000736471, 229.9368306758159], 'radius': 12.0}, 'projected_sphere': {'center': [218.94438694191507, 211.3326731643732], 'axes': [64.71342566680438, 64.71342566680438], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.2253436969540399, 'phi': -0.7602674653206499, 'norm_pos': [0.7619551535236988, 0.1533090346259015], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403842.357854,"{'circle_3d': {'center': [30.07661294193452, 29.779608612725365, 222.20729119825398], 'normal': [0.6846793688772187, -0.341046782886612, -0.6441282897968275], 'radius': 2.023945310512055}, 'confidence': 0.20728468329206298, 'timestamp': 277160.914543, 'diameter_3d': 4.04789062102411, 'ellipse': {'center': [243.90077660114932, 203.10602441579817], 'axes': [6.648798736403723, 11.457867033133272], 'angle': -19.495796418907965}, 'location': [243.90077660114932, 203.10602441579817], 'diameter': 11.457867033133272, 'sphere': {'center': [21.860460515407897, 33.87217000736471, 229.9368306758159], 'radius': 12.0}, 'projected_sphere': {'center': [218.94438694191507, 211.3326731643732], 'axes': [64.71342566680438, 64.71342566680438], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.222766109939284, 'phi': -0.7548907399192134, 'norm_pos': [0.7621899268785917, 0.15372489826750757], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403842.367131,"{'circle_3d': {'center': [30.64910461049767, 30.303436766550174, 222.58673693316547], 'normal': [0.7323870079241473, -0.2973944367345444, -0.6125078118875367], 'radius': 2.0910335077194784}, 'confidence': 0.17141412332681732, 'timestamp': 277160.922943, 'diameter_3d': 4.182067015438957, 'ellipse': {'center': [245.35112773247434, 204.42275474001906], 'axes': [6.3436730457886235, 11.811871135420931], 'angle': -15.970693027625005}, 'location': [245.35112773247434, 204.42275474001906], 'diameter': 11.811871135420931, 'sphere': {'center': [21.860460515407897, 33.87217000736471, 229.9368306758159], 'radius': 12.0}, 'projected_sphere': {'center': [218.94438694191507, 211.3326731643732], 'axes': [64.71342566680438, 64.71342566680438], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.268833876545094, 'phi': -0.6964966324277286, 'norm_pos': [0.7667222741639823, 0.14823852191658726], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403842.3735292,"{'circle_3d': {'center': [30.857670639182555, 29.87728271402064, 223.07453619786432], 'normal': [0.7497675103145548, -0.33290727444533896, -0.5718578731626328], 'radius': 2.1962001936907503}, 'confidence': 0.13347647047289388, 'timestamp': 277160.931343, 'diameter_3d': 4.3924003873815005, 'ellipse': {'center': [245.7437877264631, 203.05598768902587], 'axes': [6.171515771279222, 12.383043456043875], 'angle': -18.341402843085454}, 'location': [245.7437877264631, 203.05598768902587], 'diameter': 12.383043456043875, 'sphere': {'center': [21.860460515407897, 33.87217000736471, 229.9368306758159], 'radius': 12.0}, 'projected_sphere': {'center': [218.94438694191507, 211.3326731643732], 'axes': [64.71342566680438, 64.71342566680438], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.231411284954448, 'phi': -0.6515882799997985, 'norm_pos': [0.7679493366451972, 0.15393338462905892], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403842.381827,"{'circle_3d': {'center': [31.10934073550496, 29.30307822057388, 223.8064461105396], 'normal': [0.7707400183414219, -0.38075764889923563, -0.5108653804396918], 'radius': 1.8673377835304807}, 'confidence': 0.040551771827580685, 'timestamp': 277160.939743, 'diameter_3d': 3.7346755670609615, 'ellipse': {'center': [246.16811655763362, 201.1894500844749], 'axes': [4.625116924258782, 10.49815326941779], 'angle': -21.448402224398055}, 'location': [246.16811655763362, 201.1894500844749], 'diameter': 10.49815326941779, 'sphere': {'center': [21.860460515407897, 33.87217000736471, 229.9368306758159], 'radius': 12.0}, 'projected_sphere': {'center': [218.94438694191507, 211.3326731643732], 'axes': [64.71342566680438, 64.71342566680438], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.1801808005142957, 'phi': -0.5853379348623543, 'norm_pos': [0.7692753642426051, 0.16171062464802122], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403842.3905869,"{'circle_3d': {'center': [31.027747144456015, 29.52287929519008, 223.53023047275445], 'normal': [0.7639405524206765, -0.36244089268121904, -0.5338833502551216], 'radius': 2.064190712612635}, 'confidence': 0.18120049589358114, 'timestamp': 277160.948143, 'diameter_3d': 4.12838142522527, 'ellipse': {'center': [246.0445394701167, 201.90206840243908], 'axes': [5.369487726315531, 11.617734549302405], 'angle': -20.262209897894248}, 'location': [246.0445394701167, 201.90206840243908], 'diameter': 11.617734549302405, 'sphere': {'center': [21.860460515407897, 33.87217000736471, 229.9368306758159], 'radius': 12.0}, 'projected_sphere': {'center': [218.94438694191507, 211.3326731643732], 'axes': [64.71342566680438, 64.71342566680438], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.1999107981118564, 'phi': -0.609956809180524, 'norm_pos': [0.7688891858441147, 0.15874138165650387], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
