eye_packets,774
norm_X,norm_Y,phi,theta,confidence,timestamp
1581404033.777496,"{'circle_3d': {'center': [17.668578039181394, 19.17251257161559, 152.2635164140426], 'normal': [0.016314064772516627, -0.9105335274852521, -0.413113237037815], 'radius': 0.8550978953599954}, 'confidence': 0.5245355744283016, 'timestamp': 277352.323966, 'diameter_3d': 1.7101957907199907, 'ellipse': {'center': [231.94622263873478, 198.07772315627565], 'axes': [3.6332750691345947, 7.019104810281105], 'angle': -84.59272575841429}, 'location': [231.94622263873478, 198.07772315627565], 'diameter': 7.019104810281105, 'sphere': {'center': [17.472809261911195, 30.098914901438615, 157.2208752584964], 'radius': 12.0}, 'projected_sphere': {'center': [228.90396535812127, 238.69497106036155], 'axes': [94.64392037975166, 94.64392037975166], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 0.4262236190695118, 'phi': -1.5313262962377934, 'norm_pos': [0.7248319457460461, 0.17467615351551813], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581404033.78623,"{'circle_3d': {'center': [17.69322108311962, 19.154638635437777, 152.304145080571], 'normal': [0.018367651767368848, -0.9120230221667369, -0.40972751482711584], 'radius': 0.877320487168464}, 'confidence': 0.5123169200128374, 'timestamp': 277352.332366, 'diameter_3d': 1.754640974336928, 'ellipse': {'center': [232.02743155484268, 197.98457968810504], 'axes': [3.701215562907931, 7.199890785749148], 'angle': -84.49550538506273}, 'location': [232.02743155484268, 197.98457968810504], 'diameter': 7.199890785749148, 'sphere': {'center': [17.472809261911195, 30.098914901438615, 157.2208752584964], 'radius': 12.0}, 'projected_sphere': {'center': [228.90396535812127, 238.69497106036155], 'axes': [94.64392037975166, 94.64392037975166], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 0.42260647571253784, 'phi': -1.5259973766859007, 'norm_pos': [0.7250857236088833, 0.17506425129956227], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581404033.794066,"{'circle_3d': {'center': [17.37394176686014, 19.182047978422773, 152.2396864642842], 'normal': [-0.008238957920921363, -0.9097389102513198, -0.4150990661843487], 'radius': 0.9383764040383747}, 'confidence': 0.37089928370319875, 'timestamp': 277352.340766, 'diameter_3d': 1.8767528080767495, 'ellipse': {'center': [230.7581259133296, 198.13073104477976], 'axes': [4.026733728454197, 7.698926937413875], 'angle': -86.26317784084526}, 'location': [230.7581259133296, 198.13073104477976], 'diameter': 7.698926937413875, 'sphere': {'center': [17.472809261911195, 30.098914901438615, 157.2208752584964], 'radius': 12.0}, 'projected_sphere': {'center': [228.90396535812127, 238.69497106036155], 'axes': [94.64392037975166, 94.64392037975166], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 0.42814155677133175, 'phi': -1.5906418936373699, 'norm_pos': [0.721119143479155, 0.17445528731341764], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581404033.805467,"{'circle_3d': {'center': [16.886596632287684, 19.36211017420558, 151.8938330208061], 'normal': [-0.04885105246862586, -0.8947337272694195, -0.4439201864741898], 'radius': 0.9534126386145483}, 'confidence': 0.2558930349344452, 'timestamp': 277352.349166, 'diameter_3d': 1.9068252772290966, 'ellipse': {'center': [228.93039291415326, 199.0444325180548], 'axes': [4.357760342704226, 7.832530994934242], 'angle': -88.80377463060952}, 'location': [228.93039291415326, 199.0444325180548], 'diameter': 7.832530994934242, 'sphere': {'center': [17.472809261911195, 30.098914901438615, 157.2208752584964], 'radius': 12.0}, 'projected_sphere': {'center': [228.90396535812127, 238.69497106036155], 'axes': [94.64392037975166, 94.64392037975166], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 0.46296170254319347, 'phi': -1.6803999938537793, 'norm_pos': [0.715407477856729, 0.17064819784143836], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581404033.8145752,"{'circle_3d': {'center': [16.933970506669645, 19.431861344177204, 151.75062652536127], 'normal': [-0.044903229603462456, -0.8889211297717843, -0.45585406109459353], 'radius': 0.9224949911897854}, 'confidence': 0.3151912330125898, 'timestamp': 277352.357566, 'diameter_3d': 1.8449899823795708, 'ellipse': {'center': [229.18877699115035, 199.4033998771619], 'axes': [4.3043523319975066, 7.586772810757892], 'angle': -88.39378328232932}, 'location': [229.18877699115035, 199.4033998771619], 'diameter': 7.586772810757892, 'sphere': {'center': [17.472809261911195, 30.098914901438615, 157.2208752584964], 'radius': 12.0}, 'projected_sphere': {'center': [228.90396535812127, 238.69497106036155], 'axes': [94.64392037975166, 94.64392037975166], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 0.4758118687906269, 'phi': -1.668983097394418, 'norm_pos': [0.7162149280973449, 0.1691525005118255], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581404033.821986,"{'circle_3d': {'center': [17.010772026268683, 19.403164728748663, 151.79985599674472], 'normal': [-0.03850310297020937, -0.8913125143908297, -0.45175160514597246], 'radius': 0.8773548198472216}, 'confidence': 0.5538423685961775, 'timestamp': 277352.365966, 'diameter_3d': 1.7547096396944433, 'ellipse': {'center': [229.47973494781013, 199.2592841739732], 'axes': [4.058302372560405, 7.214309175071626], 'angle': -87.9775239338672}, 'location': [229.47973494781013, 199.2592841739732], 'diameter': 7.214309175071626, 'sphere': {'center': [17.472809261911195, 30.098914901438615, 157.2208752584964], 'radius': 12.0}, 'projected_sphere': {'center': [228.90396535812127, 238.69497106036155], 'axes': [94.64392037975166, 94.64392037975166], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 0.47056445027740296, 'phi': -1.6558215363722697, 'norm_pos': [0.7171241717119067, 0.16975298260844496], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581404033.829549,"{'circle_3d': {'center': [17.304053588566514, 19.27770638236096, 152.0369609353854], 'normal': [-0.014062972778723364, -0.9017673765898041, -0.4319928602592496], 'radius': 0.9010666517431082}, 'confidence': 0.5461894756238037, 'timestamp': 277352.374366, 'diameter_3d': 1.8021333034862164, 'ellipse': {'center': [230.56731334480628, 198.62436356780387], 'axes': [3.9981165542351533, 7.402021317128925], 'angle': -86.46902719282608}, 'location': [230.56731334480628, 198.62436356780387], 'diameter': 7.402021317128925, 'sphere': {'center': [17.472809261911195, 30.098914901438615, 157.2208752584964], 'radius': 12.0}, 'projected_sphere': {'center': [228.90396535812127, 238.69497106036155], 'axes': [94.64392037975166, 94.64392037975166], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 0.44695504462222446, 'phi': -1.6033385503114597, 'norm_pos': [0.7205228542025196, 0.17239848513415057], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581404033.8388412,"{'circle_3d': {'center': [16.332678480285843, 19.266130486942075, 152.18590915832937], 'normal': [-0.09501089846877936, -0.9027320345413785, -0.4195805083472522], 'radius': 0.9481034742373788}, 'confidence': 0.26056005901953544, 'timestamp': 277352.382766, 'diameter_3d': 1.8962069484747577, 'ellipse': {'center': [226.5418404659983, 198.50115755049583], 'axes': [4.181795461138357, 7.764443542955035], 'angle': 87.69051166562737}, 'location': [226.5418404659983, 198.50115755049583], 'diameter': 7.764443542955035, 'sphere': {'center': [17.472809261911195, 30.098914901438615, 157.2208752584964], 'radius': 12.0}, 'projected_sphere': {'center': [228.90396535812127, 238.69497106036155], 'axes': [94.64392037975166, 94.64392037975166], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 0.4447179630076869, 'phi': -1.7934834254154122, 'norm_pos': [0.7079432514562447, 0.17291184353960065], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581404033.8464131,"{'circle_3d': {'center': [16.86616437756952, 19.57258306374483, 151.49127492103338], 'normal': [-0.050553740361806376, -0.8771943198078155, -0.47746669478858433], 'radius': 0.8738724872419933}, 'confidence': 0.3831724218610609, 'timestamp': 277352.391166, 'diameter_3d': 1.7477449744839866, 'ellipse': {'center': [229.02949362103124, 200.11433190282457], 'axes': [4.23925199927037, 7.198629453205725], 'angle': -88.56949921143352}, 'location': [229.02949362103124, 200.11433190282457], 'diameter': 7.198629453205725, 'sphere': {'center': [17.472809261911195, 30.098914901438615, 157.2208752584964], 'radius': 12.0}, 'projected_sphere': {'center': [228.90396535812127, 238.69497106036155], 'axes': [94.64392037975166, 94.64392037975166], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 0.5008092076155714, 'phi': -1.6762824110640555, 'norm_pos': [0.7157171675657226, 0.16619028373823097], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581404033.854315,"{'circle_3d': {'center': [16.72512966231229, 19.823214420862527, 151.06856229101564], 'normal': [-0.06230663329990866, -0.856308373381341, -0.512692747290063], 'radius': 0.870118929703403}, 'confidence': 0.376732456302622, 'timestamp': 277352.399566, 'diameter_3d': 1.740237859406806, 'ellipse': {'center': [228.64388649317482, 201.36741029050629], 'axes': [4.485890569142353, 7.186315000569227], 'angle': -89.05826982484378}, 'location': [228.64388649317482, 201.36741029050629], 'diameter': 7.186315000569227, 'sphere': {'center': [17.472809261911195, 30.098914901438615, 157.2208752584964], 'radius': 12.0}, 'projected_sphere': {'center': [228.90396535812127, 238.69497106036155], 'axes': [94.64392037975166, 94.64392037975166], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 0.5427174576748197, 'phi': -1.6917314983108476, 'norm_pos': [0.7145121452911714, 0.1609691237895572], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581404033.862782,"{'circle_3d': {'center': [16.249068569334174, 20.305279055173777, 150.39539684097227], 'normal': [-0.10197839104808502, -0.8161363205220694, -0.56878986812701], 'radius': 0.9485319337449941}, 'confidence': 0.286173965476045, 'timestamp': 277352.407966, 'diameter_3d': 1.8970638674899882, 'ellipse': {'center': [226.98947550697102, 203.72153579007136], 'axes': [5.36829024489745, 7.861522588731642], 'angle': 88.36597485678116}, 'location': [226.98947550697102, 203.72153579007136], 'diameter': 7.861522588731642, 'sphere': {'center': [17.472809261911195, 30.098914901438615, 157.2208752584964], 'radius': 12.0}, 'projected_sphere': {'center': [228.90396535812127, 238.69497106036155], 'axes': [94.64392037975166, 94.64392037975166], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 81, 'model_birth_timestamp': 277032.625788, 'theta': 0.6161034229590517, 'phi': -1.7482015567458777, 'norm_pos': [0.7093421109592845, 0.15116026754136935], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
