eye_packets,775
norm_X,norm_Y,phi,theta,confidence,timestamp
1581403805.306409,"{'circle_3d': {'center': [0.28395370960182864, -0.34269810947968615, 12.552399569236215], 'normal': [-0.019906793523847038, 0.15002620927522026, -0.9884815911801832], 'radius': 2.381647859594178}, 'confidence': 0.046132073384377206, 'timestamp': 277123.863888, 'diameter_3d': 4.763295719188356, 'ellipse': {'center': [174.47644774897063, 99.746422929776], 'axes': [233.7561310400537, 235.44026433294877], 'angle': 85.85651100332412}, 'location': [174.47644774897063, 99.746422929776], 'diameter': 235.44026433294877, 'sphere': {'center': [0.5228352318879931, -2.1430126207823292, 24.414178663398413], 'radius': 12.0}, 'projected_sphere': {'center': [173.2774421060714, 65.57802483533985], 'axes': [609.4819000529395, 609.4819000529395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.7213911088252964, 'phi': -1.5909323648951637, 'norm_pos': [0.5452388992155333, 0.5843899044592666], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403805.398923,"{'circle_3d': {'center': [-0.5061781700351898, 0.23575674191732787, 12.697413421329937], 'normal': [-0.0857511168269319, 0.1982307802249714, -0.9763971035057062], 'radius': 2.384654043329385}, 'confidence': 0.09288587757971793, 'timestamp': 277123.956288, 'diameter_3d': 4.76930808665877, 'ellipse': {'center': [137.07714685446962, 127.29110306859862], 'axes': [226.02625915826593, 233.14966348196197], 'angle': -60.73675266739159}, 'location': [137.07714685446962, 127.29110306859862], 'diameter': 233.14966348196197, 'sphere': {'center': [0.5228352318879931, -2.1430126207823292, 24.414178663398413], 'radius': 12.0}, 'projected_sphere': {'center': [173.2774421060714, 65.57802483533985], 'axes': [609.4819000529395, 609.4819000529395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.7703488768902635, 'phi': -1.658395586806439, 'norm_pos': [0.4283660839202176, 0.46962040388083914], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403805.407122,"{'circle_3d': {'center': [-0.6297804835282715, 0.24035045527498422, 12.709860765277991], 'normal': [-0.09605130961802207, 0.19861358967144283, -0.9753598248433687], 'radius': 2.389172005149222}, 'confidence': 0.08736350012627545, 'timestamp': 277123.964688, 'diameter_3d': 4.778344010298444, 'ellipse': {'center': [131.28172408042732, 127.49339568866269], 'axes': [225.63973793543147, 233.4097857677078], 'angle': -57.33071162181153}, 'location': [131.28172408042732, 127.49339568866269], 'diameter': 233.4097857677078, 'sphere': {'center': [0.5228352318879931, -2.1430126207823292, 24.414178663398413], 'radius': 12.0}, 'projected_sphere': {'center': [173.2774421060714, 65.57802483533985], 'axes': [609.4819000529395, 609.4819000529395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.7707394522890314, 'phi': -1.6689576447020782, 'norm_pos': [0.4102553877513354, 0.46877751796390543], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403805.4167411,"{'circle_3d': {'center': [-0.6281726068508314, 0.24496897876582224, 12.710643947963883], 'normal': [-0.09591731989490204, 0.19899846662901263, -0.9752945596195443], 'radius': 2.3876064820717846}, 'confidence': 0.09437060017580579, 'timestamp': 277123.973088, 'diameter_3d': 4.775212964143569, 'ellipse': {'center': [131.35617857978926, 127.71650915771669], 'axes': [225.45065185840946, 233.24117273169335], 'angle': -57.463072066350385}, 'location': [131.35617857978926, 127.71650915771669], 'diameter': 233.24117273169335, 'sphere': {'center': [0.5228352318879931, -2.1430126207823292, 24.414178663398413], 'radius': 12.0}, 'projected_sphere': {'center': [173.2774421060714, 65.57802483533985], 'axes': [609.4819000529395, 609.4819000529395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.7711321683096366, 'phi': -1.6688281054246208, 'norm_pos': [0.4104880580618414, 0.4678478785095138], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403805.422858,"{'circle_3d': {'center': [-0.6362800819361515, 0.24961230559692194, 12.712392575329334], 'normal': [-0.09659294281867871, 0.19938541053160427, -0.9751488406724232], 'radius': 2.38486415558579}, 'confidence': 0.07227001070931434, 'timestamp': 277123.981488, 'diameter_3d': 4.76972831117158, 'ellipse': {'center': [130.97297041811828, 127.94507685575984], 'axes': [225.08588155364194, 232.94355922378816], 'angle': -57.33505849637313}, 'location': [130.97297041811828, 127.94507685575984], 'diameter': 232.94355922378816, 'sphere': {'center': [0.5228352318879931, -2.1430126207823292, 24.414178663398413], 'radius': 12.0}, 'projected_sphere': {'center': [173.2774421060714, 65.57802483533985], 'axes': [609.4819000529395, 609.4819000529395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.7715270249466364, 'phi': -1.669528816244233, 'norm_pos': [0.4092905325566196, 0.46689551310100064], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403805.430818,"{'circle_3d': {'center': [0.05663216411230915, -0.0994884527088491, 12.59865228180643], 'normal': [-0.038850255647973654, 0.17029368067279, -0.9846271984659984], 'radius': 2.3880559675236146}, 'confidence': 0.023164041338626793, 'timestamp': 277123.989888, 'diameter_3d': 4.776111935047229, 'ellipse': {'center': [163.64306853778908, 111.35943586324584], 'axes': [232.03749367090037, 235.17003468931983], 'angle': -78.12929352963226}, 'location': [163.64306853778908, 111.35943586324584], 'diameter': 235.17003468931983, 'sphere': {'center': [0.5228352318879931, -2.1430126207823292, 24.414178663398413], 'radius': 12.0}, 'projected_sphere': {'center': [173.2774421060714, 65.57802483533985], 'axes': [609.4819000529395, 609.4819000529395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.7419240222027446, 'phi': -1.6102326873827408, 'norm_pos': [0.5113845891805908, 0.536002350569809], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403805.4490051,"{'circle_3d': {'center': [-0.11766980821367734, -0.07014683437184255, 12.61193393092768], 'normal': [-0.05337542000847254, 0.17273881553420725, -0.9835203943725612], 'radius': 2.3907211645138373}, 'confidence': 0.07228703626200964, 'timestamp': 277124.006688, 'diameter_3d': 4.781442329027675, 'ellipse': {'center': [155.37947863598802, 112.75814628989816], 'axes': [231.54811598853277, 235.2068016491568], 'angle': -69.33100265116077}, 'location': [155.37947863598802, 112.75814628989816], 'diameter': 235.2068016491568, 'sphere': {'center': [0.5228352318879931, -2.1430126207823292, 24.414178663398413], 'radius': 12.0}, 'projected_sphere': {'center': [173.2774421060714, 65.57802483533985], 'axes': [609.4819000529395, 609.4819000529395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.7444059365141138, 'phi': -1.6250129065000989, 'norm_pos': [0.48556087073746257, 0.5301743904587577], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403805.454478,"{'circle_3d': {'center': [-0.11010178722207808, -0.07013917608380638, 12.611526994722272], 'normal': [-0.05274475159250594, 0.17273945372487692, -0.983554305723012], 'radius': 2.3890346454665563}, 'confidence': 0.06687423928258389, 'timestamp': 277124.015088, 'diameter_3d': 4.778069290933113, 'ellipse': {'center': [155.73644799046116, 112.76339647785609], 'axes': [231.4095357528849, 235.04653274878402], 'angle': -69.70183902011749}, 'location': [155.73644799046116, 112.76339647785609], 'diameter': 235.04653274878402, 'sphere': {'center': [0.5228352318879931, -2.1430126207823292, 24.414178663398413], 'radius': 12.0}, 'projected_sphere': {'center': [173.2774421060714, 65.57802483533985], 'axes': [609.4819000529395, 609.4819000529395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.7444065844447296, 'phi': -1.6243716879789623, 'norm_pos': [0.48667639997019113, 0.5301525146755997], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403805.461983,"{'circle_3d': {'center': [-0.11193637195156236, -0.07012895445169276, 12.611627315625398], 'normal': [-0.052897633653296285, 0.17274030552755304, -0.9835459456477512], 'radius': 2.389005722657813}, 'confidence': 0.05732240675754491, 'timestamp': 277124.023488, 'diameter_3d': 4.778011445315626, 'ellipse': {'center': [155.6494860789142, 112.76408844086853], 'axes': [231.40055638914103, 235.04222762307785], 'angle': -69.61199725721174}, 'location': [155.6494860789142, 112.76408844086853], 'diameter': 235.04222762307785, 'sphere': {'center': [0.5228352318879931, -2.1430126207823292, 24.414178663398413], 'radius': 12.0}, 'projected_sphere': {'center': [173.2774421060714, 65.57802483533985], 'axes': [609.4819000529395, 609.4819000529395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.744407449247573, 'phi': -1.6245271351368258, 'norm_pos': [0.4864046439966069, 0.5301496314963812], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403805.475024,"{'circle_3d': {'center': [-0.1137768710559478, -0.07011616947657107, 12.611728691780263], 'normal': [-0.05305100857866174, 0.1727413709421465, -0.9835374976348459], 'radius': 2.3887034544846935}, 'confidence': 0.0668857214970023, 'timestamp': 277124.031888, 'diameter_3d': 4.777406908969387, 'ellipse': {'center': [155.56198029335656, 112.76577093273801], 'axes': [231.3649705211037, 235.01098423070835], 'angle': -69.52210065490438}, 'location': [155.56198029335656, 112.76577093273801], 'diameter': 235.01098423070835, 'sphere': {'center': [0.5228352318879931, -2.1430126207823292, 24.414178663398413], 'radius': 12.0}, 'projected_sphere': {'center': [173.2774421060714, 65.57802483533985], 'axes': [609.4819000529395, 609.4819000529395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.744408530922652, 'phi': -1.6246830868071727, 'norm_pos': [0.48613118841673925, 0.5301426211135916], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403805.4826639,"{'circle_3d': {'center': [-0.11562328410105771, -0.07010082116007554, 12.611831125965537], 'normal': [-0.0532048763324209, 0.17274264996852115, -0.9835289614527397], 'radius': 2.390308677940497}, 'confidence': 0.07639067352868534, 'timestamp': 277124.040288, 'diameter_3d': 4.780617355880994, 'ellipse': {'center': [155.4760469627801, 112.76151867155906], 'axes': [231.51450087641552, 235.1676147122796], 'angle': -69.43191351389287}, 'location': [155.4760469627801, 112.76151867155906], 'diameter': 235.1676147122796, 'sphere': {'center': [0.5228352318879931, -2.1430126207823292, 24.414178663398413], 'radius': 12.0}, 'projected_sphere': {'center': [173.2774421060714, 65.57802483533985], 'axes': [609.4819000529395, 609.4819000529395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.744409829469952, 'phi': -1.6248395429878415, 'norm_pos': [0.4858626467586878, 0.5301603388685039], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403805.4903848,"{'circle_3d': {'center': [-0.11747561068814594, -0.07008290950387597, 12.611934620972479], 'normal': [-0.05335923688134491, 0.17274414260653775, -0.9835203368688278], 'radius': 2.3877312258071806}, 'confidence': 0.061452776956934796, 'timestamp': 277124.048688, 'diameter_3d': 4.775462451614361, 'ellipse': {'center': [155.38576917938155, 112.77067042943415], 'axes': [231.2579003972032, 234.91223982950964], 'angle': -69.34210659482305}, 'location': [155.38576917938155, 112.77067042943415], 'diameter': 234.91223982950964, 'sphere': {'center': [0.5228352318879931, -2.1430126207823292, 24.414178663398413], 'radius': 12.0}, 'projected_sphere': {'center': [173.2774421060714, 65.57802483533985], 'axes': [609.4819000529395, 609.4819000529395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.7444113448894796, 'phi': -1.624996503679911, 'norm_pos': [0.48558052868556734, 0.5301222065440243], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403805.49823,"{'circle_3d': {'center': [-0.23732117004092756, -0.07006243451002003, 12.619050865454039], 'normal': [-0.06334636682741004, 0.17274584885602573, -0.9829273164953644], 'radius': 2.3882293831143926}, 'confidence': 0.05194382251493404, 'timestamp': 277124.057088, 'diameter_3d': 4.776458766228785, 'ellipse': {'center': [149.7101618237802, 112.77825353236877], 'axes': [230.85148264198463, 234.86515085627826], 'angle': -63.83008718361618}, 'location': [149.7101618237802, 112.77825353236877], 'diameter': 234.86515085627826, 'sphere': {'center': [0.5228352318879931, -2.1430126207823292, 24.414178663398413], 'radius': 12.0}, 'projected_sphere': {'center': [173.2774421060714, 65.57802483533985], 'axes': [609.4819000529395, 609.4819000529395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.7444130771812347, 'phi': -1.6351539688833814, 'norm_pos': [0.4678442556993131, 0.5300906102817968], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403805.512594,"{'circle_3d': {'center': [1.7849258086430781, -0.6633635192060217, 12.572820383527372], 'normal': [0.10517421472959042, 0.12330409179802561, -0.9867798566559199], 'radius': 2.391165850236672}, 'confidence': 0.010906921740409681, 'timestamp': 277124.065488, 'diameter_3d': 4.782331700473344, 'ellipse': {'center': [245.7736162497398, 84.52541453822018], 'axes': [229.7648091887049, 237.1533092587752], 'angle': 26.151343416386}, 'location': [245.7736162497398, 84.52541453822018], 'diameter': 237.1533092587752, 'sphere': {'center': [0.5228352318879931, -2.1430126207823292, 24.414178663398413], 'radius': 12.0}, 'projected_sphere': {'center': [173.2774421060714, 65.57802483533985], 'axes': [609.4819000529395, 609.4819000529395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.6944150263452171, 'phi': -1.4646139322827838, 'norm_pos': [0.7680425507804369, 0.6478107727574159], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403805.515326,"{'circle_3d': {'center': [-0.02094144821650057, -0.14700615610973022, 12.593845964393715], 'normal': [-0.04531472334204115, 0.16633387205604994, -0.9850277249170584], 'radius': 2.390033100711972}, 'confidence': 0.06122069194594414, 'timestamp': 277124.073887, 'diameter_3d': 4.780066201423944, 'ellipse': {'center': [159.96572154961063, 109.09257908271867], 'axes': [232.4862097068633, 235.45364580577993], 'angle': -72.9389620822855}, 'location': [159.96572154961063, 109.09257908271867], 'diameter': 235.45364580577993, 'sphere': {'center': [0.5228352318879931, -2.1430126207823292, 24.414178663398413], 'radius': 12.0}, 'projected_sphere': {'center': [173.2774421060714, 65.57802483533985], 'axes': [609.4819000529395, 609.4819000529395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.7379069002980034, 'phi': -1.6167674156051042, 'norm_pos': [0.4998928798425332, 0.5454475871553388], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403805.5230432,"{'circle_3d': {'center': [-0.00034608658794932357, -0.06942177525274662, 12.606278667491704], 'normal': [-0.04359844320632854, 0.17279923712746525, -0.9839916663255592], 'radius': 2.38964436808725}, 'confidence': 0.06680108322037573, 'timestamp': 277124.082287, 'diameter_3d': 4.7792887361745, 'ellipse': {'center': [160.93980693053706, 112.78941304279482], 'axes': [231.77906447927543, 235.18870863626728], 'angle': -75.35884564870808}, 'location': [160.93980693053706, 112.78941304279482], 'diameter': 235.18870863626728, 'sphere': {'center': [0.5228352318879931, -2.1430126207823292, 24.414178663398413], 'radius': 12.0}, 'projected_sphere': {'center': [173.2774421060714, 65.57802483533985], 'axes': [609.4819000529395, 609.4819000529395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.7444672805769121, 'phi': -1.6150751025116927, 'norm_pos': [0.5029368966579283, 0.5300441123216882], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
