eye_packets,775
norm_X,norm_Y,phi,theta,confidence,timestamp
1581403805.306409,"{'circle_3d': {'center': [0.28395370960182864, -0.34269810947968615, 12.552399569236215], 'normal': [-0.019906793523847038, 0.15002620927522026, -0.9884815911801832], 'radius': 2.381647859594178}, 'confidence': 0.046132073384377206, 'timestamp': 277123.863888, 'diameter_3d': 4.763295719188356, 'ellipse': {'center': [174.47644774897063, 99.746422929776], 'axes': [233.7561310400537, 235.44026433294877], 'angle': 85.85651100332412}, 'location': [174.47644774897063, 99.746422929776], 'diameter': 235.44026433294877, 'sphere': {'center': [0.5228352318879931, -2.1430126207823292, 24.414178663398413], 'radius': 12.0}, 'projected_sphere': {'center': [173.2774421060714, 65.57802483533985], 'axes': [609.4819000529395, 609.4819000529395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.7213911088252964, 'phi': -1.5909323648951637, 'norm_pos': [0.5452388992155333, 0.5843899044592666], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403805.314229,"{'circle_3d': {'center': [0.28848614278204965, -0.34617072693197914, 12.551782627481408], 'normal': [-0.01952909075882862, 0.1497368244875292, -0.9885330029930839], 'radius': 2.3882573096611064}, 'confidence': 0.06494142760678277, 'timestamp': 277123.872288, 'diameter_3d': 4.776514619322213, 'ellipse': {'center': [174.6953400005251, 99.5614107248429], 'axes': [234.4330071021845, 236.10873046110999], 'angle': 85.39958975210536}, 'location': [174.6953400005251, 99.5614107248429], 'diameter': 236.10873046110999, 'sphere': {'center': [0.5228352318879931, -2.1430126207823292, 24.414178663398413], 'radius': 12.0}, 'projected_sphere': {'center': [173.2774421060714, 65.57802483533985], 'axes': [609.4819000529395, 609.4819000529395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.7210984177883766, 'phi': -1.5905493857806374, 'norm_pos': [0.545922937501641, 0.5851607886464879], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403805.321588,"{'circle_3d': {'center': [0.05657304594516077, -0.23109540344581148, 12.576646313790576], 'normal': [-0.03885518216190269, 0.15932643477804312, -0.9864610291339863], 'radius': 2.3875742913798232}, 'confidence': 0.062481059848770316, 'timestamp': 277123.880688, 'diameter_3d': 4.7751485827596465, 'ellipse': {'center': [163.64891428112665, 105.08115131992837], 'axes': [233.17314206534934, 235.51811150852726], 'angle': -76.30252821180513}, 'location': [163.64891428112665, 105.08115131992837], 'diameter': 235.51811150852726, 'sphere': {'center': [0.5228352318879931, -2.1430126207823292, 24.414178663398413], 'radius': 12.0}, 'projected_sphere': {'center': [173.2774421060714, 65.57802483533985], 'axes': [609.4819000529395, 609.4819000529395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.7308046614200325, 'phi': -1.6101644373741684, 'norm_pos': [0.5114028571285207, 0.5621618695002985], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403805.330538,"{'circle_3d': {'center': [-0.37631680289942426, 0.930580732627186, 12.849380804541802], 'normal': [-0.07492933623228479, 0.256132779450793, -0.9637331549047178], 'radius': 2.385004445491647}, 'confidence': 0.011365503557529667, 'timestamp': 277123.889088, 'diameter_3d': 4.770008890983294, 'ellipse': {'center': [143.34379907936312, 159.72661841478362], 'axes': [217.56728080989174, 230.44683864581734], 'angle': -72.65923937812906}, 'location': [143.34379907936312, 159.72661841478362], 'diameter': 230.44683864581734, 'sphere': {'center': [0.5228352318879931, -2.1430126207823292, 24.414178663398413], 'radius': 12.0}, 'projected_sphere': {'center': [173.2774421060714, 65.57802483533985], 'axes': [609.4819000529395, 609.4819000529395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.8298157195746463, 'phi': -1.648389279384521, 'norm_pos': [0.4479493721230098, 0.334472423271735], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403805.338739,"{'circle_3d': {'center': [-0.35622828654254834, 0.14586723717517547, 12.667337542211792], 'normal': [-0.07325529320254512, 0.1907399881631254, -0.9789034267655518], 'radius': 2.3797201087291064}, 'confidence': 0.0981499216562343, 'timestamp': 277123.897488, 'diameter_3d': 4.759440217458213, 'ellipse': {'center': [144.11017798827962, 123.05835935107852], 'axes': [227.33135583411715, 233.17015565457388], 'angle': -63.85308397935217}, 'location': [144.11017798827962, 123.05835935107852], 'diameter': 233.17015565457388, 'sphere': {'center': [0.5228352318879931, -2.1430126207823292, 24.414178663398413], 'radius': 12.0}, 'projected_sphere': {'center': [173.2774421060714, 65.57802483533985], 'axes': [609.4819000529395, 609.4819000529395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.7627122461941318, 'phi': -1.6454911356964186, 'norm_pos': [0.4503443062133738, 0.48725683603717285], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403805.346695,"{'circle_3d': {'center': [-0.47743477418702274, 0.20871584368142004, 12.689468298345567], 'normal': [-0.08335583383958466, 0.19597737203864576, -0.9770591970877373], 'radius': 2.386332522418207}, 'confidence': 0.09961779326582926, 'timestamp': 277123.905888, 'diameter_3d': 4.772665044836414, 'ellipse': {'center': [138.4239705213405, 126.0088779940442], 'axes': [226.64876622241417, 233.4509565791597], 'angle': -61.098466654842404}, 'location': [138.4239705213405, 126.0088779940442], 'diameter': 233.4509565791597, 'sphere': {'center': [0.5228352318879931, -2.1430126207823292, 24.414178663398413], 'radius': 12.0}, 'projected_sphere': {'center': [173.2774421060714, 65.57802483533985], 'axes': [609.4819000529395, 609.4819000529395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.7680503774963265, 'phi': -1.6559032301744898, 'norm_pos': [0.43257490787918906, 0.4749630083581492], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403805.354335,"{'circle_3d': {'center': [-0.4740747628902605, 0.2131605582634175, 12.690074500919444], 'normal': [-0.0830758328981878, 0.1963477649204789, -0.9770086802065808], 'radius': 2.3847895509411807}, 'confidence': 0.0913839468234684, 'timestamp': 277123.914288, 'diameter_3d': 4.7695791018823614, 'ellipse': {'center': [138.58090888457622, 126.22402091893255], 'axes': [226.47179004455774, 233.28726190436552], 'angle': -61.28466700681181}, 'location': [138.58090888457622, 126.22402091893255], 'diameter': 233.28726190436552, 'sphere': {'center': [0.5228352318879931, -2.1430126207823292, 24.414178663398413], 'radius': 12.0}, 'projected_sphere': {'center': [173.2774421060714, 65.57802483533985], 'axes': [609.4819000529395, 609.4819000529395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.7684281091830532, 'phi': -1.6556230835701402, 'norm_pos': [0.43306534026430066, 0.47406657950444775], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403805.361813,"{'circle_3d': {'center': [-0.4804401723022925, 0.2176301221267245, 12.691516666066168], 'normal': [-0.08360628368252382, 0.1967202285757545, -0.9768884997776873], 'radius': 2.3837367433728254}, 'confidence': 0.07481951104942039, 'timestamp': 277123.922688, 'diameter_3d': 4.767473486745651, 'ellipse': {'center': [138.28110134830234, 126.43878869445042], 'axes': [226.28656995933508, 233.15968922434237], 'angle': -61.17381734081432}, 'location': [138.28110134830234, 126.43878869445042], 'diameter': 233.15968922434237, 'sphere': {'center': [0.5228352318879931, -2.1430126207823292, 24.414178663398413], 'radius': 12.0}, 'projected_sphere': {'center': [173.2774421060714, 65.57802483533985], 'axes': [609.4819000529395, 609.4819000529395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.7688079814862778, 'phi': -1.6561725460518137, 'norm_pos': [0.43212844171344483, 0.4731717137731233], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403805.371372,"{'circle_3d': {'center': [-0.4868332443794755, 0.22212452890375456, 12.692971565526346], 'normal': [-0.0841390396889557, 0.19709476247384028, -0.9767672581560055], 'radius': 2.383173703149168}, 'confidence': 0.10119304627529975, 'timestamp': 277123.931088, 'diameter_3d': 4.766347406298336, 'ellipse': {'center': [137.9807719242911, 126.65297072575252], 'axes': [226.14726682691918, 233.07989762416514], 'angle': -61.06360703225174}, 'location': [137.9807719242911, 126.65297072575252], 'diameter': 233.07989762416514, 'sphere': {'center': [0.5228352318879931, -2.1430126207823292, 24.414178663398413], 'radius': 12.0}, 'projected_sphere': {'center': [173.2774421060714, 65.57802483533985], 'axes': [609.4819000529395, 609.4819000529395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.7691899944086116, 'phi': -1.6567245276162805, 'norm_pos': [0.4311899122634097, 0.47227928864269786], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403805.378038,"{'circle_3d': {'center': [-0.49325395259010507, 0.22664377214187148, 12.694439274288257], 'normal': [-0.08467409870650817, 0.19747136607701674, -0.976644949092513], 'radius': 2.382760690862432}, 'confidence': 0.08736724578597317, 'timestamp': 277123.939488, 'diameter_3d': 4.765521381724864, 'ellipse': {'center': [137.67942939434099, 126.86775968205674], 'axes': [226.02149456545413, 233.01459323051571], 'angle': -60.95407875601457}, 'location': [137.67942939434099, 126.86775968205674], 'diameter': 233.01459323051571, 'sphere': {'center': [0.5228352318879931, -2.1430126207823292, 24.414178663398413], 'radius': 12.0}, 'projected_sphere': {'center': [173.2774421060714, 65.57802483533985], 'axes': [609.4819000529395, 609.4819000529395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.7695741479500537, 'phi': -1.6572790282635403, 'norm_pos': [0.43024821685731557, 0.4713843346580969], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403805.389651,"{'circle_3d': {'center': [-0.49970227015287694, 0.23118784533380055, 12.695919867672233], 'normal': [-0.08521145850340582, 0.19785003884301078, -0.9765215663105149], 'radius': 2.3842619653636485}, 'confidence': 0.07901590999331266, 'timestamp': 277123.947888, 'diameter_3d': 4.768523930727297, 'ellipse': {'center': [137.3797212158727, 127.07690946128278], 'axes': [226.07706623618466, 233.13656781067306], 'angle': -60.84499328387596}, 'location': [137.3797212158727, 127.07690946128278], 'diameter': 233.13656781067306, 'sphere': {'center': [0.5228352318879931, -2.1430126207823292, 24.414178663398413], 'radius': 12.0}, 'projected_sphere': {'center': [173.2774421060714, 65.57802483533985], 'axes': [609.4819000529395, 609.4819000529395], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.7699604421106043, 'phi': -1.6578360479935932, 'norm_pos': [0.4293116287996022, 0.47051287724465507], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
