eye_packets,773
norm_X,norm_Y,phi,theta,confidence,timestamp
1581403775.448875,"{'circle_3d': {'center': [-0.6923652735302, -0.5138896053885926, 14.077626605470728], 'normal': [-0.11554743459952492, 0.12964354497918487, -0.9848052302880497], 'radius': 3.1840417242947043}, 'confidence': 0.04114189849708508, 'timestamp': 277094.010394, 'diameter_3d': 6.368083448589409, 'ellipse': {'center': [133.07476122163467, 93.27688671086005], 'axes': [275.89930169628025, 281.1436353585004], 'angle': -31.157696322645712}, 'location': [133.07476122163467, 93.27688671086005], 'diameter': 281.1436353585004, 'sphere': {'center': [0.6942039416640992, -2.0696121451388114, 25.895289368927326], 'radius': 12.0}, 'projected_sphere': {'center': [176.62103240862803, 70.44814863023808], 'axes': [574.6218853941458, 574.6218853941458], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.7008058091735336, 'phi': -1.687592566808649, 'norm_pos': [0.4158586288176084, 0.6113463053714164], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403775.457802,"{'circle_3d': {'center': [-0.6609735803687088, -0.5352834497148062, 14.071189854030834], 'normal': [-0.11293146016940069, 0.12786072461866713, -0.9853416262413744], 'radius': 3.1820466271977748}, 'confidence': 0.060551012536438874, 'timestamp': 277094.018794, 'diameter_3d': 6.3640932543955495, 'ellipse': {'center': [134.36638969508846, 92.37887205153562], 'axes': [276.12853837706075, 281.09053424889623], 'angle': -30.86351878514652}, 'location': [134.36638969508846, 92.37887205153562], 'diameter': 281.09053424889623, 'sphere': {'center': [0.6942039416640992, -2.0696121451388114, 25.895289368927326], 'radius': 12.0}, 'projected_sphere': {'center': [176.62103240862803, 70.44814863023808], 'axes': [574.6218853941458, 574.6218853941458], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.6990080252566813, 'phi': -1.6849098858601175, 'norm_pos': [0.4198949677971514, 0.6150880331186015], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403775.4652128,"{'circle_3d': {'center': [-0.6586036661075748, -0.536997591939306, 14.070696174754593], 'normal': [-0.11273396731430618, 0.12771787943329213, -0.9853827661810612], 'radius': 3.1838453757370924}, 'confidence': 0.06736283416961865, 'timestamp': 277094.027194, 'diameter_3d': 6.367690751474185, 'ellipse': {'center': [134.46821340354103, 92.30196822023925], 'axes': [276.31570074021477, 281.2592424453122], 'angle': -30.83543664739715}, 'location': [134.46821340354103, 92.30196822023925], 'diameter': 281.2592424453122, 'sphere': {'center': [0.6942039416640992, -2.0696121451388114, 25.895289368927326], 'radius': 12.0}, 'projected_sphere': {'center': [176.62103240862803, 70.44814863023808], 'axes': [574.6218853941458, 574.6218853941458], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.6988639992506507, 'phi': -1.6847073342439127, 'norm_pos': [0.4202131668860657, 0.6154084657490031], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403775.476753,"{'circle_3d': {'center': [-0.539426804168856, -0.6578108960230138, 14.042653695123349], 'normal': [-0.10280256215274627, 0.11765010409298315, -0.9877196394836649], 'radius': 3.182151341958123}, 'confidence': 0.05120179670930861, 'timestamp': 277094.035594, 'diameter_3d': 6.364302683916246, 'ellipse': {'center': [139.39058033384023, 87.21611399143517], 'axes': [277.8175906395997, 281.68518810225817], 'angle': -27.602227582370475}, 'location': [139.39058033384023, 87.21611399143517], 'diameter': 281.68518810225817, 'sphere': {'center': [0.6942039416640992, -2.0696121451388114, 25.895289368927326], 'radius': 12.0}, 'projected_sphere': {'center': [176.62103240862803, 70.44814863023808], 'axes': [574.6218853941458, 574.6218853941458], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.6887195453860067, 'phi': -1.674503633305695, 'norm_pos': [0.43559556354325074, 0.6365995250356868], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403775.486092,"{'circle_3d': {'center': [-0.545145324913931, -0.6512656469673666, 14.044031772935359], 'normal': [-0.10327910554816917, 0.11819554151428707, -0.9876047996659972], 'radius': 3.1866196258848998}, 'confidence': 0.055685444288549164, 'timestamp': 277094.043994, 'diameter_3d': 6.3732392517697996, 'ellipse': {'center': [139.16296055590067, 87.48132959702005], 'axes': [278.1301582214604, 282.05189700912615], 'angle': -27.814760402559997}, 'location': [139.16296055590067, 87.48132959702005], 'diameter': 282.05189700912615, 'sphere': {'center': [0.6942039416640992, -2.0696121451388114, 25.895289368927326], 'radius': 12.0}, 'projected_sphere': {'center': [176.62103240862803, 70.44814863023808], 'axes': [574.6218853941458, 574.6218853941458], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.68926881520012, 'phi': -1.6749929345824324, 'norm_pos': [0.4348842517371896, 0.6354944600124164], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403775.493379,"{'circle_3d': {'center': [-0.5411617440565165, -0.6545889428584959, 14.043218623291676], 'normal': [-0.10294714047671798, 0.1179186001900263, -0.9876725621363042], 'radius': 3.185230237324692}, 'confidence': 0.030693682788558198, 'timestamp': 277094.052394, 'diameter_3d': 6.370460474649384, 'ellipse': {'center': [139.3251111993812, 87.3443119810619], 'axes': [278.0568089013775, 281.94528620789674], 'angle': -27.723036380882018}, 'location': [139.3251111993812, 87.3443119810619], 'diameter': 281.94528620789674, 'sphere': {'center': [0.6942039416640992, -2.0696121451388114, 25.895289368927326], 'radius': 12.0}, 'projected_sphere': {'center': [176.62103240862803, 70.44814863023808], 'axes': [574.6218853941458, 574.6218853941458], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.6889899235329715, 'phi': -1.6746533529141052, 'norm_pos': [0.4353909724980663, 0.6360653667455753], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403775.501203,"{'circle_3d': {'center': [-0.5371565945717877, -0.6579250849692664, 14.042404029316943], 'normal': [-0.10261337801965724, 0.11764058834746209, -0.9877404449675319], 'radius': 3.1870326986926774}, 'confidence': 0.04998521586385034, 'timestamp': 277094.060794, 'diameter_3d': 6.374065397385355, 'ellipse': {'center': [139.4946265957933, 87.19920744643204], 'axes': [278.26279711020754, 282.12165740015007], 'angle': -27.62818940291712}, 'location': [139.4946265957933, 87.19920744643204], 'diameter': 282.12165740015007, 'sphere': {'center': [0.6942039416640992, -2.0696121451388114, 25.895289368927326], 'radius': 12.0}, 'projected_sphere': {'center': [176.62103240862803, 70.44814863023808], 'axes': [574.6218853941458, 574.6218853941458], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.6887099630979576, 'phi': -1.67431198101411, 'norm_pos': [0.43592070811185407, 0.6366699689731998], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403775.509844,"{'circle_3d': {'center': [-0.29796851844641503, -0.8998808653322055, 13.993721298188067], 'normal': [-0.08268103834254287, 0.09747760665055051, -0.9917973392282717], 'radius': 3.1863091463818054}, 'confidence': 0.03273363135040937, 'timestamp': 277094.069193, 'diameter_3d': 6.372618292763611, 'ellipse': {'center': [149.4252794082475, 76.9861906515218], 'axes': [280.8597980351831, 283.14416125287676], 'angle': -16.73601577481863}, 'location': [149.4252794082475, 76.9861906515218], 'diameter': 283.14416125287676, 'sphere': {'center': [0.6942039416640992, -2.0696121451388114, 25.895289368927326], 'radius': 12.0}, 'projected_sphere': {'center': [176.62103240862803, 70.44814863023808], 'axes': [574.6218853941458, 574.6218853941458], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.6684289674148005, 'phi': -1.6539688598419424, 'norm_pos': [0.46695399815077343, 0.6792242056186593], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403775.517372,"{'circle_3d': {'center': [-0.3102763628523172, -0.8866700009402413, 13.996059679518119], 'normal': [-0.08370669204303469, 0.09857851201654749, -0.9916024741174337], 'radius': 3.1880124923366338}, 'confidence': 0.04852509332575645, 'timestamp': 277094.077593, 'diameter_3d': 6.3760249846732675, 'ellipse': {'center': [148.91574408088533, 77.54087191001531], 'axes': [280.89290726761857, 283.2385558004185], 'angle': -17.52922137299246}, 'location': [148.91574408088533, 77.54087191001531], 'diameter': 283.2385558004185, 'sphere': {'center': [0.6942039416640992, -2.0696121451388114, 25.895289368927326], 'radius': 12.0}, 'projected_sphere': {'center': [176.62103240862803, 70.44814863023808], 'axes': [574.6218853941458, 574.6218853941458], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.6695352008446367, 'phi': -1.6550122389646433, 'norm_pos': [0.4653617002527667, 0.6769130337082696], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403775.52578,"{'circle_3d': {'center': [-0.3030256477449299, -0.8932417022475638, 13.994798382119304], 'normal': [-0.08310246578408576, 0.0980308702409373, -0.9917075822340018], 'radius': 3.1992560334345126}, 'confidence': 0.042724530070360645, 'timestamp': 277094.085993, 'diameter_3d': 6.398512066869025, 'ellipse': {'center': [149.23627686053274, 77.2405993482644], 'axes': [281.9507294081654, 284.26848874850305], 'angle': -17.127405568210953}, 'location': [149.23627686053274, 77.2405993482644], 'diameter': 284.26848874850305, 'sphere': {'center': [0.6942039416640992, -2.0696121451388114, 25.895289368927326], 'radius': 12.0}, 'projected_sphere': {'center': [176.62103240862803, 70.44814863023808], 'axes': [574.6218853941458, 574.6218853941458], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.668984893573498, 'phi': -1.6543983559230002, 'norm_pos': [0.4663633651891648, 0.6781641693822317], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403775.5336409,"{'circle_3d': {'center': [-0.29573712891222315, -0.8998418315291077, 13.993539325753687], 'normal': [-0.0824950892146935, 0.0974808594674753, -0.991812503597803], 'radius': 3.1843735633755914}, 'confidence': 0.03275263849623398, 'timestamp': 277094.094393, 'diameter_3d': 6.368747126751183, 'ellipse': {'center': [149.51506103216852, 76.99105870169359], 'axes': [280.7021661340348, 282.9745096638307], 'angle': -16.738997262231987}, 'location': [149.51506103216852, 76.99105870169359], 'diameter': 282.9745096638307, 'sphere': {'center': [0.6942039416640992, -2.0696121451388114, 25.895289368927326], 'radius': 12.0}, 'projected_sphere': {'center': [176.62103240862803, 70.44814863023808], 'axes': [574.6218853941458, 574.6218853941458], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.6684322357972032, 'phi': -1.6537814009123981, 'norm_pos': [0.46723456572552663, 0.6792039220762767], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
