eye_packets,774
norm_X,norm_Y,phi,theta,confidence,timestamp
1581403787.438036,"{'circle_3d': {'center': [14.537299075069274, 9.11615005236678, 78.1829960489759], 'normal': [0.632992770492349, 0.06429074269928198, -0.7714835402700404], 'radius': 3.3739547273685155}, 'confidence': 0.0641946590468157, 'timestamp': 277105.997151, 'diameter_3d': 6.747909454737031, 'ellipse': {'center': [274.8051165365381, 192.2893299403286], 'axes': [34.49734359909295, 53.70684267339222], 'angle': 9.688011651164201}, 'location': [274.8051165365381, 192.2893299403286], 'diameter': 53.70684267339222, 'sphere': {'center': [6.941385829161088, 8.344661139975397, 87.44079853221638], 'radius': 12.0}, 'projected_sphere': {'center': [209.21797703499072, 179.16791696359647], 'axes': [170.172279413913, 170.172279413913], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.6351314408907611, 'phi': -0.8836871183426233, 'norm_pos': [0.8587659891766816, 0.1987944585819642], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403787.445399,"{'circle_3d': {'center': [14.555453483108018, 8.819334563961256, 78.17793402377836], 'normal': [0.6345056378289109, 0.039556118665488256, -0.771905375703168], 'radius': 3.3349852611488515}, 'confidence': 0.04322184380053633, 'timestamp': 277106.005551, 'diameter_3d': 6.669970522297703, 'ellipse': {'center': [274.96582209536984, 189.95985353119372], 'axes': [34.25037456824752, 53.10407502767795], 'angle': 7.6457478973433854}, 'location': [274.96582209536984, 189.95985353119372], 'diameter': 53.10407502767795, 'sphere': {'center': [6.941385829161088, 8.344661139975397, 87.44079853221638], 'radius': 12.0}, 'projected_sphere': {'center': [209.21797703499072, 179.16791696359647], 'axes': [170.172279413913, 170.172279413913], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.6103627682180193, 'phi': -0.8827844122009691, 'norm_pos': [0.8592681940480308, 0.20850061028669287], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403787.452686,"{'circle_3d': {'center': [14.563832490274844, 8.818411097716568, 78.18478060461835], 'normal': [0.6352038884261463, 0.03947916314509761, -0.7713348272998352], 'radius': 3.3132548701071727}, 'confidence': 0.03627203457844553, 'timestamp': 277106.013951, 'diameter_3d': 6.626509740214345, 'ellipse': {'center': [275.02834974789045, 189.9463738835154], 'axes': [33.984632242591026, 52.75334748241549], 'angle': 7.628189510051337}, 'location': [275.02834974789045, 189.9463738835154], 'diameter': 52.75334748241549, 'sphere': {'center': [6.941385829161088, 8.344661139975397, 87.44079853221638], 'radius': 12.0}, 'projected_sphere': {'center': [209.21797703499072, 179.16791696359647], 'axes': [170.172279413913, 170.172279413913], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.610285752538579, 'phi': -0.8818820032677346, 'norm_pos': [0.8594635929621577, 0.20855677548535245], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403787.461555,"{'circle_3d': {'center': [14.569427889189974, 8.917464418843698, 78.19499566095917], 'normal': [0.6356701716690736, 0.04773360657235842, -0.7704835726047673], 'radius': 3.329098114768543}, 'confidence': 0.04337052880083193, 'timestamp': 277106.022351, 'diameter_3d': 6.658196229537086, 'ellipse': {'center': [275.0538185752412, 190.7164044321492], 'axes': [34.04292575211262, 52.994157216690795], 'angle': 8.294357797823437}, 'location': [275.0538185752412, 190.7164044321492], 'diameter': 52.994157216690795, 'sphere': {'center': [6.941385829161088, 8.344661139975397, 87.44079853221638], 'radius': 12.0}, 'projected_sphere': {'center': [209.21797703499072, 179.16791696359647], 'axes': [170.172279413913, 170.172279413913], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.6185480787931463, 'phi': -0.8809798915429212, 'norm_pos': [0.8595431830476288, 0.205348314866045], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403787.470581,"{'circle_3d': {'center': [14.564805765602241, 9.247567806613215, 78.21755463302274], 'normal': [0.6352849947034294, 0.0752422222198182, -0.768603658266136], 'radius': 3.3391352971241695}, 'confidence': 0.06506193778234022, 'timestamp': 277106.030751, 'diameter_3d': 6.678270594248339, 'ellipse': {'center': [274.98356056334563, 193.29117561344808], 'axes': [33.87225277457386, 53.122936936430165], 'angle': 10.528150117067048}, 'location': [274.98356056334563, 193.29117561344808], 'diameter': 53.122936936430165, 'sphere': {'center': [6.941385829161088, 8.344661139975397, 87.44079853221638], 'radius': 12.0}, 'projected_sphere': {'center': [209.21797703499072, 179.16791696359647], 'axes': [170.172279413913, 170.172279413913], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.6461097264502966, 'phi': -0.8800780770265282, 'norm_pos': [0.8593236267604552, 0.19462010161063303], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403787.477942,"{'circle_3d': {'center': [14.58029030786841, 9.083557559228785, 78.21576896875158], 'normal': [0.6365753732256105, 0.061574701604449035, -0.7687524636220672], 'radius': 3.3470595471140547}, 'confidence': 0.05043976792639235, 'timestamp': 277106.039151, 'diameter_3d': 6.6941190942281095, 'ellipse': {'center': [275.1055129848697, 192.00364428494657], 'axes': [34.02909737710628, 53.25833172516632], 'angle': 9.401690619260052}, 'location': [275.1055129848697, 192.00364428494657], 'diameter': 53.25833172516632, 'sphere': {'center': [6.941385829161088, 8.344661139975397, 87.44079853221638], 'radius': 12.0}, 'projected_sphere': {'center': [209.21797703499072, 179.16791696359647], 'axes': [170.172279413913, 170.172279413913], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.6324100044392298, 'phi': -0.8791765597185554, 'norm_pos': [0.8597047280777177, 0.1999848154793893], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403787.4890418,"{'circle_3d': {'center': [14.588849068071955, 9.077232130361814, 78.22235800501487], 'normal': [0.6372886032425722, 0.06104758253220143, -0.7682033772667922], 'radius': 3.338467458918364}, 'confidence': 0.050591738636286146, 'timestamp': 277106.047551, 'diameter_3d': 6.676934917836728, 'ellipse': {'center': [275.1660989787934, 191.94800661334952], 'axes': [33.902913990361796, 53.11747530160526], 'angle': 9.34603214945143}, 'location': [275.1660989787934, 191.94800661334952], 'diameter': 53.11747530160526, 'sphere': {'center': [6.941385829161088, 8.344661139975397, 87.44079853221638], 'radius': 12.0}, 'projected_sphere': {'center': [209.21797703499072, 179.16791696359647], 'axes': [170.172279413913, 170.172279413913], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.6318818918237323, 'phi': -0.8782753396127603, 'norm_pos': [0.8598940593087294, 0.2002166391110437], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403787.4986858,"{'circle_3d': {'center': [14.597780678175244, 9.060944892270172, 78.2284939615789], 'normal': [0.638032904084513, 0.059690312691231213, -0.7676920475531225], 'radius': 3.318983524994238}, 'confidence': 0.07999707301291453, 'timestamp': 277106.055951, 'diameter_3d': 6.637967049988476, 'ellipse': {'center': [275.2332614758632, 191.81447064052585], 'axes': [33.67309600639074, 52.80400922825514], 'angle': 9.222831422220247}, 'location': [275.2332614758632, 191.81447064052585], 'diameter': 52.80400922825514, 'sphere': {'center': [6.941385829161088, 8.344661139975397, 87.44079853221638], 'radius': 12.0}, 'projected_sphere': {'center': [209.21797703499072, 179.16791696359647], 'axes': [170.172279413913, 170.172279413913], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.6305221418724036, 'phi': -0.8773744167216311, 'norm_pos': [0.8601039421120724, 0.20077303899780896], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403787.506894,"{'circle_3d': {'center': [14.574728876433444, 9.642456132336433, 78.27303969592158], 'normal': [0.63611192060603, 0.10814958269675302, -0.7639799030245665], 'radius': 3.337093389525331}, 'confidence': 0.05092169201416907, 'timestamp': 277106.064351, 'diameter_3d': 6.674186779050662, 'ellipse': {'center': [274.9856334709881, 196.34246233868146], 'axes': [33.354046906636874, 53.03493931393359], 'angle': 13.129707815389626}, 'location': [274.9856334709881, 196.34246233868146], 'diameter': 53.03493931393359, 'sphere': {'center': [6.941385829161088, 8.344661139975397, 87.44079853221638], 'radius': 12.0}, 'projected_sphere': {'center': [209.21797703499072, 179.16791696359647], 'axes': [170.172279413913, 170.172279413913], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.679157852502948, 'phi': -0.8764737910389224, 'norm_pos': [0.8593301045968378, 0.18190640692216065], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403787.514169,"{'circle_3d': {'center': [14.607299413423181, 9.226126352255225, 78.25076110040108], 'normal': [0.6388261320218412, 0.07345543435665233, -0.765836452651275], 'radius': 3.3352556429158247}, 'confidence': 0.050776423336669055, 'timestamp': 277106.072751, 'diameter_3d': 6.670511285831649, 'ellipse': {'center': [275.2727623912371, 193.0924090481511], 'axes': [33.63384889546087, 53.040366089926806], 'angle': 10.315268679367632}, 'location': [275.2727623912371, 193.0924090481511], 'diameter': 53.040366089926806, 'sphere': {'center': [6.941385829161088, 8.344661139975397, 87.44079853221638], 'radius': 12.0}, 'projected_sphere': {'center': [209.21797703499072, 179.16791696359647], 'axes': [170.172279413913, 170.172279413913], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.6443179793180234, 'phi': -0.8755734625646345, 'norm_pos': [0.860227382472616, 0.19544829563270372], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581403787.521326,"{'circle_3d': {'center': [14.620156350345594, 9.122897197054357, 78.25217339444686], 'normal': [0.6398975434320424, 0.06485300475658001, -0.7657187614807935], 'radius': 3.3570471948336356}, 'confidence': 0.04322383306102109, 'timestamp': 277106.081151, 'diameter_3d': 6.714094389667271, 'ellipse': {'center': [275.3657269630594, 192.28001588607043], 'axes': [33.886158507845785, 53.39130416130023], 'angle': 9.604699062557925}, 'location': [275.3657269630594, 192.28001588607043], 'diameter': 53.39130416130023, 'sphere': {'center': [6.941385829161088, 8.344661139975397, 87.44079853221638], 'radius': 12.0}, 'projected_sphere': {'center': [209.21797703499072, 179.16791696359647], 'axes': [170.172279413913, 170.172279413913], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 80, 'model_birth_timestamp': 276938.15516, 'theta': 1.6356948788173562, 'phi': -0.874673431298767, 'norm_pos': [0.8605178967595606, 0.19883326714137317], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
