eye_packets,595
norm_X,norm_Y,phi,theta,confidence,timestamp
1603851407.492197,"{'circle_3d': {'center': [23.365574190022784, -24.425205676451043, 110.24600081959571], 'normal': [0.12004372667276132, -0.353547952126259, -0.9276817068552359], 'radius': 15.667844470973684}, 'confidence': 0.039634137776764194, 'timestamp': 176597.077387, 'diameter_3d': 31.335688941947367, 'ellipse': {'center': [231.32044608406858, 46.89853074095838], 'axes': [79.36454087563315, 96.88622761558628], 'angle': -64.27165580193908}, 'location': [231.32044608406858, 46.89853074095838], 'diameter': 96.88622761558628, 'sphere': {'center': [21.92504946994965, -20.182630250935937, 121.37818130185853], 'radius': 12.0}, 'projected_sphere': {'center': [221.26457632238967, 63.60421885981382], 'axes': [67.06255480757777, 67.06255480757777], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 1.2094350168475947, 'phi': -1.4421095794747851, 'norm_pos': [0.7228763940127143, 0.8045894552460068], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851407.6039581,"{'circle_3d': {'center': [20.19451926889107, -22.48218372141542, 109.7284036619364], 'normal': [-0.14421085008821483, -0.19162945587329033, -0.9708148033268452], 'radius': 3.915187204323446}, 'confidence': 0.869237722173208, 'timestamp': 176597.194987, 'diameter_3d': 7.830374408646892, 'ellipse': {'center': [222.48505239618015, 50.58419059523001], 'axes': [22.776469370621076, 24.64419906210567], 'angle': 80.6574289692859}, 'location': [222.48505239618015, 50.58419059523001], 'diameter': 24.64419906210567, 'sphere': {'center': [21.92504946994965, -20.182630250935937, 121.37818130185853], 'radius': 12.0}, 'projected_sphere': {'center': [221.26457632238967, 63.60421885981382], 'axes': [67.06255480757777, 67.06255480757777], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 1.3779742242655062, 'phi': -1.7182641629276416, 'norm_pos': [0.695265788738063, 0.7892325391865416], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851407.627413,"{'circle_3d': {'center': [19.258466581060944, -25.58115035997183, 110.99813716278952], 'normal': [-0.22221524074072546, -0.4498766757529912, -0.8650036782557514], 'radius': 15.61787414130365}, 'confidence': 0.044007040483862905, 'timestamp': 176597.211787, 'diameter_3d': 31.2357482826073, 'ellipse': {'center': [220.437715014569, 44.06921850637913], 'axes': [75.10055674613571, 97.75233274782494], 'angle': 78.25059409219615}, 'location': [220.437715014569, 44.06921850637913], 'diameter': 97.75233274782494, 'sphere': {'center': [21.92504946994965, -20.182630250935937, 121.37818130185853], 'radius': 12.0}, 'projected_sphere': {'center': [221.26457632238967, 63.60421885981382], 'axes': [67.06255480757777, 67.06255480757777], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 1.1041690795881227, 'phi': -1.8222539309953123, 'norm_pos': [0.6888678594205281, 0.8163782562234203], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851407.643806,"{'circle_3d': {'center': [20.111002039971225, -27.85114861537558, 112.32815047229553], 'normal': [-0.1511706191648685, -0.6390431970366365, -0.7541692357969163], 'radius': 16.35251573867067}, 'confidence': 0.011612067149717917, 'timestamp': 176597.228587, 'diameter_3d': 32.70503147734134, 'ellipse': {'center': [222.11029613726234, 38.62670709429736], 'axes': [60.93829617332715, 101.04183078004273], 'angle': 85.09823643590813}, 'location': [222.11029613726234, 38.62670709429736], 'diameter': 101.04183078004273, 'sphere': {'center': [21.92504946994965, -20.182630250935937, 121.37818130185853], 'radius': 12.0}, 'projected_sphere': {'center': [221.26457632238967, 63.60421885981382], 'axes': [67.06255480757777, 67.06255480757777], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 0.8775426457099825, 'phi': -1.7686212218594455, 'norm_pos': [0.6940946754289448, 0.8390553871070944], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851407.645056,"{'circle_3d': {'center': [20.236220966001547, -22.611051112086695, 109.74845084903288], 'normal': [-0.1407357086623418, -0.2023684050958965, -0.9691442044021372], 'radius': 3.987502020832378}, 'confidence': 0.8196197715439142, 'timestamp': 176597.236987, 'diameter_3d': 7.975004041664756, 'ellipse': {'center': [222.60358507147447, 50.205601602106455], 'axes': [23.088302877328193, 25.085327887393625], 'angle': 81.67420488631613}, 'location': [222.60358507147447, 50.205601602106455], 'diameter': 25.085327887393625, 'sphere': {'center': [21.92504946994965, -20.182630250935937, 121.37818130185853], 'radius': 12.0}, 'projected_sphere': {'center': [221.26457632238967, 63.60421885981382], 'axes': [67.06255480757777, 67.06255480757777], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 1.3670205636693211, 'phi': -1.7150047628879614, 'norm_pos': [0.6956362033483577, 0.7908099933245565], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851407.657853,"{'circle_3d': {'center': [21.256390602392823, -24.084626944558593, 110.05001652896635], 'normal': [-0.055721572296402136, -0.32516639113522156, -0.9440137310743488], 'radius': 15.743111235879391}, 'confidence': 0.02428915166956541, 'timestamp': 176597.245387, 'diameter_3d': 31.486222471758783, 'ellipse': {'center': [226.0223471968324, 47.74307132390781], 'axes': [84.92567222561806, 98.30048778124907], 'angle': -84.33981184630207}, 'location': [226.0223471968324, 47.74307132390781], 'diameter': 98.30048778124907, 'sphere': {'center': [21.92504946994965, -20.182630250935937, 121.37818130185853], 'radius': 12.0}, 'projected_sphere': {'center': [221.26457632238967, 63.60421885981382], 'axes': [67.06255480757777, 67.06255480757777], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 1.2396086510471378, 'phi': -1.6297541494491516, 'norm_pos': [0.7063198349901013, 0.8010705361503841], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851407.66449,"{'circle_3d': {'center': [23.15170278032595, -25.53989738711953, 110.71070688249806], 'normal': [0.10222110919802525, -0.44643892801529955, -0.8889562016133729], 'radius': 16.561423983443884}, 'confidence': 0.049334221649825184, 'timestamp': 176597.253787, 'diameter_3d': 33.12284796688777, 'ellipse': {'center': [230.56711876175854, 44.41547489995783], 'axes': [77.50001826146229, 102.3027304756431], 'angle': -69.90326844624472}, 'location': [230.56711876175854, 44.41547489995783], 'diameter': 102.3027304756431, 'sphere': {'center': [21.92504946994965, -20.182630250935937, 121.37818130185853], 'radius': 12.0}, 'projected_sphere': {'center': [221.26457632238967, 63.60421885981382], 'axes': [67.06255480757777, 67.06255480757777], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 1.1080146350269788, 'phi': -1.456309130018784, 'norm_pos': [0.7205222461304954, 0.8149355212501757], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851407.673743,"{'circle_3d': {'center': [20.211519164626612, -22.564383794109293, 109.74241471979266], 'normal': [-0.142794192110253, -0.19847946193111302, -0.9696472151721554], 'radius': 3.8183202236375253}, 'confidence': 0.8349861929161159, 'timestamp': 176597.262187, 'diameter_3d': 7.636640447275051, 'ellipse': {'center': [222.5259694978099, 50.337751167815696], 'axes': [22.145559480255, 24.027046846633844], 'angle': 81.19220781878371}, 'location': [222.5259694978099, 50.337751167815696], 'diameter': 24.027046846633844, 'sphere': {'center': [21.92504946994965, -20.182630250935937, 121.37818130185853], 'radius': 12.0}, 'projected_sphere': {'center': [221.26457632238967, 63.60421885981382], 'axes': [67.06255480757777, 67.06255480757777], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 1.3709900535695794, 'phi': -1.717009476987696, 'norm_pos': [0.695393654680656, 0.7902593701341013], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851407.679473,"{'circle_3d': {'center': [22.42719878325355, -24.395347271457155, 110.15317077303678], 'normal': [0.04184577610865858, -0.3510597517101015, -0.9354175440684797], 'radius': 15.769135794573533}, 'confidence': 0.03882921820505981, 'timestamp': 176597.270587, 'diameter_3d': 31.538271589147065, 'ellipse': {'center': [228.95835688030485, 46.981737265764565], 'axes': [82.11641222204508, 97.88716468236555], 'angle': -72.87493284285016}, 'location': [228.95835688030485, 46.981737265764565], 'diameter': 97.88716468236555, 'sphere': {'center': [21.92504946994965, -20.182630250935937, 121.37818130185853], 'radius': 12.0}, 'projected_sphere': {'center': [221.26457632238967, 63.60421885981382], 'axes': [67.06255480757777, 67.06255480757777], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 1.2120936764766992, 'phi': -1.5260912688141317, 'norm_pos': [0.7154948652509526, 0.8042427613926476], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851407.688016,"{'circle_3d': {'center': [23.818875671015668, -26.10739713168034, 111.11608796136557], 'normal': [0.15781885008883495, -0.4937305733953669, -0.8551744450410805], 'radius': 16.717563410264486}, 'confidence': 0.03611232129674239, 'timestamp': 176597.278987, 'diameter_3d': 33.43512682052897, 'ellipse': {'center': [232.10563431610026, 43.08514787695698], 'axes': [72.08482240589291, 102.8488059266859], 'angle': -66.79687862990976}, 'location': [232.10563431610026, 43.08514787695698], 'diameter': 102.8488059266859, 'sphere': {'center': [21.92504946994965, -20.182630250935937, 121.37818130185853], 'radius': 12.0}, 'projected_sphere': {'center': [221.26457632238967, 63.60421885981382], 'axes': [67.06255480757777, 67.06255480757777], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 1.0544218582457845, 'phi': -1.3883037679159147, 'norm_pos': [0.7253301072378133, 0.8204785505126793], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851407.711317,"{'circle_3d': {'center': [20.273446164234695, -22.588234439047692, 109.73836708466887], 'normal': [-0.13763360880957942, -0.20046701567597963, -0.9699845180991385], 'radius': 3.8980847763679143}, 'confidence': 0.8262103547416568, 'timestamp': 176597.295787, 'diameter_3d': 7.796169552735829, 'ellipse': {'center': [222.7201056966826, 50.26549936710158], 'axes': [22.59561850068552, 24.51910288516136], 'angle': 82.05652292414638}, 'location': [222.7201056966826, 50.26549936710158], 'diameter': 24.51910288516136, 'sphere': {'center': [21.92504946994965, -20.182630250935937, 121.37818130185853], 'radius': 12.0}, 'projected_sphere': {'center': [221.26457632238967, 63.60421885981382], 'axes': [67.06255480757777, 67.06255480757777], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 1.3689617369182967, 'phi': -1.7117479854231161, 'norm_pos': [0.6960003303021332, 0.7905604193037434], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851407.7237859,"{'circle_3d': {'center': [18.04337691234804, -24.934154723376814, 111.06529454094827], 'normal': [-0.32347271313346726, -0.3959603727034064, -0.8594072300758548], 'radius': 15.79113679273759}, 'confidence': 0.02508456796287504, 'timestamp': 176597.312587, 'diameter_3d': 31.58227358547518, 'ellipse': {'center': [217.30848074437156, 45.79870458054313], 'axes': [77.75438524356576, 99.24525759869523], 'angle': 67.68151479770293}, 'location': [217.30848074437156, 45.79870458054313], 'diameter': 99.24525759869523, 'sphere': {'center': [21.92504946994965, -20.182630250935937, 121.37818130185853], 'radius': 12.0}, 'projected_sphere': {'center': [221.26457632238967, 63.60421885981382], 'axes': [67.06255480757777, 67.06255480757777], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 1.163682858507045, 'phi': -1.9307855039389485, 'norm_pos': [0.6790890023261611, 0.8091720642477369], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851407.727356,"{'circle_3d': {'center': [20.178606613362387, -22.614810939302803, 109.7577495350174], 'normal': [-0.14553690471560513, -0.20268172403057216, -0.9683693139034281], 'radius': 3.9321703377338353}, 'confidence': 0.8131936550035695, 'timestamp': 176597.320987, 'diameter_3d': 7.864340675467671, 'ellipse': {'center': [222.4205022315217, 50.197552629182724], 'axes': [22.756319314423237, 24.744705907189324], 'angle': 80.97503830199413}, 'location': [222.4205022315217, 50.197552629182724], 'diameter': 24.744705907189324, 'sphere': {'center': [21.92504946994965, -20.182630250935937, 121.37818130185853], 'radius': 12.0}, 'projected_sphere': {'center': [221.26457632238967, 63.60421885981382], 'axes': [67.06255480757777, 67.06255480757777], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 1.3667006144508855, 'phi': -1.7199705681483461, 'norm_pos': [0.6950640694735053, 0.7908435307117386], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851407.740161,"{'circle_3d': {'center': [19.504721149540764, -24.817721560155157, 110.57735080709439], 'normal': [-0.2016940267007405, -0.38625760910160184, -0.9000692078970123], 'radius': 15.14160028219512}, 'confidence': 0.02944681331018538, 'timestamp': 176597.329387, 'diameter_3d': 30.28320056439024, 'ellipse': {'center': [221.19741258233034, 45.82571814986298], 'axes': [77.51893370870381, 94.99277403093399], 'angle': 79.28356822521681}, 'location': [221.19741258233034, 45.82571814986298], 'diameter': 94.99277403093399, 'sphere': {'center': [21.92504946994965, -20.182630250935937, 121.37818130185853], 'radius': 12.0}, 'projected_sphere': {'center': [221.26457632238967, 63.60421885981382], 'axes': [67.06255480757777, 67.06255480757777], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 1.174225469740479, 'phi': -1.7912418236108245, 'norm_pos': [0.6912419143197823, 0.8090595077089042], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851407.7579799,"{'circle_3d': {'center': [20.6634604754112, -25.391178366936543, 110.6413558989675], 'normal': [-0.10513241621153742, -0.4340456763333837, -0.8947354502409186], 'radius': 15.59087959506113}, 'confidence': 0.036409987097006075, 'timestamp': 176597.346187, 'diameter_3d': 31.18175919012226, 'ellipse': {'center': [224.23035433801556, 44.481378955679915], 'axes': [76.98975959762264, 97.26740113597802], 'angle': 89.65174532210871}, 'location': [224.23035433801556, 44.481378955679915], 'diameter': 97.26740113597802, 'sphere': {'center': [21.92504946994965, -20.182630250935937, 121.37818130185853], 'radius': 12.0}, 'projected_sphere': {'center': [221.26457632238967, 63.60421885981382], 'axes': [67.06255480757777, 67.06255480757777], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 1.1218176317521016, 'phi': -1.687761121012188, 'norm_pos': [0.7007198573062986, 0.8146609210180004], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851407.773771,"{'circle_3d': {'center': [21.583356118742554, -26.07344643418146, 110.92918468261544], 'normal': [-0.028474445933924564, -0.4909013486037936, -0.8707497182702575], 'radius': 16.47549455146183}, 'confidence': 0.017748710259371914, 'timestamp': 176597.362987, 'diameter_3d': 32.95098910292366, 'ellipse': {'center': [226.53104418419326, 43.0686490671378], 'axes': [76.14941269813322, 102.23800972754269], 'angle': -83.29363244943224}, 'location': [226.53104418419326, 43.0686490671378], 'diameter': 102.23800972754269, 'sphere': {'center': [21.92504946994965, -20.182630250935937, 121.37818130185853], 'radius': 12.0}, 'projected_sphere': {'center': [221.26457632238967, 63.60421885981382], 'axes': [67.06255480757777, 67.06255480757777], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 1.057672287235826, 'phi': -1.603485746078221, 'norm_pos': [0.7079095130756039, 0.8205472955535925], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
