eye_packets,595
norm_X,norm_Y,phi,theta,confidence,timestamp
1603851407.492197,"{'circle_3d': {'center': [23.365574190022784, -24.425205676451043, 110.24600081959571], 'normal': [0.12004372667276132, -0.353547952126259, -0.9276817068552359], 'radius': 15.667844470973684}, 'confidence': 0.039634137776764194, 'timestamp': 176597.077387, 'diameter_3d': 31.335688941947367, 'ellipse': {'center': [231.32044608406858, 46.89853074095838], 'axes': [79.36454087563315, 96.88622761558628], 'angle': -64.27165580193908}, 'location': [231.32044608406858, 46.89853074095838], 'diameter': 96.88622761558628, 'sphere': {'center': [21.92504946994965, -20.182630250935937, 121.37818130185853], 'radius': 12.0}, 'projected_sphere': {'center': [221.26457632238967, 63.60421885981382], 'axes': [67.06255480757777, 67.06255480757777], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 1.2094350168475947, 'phi': -1.4421095794747851, 'norm_pos': [0.7228763940127143, 0.8045894552460068], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851407.496845,"{'circle_3d': {'center': [22.397964012653954, -26.96921570383779, 111.49290893708478], 'normal': [0.03940954522535881, -0.5655487877418212, -0.8237726970644795], 'radius': 16.607741892295174}, 'confidence': 0.022138933678556707, 'timestamp': 176597.085787, 'diameter_3d': 33.21548378459035, 'ellipse': {'center': [228.37839750797443, 40.90100773272961], 'axes': [68.42404020353511, 102.41499784602406], 'angle': -78.71287446373826}, 'location': [228.37839750797443, 40.90100773272961], 'diameter': 102.41499784602406, 'sphere': {'center': [21.92504946994965, -20.182630250935937, 121.37818130185853], 'radius': 12.0}, 'projected_sphere': {'center': [221.26457632238967, 63.60421885981382], 'axes': [67.06255480757777, 67.06255480757777], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 0.9696977976529648, 'phi': -1.5229924591760502, 'norm_pos': [0.7136824922124201, 0.82957913444696], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851407.507984,"{'circle_3d': {'center': [20.3064533173668, -22.378639815753743, 109.6923912778134], 'normal': [-0.13488301271523734, -0.1830007970681505, -0.9738158353370943], 'radius': 3.776450464900697}, 'confidence': 0.8421962511367929, 'timestamp': 176597.094187, 'diameter_3d': 7.552900929801394, 'ellipse': {'center': [222.8432649163512, 50.87368826645233], 'axes': [22.06901556674321, 23.76170983215778], 'angle': 81.65935071089129}, 'location': [222.8432649163512, 50.87368826645233], 'diameter': 23.76170983215778, 'sphere': {'center': [21.92504946994965, -20.182630250935937, 121.37818130185853], 'radius': 12.0}, 'projected_sphere': {'center': [221.26457632238967, 63.60421885981382], 'axes': [67.06255480757777, 67.06255480757777], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 1.3867583947591562, 'phi': -1.7084303925926698, 'norm_pos': [0.6963852028635975, 0.7880262988897819], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851407.511976,"{'circle_3d': {'center': [21.258063333654878, -23.63477241129014, 109.90482765095526], 'normal': [-0.05558217802456423, -0.2876785133628503, -0.9561128042419399], 'radius': 15.676740126494229}, 'confidence': 0.027552553103845422, 'timestamp': 176597.102587, 'diameter_3d': 31.353480252988458, 'ellipse': {'center': [226.08404277044977, 48.83736874856153], 'axes': [86.72113187646177, 97.9532760451834], 'angle': -84.11013239552618}, 'location': [226.08404277044977, 48.83736874856153], 'diameter': 97.9532760451834, 'sphere': {'center': [21.92504946994965, -20.182630250935937, 121.37818130185853], 'radius': 12.0}, 'projected_sphere': {'center': [221.26457632238967, 63.60421885981382], 'axes': [67.06255480757777, 67.06255480757777], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 1.2789943288817742, 'phi': -1.6288644658808702, 'norm_pos': [0.7065126336576555, 0.7965109635476603], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851407.519914,"{'circle_3d': {'center': [23.487667622116476, -24.64300516859769, 110.34807341007377], 'normal': [0.13021817934723562, -0.3716979098051461, -0.9191756576487307], 'radius': 16.683698897225245}, 'confidence': 0.03753504507019259, 'timestamp': 176597.110987, 'diameter_3d': 33.36739779445049, 'ellipse': {'center': [231.51687042188405, 46.64644638355814], 'axes': [82.9095640744147, 103.10911580316449], 'angle': -64.10094039641262}, 'location': [231.51687042188405, 46.64644638355814], 'diameter': 103.10911580316449, 'sphere': {'center': [21.92504946994965, -20.182630250935937, 121.37818130185853], 'radius': 12.0}, 'projected_sphere': {'center': [221.26457632238967, 63.60421885981382], 'axes': [67.06255480757777, 67.06255480757777], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 1.1899590272209313, 'phi': -1.4300643966627526, 'norm_pos': [0.7234902200683877, 0.8056398067351744], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851407.542089,"{'circle_3d': {'center': [20.002555766945864, -22.486117614855623, 109.75931888223357], 'normal': [-0.1602078085836486, -0.19195728032664033, -0.9682385349687466], 'radius': 4.145656285980551}, 'confidence': 0.82813693960726, 'timestamp': 176597.127787, 'diameter_3d': 8.291312571961102, 'ellipse': {'center': [221.8898374283024, 50.60010116513547], 'axes': [24.079999769930396, 26.12157008450328], 'angle': 78.31914530376827}, 'location': [221.8898374283024, 50.60010116513547], 'diameter': 26.12157008450328, 'sphere': {'center': [21.92504946994965, -20.182630250935937, 121.37818130185853], 'radius': 12.0}, 'projected_sphere': {'center': [221.26457632238967, 63.60421885981382], 'axes': [67.06255480757777, 67.06255480757777], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 1.377640198736221, 'phi': -1.734773797667818, 'norm_pos': [0.693405741963445, 0.7891662451452689], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851407.5603771,"{'circle_3d': {'center': [22.048897218953066, -24.22874818828292, 110.0815627205243], 'normal': [0.01032064575028476, -0.33717649477891537, -0.9413848817778524], 'radius': 15.77848867873927}, 'confidence': 0.0314722590154314, 'timestamp': 176597.144587, 'diameter_3d': 31.55697735747854, 'ellipse': {'center': [228.02448580518185, 47.39267826140738], 'axes': [83.63044457304623, 98.13189032262802], 'angle': -76.24222526697633}, 'location': [228.02448580518185, 47.39267826140738], 'diameter': 98.13189032262802, 'sphere': {'center': [21.92504946994965, -20.182630250935937, 121.37818130185853], 'radius': 12.0}, 'projected_sphere': {'center': [221.26457632238967, 63.60421885981382], 'axes': [67.06255480757777, 67.06255480757777], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 1.2268801761514774, 'phi': -1.5598335075591585, 'norm_pos': [0.7125765181411933, 0.8025305072441359], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851407.5776708,"{'circle_3d': {'center': [20.29209227745785, -22.414801654771953, 109.70124413360307], 'normal': [-0.13607976604098324, -0.18601428365300138, -0.9730780973546224], 'radius': 3.8925554604227126}, 'confidence': 0.8900107853377629, 'timestamp': 176597.161387, 'diameter_3d': 7.785110920845425, 'ellipse': {'center': [222.79789071858633, 50.7727300886193], 'axes': [22.715461381164182, 24.49222210280952], 'angle': 81.62388938710328}, 'location': [222.79789071858633, 50.7727300886193], 'diameter': 24.49222210280952, 'sphere': {'center': [21.92504946994965, -20.182630250935937, 121.37818130185853], 'radius': 12.0}, 'projected_sphere': {'center': [221.26457632238967, 63.60421885981382], 'axes': [67.06255480757777, 67.06255480757777], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 1.3836922647845726, 'phi': -1.709739901450499, 'norm_pos': [0.6962434084955823, 0.7884469579640863], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851407.580599,"{'circle_3d': {'center': [17.933710222092607, -25.312338123127645, 111.29079768892448], 'normal': [-0.33261160398808687, -0.4274756560159758, -0.8406153010778374], 'radius': 15.07278066830226}, 'confidence': 0.03429776977661556, 'timestamp': 176597.169787, 'diameter_3d': 30.14556133660452, 'ellipse': {'center': [216.69835719449978, 44.68979572879665], 'axes': [71.72697436764155, 94.54331365876288], 'angle': 67.71709828878812}, 'location': [216.69835719449978, 44.68979572879665], 'diameter': 94.54331365876288, 'sphere': {'center': [21.92504946994965, -20.182630250935937, 121.37818130185853], 'radius': 12.0}, 'projected_sphere': {'center': [221.26457632238967, 63.60421885981382], 'axes': [67.06255480757777, 67.06255480757777], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 1.1290977323446172, 'phi': -1.9475698815915128, 'norm_pos': [0.6771823662328118, 0.8137925177966806], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851407.5956979,"{'circle_3d': {'center': [17.883572438385777, -26.526141738008025, 112.02797673635698], 'normal': [-0.3367897526303227, -0.5286259572560074, -0.7791837137917964], 'radius': 15.659374564779023}, 'confidence': 0.03855832988316067, 'timestamp': 176597.178187, 'diameter_3d': 31.318749129558046, 'ellipse': {'center': [216.3136645018789, 41.82177422340766], 'axes': [65.93028402451012, 97.6353291595891], 'angle': 69.57101675396179}, 'location': [216.3136645018789, 41.82177422340766], 'diameter': 97.6353291595891, 'sphere': {'center': [21.92504946994965, -20.182630250935937, 121.37818130185853], 'radius': 12.0}, 'projected_sphere': {'center': [221.26457632238967, 63.60421885981382], 'axes': [67.06255480757777, 67.06255480757777], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 1.0138152804509664, 'phi': -1.9787783108803634, 'norm_pos': [0.6759802015683716, 0.8257426074024681], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851407.596086,"{'circle_3d': {'center': [17.83589418670688, -27.278043930027728, 112.60698333395901], 'normal': [-0.3407629402702308, -0.5912844732576495, -0.7309331639916274], 'radius': 16.492216719520883}, 'confidence': 0.03039278185177298, 'timestamp': 176597.186587, 'diameter_3d': 32.984433439041766, 'ellipse': {'center': [216.09278211511605, 40.187451933505216], 'axes': [62.78371270884059, 102.40332930161259], 'angle': 70.22513828757094}, 'location': [216.09278211511605, 40.187451933505216], 'diameter': 102.40332930161259, 'sphere': {'center': [21.92504946994965, -20.182630250935937, 121.37818130185853], 'radius': 12.0}, 'projected_sphere': {'center': [221.26457632238967, 63.60421885981382], 'axes': [67.06255480757777, 67.06255480757777], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 0.9381456899923475, 'phi': -2.007042340844833, 'norm_pos': [0.6752899441097376, 0.8325522836103949], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
