eye_packets,547
norm_X,norm_Y,phi,theta,confidence,timestamp
1603851426.473189,"{'circle_3d': {'center': [16.308754971828808, -20.5352070644742, 77.67481848819801], 'normal': [0.08112248526746771, -0.7023514032568989, -0.7071927945950061], 'radius': 16.274584026280476}, 'confidence': 0.06255136611018912, 'timestamp': 176616.061387, 'diameter_3d': 32.54916805256095, 'ellipse': {'center': [231.9358973113733, 35.883393879293095], 'axes': [72.52151114886094, 145.26706769413335], 'angle': -78.53308552825234}, 'location': [231.9358973113733, 35.883393879293095], 'diameter': 145.26706769413335, 'sphere': {'center': [15.335285148619196, -12.106990225391415, 86.16113202333808], 'radius': 12.0}, 'projected_sphere': {'center': [220.36565785825906, 72.34216888982525], 'axes': [94.4733517869191, 94.4733517869191], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 0.7921008704905171, 'phi': -1.4565849662589867, 'norm_pos': [0.7247996790980415, 0.8504858588362788], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851426.491919,"{'circle_3d': {'center': [14.865975464322286, -16.516185299053756, 75.01040347213494], 'normal': [-0.03910914035807585, -0.3674329228051951, -0.9292273792669284], 'radius': 2.5939497427207905}, 'confidence': 0.9121237090283603, 'timestamp': 176616.078187, 'diameter_3d': 5.187899485441581, 'ellipse': {'center': [227.2430693748184, 45.447440453451335], 'axes': [19.85387774440877, 23.731865097355122], 'angle': -82.57442641628201}, 'location': [227.2430693748184, 45.447440453451335], 'diameter': 23.731865097355122, 'sphere': {'center': [15.335285148619196, -12.106990225391415, 86.16113202333808], 'radius': 12.0}, 'projected_sphere': {'center': [220.36565785825906, 72.34216888982525], 'axes': [94.4733517869191, 94.4733517869191], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 1.1945489657456876, 'phi': -1.6128593065526058, 'norm_pos': [0.7101345917963074, 0.8106356647772861], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851426.510761,"{'circle_3d': {'center': [15.501274089094066, -18.244826238515415, 75.85097117359194], 'normal': [0.013832411706239169, -0.5114863344270001, -0.8591800708121784], 'radius': 15.36850419222233}, 'confidence': 0.057861320567331884, 'timestamp': 176616.094987, 'diameter_3d': 30.73700838444466, 'ellipse': {'center': [229.89896163143865, 43.718138381645986], 'axes': [100.77394870275187, 139.70318894433697], 'angle': -79.54062726425285}, 'location': [229.89896163143865, 43.718138381645986], 'diameter': 139.70318894433697, 'sphere': {'center': [15.335285148619196, -12.106990225391415, 86.16113202333808], 'radius': 12.0}, 'projected_sphere': {'center': [220.36565785825906, 72.34216888982525], 'axes': [94.4733517869191, 94.4733517869191], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 1.033882704173633, 'phi': -1.554698168489784, 'norm_pos': [0.7184342550982458, 0.8178410900764751], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851426.512322,"{'circle_3d': {'center': [16.045591802711055, -20.262879391385745, 77.38748190670081], 'normal': [0.059192221174321574, -0.6796574304995273, -0.7311375097197724], 'radius': 15.903303059126488}, 'confidence': 0.06266681790622422, 'timestamp': 176616.103387, 'diameter_3d': 31.806606118252976, 'ellipse': {'center': [231.10019936327257, 36.674208452714154], 'axes': [76.05600333688972, 142.3744919827466], 'angle': -79.56431435556256}, 'location': [231.10019936327257, 36.674208452714154], 'diameter': 142.3744919827466, 'sphere': {'center': [15.335285148619196, -12.106990225391415, 86.16113202333808], 'radius': 12.0}, 'projected_sphere': {'center': [220.36565785825906, 72.34216888982525], 'axes': [94.4733517869191, 94.4733517869191], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 0.823500808431209, 'phi': -1.4900134316923437, 'norm_pos': [0.7221881230102267, 0.847190798113691], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851426.523773,"{'circle_3d': {'center': [14.877424583264375, -16.590089728993767, 75.03943329771647], 'normal': [-0.038155047112901734, -0.3735916253001961, -0.926808227135134], 'radius': 2.772407318320316}, 'confidence': 0.8666903566799364, 'timestamp': 176616.111787, 'diameter_3d': 5.544814636640632, 'ellipse': {'center': [227.27241584561784, 45.16188173294853], 'axes': [21.10540068311759, 25.3554816183039], 'angle': -82.54842340677197}, 'location': [227.27241584561784, 45.16188173294853], 'diameter': 25.3554816183039, 'sphere': {'center': [15.335285148619196, -12.106990225391415, 86.16113202333808], 'radius': 12.0}, 'projected_sphere': {'center': [220.36565785825906, 72.34216888982525], 'axes': [94.4733517869191, 94.4733517869191], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 1.1879183279805678, 'phi': -1.6119413150944926, 'norm_pos': [0.7102262995175558, 0.8118254927793811], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851426.527782,"{'circle_3d': {'center': [16.10377454396792, -18.709785450603313, 76.17051045793208], 'normal': [0.06404078294572695, -0.5502329354343248, -0.832551797117167], 'radius': 15.119951148555739}, 'confidence': 0.05505939746500208, 'timestamp': 176616.120187, 'diameter_3d': 30.239902297111477, 'ellipse': {'center': [231.86148932895722, 41.86841856270459], 'axes': [92.32889839725142, 136.76005038612374], 'angle': -76.08962547517446}, 'location': [231.86148932895722, 41.86841856270459], 'diameter': 136.76005038612374, 'sphere': {'center': [15.335285148619196, -12.106990225391415, 86.16113202333808], 'radius': 12.0}, 'projected_sphere': {'center': [220.36565785825906, 72.34216888982525], 'axes': [94.4733517869191, 94.4733517869191], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 0.9881531537096704, 'phi': -1.4940264212326124, 'norm_pos': [0.7245671541529913, 0.8255482559887308], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851426.536447,"{'circle_3d': {'center': [15.504436590843019, -18.791856131550844, 76.19699856346006], 'normal': [0.01409595351865193, -0.5570721588466191, -0.8303444549898357], 'radius': 15.56120594614922}, 'confidence': 0.050617951985841, 'timestamp': 176616.128587, 'diameter_3d': 31.12241189229844, 'ellipse': {'center': [229.75026133717347, 41.88627489480125], 'axes': [95.75098867846383, 141.04064078477364], 'angle': -80.46402957077372}, 'location': [229.75026133717347, 41.88627489480125], 'diameter': 141.04064078477364, 'sphere': {'center': [15.335285148619196, -12.106990225391415, 86.16113202333808], 'radius': 12.0}, 'projected_sphere': {'center': [220.36565785825906, 72.34216888982525], 'axes': [94.4733517869191, 94.4733517869191], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 0.9799402610096909, 'phi': -1.553821925889056, 'norm_pos': [0.7179695666786671, 0.8254738546049948], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851426.562285,"{'circle_3d': {'center': [16.06546234908212, -20.840976942420298, 77.9645280141958], 'normal': [0.06084810003857713, -0.7278322264190734, -0.6830503340951897], 'radius': 16.35332710123053}, 'confidence': 0.057556228340732506, 'timestamp': 176616.145387, 'diameter_3d': 32.70665420246106, 'ellipse': {'center': [230.93306572931343, 34.7546639896551], 'axes': [68.54024571993304, 145.67544554095633], 'angle': -80.51527012821505}, 'location': [230.93306572931343, 34.7546639896551], 'diameter': 145.67544554095633, 'sphere': {'center': [15.335285148619196, -12.106990225391415, 86.16113202333808], 'radius': 12.0}, 'projected_sphere': {'center': [220.36565785825906, 72.34216888982525], 'axes': [94.4733517869191, 94.4733517869191], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 0.7556408500057097, 'phi': -1.4819479646583045, 'norm_pos': [0.7216658304041045, 0.8551889000431038], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851426.575441,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 176616.162187, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [15.335285148619196, -12.106990225391415, 86.16113202333808], 'radius': 12.0}, 'projected_sphere': {'center': [220.36565785825906, 72.34216888982525], 'axes': [94.4733517869191, 94.4733517869191], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851426.585309,"{'circle_3d': {'center': [-4.9593175634891296, -3.702941504390778, 20.550841753816854], 'normal': [0.12397044892381343, -0.0961147742061124, -0.9876200068715377], 'radius': 1.0}, 'confidence': 0.0, 'timestamp': 176616.170587, 'diameter_3d': 2.0, 'ellipse': {'center': [78.05008697529948, 58.9606437683328], 'axes': [32.26938629129551, 33.772380828637154], 'angle': -82.29009246822068}, 'location': [78.05008697529948, 58.9606437683328], 'diameter': 33.772380828637154, 'sphere': {'center': [15.335285148619196, -12.106990225391415, 86.16113202333808], 'radius': 12.0}, 'projected_sphere': {'center': [220.36565785825906, 72.34216888982525], 'axes': [94.4733517869191, 94.4733517869191], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 1.4745329484785246, 'phi': -1.4459249933030536, 'norm_pos': [0.24390652179781086, 0.75433065096528], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
1603851426.5947719,"{'circle_3d': {'center': [12.75344868215124, -13.688597147298006, 74.54938624567858], 'normal': [-0.21515303887232973, -0.13180057682554924, -0.9676454814716257], 'radius': 15.137667069665339}, 'confidence': 0.04422584933775566, 'timestamp': 176616.178987, 'diameter_3d': 30.275334139330678, 'ellipse': {'center': [221.09381897594665, 59.3477714316319], 'axes': [132.24361920865417, 141.18343608417496], 'angle': 67.32028770579151}, 'location': [221.09381897594665, 59.3477714316319], 'diameter': 141.18343608417496, 'sphere': {'center': [15.335285148619196, -12.106990225391415, 86.16113202333808], 'radius': 12.0}, 'projected_sphere': {'center': [220.36565785825906, 72.34216888982525], 'axes': [94.4733517869191, 94.4733517869191], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 10, 'model_birth_timestamp': 176589.130987, 'theta': 1.4386111425443542, 'phi': -1.7895841448849934, 'norm_pos': [0.6909181842998333, 0.7527176190348671], 'topic': 'pupil.1.3d', 'id': 1, 'method': '3d c++'}"
