eye_packets,772
norm_X,norm_Y,phi,theta,confidence,timestamp
1582015042.574764,"{'circle_3d': {'center': [-0.8001900826191445, 1.3457875619079882, 16.496546920075758], 'normal': [-0.1426737366823349, 0.5741683009522123, -0.8062102498993359], 'radius': 0.4420421431302393}, 'confidence': 0.9999916619172713, 'timestamp': 7824.874074, 'diameter_3d': 0.8840842862604786, 'ellipse': {'center': [129.969616675488, 170.38616307684342], 'axes': [25.000406762890865, 33.24132911524323], 'angle': -74.43600376250666}, 'location': [129.969616675488, 170.38616307684342], 'diameter': 33.24132911524323, 'sphere': {'center': [0.9118947575688744, -5.544232049518559, 26.17106991886779], 'radius': 12.0}, 'projected_sphere': {'center': [181.60304303360178, -11.344415087261211], 'axes': [568.5667435885914, 568.5667435885914], 'angle': 90.0}, 'model_confidence': 0.9103464559303887, 'model_id': 1, 'model_birth_timestamp': 7722.414195, 'theta': 2.1823842811866543, 'phi': -1.7459512602490048, 'norm_pos': [0.4061550521109, 0.29005765384648574], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582015042.5828009,"{'circle_3d': {'center': [-0.8023840460916692, 1.3496639835722064, 16.4996974377638], 'normal': [-0.14285656697171198, 0.5744913360908971, -0.805947706758666], 'radius': 0.45224808407396677}, 'confidence': 0.9992527217638784, 'timestamp': 7824.882474, 'diameter_3d': 0.9044961681479335, 'ellipse': {'center': [129.89496160193792, 170.51320905687544], 'axes': [25.558011582008188, 34.00255581318908], 'angle': -74.42572447167939}, 'location': [129.89496160193792, 170.51320905687544], 'diameter': 34.00255581318908, 'sphere': {'center': [0.9118947575688744, -5.544232049518559, 26.17106991886779], 'radius': 12.0}, 'projected_sphere': {'center': [181.60304303360178, -11.344415087261211], 'axes': [568.5667435885914, 568.5667435885914], 'angle': 90.0}, 'model_confidence': 0.9103023092732143, 'model_id': 1, 'model_birth_timestamp': 7722.414195, 'theta': 2.182778888652824, 'phi': -1.7462271074301885, 'norm_pos': [0.405921755006056, 0.2895282955963523], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582015042.590514,"{'circle_3d': {'center': [-0.7992087248203942, 1.349629085890439, 16.499110266436816], 'normal': [-0.1425919568657724, 0.5744884279507498, -0.8059966377025811], 'radius': 0.4425105904603329}, 'confidence': 0.9994962648039554, 'timestamp': 7824.890873, 'diameter_3d': 0.8850211809206658, 'ellipse': {'center': [130.0112053541394, 170.5222973519934], 'axes': [25.01135485160471, 33.271326542871094], 'angle': -74.45858086981977}, 'location': [130.0112053541394, 170.5222973519934], 'diameter': 33.271326542871094, 'sphere': {'center': [0.9118947575688744, -5.544232049518559, 26.17106991886779], 'radius': 12.0}, 'projected_sphere': {'center': [181.60304303360178, -11.344415087261211], 'axes': [568.5667435885914, 568.5667435885914], 'angle': 90.0}, 'model_confidence': 0.9103540187514803, 'model_id': 1, 'model_birth_timestamp': 7722.414195, 'theta': 2.182775335691752, 'phi': -1.745898354121757, 'norm_pos': [0.40628501673168566, 0.28949042770002753], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582015042.59876,"{'circle_3d': {'center': [-0.8027094904414348, 1.3506403860432847, 16.500451201844847], 'normal': [-0.14288368733419243, 0.574572702963487, -0.8058848930852452], 'radius': 0.44295387971432104}, 'confidence': 0.9997895956594754, 'timestamp': 7824.899273, 'diameter_3d': 0.8859077594286421, 'ellipse': {'center': [129.88224760101434, 170.55583166200591], 'axes': [25.027854954140587, 33.302067206421754], 'angle': -74.42554385686161}, 'location': [129.88224760101434, 170.55583166200591], 'diameter': 33.302067206421754, 'sphere': {'center': [0.9118947575688744, -5.544232049518559, 26.17106991886779], 'radius': 12.0}, 'projected_sphere': {'center': [181.60304303360178, -11.344415087261211], 'axes': [568.5667435885914, 568.5667435885914], 'angle': 90.0}, 'model_confidence': 0.9105487656627331, 'model_id': 1, 'model_birth_timestamp': 7722.414195, 'theta': 2.1828783005667, 'phi': -1.746273129737207, 'norm_pos': [0.40588202375316984, 0.28935070140830865], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582015042.6065521,"{'circle_3d': {'center': [-0.8030872108737809, 1.3499998649200036, 16.50006153515447], 'normal': [-0.14291516403688795, 0.5745193262032136, -0.8059173653094435], 'radius': 0.4458714777599046}, 'confidence': 0.999815729665393, 'timestamp': 7824.907673, 'diameter_3d': 0.8917429555198092, 'ellipse': {'center': [129.86793481832052, 170.5303899073757], 'axes': [25.195147492386972, 33.52228401195448], 'angle': -74.41954734690583}, 'location': [129.86793481832052, 170.5303899073757], 'diameter': 33.52228401195448, 'sphere': {'center': [0.9118947575688744, -5.544232049518559, 26.17106991886779], 'radius': 12.0}, 'projected_sphere': {'center': [181.60304303360178, -11.344415087261211], 'axes': [568.5667435885914, 568.5667435885914], 'angle': 90.0}, 'model_confidence': 0.9107784008682285, 'model_id': 1, 'model_birth_timestamp': 7722.414195, 'theta': 2.1828130854562535, 'phi': -1.746304070093569, 'norm_pos': [0.4058372963072516, 0.2894567087192679], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582015042.614658,"{'circle_3d': {'center': [-0.8005765251719089, 1.3500416668400739, 16.499646444026318], 'normal': [-0.1427059402283986, 0.5745228096965528, -0.8059519562367892], 'radius': 0.4432688195428383}, 'confidence': 0.9997050447237609, 'timestamp': 7824.916073, 'diameter_3d': 0.8865376390856766, 'ellipse': {'center': [129.96095508129474, 170.53550571449358], 'axes': [25.050807753223186, 33.32730975030207], 'angle': -74.44572289662486}, 'location': [129.96095508129474, 170.53550571449358], 'diameter': 33.32730975030207, 'sphere': {'center': [0.9118947575688744, -5.544232049518559, 26.17106991886779], 'radius': 12.0}, 'projected_sphere': {'center': [181.60304303360178, -11.344415087261211], 'axes': [568.5667435885914, 568.5667435885914], 'angle': 90.0}, 'model_confidence': 0.911019540929725, 'model_id': 1, 'model_birth_timestamp': 7722.414195, 'theta': 2.182817341457203, 'phi': -1.74604499552559, 'norm_pos': [0.4061279846290461, 0.28943539285627673], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582015042.622449,"{'circle_3d': {'center': [-0.8009284179328248, 1.3517641899007202, 16.500936898304968], 'normal': [-0.1427352646251416, 0.57466635328494, -0.8058444183802351], 'radius': 0.44469833194510944}, 'confidence': 0.9998663171451172, 'timestamp': 7824.924473, 'diameter_3d': 0.8893966638902189, 'ellipse': {'center': [129.95035957802298, 170.595031673354], 'axes': [25.123677932464243, 33.43219669591759], 'angle': -74.4476231947479}, 'location': [129.95035957802298, 170.595031673354], 'diameter': 33.43219669591759, 'sphere': {'center': [0.9118947575688744, -5.544232049518559, 26.17106991886779], 'radius': 12.0}, 'projected_sphere': {'center': [181.60304303360178, -11.344415087261211], 'axes': [568.5667435885914, 568.5667435885914], 'angle': 90.0}, 'model_confidence': 0.9114762281733024, 'model_id': 1, 'model_birth_timestamp': 7722.414195, 'theta': 2.1829927286654467, 'phi': -1.7461031889514522, 'norm_pos': [0.4060948736813218, 0.28918736802769174], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582015042.630944,"{'circle_3d': {'center': [-0.8006355474488988, 1.3498354918776476, 16.49950992634006], 'normal': [-0.1427108587514811, 0.5745056284496839, -0.8059633327106441], 'radius': 0.44077978360798376}, 'confidence': 0.9999243327604134, 'timestamp': 7824.932873, 'diameter_3d': 0.8815595672159675, 'ellipse': {'center': [129.95799986244936, 170.5303534242503], 'axes': [24.910896801404, 33.140401844823444], 'angle': -74.4444562483484}, 'location': [129.95799986244936, 170.5303534242503], 'diameter': 33.140401844823444, 'sphere': {'center': [0.9118947575688744, -5.544232049518559, 26.17106991886779], 'radius': 12.0}, 'projected_sphere': {'center': [181.60304303360178, -11.344415087261211], 'axes': [568.5667435885914, 568.5667435885914], 'angle': 90.0}, 'model_confidence': 0.911818522483987, 'model_id': 1, 'model_birth_timestamp': 7722.414195, 'theta': 2.1827963501802343, 'phi': -1.7460484893099877, 'norm_pos': [0.40611874957015426, 0.2894568607322904], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582015042.63888,"{'circle_3d': {'center': [-0.8030277090642014, 1.3497930891968668, 16.49990358175018], 'normal': [-0.14291020555275633, 0.5745020948929521, -0.8059305280931344], 'radius': 0.4461820986442584}, 'confidence': 0.9997917425604418, 'timestamp': 7824.941273, 'diameter_3d': 0.8923641972885168, 'ellipse': {'center': [129.8699445836539, 170.52282794624026], 'axes': [25.213688044823986, 33.54596467468997], 'angle': -74.41949470821314}, 'location': [129.8699445836539, 170.52282794624026], 'diameter': 33.54596467468997, 'sphere': {'center': [0.9118947575688744, -5.544232049518559, 26.17106991886779], 'radius': 12.0}, 'projected_sphere': {'center': [181.60304303360178, -11.344415087261211], 'axes': [568.5667435885914, 568.5667435885914], 'angle': 90.0}, 'model_confidence': 0.9120788939453117, 'model_id': 1, 'model_birth_timestamp': 7722.414195, 'theta': 2.182792033077419, 'phi': -1.7462952972000454, 'norm_pos': [0.4058435768239185, 0.2894882168906656], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582015042.650542,"{'circle_3d': {'center': [-0.8069082269473028, 1.349577395769268, 16.500438727860733], 'normal': [-0.14323358204301476, 0.5744841204406522, -0.8058859325839216], 'radius': 0.44878333271148413}, 'confidence': 0.9994013586535384, 'timestamp': 7824.949673, 'diameter_3d': 0.8975666654229683, 'ellipse': {'center': [129.7257086937242, 170.51080593445425], 'axes': [25.35702742118712, 33.740629121862234], 'angle': -74.37856905799069}, 'location': [129.7257086937242, 170.51080593445425], 'diameter': 33.740629121862234, 'sphere': {'center': [0.9118947575688744, -5.544232049518559, 26.17106991886779], 'radius': 12.0}, 'projected_sphere': {'center': [181.60304303360178, -11.344415087261211], 'axes': [568.5667435885914, 568.5667435885914], 'angle': 90.0}, 'model_confidence': 0.9124049342193685, 'model_id': 1, 'model_birth_timestamp': 7722.414195, 'theta': 2.182770073095188, 'phi': -1.7466938181191176, 'norm_pos': [0.4053928396678881, 0.2895383086064406], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582015042.658582,"{'circle_3d': {'center': [-0.8042446137498657, 1.3516470749626546, 16.50144134488658], 'normal': [-0.14301161427656167, 0.5746565937067678, -0.8058023811651011], 'radius': 0.44376154103500826}, 'confidence': 0.9975234528557964, 'timestamp': 7824.958073, 'diameter_3d': 0.8875230820700165, 'ellipse': {'center': [129.82655766888058, 170.58992959196274], 'axes': [25.06728611527648, 33.36084491662441], 'angle': -74.41288418578529}, 'location': [129.82655766888058, 170.58992959196274], 'diameter': 33.36084491662441, 'sphere': {'center': [0.9118947575688744, -5.544232049518559, 26.17106991886779], 'radius': 12.0}, 'projected_sphere': {'center': [181.60304303360178, -11.344415087261211], 'axes': [568.5667435885914, 568.5667435885914], 'angle': 90.0}, 'model_confidence': 0.9126244070589817, 'model_id': 1, 'model_birth_timestamp': 7722.414195, 'theta': 2.1829808033442557, 'phi': -1.7464446449813786, 'norm_pos': [0.4057079927152518, 0.28920862670015524], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
