,0,1
0,1626659913.932257,"{'id': 0, 'topic': 'pupil.0.2d', 'method': '2d c++', 'norm_pos': [0.29347192764282226, 0.137660083770752], 'diameter': 84.22277069091797, 'confidence': 1.0, 'timestamp': 651546.53165, 'ellipse': {'axes': [38.74115753173828, 84.22277069091797], 'angle': 147.62237548828128, 'center': [117.3887710571289, 344.9359664916992]}}"
1,1626659913.932301,"{'id': 0, 'topic': 'pupil.0.3d', 'method': 'pye3d 0.0.6 real-time', 'norm_pos': [0.2934451107882881, 0.1376608357170067], 'diameter': 84.2137082054771, 'confidence': 1.0, 'timestamp': 651546.53165, 'sphere': {'center': [6.2545919055448405, -0.8182760664470288, 19.637257176418785], 'radius': 10.392304845413264}, 'projected_sphere': {'center': [380.4421421160962, 176.34237824020556], 'axes': [730.3214744201487, 730.3214744201487], 'angle': 0.0}, 'circle_3d': {'center': [-1.795524580225182, 3.9581149968005955, 15.122646121581177], 'normal': [-0.7746228200111944, 0.45960844435348974, -0.4344186512994922], 'radius': 0.8118497383928649}, 'diameter_3d': 1.2278032310157603, 'ellipse': {'center': [117.37804431531525, 344.9356657131973], 'axes': [38.10449304872674, 84.2137082054771], 'angle': 147.39399755290717}, 'location': [117.37804431531525, 344.9356657131973], 'model_confidence': 1.0, 'theta': 1.0932420592391903, 'phi': -2.6304855344381215}"
2,1626659913.948083,"{'id': 0, 'topic': 'pupil.0.2d', 'method': '2d c++', 'norm_pos': [0.29289926528930665, 0.1386226844787598], 'diameter': 84.85588836669922, 'confidence': 1.0, 'timestamp': 651546.547783, 'ellipse': {'axes': [38.43118667602539, 84.85588836669922], 'angle': 147.3940887451172, 'center': [117.15970611572266, 344.5509262084961]}}"
3,1626659913.9536068,"{'id': 0, 'topic': 'pupil.0.3d', 'method': 'pye3d 0.0.6 real-time', 'norm_pos': [0.2929019960991738, 0.13861775221660877], 'diameter': 84.85946318605572, 'confidence': 1.0, 'timestamp': 651546.547783, 'sphere': {'center': [6.2545919055448405, -0.8182760664470288, 19.637257176418785], 'radius': 10.392304845413264}, 'projected_sphere': {'center': [380.4421421160962, 176.34237824020556], 'axes': [730.3214744201487, 730.3214744201487], 'angle': 0.0}, 'circle_3d': {'center': [-1.7980645708570862, 3.945989256004062, 15.114370972858925], 'normal': [-0.7748672307237059, 0.4584416444013227, -0.43521492785655486], 'radius': 0.8175458838583209}, 'diameter_3d': 1.2374153643059758, 'ellipse': {'center': [117.16079843966952, 344.5528991133565], 'axes': [38.44427252473766, 84.85946318605572], 'angle': 147.46622791775542}, 'location': [117.16079843966952, 344.5528991133565], 'model_confidence': 1.0, 'theta': 1.0945553972248339, 'phi': -2.6298385809658624}"
4,1626659913.965772,"{'id': 0, 'topic': 'pupil.0.2d', 'method': '2d c++', 'norm_pos': [0.2933576011657715, 0.1381361770629883], 'diameter': 84.72541809082031, 'confidence': 1.0, 'timestamp': 651546.563915, 'ellipse': {'axes': [38.414817810058594, 84.72541809082031], 'angle': 147.38200378417963, 'center': [117.3430404663086, 344.7455291748047]}}"
5,1626659913.965815,"{'id': 0, 'topic': 'pupil.0.3d', 'method': 'pye3d 0.0.6 real-time', 'norm_pos': [0.29336007287958416, 0.13813387935878108], 'diameter': 84.72747248895855, 'confidence': 1.0, 'timestamp': 651546.563915, 'sphere': {'center': [6.2545919055448405, -0.8182760664470288, 19.637257176418785], 'radius': 10.392304845413264}, 'projected_sphere': {'center': [380.4421421160962, 176.34237824020556], 'axes': [730.3214744201487, 730.3214744201487], 'angle': 0.0}, 'circle_3d': {'center': [-1.7906233086804448, 3.9469381470311107, 15.102144646782513], 'normal': [-0.7741511949369069, 0.4585329514829724, -0.43639140663179116], 'radius': 0.8163805122782841}, 'diameter_3d': 1.2352249591833175, 'ellipse': {'center': [117.34402915183365, 344.74644825648755], 'axes': [38.4491950999178, 84.72747248895855], 'angle': 147.4254555093279}, 'location': [117.34402915183365, 344.74644825648755], 'model_confidence': 1.0, 'theta': 1.094452655036229, 'phi': -2.6282897569229524}"
6,1626659913.980511,"{'id': 0, 'topic': 'pupil.0.2d', 'method': '2d c++', 'norm_pos': [0.2930566215515137, 0.13880027770996095], 'diameter': 84.53865814208984, 'confidence': 1.0, 'timestamp': 651546.580048, 'ellipse': {'axes': [38.42869186401367, 84.53865814208984], 'angle': 147.6639099121094, 'center': [117.22264862060547, 344.4798889160156]}}"
7,1626659913.980587,"{'id': 0, 'topic': 'pupil.0.3d', 'method': 'pye3d 0.0.6 real-time', 'norm_pos': [0.29305061806694244, 0.1388130841172307], 'diameter': 84.52966856405436, 'confidence': 1.0, 'timestamp': 651546.580048, 'sphere': {'center': [6.2545919055448405, -0.8182760664470288, 19.637257176418785], 'radius': 10.392304845413264}, 'projected_sphere': {'center': [380.4421421160962, 176.34237824020556], 'axes': [730.3214744201487, 730.3214744201487], 'angle': 0.0}, 'circle_3d': {'center': [-1.7921978372902423, 3.9358270554817127, 15.093285528105879], 'normal': [-0.7743027040230257, 0.45746378620013317, -0.437243875723914], 'radius': 0.8148354175934791}, 'diameter_3d': 1.232389086736057, 'ellipse': {'center': [117.22024722677698, 344.4747663531077], 'axes': [38.41911500449012, 84.52966856405436], 'angle': 147.48405156060917}, 'location': [117.22024722677698, 344.4747663531077], 'model_confidence': 1.0, 'theta': 1.0956553793190753, 'phi': -2.62753830803303}"
8,1626659913.9981241,"{'id': 0, 'topic': 'pupil.0.2d', 'method': '2d c++', 'norm_pos': [0.293101806640625, 0.13833366394042967], 'diameter': 84.55691528320312, 'confidence': 1.0, 'timestamp': 651546.59618, 'ellipse': {'axes': [38.075531005859375, 84.55691528320312], 'angle': 147.1438446044922, 'center': [117.24072265625, 344.6665344238281]}}"
9,1626659913.998195,"{'id': 0, 'topic': 'pupil.0.3d', 'method': 'pye3d 0.0.6 real-time', 'norm_pos': [0.2931214634487846, 0.13832047394107505], 'diameter': 84.57044902602453, 'confidence': 1.0, 'timestamp': 651546.59618, 'sphere': {'center': [6.2545919055448405, -0.8182760664470288, 19.637257176418785], 'radius': 10.392304845413264}, 'projected_sphere': {'center': [380.4421421160962, 176.34237824020556], 'axes': [730.3214744201487, 730.3214744201487], 'angle': 0.0}, 'circle_3d': {'center': [-1.7898851209201236, 3.9440600964279633, 15.097814078146653], 'normal': [-0.7740801627865512, 0.45825601093456103, -0.4368081157930674], 'radius': 0.8151899000970935}, 'diameter_3d': 1.2331006351091904, 'ellipse': {'center': [117.24858537951384, 344.67181042357], 'axes': [38.399007141253975, 84.57044902602453], 'angle': 147.4390567322286}, 'location': [117.24858537951384, 344.67181042357], 'model_confidence': 1.0, 'theta': 1.094764262250931, 'phi': -2.6278420987946127}"
