eye_packets,767
norm_X,norm_Y,phi,theta,confidence,timestamp
1581554901.5341802,"{'circle_3d': {'center': [-1.709984436226719e-05, 2.599567321404095e-06, 0.00011657192387204418], 'normal': [-0.25639351528822996, 0.5264079338665342, -0.8106522389289446], 'radius': 4.521026403226336e-06}, 'confidence': 0.9999999999999069, 'timestamp': 400315.349273, 'diameter_3d': 9.042052806452673e-06, 'ellipse': {'center': [69.1996900919153, 133.43504375105883], 'axes': [36.41334308221882, 48.390778273959704], 'angle': -56.84731977770306}, 'location': [69.1996900919153, 133.43504375105883], 'diameter': 48.390778273959704, 'sphere': {'center': [3.076705083614397, -6.316892606831089, 9.727943439071208], 'radius': 12.0}, 'projected_sphere': {'center': [356.0904854955709, -282.6003482406357], 'axes': [1529.614156702035, 1529.614156702035], 'angle': 90.0}, 'model_confidence': 0.9682326521815776, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.12516653318214, 'phi': -1.877121657463885, 'norm_pos': [0.21624903153723532, 0.44402065103725485], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581554901.625431,"{'circle_3d': {'center': [-1.7244100982249932e-05, 2.4984774347203142e-06, 0.00011655190535542204], 'normal': [-0.25639352730961495, 0.5264079254423769, -0.8106522405971543], 'radius': 4.499070827739098e-06}, 'confidence': 0.9999999999999952, 'timestamp': 400315.441673, 'diameter_3d': 8.998141655478196e-06, 'ellipse': {'center': [68.41491835537681, 132.9030528495896], 'axes': [36.243420281240574, 48.171056940342446], 'angle': -56.759743440395944}, 'location': [68.41491835537681, 132.9030528495896], 'diameter': 48.171056940342446, 'sphere': {'center': [3.076705083614397, -6.316892606831089, 9.727943439071208], 'radius': 12.0}, 'projected_sphere': {'center': [356.0904854955709, -282.6003482406357], 'axes': [1529.614156702035, 1529.614156702035], 'angle': 90.0}, 'model_confidence': 0.97066901608025, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.1251665232740726, 'phi': -1.8771216703529607, 'norm_pos': [0.21379661986055254, 0.4462372797933766], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581554901.6330152,"{'circle_3d': {'center': [-1.7207226891802208e-05, 2.5634001330487877e-06, 0.00011658240122613961], 'normal': [-0.2563935242367741, 0.5264079308526018, -0.8106522380558319], 'radius': 4.533949636366619e-06}, 'confidence': 0.9999999999999687, 'timestamp': 400315.450073, 'diameter_3d': 9.067899272733237e-06, 'ellipse': {'center': [68.63731312578227, 133.23918994361355], 'axes': [36.50768938046643, 48.52917134457642], 'angle': -56.797186039924554}, 'location': [68.63731312578227, 133.23918994361355], 'diameter': 48.52917134457642, 'sphere': {'center': [3.076705083614397, -6.316892606831089, 9.727943439071208], 'radius': 12.0}, 'projected_sphere': {'center': [356.0904854955709, -282.6003482406357], 'axes': [1529.614156702035, 1529.614156702035], 'angle': 90.0}, 'model_confidence': 0.9716190336227948, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.1251665296373052, 'phi': -1.8771216678084315, 'norm_pos': [0.2144916035180696, 0.44483670856827684], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581554901.6414678,"{'circle_3d': {'center': [-1.7234388614006946e-05, 2.5772086518216497e-06, 0.00011659995869628403], 'normal': [-0.25639352650025093, 0.5264079320033117, -0.8106522365927092], 'radius': 4.6058278817113694e-06}, 'confidence': 0.9999999999997945, 'timestamp': 400315.458473, 'diameter_3d': 9.211655763422739e-06, 'ellipse': {'center': [68.5112663326309, 133.2981463430121], 'axes': [37.075483492637, 49.29205433809596], 'angle': -56.79317073419895}, 'location': [68.5112663326309, 133.2981463430121], 'diameter': 49.29205433809596, 'sphere': {'center': [3.076705083614397, -6.316892606831089, 9.727943439071208], 'radius': 12.0}, 'projected_sphere': {'center': [356.0904854955709, -282.6003482406357], 'axes': [1529.614156702035, 1529.614156702035], 'angle': 90.0}, 'model_confidence': 0.970753504144739, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.125166530990712, 'phi': -1.8771216708656233, 'norm_pos': [0.21409770728947156, 0.44459105690411627], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581554901.649083,"{'circle_3d': {'center': [-1.7203094039519584e-05, 2.537848270200982e-06, 0.0001165645016385497], 'normal': [-0.25639352389236975, 0.5264079287232799, -0.810652239547464], 'radius': 4.486338714499908e-06}, 'confidence': 0.9999999999999235, 'timestamp': 400315.466873, 'diameter_3d': 8.972677428999816e-06, 'ellipse': {'center': [68.64220799686787, 133.113408916709], 'axes': [36.13466109902876, 48.02717793813685], 'angle': -56.788831257020476}, 'location': [68.64220799686787, 133.113408916709], 'diameter': 48.02717793813685, 'sphere': {'center': [3.076705083614397, -6.316892606831089, 9.727943439071208], 'radius': 12.0}, 'projected_sphere': {'center': [356.0904854955709, -282.6003482406357], 'axes': [1529.614156702035, 1529.614156702035], 'angle': 90.0}, 'model_confidence': 0.9711903504722064, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.1251665271329045, 'phi': -1.877121666893171, 'norm_pos': [0.21450689999021208, 0.44536079618037916], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581554901.657602,"{'circle_3d': {'center': [-1.728376824994271e-05, 2.5804415377805867e-06, 0.00011661767583071025], 'normal': [-0.2563935306152206, 0.5264079322727189, -0.8106522351162814], 'radius': 4.497749763848217e-06}, 'confidence': 0.99999999999994, 'timestamp': 400315.475273, 'diameter_3d': 8.995499527696433e-06, 'ellipse': {'center': [68.25543072536894, 133.33220410338276], 'axes': [36.192465161903456, 48.128964446592526], 'angle': -56.77830806598815}, 'location': [68.25543072536894, 133.33220410338276], 'diameter': 48.128964446592526, 'sphere': {'center': [3.076705083614397, -6.316892606831089, 9.727943439071208], 'radius': 12.0}, 'projected_sphere': {'center': [356.0904854955709, -282.6003482406357], 'axes': [1529.614156702035, 1529.614156702035], 'angle': 90.0}, 'model_confidence': 0.9717489075774743, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.125166531307575, 'phi': -1.8771216760037934, 'norm_pos': [0.21329822101677792, 0.44444914956923853], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581554901.66547,"{'circle_3d': {'center': [-1.727110288607392e-05, 2.5979554409971684e-06, 0.00011662504291365394], 'normal': [-0.2563935295597736, 0.5264079337322108, -0.8106522345023578], 'radius': 4.56163393605165e-06}, 'confidence': 0.999999999999981, 'timestamp': 400315.483673, 'diameter_3d': 9.1232678721033e-06, 'ellipse': {'center': [68.33273381298616, 133.41347268472063], 'axes': [36.70305847514163, 48.8089956708917], 'angle': -56.78909230848345}, 'location': [68.33273381298616, 133.41347268472063], 'diameter': 48.8089956708917, 'sphere': {'center': [3.076705083614397, -6.316892606831089, 9.727943439071208], 'radius': 12.0}, 'projected_sphere': {'center': [356.0904854955709, -282.6003482406357], 'axes': [1529.614156702035, 1529.614156702035], 'angle': 90.0}, 'model_confidence': 0.9726296952577429, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.1251665330241556, 'phi': -1.877121675037962, 'norm_pos': [0.21353979316558175, 0.44411053048033067], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581554901.675242,"{'circle_3d': {'center': [-1.7254121986276516e-05, 2.5209227993983063e-06, 0.00011656965000206299], 'normal': [-0.2563935281446986, 0.526407927312824, -0.8106522391184338], 'radius': 4.545342272398867e-06}, 'confidence': 0.9999999999999154, 'timestamp': 400315.492073, 'diameter_3d': 9.090684544797735e-06, 'ellipse': {'center': [68.3785216187432, 133.01257300676588], 'axes': [36.605581084664486, 48.659092371946315], 'angle': -56.76494288367386}, 'location': [68.3785216187432, 133.01257300676588], 'diameter': 48.659092371946315, 'sphere': {'center': [3.076705083614397, -6.316892606831089, 9.727943439071208], 'radius': 12.0}, 'projected_sphere': {'center': [356.0904854955709, -282.6003482406357], 'axes': [1529.614156702035, 1529.614156702035], 'angle': 90.0}, 'model_confidence': 0.9728837360024278, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.1251665254739978, 'phi': -1.8771216718138883, 'norm_pos': [0.21368288005857253, 0.44578094580514216], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581554901.6818671,"{'circle_3d': {'center': [-1.7243856408999392e-05, 2.5873565006051535e-06, 0.00011660954281822455], 'normal': [-0.25639352728923387, 0.5264079328489658, -0.8106522357940324], 'radius': 4.514941255893666e-06}, 'confidence': 0.999999999999995, 'timestamp': 400315.500473, 'diameter_3d': 9.029882511787333e-06, 'ellipse': {'center': [68.46246523577247, 133.36692827864582], 'axes': [36.337108791918254, 48.31493539055253], 'angle': -56.79427530193613}, 'location': [68.46246523577247, 133.36692827864582], 'diameter': 48.31493539055253, 'sphere': {'center': [3.076705083614397, -6.316892606831089, 9.727943439071208], 'radius': 12.0}, 'projected_sphere': {'center': [356.0904854955709, -282.6003482406357], 'axes': [1529.614156702035, 1529.614156702035], 'angle': 90.0}, 'model_confidence': 0.9737787721592395, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.1251665319853275, 'phi': -1.8771216720336583, 'norm_pos': [0.21394520386178897, 0.4443044655056424], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581554901.693755,"{'circle_3d': {'center': [-1.728181068338941e-05, 2.537947184855227e-06, 0.00011658946241510648], 'normal': [-0.25639353045209007, 0.5264079287315228, -0.8106522374673995], 'radius': 4.536485948808854e-06}, 'confidence': 0.9999999999999669, 'timestamp': 400315.508873, 'diameter_3d': 9.072971897617707e-06, 'ellipse': {'center': [68.24617755391202, 133.10254710903604], 'axes': [36.52140818404224, 48.556445802762184], 'angle': -56.762328558504336}, 'location': [68.24617755391202, 133.10254710903604], 'diameter': 48.556445802762184, 'sphere': {'center': [3.076705083614397, -6.316892606831089, 9.727943439071208], 'radius': 12.0}, 'projected_sphere': {'center': [356.0904854955709, -282.6003482406357], 'axes': [1529.614156702035, 1529.614156702035], 'angle': 90.0}, 'model_confidence': 0.9743900665669214, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.1251665271425995, 'phi': -1.8771216749869737, 'norm_pos': [0.21326930485597506, 0.44540605371234987], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581554901.7010958,"{'circle_3d': {'center': [-1.7261970258086734e-05, 2.542931887283828e-06, 0.00011658642415568465], 'normal': [-0.2563935287987213, 0.5264079291469147, -0.8106522377205876], 'radius': 4.542584867779769e-06}, 'confidence': 0.9999999999999065, 'timestamp': 400315.517273, 'diameter_3d': 9.085169735559538e-06, 'ellipse': {'center': [68.3497512608799, 133.12834056939747], 'axes': [36.573044918441624, 48.622258289831876], 'angle': -56.77087680987452}, 'location': [68.3497512608799, 133.12834056939747], 'diameter': 48.622258289831876, 'sphere': {'center': [3.076705083614397, -6.316892606831089, 9.727943439071208], 'radius': 12.0}, 'projected_sphere': {'center': [356.0904854955709, -282.6003482406357], 'axes': [1529.614156702035, 1529.614156702035], 'angle': 90.0}, 'model_confidence': 0.974494753324795, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.1251665276311624, 'phi': -1.8771216730430904, 'norm_pos': [0.21359297269024968, 0.44529858096084385], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581554901.71078,"{'circle_3d': {'center': [-1.72224008596622e-05, 2.556601727654595e-06, 0.00011658278581982984], 'normal': [-0.2563935255012714, 0.526407930286068, -0.8106522380237823], 'radius': 4.567971304815309e-06}, 'confidence': 0.9999999999997453, 'timestamp': 400315.525673, 'diameter_3d': 9.135942609630619e-06, 'ellipse': {'center': [68.55909837989176, 133.1970462005429], 'axes': [36.781174280862025, 48.894023122613596], 'angle': -56.78933565281579}, 'location': [68.55909837989176, 133.1970462005429], 'diameter': 48.894023122613596, 'sphere': {'center': [3.076705083614397, -6.316892606831089, 9.727943439071208], 'radius': 12.0}, 'projected_sphere': {'center': [356.0904854955709, -282.6003482406357], 'axes': [1529.614156702035, 1529.614156702035], 'angle': 90.0}, 'model_confidence': 0.973386809099841, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.125166528970977, 'phi': -1.8771216692378028, 'norm_pos': [0.21424718243716176, 0.4450123074977379], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581554901.717702,"{'circle_3d': {'center': [-1.7217762974919282e-05, 2.6265527992563875e-06, 0.00011662674261536665], 'normal': [-0.25639352511478103, 0.526407936115324, -0.810652234360716], 'radius': 4.475182462189566e-06}, 'confidence': 0.9999999999999662, 'timestamp': 400315.534073, 'diameter_3d': 8.950364924379132e-06, 'ellipse': {'center': [68.61217271941679, 133.58032602609742], 'axes': [36.00752500769832, 47.88038742061047], 'angle': -56.81833868047507}, 'location': [68.61217271941679, 133.58032602609742], 'diameter': 47.88038742061047, 'sphere': {'center': [3.076705083614397, -6.316892606831089, 9.727943439071208], 'radius': 12.0}, 'projected_sphere': {'center': [356.0904854955709, -282.6003482406357], 'axes': [1529.614156702035, 1529.614156702035], 'angle': 90.0}, 'model_confidence': 0.9739502213126361, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.1251665358270526, 'phi': -1.8771216701035958, 'norm_pos': [0.21441303974817746, 0.4434153082245941], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581554901.7281668,"{'circle_3d': {'center': [-1.7238992870982628e-05, 2.5737998887720437e-06, 0.00011659920140871805], 'normal': [-0.256393526883939, 0.5264079317192482, -0.8106522366558165], 'radius': 4.51107237535787e-06}, 'confidence': 0.9999999999999156, 'timestamp': 400315.542473, 'diameter_3d': 9.02214475071574e-06, 'ellipse': {'center': [68.47997934232923, 133.29662558136968], 'axes': [36.312247319872036, 48.27797688864513], 'angle': -56.790662374418055}, 'location': [68.47997934232923, 133.29662558136968], 'diameter': 48.27797688864513, 'sphere': {'center': [3.076705083614397, -6.316892606831089, 9.727943439071208], 'radius': 12.0}, 'projected_sphere': {'center': [356.0904854955709, -282.6003482406357], 'axes': [1529.614156702035, 1529.614156702035], 'angle': 90.0}, 'model_confidence': 0.9741234238619945, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.1251665306566108, 'phi': -1.8771216712735075, 'norm_pos': [0.21399993544477885, 0.4445973934109596], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581554901.732738,"{'circle_3d': {'center': [-1.72318702165164e-05, 2.580063973134372e-06, 0.00011660101631782993], 'normal': [-0.2563935262903845, 0.5264079322412551, -0.8106522365045742], 'radius': 4.503208686075561e-06}, 'confidence': 0.9999999999998807, 'timestamp': 400315.550873, 'diameter_3d': 9.006417372151122e-06, 'ellipse': {'center': [68.51878628979539, 133.33110585225393], 'axes': [36.24804401083078, 48.192639736971074], 'angle': -56.795505318618645}, 'location': [68.51878628979539, 133.33110585225393], 'diameter': 48.192639736971074, 'sphere': {'center': [3.076705083614397, -6.316892606831089, 9.727943439071208], 'radius': 12.0}, 'projected_sphere': {'center': [356.0904854955709, -282.6003482406357], 'axes': [1529.614156702035, 1529.614156702035], 'angle': 90.0}, 'model_confidence': 0.974047632797681, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.125166531270569, 'phi': -1.877121670661539, 'norm_pos': [0.2141212071556106, 0.4444537256156086], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581554901.742195,"{'circle_3d': {'center': [-1.7236685675658947e-05, 2.610474284736597e-06, 0.000116622286698842], 'normal': [-0.25639352669167276, 0.5264079347754478, -0.8106522347320424], 'radius': 4.507047330976835e-06}, 'confidence': 0.9999999999999077, 'timestamp': 400315.559273, 'diameter_3d': 9.01409466195367e-06, 'ellipse': {'center': [68.51008777736368, 133.48983581307385], 'axes': [36.26618627659193, 48.22433970236801], 'angle': -56.80566049933866}, 'location': [68.51008777736368, 133.48983581307385], 'diameter': 48.22433970236801, 'sphere': {'center': [3.076705083614397, -6.316892606831089, 9.727943439071208], 'radius': 12.0}, 'projected_sphere': {'center': [356.0904854955709, -282.6003482406357], 'axes': [1529.614156702035, 1529.614156702035], 'angle': 90.0}, 'model_confidence': 0.974156922974867, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.125166534251158, 'phi': -1.8771216717402175, 'norm_pos': [0.2140940243042615, 0.4437923507788589], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
