eye_packets,767
norm_X,norm_Y,phi,theta,confidence,timestamp
1581554901.5341802,"{'circle_3d': {'center': [-1.709984436226719e-05, 2.599567321404095e-06, 0.00011657192387204418], 'normal': [-0.25639351528822996, 0.5264079338665342, -0.8106522389289446], 'radius': 4.521026403226336e-06}, 'confidence': 0.9999999999999069, 'timestamp': 400315.349273, 'diameter_3d': 9.042052806452673e-06, 'ellipse': {'center': [69.1996900919153, 133.43504375105883], 'axes': [36.41334308221882, 48.390778273959704], 'angle': -56.84731977770306}, 'location': [69.1996900919153, 133.43504375105883], 'diameter': 48.390778273959704, 'sphere': {'center': [3.076705083614397, -6.316892606831089, 9.727943439071208], 'radius': 12.0}, 'projected_sphere': {'center': [356.0904854955709, -282.6003482406357], 'axes': [1529.614156702035, 1529.614156702035], 'angle': 90.0}, 'model_confidence': 0.9682326521815776, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.12516653318214, 'phi': -1.877121657463885, 'norm_pos': [0.21624903153723532, 0.44402065103725485], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581554901.5412931,"{'circle_3d': {'center': [-1.70961690582061e-05, 2.6459594115735285e-06, 0.0001166008867734547], 'normal': [-0.2563935149819546, 0.5264079377325417, -0.8106522365153696], 'radius': 4.532890582343577e-06}, 'confidence': 0.9999999999998757, 'timestamp': 400315.357673, 'diameter_3d': 9.065781164687154e-06, 'ellipse': {'center': [69.24254480735917, 133.6765547595778], 'axes': [36.49180449357443, 48.5045114744731], 'angle': -56.86646121031878}, 'location': [69.24254480735917, 133.6765547595778], 'diameter': 48.5045114744731, 'sphere': {'center': [3.076705083614397, -6.316892606831089, 9.727943439071208], 'radius': 12.0}, 'projected_sphere': {'center': [356.0904854955709, -282.6003482406357], 'axes': [1529.614156702035, 1529.614156702035], 'angle': 90.0}, 'model_confidence': 0.9684019181240622, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.125166537729142, 'phi': -1.877121657976466, 'norm_pos': [0.21638295252299738, 0.4430143551684258], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581554901.549045,"{'circle_3d': {'center': [-1.716421686248637e-05, 2.6263766530476573e-06, 0.00011660969264148946], 'normal': [-0.25639352065260496, 0.5264079361006452, -0.8106522357815472], 'radius': 4.566160146182153e-06}, 'confidence': 0.9999999999998695, 'timestamp': 400315.366073, 'diameter_3d': 9.132320292364306e-06, 'ellipse': {'center': [68.88957569787945, 133.56558835720196], 'axes': [36.752339984837064, 48.8597022796248], 'angle': -56.83589207794602}, 'location': [68.88957569787945, 133.56558835720196], 'diameter': 48.8597022796248, 'sphere': {'center': [3.076705083614397, -6.316892606831089, 9.727943439071208], 'radius': 12.0}, 'projected_sphere': {'center': [356.0904854955709, -282.6003482406357], 'axes': [1529.614156702035, 1529.614156702035], 'angle': 90.0}, 'model_confidence': 0.9684342522516376, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.125166535809788, 'phi': -1.877121664595788, 'norm_pos': [0.2152799240558733, 0.4434767151783252], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581554901.557257,"{'circle_3d': {'center': [-1.724583772899635e-05, 2.5241592771507726e-06, 0.00011656913150304149], 'normal': [-0.25639352745434385, 0.5264079275825305, -0.810652239161642], 'radius': 4.580914579049369e-06}, 'confidence': 0.9999999999997836, 'timestamp': 400315.374473, 'diameter_3d': 9.161829158098739e-06, 'ellipse': {'center': [68.42452911162917, 133.0236345202427], 'axes': [36.89295261649789, 49.03997445280773], 'angle': -56.76883953105751}, 'location': [68.42452911162917, 133.0236345202427], 'diameter': 49.03997445280773, 'sphere': {'center': [3.076705083614397, -6.316892606831089, 9.727943439071208], 'radius': 12.0}, 'projected_sphere': {'center': [356.0904854955709, -282.6003482406357], 'axes': [1529.614156702035, 1529.614156702035], 'angle': 90.0}, 'model_confidence': 0.9669883190209894, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.125166525791213, 'phi': -1.8771216710244014, 'norm_pos': [0.21382665347384117, 0.44573485616565545], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581554901.565537,"{'circle_3d': {'center': [-1.721148354816293e-05, 2.5093551654364887e-06, 0.00011654865269505876], 'normal': [-0.25639352459149545, 0.5264079263488545, -0.8106522408682093], 'radius': 4.523793885642887e-06}, 'confidence': 0.9999999999997269, 'timestamp': 400315.382873, 'diameter_3d': 9.047587771285775e-06, 'ellipse': {'center': [68.58757008972968, 132.95702364783023], 'axes': [36.445820487335475, 48.43592814014469], 'angle': -56.77480862188145}, 'location': [68.58757008972968, 132.95702364783023], 'diameter': 48.43592814014469, 'sphere': {'center': [3.076705083614397, -6.316892606831089, 9.727943439071208], 'radius': 12.0}, 'projected_sphere': {'center': [356.0904854955709, -282.6003482406357], 'axes': [1529.614156702035, 1529.614156702035], 'angle': 90.0}, 'model_confidence': 0.9648263561159109, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.1251665243402256, 'phi': -1.8771216672087319, 'norm_pos': [0.21433615653040525, 0.4460124014673741], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581554901.5752919,"{'circle_3d': {'center': [-1.7205901504890875e-05, 2.5891772619246467e-06, 0.00011659872075675537], 'normal': [-0.25639352412632516, 0.5264079330006959, -0.8106522366958709], 'radius': 4.554933036715819e-06}, 'confidence': 0.9999999999997636, 'timestamp': 400315.391273, 'diameter_3d': 9.109866073431639e-06, 'ellipse': {'center': [68.65850689279965, 133.37087992794966], 'axes': [36.66707059519776, 48.74637089601833], 'angle': -56.80754629315681}, 'location': [68.65850689279965, 133.37087992794966], 'diameter': 48.74637089601833, 'sphere': {'center': [3.076705083614397, -6.316892606831089, 9.727943439071208], 'radius': 12.0}, 'projected_sphere': {'center': [356.0904854955709, -282.6003482406357], 'axes': [1529.614156702035, 1529.614156702035], 'angle': 90.0}, 'model_confidence': 0.9634902381436827, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.1251665321637847, 'phi': -1.87712166816692, 'norm_pos': [0.2145578340399989, 0.44428800030020976], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581554901.581207,"{'circle_3d': {'center': [-1.7236290291489098e-05, 2.545057401270867e-06, 0.00011657968231304494], 'normal': [-0.25639352665872406, 0.5264079293240408, -0.810652238282408], 'radius': 4.547995799284352e-06}, 'confidence': 0.9999999999999571, 'timestamp': 400315.399673, 'diameter_3d': 9.095991598568705e-06, 'ellipse': {'center': [68.48145354481832, 133.1394454907599], 'axes': [36.621559480796456, 48.682134709665654], 'angle': -56.78027734214971}, 'location': [68.48145354481832, 133.1394454907599], 'diameter': 48.682134709665654, 'sphere': {'center': [3.076705083614397, -6.316892606831089, 9.727943439071208], 'radius': 12.0}, 'projected_sphere': {'center': [356.0904854955709, -282.6003482406357], 'axes': [1529.614156702035, 1529.614156702035], 'angle': 90.0}, 'model_confidence': 0.965036254584184, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.125166527839489, 'phi': -1.8771216704440388, 'norm_pos': [0.21400454232755725, 0.4452523104551671], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581554901.589547,"{'circle_3d': {'center': [-1.722698388428867e-05, 2.5700224197677812e-06, 0.00011659295024912808], 'normal': [-0.25639352588319014, 0.5264079314044591, -0.8106522371767465], 'radius': 4.548264263640667e-06}, 'confidence': 0.9999999999999111, 'timestamp': 400315.408073, 'diameter_3d': 9.096528527281333e-06, 'ellipse': {'center': [68.54138816241112, 133.27077221649327], 'axes': [36.6160831363088, 48.678537576331394], 'angle': -56.79308066905192}, 'location': [68.54138816241112, 133.27077221649327], 'diameter': 48.678537576331394, 'sphere': {'center': [3.076705083614397, -6.316892606831089, 9.727943439071208], 'radius': 12.0}, 'projected_sphere': {'center': [356.0904854955709, -282.6003482406357], 'axes': [1529.614156702035, 1529.614156702035], 'angle': 90.0}, 'model_confidence': 0.9657989002755163, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.125166530286372, 'phi': -1.8771216699665088, 'norm_pos': [0.21419183800753477, 0.44470511576461136], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581554901.597142,"{'circle_3d': {'center': [-1.7210568869163723e-05, 2.566659284219952e-06, 0.00011658557460236807], 'normal': [-0.2563935245152722, 0.5264079311241977, -0.8106522377913838], 'radius': 4.563221661254228e-06}, 'confidence': 0.9999999999999406, 'timestamp': 400315.416473, 'diameter_3d': 9.126443322508456e-06, 'ellipse': {'center': [68.62392732257209, 133.2510841259538], 'axes': [36.7416119822206, 48.84134991782938], 'angle': -56.797220544756726}, 'location': [68.62392732257209, 133.2510841259538], 'diameter': 48.84134991782938, 'sphere': {'center': [3.076705083614397, -6.316892606831089, 9.727943439071208], 'radius': 12.0}, 'projected_sphere': {'center': [356.0904854955709, -282.6003482406357], 'axes': [1529.614156702035, 1529.614156702035], 'angle': 90.0}, 'model_confidence': 0.96685202482234, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.1251665299567426, 'phi': -1.877121668214532, 'norm_pos': [0.21444977288303776, 0.4447871494751925], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581554901.609303,"{'circle_3d': {'center': [-1.7186315852235623e-05, 2.5878226592723763e-06, 0.00011659164656663279], 'normal': [-0.25639352249418745, 0.5264079328878123, -0.8106522372853868], 'radius': 4.539760694849798e-06}, 'confidence': 0.9999999999999915, 'timestamp': 400315.424873, 'diameter_3d': 9.079521389699595e-06, 'ellipse': {'center': [68.75618507386113, 133.3671009365743], 'axes': [36.54969583197712, 48.586261936204785], 'angle': -56.813645920018246}, 'location': [68.75618507386113, 133.3671009365743], 'diameter': 48.586261936204785, 'sphere': {'center': [3.076705083614397, -6.316892606831089, 9.727943439071208], 'radius': 12.0}, 'projected_sphere': {'center': [356.0904854955709, -282.6003482406357], 'axes': [1529.614156702035, 1529.614156702035], 'angle': 90.0}, 'model_confidence': 0.968408326369774, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.1251665320310167, 'phi': -1.8771216661275578, 'norm_pos': [0.21486307835581603, 0.44430374609760703], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581554901.6170728,"{'circle_3d': {'center': [-1.7234835822055317e-05, 2.5452578231721645e-06, 0.0001165793524382508], 'normal': [-0.2563935265375183, 0.5264079293407427, -0.8106522383098974], 'radius': 4.570367216481432e-06}, 'confidence': 0.9999999999999485, 'timestamp': 400315.433273, 'diameter_3d': 9.140734432962865e-06, 'ellipse': {'center': [68.49039822014353, 133.13664243924276], 'axes': [36.80213427617008, 48.92181567275529], 'angle': -56.78075818720103}, 'location': [68.49039822014353, 133.13664243924276], 'diameter': 48.92181567275529, 'sphere': {'center': [3.076705083614397, -6.316892606831089, 9.727943439071208], 'radius': 12.0}, 'projected_sphere': {'center': [356.0904854955709, -282.6003482406357], 'axes': [1529.614156702035, 1529.614156702035], 'angle': 90.0}, 'model_confidence': 0.9693268784295772, 'model_id': 1, 'model_birth_timestamp': 400315.231673, 'theta': 2.125166527859133, 'phi': -1.877121670298369, 'norm_pos': [0.21403249443794853, 0.4452639898364885], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
