eye_packets,751
norm_X,norm_Y,phi,theta,confidence,timestamp
1595835536.954998,"{'circle_3d': {'center': [-0.8947584785260887, 9.965389157011186, 66.51917314707336], 'normal': [0.06515809746681342, 0.7928130900095949, -0.6059718035056937], 'radius': 2.2896833878982155}, 'confidence': 0.11672573030120145, 'timestamp': 308692.301508, 'diameter_3d': 4.579366775796431, 'ellipse': {'center': [151.62501134329173, 212.60012641062167], 'axes': [20.84220629772176, 42.71025222402832], 'angle': 86.05162490400194}, 'location': [151.62501134329173, 212.60012641062167], 'diameter': 42.71025222402832, 'sphere': {'center': [-1.6766556481278496, 0.45163207689604845, 73.79083478914168], 'radius': 12.0}, 'projected_sphere': {'center': [145.91252552149967, 123.79467027952303], 'axes': [201.6510592747704, 201.6510592747704], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 47, 'model_birth_timestamp': 308577.765874, 'theta': 2.4862072384477543, 'phi': -1.4636812660534695, 'norm_pos': [0.47382816044778664, 0.1141661399557431], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595835536.9606578,"{'circle_3d': {'center': [-1.491257439082249, 9.988507813765096, 66.50978893819409], 'normal': [0.015449850753800046, 0.7947396447390873, -0.6067538209122993], 'radius': 2.2988104016625757}, 'confidence': 0.28097579695488073, 'timestamp': 308692.309908, 'diameter_3d': 4.597620803325151, 'ellipse': {'center': [146.08114386964004, 212.8251371900135], 'axes': [20.914369654957547, 42.88632911325692], 'angle': 89.62498096848024}, 'location': [146.08114386964004, 212.8251371900135], 'diameter': 42.88632911325692, 'sphere': {'center': [-1.6766556481278496, 0.45163207689604845, 73.79083478914168], 'radius': 12.0}, 'projected_sphere': {'center': [145.91252552149967, 123.79467027952303], 'axes': [201.6510592747704, 201.6510592747704], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 47, 'model_birth_timestamp': 308577.765874, 'theta': 2.4893748294084723, 'phi': -1.5453386989370306, 'norm_pos': [0.45650357459262514, 0.11322859504161042], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595835536.9689379,"{'circle_3d': {'center': [-1.593583500418336, 9.93862769554586, 66.44304511128657], 'normal': [0.006922678975792795, 0.7905829682208175, -0.6123158064879265], 'radius': 2.2912994085449787}, 'confidence': 0.34841833859950694, 'timestamp': 308692.318308, 'diameter_3d': 4.582598817089957, 'ellipse': {'center': [145.1156042618022, 212.4521159123699], 'axes': [21.144000629716892, 42.78883250745236], 'angle': -89.75225125671626}, 'location': [145.1156042618022, 212.4521159123699], 'diameter': 42.78883250745236, 'sphere': {'center': [-1.6766556481278496, 0.45163207689604845, 73.79083478914168], 'radius': 12.0}, 'projected_sphere': {'center': [145.91252552149967, 123.79467027952303], 'axes': [201.6510592747704, 201.6510592747704], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 47, 'model_birth_timestamp': 308577.765874, 'theta': 2.482556750327759, 'phi': -1.559491075527956, 'norm_pos': [0.45348626331813185, 0.11478285036512548], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595835536.978086,"{'circle_3d': {'center': [-1.5831393054213987, 9.967347511052463, 66.48040289562101], 'normal': [0.007793028558870909, 0.7929762861797011, -0.6092026577933892], 'radius': 2.273912852799765}, 'confidence': 0.12709744927801625, 'timestamp': 308692.326708, 'diameter_3d': 4.54782570559953, 'ellipse': {'center': [145.22123629237413, 212.67382257458496], 'axes': [20.81343299146814, 42.44013094188795], 'angle': -89.82083631611656}, 'location': [145.22123629237413, 212.67382257458496], 'diameter': 42.44013094188795, 'sphere': {'center': [-1.6766556481278496, 0.45163207689604845, 73.79083478914168], 'radius': 12.0}, 'projected_sphere': {'center': [145.91252552149967, 123.79467027952303], 'axes': [201.6510592747704, 201.6510592747704], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 47, 'model_birth_timestamp': 308577.765874, 'theta': 2.4864750547202332, 'phi': -1.5580048469520473, 'norm_pos': [0.45381636341366915, 0.113859072605896], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595835536.985177,"{'circle_3d': {'center': [-1.583577489746959, 9.916695014809926, 66.41493348572381], 'normal': [0.007756513198407551, 0.7887552448261564, -0.6146584419514897], 'radius': 2.3014244607171284}, 'confidence': 0.1923474234730011, 'timestamp': 308692.335108, 'diameter_3d': 4.602848921434257, 'ellipse': {'center': [145.2023034255509, 212.28283638499914], 'axes': [21.36882590635816, 42.996191222088164], 'angle': -89.80804747623158}, 'location': [145.2023034255509, 212.28283638499914], 'diameter': 42.996191222088164, 'sphere': {'center': [-1.6766556481278496, 0.45163207689604845, 73.79083478914168], 'radius': 12.0}, 'projected_sphere': {'center': [145.91252552149967, 123.79467027952303], 'axes': [201.6510592747704, 201.6510592747704], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 47, 'model_birth_timestamp': 308577.765874, 'theta': 2.4795777295967807, 'phi': -1.5581777715451195, 'norm_pos': [0.45375719820484656, 0.11548818172917019], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595835536.9927301,"{'circle_3d': {'center': [-1.6587066952482181, 9.944932789786302, 66.45074491164509], 'normal': [0.0014957460733026244, 0.7911083927408543, -0.6116741564580496], 'radius': 2.28989522317497}, 'confidence': 0.2616281602115123, 'timestamp': 308692.343508, 'diameter_3d': 4.57979044634994, 'ellipse': {'center': [144.51171887297465, 212.50087694714523], 'axes': [21.089696376471746, 42.75760910614727], 'angle': -89.3621233703368}, 'location': [144.51171887297465, 212.50087694714523], 'diameter': 42.75760910614727, 'sphere': {'center': [-1.6766556481278496, 0.45163207689604845, 73.79083478914168], 'radius': 12.0}, 'projected_sphere': {'center': [145.91252552149967, 123.79467027952303], 'axes': [201.6510592747704, 201.6510592747704], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 47, 'model_birth_timestamp': 308577.765874, 'theta': 2.483415265382714, 'phi': -1.568351000184025, 'norm_pos': [0.4515991214780458, 0.11457967938689484], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595835537.006579,"{'circle_3d': {'center': [-0.675883851105648, 10.182094526508344, 66.83982361615612], 'normal': [0.08339764975185013, 0.8108718708010245, -0.5792509310821299], 'radius': 2.3104464724703764}, 'confidence': 0.14767126783868806, 'timestamp': 308692.351908, 'diameter_3d': 4.620892944940753, 'ellipse': {'center': [153.68976641896012, 214.1749723241589], 'axes': [19.580066989117288, 42.891844408604385], 'angle': 84.81883985243563}, 'location': [153.68976641896012, 214.1749723241589], 'diameter': 42.891844408604385, 'sphere': {'center': [-1.6766556481278496, 0.45163207689604845, 73.79083478914168], 'radius': 12.0}, 'projected_sphere': {'center': [145.91252552149967, 123.79467027952303], 'axes': [201.6510592747704, 201.6510592747704], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 47, 'model_birth_timestamp': 308577.765874, 'theta': 2.5164367156819663, 'phi': -1.4278039492073682, 'norm_pos': [0.48028052005925037, 0.10760428198267136], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595835537.017607,"{'circle_3d': {'center': [-0.6796286479458811, 10.188228485314822, 66.84787954368066], 'normal': [0.08308558334849739, 0.8113830340348979, -0.5785796037884186], 'radius': 2.2961860071652413}, 'confidence': 0.14866873825588015, 'timestamp': 308692.360307, 'diameter_3d': 4.592372014330483, 'ellipse': {'center': [153.65644262720699, 214.22421530188328], 'axes': [19.422289814119512, 42.62177694477395], 'angle': 84.84271950227556}, 'location': [153.65644262720699, 214.22421530188328], 'diameter': 42.62177694477395, 'sphere': {'center': [-1.6766556481278496, 0.45163207689604845, 73.79083478914168], 'radius': 12.0}, 'projected_sphere': {'center': [145.91252552149967, 123.79467027952303], 'axes': [201.6510592747704, 201.6510592747704], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 47, 'model_birth_timestamp': 308577.765874, 'theta': 2.517310694237642, 'phi': -1.4281687193758912, 'norm_pos': [0.4801763832100218, 0.10739910290881971], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595835537.027232,"{'circle_3d': {'center': [-1.2954113549273445, 10.070292312268291, 66.62591831612046], 'normal': [0.03177035776670876, 0.8015550196143535, -0.5970763727517684], 'radius': 2.288061654904015}, 'confidence': 0.2059688061862164, 'timestamp': 308692.368707, 'diameter_3d': 4.57612330980803, 'ellipse': {'center': [147.92226968519392, 213.43195630526841], 'axes': [20.302987116519994, 42.61160495154714], 'angle': 88.45056754288713}, 'location': [147.92226968519392, 213.43195630526841], 'diameter': 42.61160495154714, 'sphere': {'center': [-1.6766556481278496, 0.45163207689604845, 73.79083478914168], 'radius': 12.0}, 'projected_sphere': {'center': [145.91252552149967, 123.79467027952303], 'axes': [201.6510592747704, 201.6510592747704], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 47, 'model_birth_timestamp': 308577.765874, 'theta': 2.500687740556015, 'phi': -1.5176365865281263, 'norm_pos': [0.462257092766231, 0.11070018206138166], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595835537.036226,"{'circle_3d': {'center': [-1.3884326824016169, 10.175638823347581, 66.7651234146976], 'normal': [0.024018580477186066, 0.8103338955376278, -0.5854759478703405], 'radius': 2.3102401176995406}, 'confidence': 0.3039522832675007, 'timestamp': 308692.377107, 'diameter_3d': 4.620480235399081, 'ellipse': {'center': [147.08601643668914, 214.21583474035805], 'axes': [19.85367865114885, 42.93548601089369], 'angle': 88.99382297330793}, 'location': [147.08601643668914, 214.21583474035805], 'diameter': 42.93548601089369, 'sphere': {'center': [-1.6766556481278496, 0.45163207689604845, 73.79083478914168], 'radius': 12.0}, 'projected_sphere': {'center': [145.91252552149967, 123.79467027952303], 'axes': [201.6510592747704, 201.6510592747704], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 47, 'model_birth_timestamp': 308577.765874, 'theta': 2.515518035972523, 'phi': -1.5297952917138433, 'norm_pos': [0.45964380136465355, 0.10743402191517482], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1595835537.0441978,"{'circle_3d': {'center': [-1.5145446109941967, 10.122394138069204, 66.68801273253536], 'normal': [0.013509253094471079, 0.8058968384310964, -0.5919018380505274], 'radius': 2.3075614562373676}, 'confidence': 0.2539589072737489, 'timestamp': 308692.385507, 'diameter_3d': 4.615122912474735, 'ellipse': {'center': [145.90234202415297, 213.82701077358843], 'axes': [20.171585210058197, 42.93501975510437], 'angle': 89.7430471324911}, 'location': [145.90234202415297, 213.82701077358843], 'diameter': 42.93501975510437, 'sphere': {'center': [-1.6766556481278496, 0.45163207689604845, 73.79083478914168], 'radius': 12.0}, 'projected_sphere': {'center': [145.91252552149967, 123.79467027952303], 'axes': [201.6510592747704, 201.6510592747704], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 47, 'model_birth_timestamp': 308577.765874, 'theta': 2.5079850236618024, 'phi': -1.54797681981907, 'norm_pos': [0.45594481882547805, 0.10905412177671492], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
