quatI,quatJ,quatK,quatReal,quatRadianAccuracy,zmq_X,zmq_Y,phi,theta,zmq_confidence,IMUtimestamp
0.03418,-0.04358,-0.98889,0.13800,0.29047,0.486857577397541,0.31693981024975926,-1.8421971962278112,2.1196694107038785,0.9981057694478662,1580861877.603177
0.03424,-0.04346,-0.98889,0.13806,0.29053,0.486857577397541,0.31693981024975926,-1.8421971962278112,2.1196694107038785,0.9981057694478662,1580861877.605655
0.03424,-0.04340,-0.98889,0.13806,0.29053,0.486857577397541,0.31693981024975926,-1.8421971962278112,2.1196694107038785,0.9981057694478662,1580861877.6062138
0.03424,-0.04340,-0.98889,0.13806,0.29053,0.486857577397541,0.31693981024975926,-1.8421971962278112,2.1196694107038785,0.9981057694478662,1580861877.606603
0.03424,-0.04340,-0.98889,0.13806,0.29053,0.4871582228871899,0.316735210780268,-1.841269518593355,2.1200824875704543,0.9959398120614721,1580861877.6156092
0.03424,-0.04340,-0.98889,0.13806,0.29053,0.4871582228871899,0.316735210780268,-1.841269518593355,2.1200824875704543,0.9959398120614721,1580861877.618423
0.03424,-0.04340,-0.98889,0.13806,0.29053,0.4865060838446503,0.316418431535629,-1.8436054806310158,2.12103681929316,0.9978493343856608,1580861877.619178
0.03424,-0.04333,-0.98889,0.13806,0.29053,0.4865060838446503,0.316418431535629,-1.8436054806310158,2.12103681929316,0.9978493343856608,1580861877.620024
0.03424,-0.04333,-0.98889,0.13806,0.29053,0.4865060838446503,0.316418431535629,-1.8436054806310158,2.12103681929316,0.9978493343856608,1580861877.6228569
0.03424,-0.04333,-0.98889,0.13806,0.29053,0.4865060838446503,0.316418431535629,-1.8436054806310158,2.12103681929316,0.9978493343856608,1580861877.623584
0.03424,-0.04333,-0.98889,0.13806,0.29053,0.4868294595535687,0.31738657674620285,-1.8421043823746808,2.1185929414175635,0.9974282404479512,1580861877.6291032
0.03424,-0.04315,-0.98889,0.13812,0.29053,0.4868294595535687,0.31738657674620285,-1.8421043823746808,2.1185929414175635,0.9974282404479512,1580861877.632462
0.03424,-0.04315,-0.98889,0.13812,0.29053,0.4874809753955101,0.3167541941865115,-1.8402721677910672,2.1201047104574497,0.9975367649602148,1580861877.6352
0.03424,-0.04309,-0.98889,0.13812,0.29053,0.4874809753955101,0.3167541941865115,-1.8402721677910672,2.1201047104574497,0.9975367649602148,1580861877.6357608
0.03424,-0.04309,-0.98889,0.13812,0.29053,0.4874809753955101,0.3167541941865115,-1.8402721677910672,2.1201047104574497,0.9975367649602148,1580861877.6362429
0.03424,-0.04309,-0.98889,0.13812,0.29053,0.4874809753955101,0.3167541941865115,-1.8402721677910672,2.1201047104574497,0.9975367649602148,1580861877.63957
0.03424,-0.04303,-0.98889,0.13812,0.29053,0.48720441755382693,0.3168278656165271,-1.8410922511843,2.119872337007199,0.9913549401940382,1580861877.640717
0.03424,-0.04303,-0.98889,0.13812,0.29053,0.48720441755382693,0.3168278656165271,-1.8410922511843,2.119872337007199,0.9913549401940382,1580861877.64739
0.03418,-0.04297,-0.98889,0.13818,0.29053,0.48720441755382693,0.3168278656165271,-1.8410922511843,2.119872337007199,0.9913549401940382,1580861877.649359
0.03418,-0.04297,-0.98889,0.13818,0.29053,0.48720441755382693,0.3168278656165271,-1.8410922511843,2.119872337007199,0.9913549401940382,1580861877.6504982
0.03418,-0.04291,-0.98889,0.13824,0.29053,0.48720441755382693,0.3168278656165271,-1.8410922511843,2.119872337007199,0.9913549401940382,1580861877.653972
0.03418,-0.04291,-0.98889,0.13824,0.29053,0.4871519469363136,0.31686937735388987,-1.841284880009726,2.119839401150471,0.9967804924212552,1580861877.655288
0.03418,-0.04285,-0.98889,0.13824,0.29053,0.4871519469363136,0.31686937735388987,-1.841284880009726,2.119839401150471,0.9967804924212552,1580861877.6558762
0.03418,-0.04285,-0.98889,0.13824,0.29053,0.4871519469363136,0.31686937735388987,-1.841284880009726,2.119839401150471,0.9967804924212552,1580861877.65627
0.03418,-0.04285,-0.98889,0.13824,0.29053,0.4871519469363136,0.31686937735388987,-1.841284880009726,2.119839401150471,0.9967804924212552,1580861877.6624482
0.03418,-0.04272,-0.98889,0.13831,0.29053,0.4876401931261459,0.3167144500132095,-1.839773596452278,2.1201912860582226,0.9974185274633293,1580861877.665725
0.03418,-0.04272,-0.98889,0.13831,0.29053,0.4876401931261459,0.3167144500132095,-1.839773596452278,2.1201912860582226,0.9974185274633293,1580861877.668536
0.03418,-0.04266,-0.98889,0.13831,0.29053,0.4872719942865286,0.3177345033856189,-1.8405135721619628,2.1176972457282783,0.9956740604961418,1580861877.6725729
0.03418,-0.04266,-0.98889,0.13831,0.29053,0.4872719942865286,0.3177345033856189,-1.8405135721619628,2.1176972457282783,0.9956740604961418,1580861877.6737149
0.03418,-0.04266,-0.98889,0.13831,0.29053,0.4872719942865286,0.3177345033856189,-1.8405135721619628,2.1176972457282783,0.9956740604961418,1580861877.67452
0.03424,-0.04260,-0.98889,0.13837,0.29053,0.487597676191447,0.3180469443033884,-1.839412174228728,2.117047954774431,0.9983366072324804,1580861877.680267
0.03424,-0.04260,-0.98889,0.13837,0.29053,0.487597676191447,0.3180469443033884,-1.839412174228728,2.117047954774431,0.9983366072324804,1580861877.682616
0.03424,-0.04254,-0.98889,0.13843,0.29053,0.487597676191447,0.3180469443033884,-1.839412174228728,2.117047954774431,0.9983366072324804,1580861877.6837702
0.03424,-0.04248,-0.98889,0.13849,0.29053,0.4890592399327711,0.31848603823240096,-1.8344986084689654,2.115857388663983,0.9972325617352057,1580861877.6897652
0.03424,-0.04248,-0.98889,0.13849,0.29053,0.4890592399327711,0.31848603823240096,-1.8344986084689654,2.115857388663983,0.9972325617352057,1580861877.690326
