quatI,quatJ,quatK,quatReal,quatRadianAccuracy,zmq_X,zmq_Y,phi,theta,zmq_confidence,IMUtimestamp
-0.06610,0.04199,0.24152,0.96722,0.01892,0.4668821402368121,0.29767490918310413,-1.8309641623347037,2.115806255677516,0.9970776764533282,1580864229.277523
-0.06610,0.04199,0.24152,0.96722,0.01892,0.46904378382017164,0.29773758599375033,-1.823843160190442,2.115457480569563,0.9841155153405332,1580864229.279221
-0.06592,0.04169,0.24115,0.96735,0.01886,0.46904378382017164,0.29773758599375033,-1.823843160190442,2.115457480569563,0.9841155153405332,1580864229.279806
-0.06592,0.04169,0.24115,0.96735,0.01886,0.46904378382017164,0.29773758599375033,-1.823843160190442,2.115457480569563,0.9841155153405332,1580864229.280816
-0.06580,0.04150,0.24084,0.96747,0.01892,0.46904378382017164,0.29773758599375033,-1.823843160190442,2.115457480569563,0.9841155153405332,1580864229.286564
-0.06580,0.04150,0.24084,0.96747,0.01892,0.46904378382017164,0.29773758599375033,-1.823843160190442,2.115457480569563,0.9841155153405332,1580864229.287472
-0.06561,0.04132,0.24048,0.96753,0.01886,0.47224765999731766,0.2959859493015061,-1.8141208210399624,2.1196209486584006,0.9981549782093001,1580864229.2885492
-0.06561,0.04132,0.24048,0.96753,0.01886,0.47224765999731766,0.2959859493015061,-1.8141208210399624,2.1196209486584006,0.9981549782093001,1580864229.292824
-0.06549,0.04120,0.24023,0.96765,0.01886,0.47224765999731766,0.2959859493015061,-1.8141208210399624,2.1196209486584006,0.9981549782093001,1580864229.293688
-0.06549,0.04120,0.24023,0.96765,0.01886,0.4801642325722389,0.28007111811958463,-1.794409032634534,2.15923349916093,0.5100529041207738,1580864229.29849
-0.06549,0.04120,0.24023,0.96765,0.01886,0.4801642325722389,0.28007111811958463,-1.794409032634534,2.15923349916093,0.5100529041207738,1580864229.2992342
-0.06537,0.04114,0.23993,0.96771,0.01886,0.4801642325722389,0.28007111811958463,-1.794409032634534,2.15923349916093,0.5100529041207738,1580864229.299593
-0.06537,0.04114,0.23993,0.96771,0.01886,0.4905171967021745,0.2655886152685911,-1.7652643789775337,2.1964202264213246,0.43633131432475464,1580864229.308331
-0.06537,0.04114,0.23993,0.96771,0.01886,0.4905171967021745,0.2655886152685911,-1.7652643789775337,2.1964202264213246,0.43633131432475464,1580864229.309299
-0.06519,0.04126,0.23932,0.96790,0.01886,0.5354753664008757,0.23352274384526261,-1.6165440250914425,2.284141869475911,0.24144462515446877,1580864229.315508
-0.06519,0.04126,0.23932,0.96790,0.01886,0.5354753664008757,0.23352274384526261,-1.6165440250914425,2.284141869475911,0.24144462515446877,1580864229.3183548
-0.06519,0.04126,0.23932,0.96790,0.01886,0.5354753664008757,0.23352274384526261,-1.6165440250914425,2.284141869475911,0.24144462515446877,1580864229.319542
-0.06506,0.04144,0.23907,0.96796,0.01886,0.5354753664008757,0.23352274384526261,-1.6165440250914425,2.284141869475911,0.24144462515446877,1580864229.3206668
