eye_packets,459
norm_X,norm_Y,phi,theta,confidence,timestamp
1596084250.8411891,"{'circle_3d': {'center': [-3.511174973279025, -6.102192789779567, 75.1880548537745], 'normal': [-0.06623294347882738, 0.03792692910287513, -0.9970831185247074], 'radius': 8.06170094340248}, 'confidence': 0.021577642993061797, 'timestamp': 32960.615595, 'diameter_3d': 16.12340188680496, 'ellipse': {'center': [131.51568562031474, 69.40844508095654], 'axes': [132.2533497062223, 133.2787379740932], 'angle': 4.063296320992495}, 'location': [131.51568562031474, 69.40844508095654], 'diameter': 133.2787379740932, 'sphere': {'center': [-2.7163796515330962, -6.557315939014068, 87.153052276071], 'radius': 12.0}, 'projected_sphere': {'center': [140.67588753385604, 73.35176708085336], 'axes': [170.73412360665534, 170.73412360665534], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32852.41611, 'theta': 1.6087323544660654, 'phi': -1.6371255841890453, 'norm_pos': [0.4109865175634836, 0.7107981454960144], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084250.8526368,"{'circle_3d': {'center': [-3.2004020087619387, -6.321221541648606, 75.16514245854087], 'normal': [-0.04033519643573689, 0.0196745331137885, -0.9989924847941775], 'radius': 8.121652163892142}, 'confidence': 0.01663879677374158, 'timestamp': 32960.626767, 'diameter_3d': 16.243304327784283, 'ellipse': {'center': [133.89252785044528, 67.71587734450642], 'axes': [133.6218160656687, 134.20603027801678], 'angle': 11.912087846975671}, 'location': [133.89252785044528, 67.71587734450642], 'diameter': 134.20603027801678, 'sphere': {'center': [-2.7163796515330962, -6.557315939014068, 87.153052276071], 'radius': 12.0}, 'projected_sphere': {'center': [140.67588753385604, 73.35176708085336], 'axes': [170.73412360665534, 170.73412360665534], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32852.41611, 'theta': 1.5904721294233304, 'phi': -1.6111502835714044, 'norm_pos': [0.4184141495326415, 0.7178505110645566], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084250.865105,"{'circle_3d': {'center': [-3.1837111635093804, -6.444399935518901, 75.16268734275604], 'normal': [-0.03894429266469033, 0.009409666957930583, -0.9991970777762452], 'radius': 8.108412083940264}, 'confidence': 0.026196171920856017, 'timestamp': 32960.637939, 'diameter_3d': 16.216824167880528, 'ellipse': {'center': [134.01857360333105, 66.77276911674403], 'axes': [133.38804129426074, 133.93384905221305], 'angle': 19.540766418815025}, 'location': [134.01857360333105, 66.77276911674403], 'diameter': 133.93384905221305, 'sphere': {'center': [-2.7163796515330962, -6.557315939014068, 87.153052276071], 'radius': 12.0}, 'projected_sphere': {'center': [140.67588753385604, 73.35176708085336], 'axes': [170.73412360665534, 170.73412360665534], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32852.41611, 'theta': 1.5802061326165524, 'phi': -1.6097521959024228, 'norm_pos': [0.41880804251040954, 0.7217801286802332], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084250.882688,"{'circle_3d': {'center': [-2.78717259905584, -6.819668397772515, 75.1561293561734], 'normal': [-0.005899412293561985, -0.02186270489653727, -0.9997435766581337], 'radius': 8.116151956743495}, 'confidence': 0.019039908045496382, 'timestamp': 32960.649111, 'diameter_3d': 16.23230391348699, 'ellipse': {'center': [137.04974480076004, 63.89889034183147], 'axes': [133.57877054941366, 133.90971824690178], 'angle': 71.70320782390532}, 'location': [137.04974480076004, 63.89889034183147], 'diameter': 133.90971824690178, 'sphere': {'center': [-2.7163796515330962, -6.557315939014068, 87.153052276071], 'radius': 12.0}, 'projected_sphere': {'center': [140.67588753385604, 73.35176708085336], 'axes': [170.73412360665534, 170.73412360665534], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32852.41611, 'theta': 1.5489318798754719, 'phi': -1.5766971837330221, 'norm_pos': [0.4282804525023751, 0.7337546235757022], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084250.887794,"{'circle_3d': {'center': [-2.2943358281450204, -7.181417326017002, 75.17672660957875], 'normal': [0.035170318615673005, -0.05200844891691112, -0.9980271388743539], 'radius': 8.133866141435481}, 'confidence': 0.01665600907349191, 'timestamp': 32960.660283, 'diameter_3d': 16.267732282870963, 'ellipse': {'center': [140.82242859219693, 61.147194715016084], 'axes': [133.26152111358957, 134.28888427355042], 'angle': -75.98321708749972}, 'location': [140.82242859219693, 61.147194715016084], 'diameter': 134.28888427355042, 'sphere': {'center': [-2.7163796515330962, -6.557315939014068, 87.153052276071], 'radius': 12.0}, 'projected_sphere': {'center': [140.67588753385604, 73.35176708085336], 'axes': [170.73412360665534, 170.73412360665534], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32852.41611, 'theta': 1.5187644032020184, 'phi': -1.535571061496359, 'norm_pos': [0.4400700893506154, 0.7452200220207663], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084250.8951612,"{'circle_3d': {'center': [-2.2829770604478474, -7.549090972716977, 75.20196259869998], 'normal': [0.03611688259043742, -0.08264791947524242, -0.9959241397809184], 'radius': 8.148992054624609}, 'confidence': 0.021439472196551807, 'timestamp': 32960.671455, 'diameter_3d': 16.297984109249217, 'ellipse': {'center': [140.91438571889435, 58.35512791817449], 'axes': [132.76110919997242, 134.4804817988033], 'angle': -80.63154946326202}, 'location': [140.91438571889435, 58.35512791817449], 'diameter': 134.4804817988033, 'sphere': {'center': [-2.7163796515330962, -6.557315939014068, 87.153052276071], 'radius': 12.0}, 'projected_sphere': {'center': [140.67588753385604, 73.35176708085336], 'axes': [170.73412360665534, 170.73412360665534], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32852.41611, 'theta': 1.4880540266941347, 'phi': -1.5345475194244635, 'norm_pos': [0.44035745537154486, 0.7568536336742729], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084250.917706,"{'circle_3d': {'center': [-0.005913861476899207, -10.377635895026419, 76.10504201925873], 'normal': [0.22587214917134965, -0.3183599963343624, -0.9206675214010214], 'radius': 8.154330460549438}, 'confidence': 0.04328142163436475, 'timestamp': 32960.682627, 'diameter_3d': 16.308660921098877, 'ellipse': {'center': [158.46898963786822, 37.39893052762187], 'axes': [116.52086443270252, 133.2493422696574], 'angle': -61.27234097606649}, 'location': [158.46898963786822, 37.39893052762187], 'diameter': 133.2493422696574, 'sphere': {'center': [-2.7163796515330962, -6.557315939014068, 87.153052276071], 'radius': 12.0}, 'projected_sphere': {'center': [140.67588753385604, 73.35176708085336], 'axes': [170.73412360665534, 170.73412360665534], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32852.41611, 'theta': 1.2467973598445385, 'phi': -1.330212860921677, 'norm_pos': [0.4952155926183382, 0.8441711228015756], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084250.922472,"{'circle_3d': {'center': [1.3989673552952042, -9.552068525737651, 76.28588263730572], 'normal': [0.3429455839023583, -0.24956271556029852, -0.9055974698971062], 'radius': 8.16455602586406}, 'confidence': 0.058881677933698494, 'timestamp': 32960.693799, 'diameter_3d': 16.32911205172812, 'ellipse': {'center': [169.1831712491695, 43.81530027454548], 'axes': [115.09987068497715, 133.24122365927212], 'angle': -43.621929017096036}, 'location': [169.1831712491695, 43.81530027454548], 'diameter': 133.24122365927212, 'sphere': {'center': [-2.7163796515330962, -6.557315939014068, 87.153052276071], 'radius': 12.0}, 'projected_sphere': {'center': [140.67588753385604, 73.35176708085336], 'axes': [170.73412360665534, 170.73412360665534], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32852.41611, 'theta': 1.3185676707667389, 'phi': -1.2087898082044637, 'norm_pos': [0.5286974101536547, 0.8174362488560605], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084250.932961,"{'circle_3d': {'center': [1.14160347965371, -9.921296890822253, 76.29949993983794], 'normal': [0.321498594265567, -0.2803317459840152, -0.9044626946860871], 'radius': 8.212117560190329}, 'confidence': 0.028072314140548418, 'timestamp': 32960.704971, 'diameter_3d': 16.424235120380658, 'ellipse': {'center': [167.20323601621996, 41.03542120288391], 'axes': [115.13056664947875, 133.96948576208237], 'angle': -48.25151220074766}, 'location': [167.20323601621996, 41.03542120288391], 'diameter': 133.96948576208237, 'sphere': {'center': [-2.7163796515330962, -6.557315939014068, 87.153052276071], 'radius': 12.0}, 'projected_sphere': {'center': [140.67588753385604, 73.35176708085336], 'axes': [170.73412360665534, 170.73412360665534], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32852.41611, 'theta': 1.286656631429496, 'phi': -1.2292673535519745, 'norm_pos': [0.5225101125506874, 0.829019078321317], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084250.9438322,"{'circle_3d': {'center': [2.3175542454556948, -9.987120982980162, 76.81400266398711], 'normal': [0.4194944914157327, -0.28581708699717456, -0.8615874676736572], 'radius': 8.221330159126572}, 'confidence': 0.015801998445868305, 'timestamp': 32960.716143, 'diameter_3d': 16.442660318253143, 'ellipse': {'center': [176.18681971751028, 40.90501378845036], 'axes': [107.72236677788769, 133.3212704853075], 'angle': -40.44835262412045}, 'location': [176.18681971751028, 40.90501378845036], 'diameter': 133.3212704853075, 'sphere': {'center': [-2.7163796515330962, -6.557315939014068, 87.153052276071], 'radius': 12.0}, 'projected_sphere': {'center': [140.67588753385604, 73.35176708085336], 'axes': [170.73412360665534, 170.73412360665534], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32852.41611, 'theta': 1.28093735067002, 'phi': -1.117695210262087, 'norm_pos': [0.5505838116172196, 0.8295624425481235], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596084250.9528298,"{'circle_3d': {'center': [2.293754453027987, -10.414790368430507, 76.95410883664002], 'normal': [0.4175111753800903, -0.32145620245136997, -0.8499119532859148], 'radius': 8.234739386097827}, 'confidence': 0.029240757562312064, 'timestamp': 32960.727315, 'diameter_3d': 16.469478772195654, 'ellipse': {'center': [176.0118708237933, 37.76885207898451], 'axes': [105.37430170846496, 133.29657458423307], 'angle': -43.30724915380587}, 'location': [176.0118708237933, 37.76885207898451], 'diameter': 133.29657458423307, 'sphere': {'center': [-2.7163796515330962, -6.557315939014068, 87.153052276071], 'radius': 12.0}, 'projected_sphere': {'center': [140.67588753385604, 73.35176708085336], 'axes': [170.73412360665534, 170.73412360665534], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 32852.41611, 'theta': 1.2435294168258997, 'phi': -1.114180839076139, 'norm_pos': [0.550037096324354, 0.8426297830042312], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
