imu_packets,1245
IMUtimestamp,quatI,quatJ,quatK,quatReal,quatRadianAccuracy
1580957078.592722,-0.00586,-0.00879,-0.97772,0.20972,0.0518
1580957078.5928981,-0.00586,-0.00879,-0.97772,0.20966,0.0518
1580957078.5981472,-0.00580,-0.00879,-0.97772,0.20953,0.0518
1580957078.60353,-0.00574,-0.00879,-0.97778,0.20941,0.0518
1580957078.615096,-0.00568,-0.00879,-0.97778,0.20923,0.0518
1580957078.6201322,-0.00562,-0.00879,-0.97784,0.20917,0.0518
1580957078.628565,-0.00555,-0.00879,-0.97784,0.20911,0.0518
1580957078.629038,-0.00549,-0.00879,-0.97784,0.20898,0.0518
1580957078.635732,-0.00543,-0.00873,-0.97791,0.20892,0.0518
1580957078.645498,-0.00543,-0.00873,-0.97791,0.20886,0.0518
1580957078.650103,-0.00537,-0.00867,-0.97791,0.20880,0.0518
1580957078.650178,-0.00537,-0.00854,-0.97791,0.20874,0.0519
1580957078.654034,-0.00537,-0.00836,-0.97797,0.20868,0.0519
1580957078.660033,-0.00531,-0.00848,-0.97797,0.20862,0.0519
1580957078.666037,-0.00519,-0.00861,-0.97797,0.20862,0.0519
1580957078.679312,-0.00513,-0.00873,-0.97797,0.20862,0.0519
1580957078.681629,-0.00500,-0.00879,-0.97797,0.20862,0.0519
1580957078.687875,-0.00488,-0.00885,-0.97797,0.20862,0.0519
1580957078.68991,-0.00482,-0.00891,-0.97791,0.20868,0.0520
1580957078.705367,-0.00458,-0.00897,-0.97791,0.20880,0.0520
1580957078.7053928,-0.00452,-0.00903,-0.97791,0.20880,0.0520
1580957078.707475,-0.00446,-0.00903,-0.97791,0.20892,0.0520
1580957078.715914,-0.00439,-0.00909,-0.97784,0.20898,0.0520
1580957078.721615,-0.00439,-0.00909,-0.97784,0.20911,0.0520
1580957078.727969,-0.00439,-0.00909,-0.97784,0.20917,0.0520
1580957078.727975,-0.00439,-0.00909,-0.97778,0.20929,0.0520
1580957078.7403488,-0.00452,-0.00897,-0.97772,0.20966,0.0520
1580957078.7403898,-0.00458,-0.00885,-0.97772,0.20978,0.0520
1580957078.746478,-0.00470,-0.00873,-0.97766,0.20996,0.0520
1580957078.756942,-0.00488,-0.00848,-0.97760,0.21014,0.0520
1580957078.756952,-0.00507,-0.00818,-0.97760,0.21033,0.0520
1580957078.770368,-0.00525,-0.00800,-0.97754,0.21051,0.0521
1580957078.770396,-0.00543,-0.00775,-0.97748,0.21075,0.0521
1580957078.774166,-0.00562,-0.00751,-0.97748,0.21094,0.0521
