eye_packets,716
norm_X,norm_Y,phi,theta,confidence,timestamp
1580956184.24986,"{'circle_3d': {'center': [19.557795611912, 6.588414124710299, 87.51501274007595], 'normal': [-0.28170238415322063, -0.1288688316462058, -0.9508083881584835], 'radius': 0.6999957705019533}, 'confidence': 0.7929919156147919, 'timestamp': 1679.854315, 'diameter_3d': 1.3999915410039065, 'ellipse': {'center': [298.5686539849167, 166.68075859615442], 'axes': [9.91240085719011, 10.157038452411344], 'angle': -74.48851883887751}, 'location': [298.5686539849167, 166.68075859615442], 'diameter': 10.157038452411344, 'sphere': {'center': [22.938224221750644, 8.134840104464768, 98.92471339797774], 'radius': 12.0}, 'projected_sphere': {'center': [303.76285287045494, 170.98423529899517], 'axes': [150.41741834658865, 150.41741834658865], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 1.4415681116384917, 'phi': -1.858833771155829, 'norm_pos': [0.9330270437028647, 0.3054968391826899], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956184.264919,"{'circle_3d': {'center': [19.439256158893652, 6.467097476829126, 87.56795959140635], 'normal': [-0.29158067190474934, -0.13897855230297015, -0.9463961505476158], 'radius': 0.6942737225512056}, 'confidence': 0.672699784566715, 'timestamp': 1679.862715, 'diameter_3d': 1.3885474451024111, 'ellipse': {'center': [297.6457745984293, 165.79386835548556], 'axes': [9.821809601047637, 10.051200950952843], 'angle': -76.41663991848296}, 'location': [297.6457745984293, 165.79386835548556], 'diameter': 10.051200950952843, 'sphere': {'center': [22.938224221750644, 8.134840104464768, 98.92471339797774], 'radius': 12.0}, 'projected_sphere': {'center': [303.76285287045494, 170.98423529899517], 'axes': [150.41741834658865, 150.41741834658865], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 1.431366444522609, 'phi': -1.8696638052780075, 'norm_pos': [0.9301430456200915, 0.3091922151854768], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956184.265483,"{'circle_3d': {'center': [19.328598200112094, 6.591884428919403, 87.5849652628906], 'normal': [-0.3008021684698793, -0.1285796396287804, -0.9449790112572614], 'radius': 0.6964077883793385}, 'confidence': 0.6389445766934544, 'timestamp': 1679.871115, 'diameter_3d': 1.392815576758677, 'ellipse': {'center': [296.8361316866336, 166.66797697082455], 'axes': [9.855807331333581, 10.07084239548607], 'angle': -74.56123442101239}, 'location': [296.8361316866336, 166.66797697082455], 'diameter': 10.07084239548607, 'sphere': {'center': [22.938224221750644, 8.134840104464768, 98.92471339797774], 'radius': 12.0}, 'projected_sphere': {'center': [303.76285287045494, 170.98423529899517], 'axes': [150.41741834658865, 150.41741834658865], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 1.441859729795263, 'phi': -1.878971169788319, 'norm_pos': [0.9276129115207301, 0.3055500959548977], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956184.274601,"{'circle_3d': {'center': [19.449014475326287, 6.579593509464299, 87.54901019447438], 'normal': [-0.2907674788686965, -0.12960388291670574, -0.9479752669586138], 'radius': 0.6825794510349287}, 'confidence': 0.6837685037238943, 'timestamp': 1679.879515, 'diameter_3d': 1.3651589020698573, 'ellipse': {'center': [297.7442498694004, 166.5999384664171], 'axes': [9.662702338516098, 9.888606258168627], 'angle': -74.71239294926288}, 'location': [297.7442498694004, 166.5999384664171], 'diameter': 9.888606258168627, 'sphere': {'center': [22.938224221750644, 8.134840104464768, 98.92471339797774], 'radius': 12.0}, 'projected_sphere': {'center': [303.76285287045494, 170.98423529899517], 'axes': [150.41741834658865, 150.41741834658865], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 1.4408268439444782, 'phi': -1.8684111431671346, 'norm_pos': [0.9304507808418763, 0.30583358972326213], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956184.286765,"{'circle_3d': {'center': [19.43371138577207, 6.6961879875422525, 87.53837641592176], 'normal': [-0.29204273633154787, -0.11988767641020966, -0.9488614151713319], 'radius': 0.7018706862859173}, 'confidence': 0.6963665509152481, 'timestamp': 1679.887915, 'diameter_3d': 1.4037413725718346, 'ellipse': {'center': [297.6532853314309, 167.43131215555127], 'axes': [9.940234230456369, 10.171547149628823], 'angle': -73.03664129953543}, 'location': [297.6532853314309, 167.43131215555127], 'diameter': 10.171547149628823, 'sphere': {'center': [22.938224221750644, 8.134840104464768, 98.92471339797774], 'radius': 12.0}, 'projected_sphere': {'center': [303.76285287045494, 170.98423529899517], 'axes': [150.41741834658865, 150.41741834658865], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 1.450619584786783, 'phi': -1.8693774535424565, 'norm_pos': [0.9301665166607215, 0.30236953268520306], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956184.293507,"{'circle_3d': {'center': [19.546511157017754, 6.685402012736023, 87.50563236206395], 'normal': [-0.2826427553944075, -0.12078650764406208, -0.9515900863261492], 'radius': 0.673390810439348}, 'confidence': 0.8240383808661951, 'timestamp': 1679.896315, 'diameter_3d': 1.346781620878696, 'ellipse': {'center': [298.50272862989544, 167.37228462448851], 'axes': [9.53950244884961, 9.773807564970497], 'angle': -73.27336122457193}, 'location': [298.50272862989544, 167.37228462448851], 'diameter': 9.773807564970497, 'sphere': {'center': [22.938224221750644, 8.134840104464768, 98.92471339797774], 'radius': 12.0}, 'projected_sphere': {'center': [303.76285287045494, 170.98423529899517], 'axes': [150.41741834658865, 150.41741834658865], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 1.449714173980346, 'phi': -1.8595183565422229, 'norm_pos': [0.9328210269684233, 0.30261548073129785], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956184.302666,"{'circle_3d': {'center': [19.541273223359347, 6.565413264606553, 87.52306337226388], 'normal': [-0.2830792498659415, -0.1307855699881846, -0.9501375021428222], 'radius': 0.6871811233292431}, 'confidence': 0.8079791341149763, 'timestamp': 1679.904715, 'diameter_3d': 1.3743622466584862, 'ellipse': {'center': [298.4385015678769, 166.51341199344935], 'axes': [9.729393940349707, 9.967787366775404], 'angle': -74.80768801039787}, 'location': [298.4385015678769, 166.51341199344935], 'diameter': 9.967787366775404, 'sphere': {'center': [22.938224221750644, 8.134840104464768, 98.92471339797774], 'radius': 12.0}, 'projected_sphere': {'center': [303.76285287045494, 170.98423529899517], 'axes': [150.41741834658865, 150.41741834658865], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 1.4396350124581736, 'phi': -1.8603575828438403, 'norm_pos': [0.9326203173996154, 0.306194116693961], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956184.312686,"{'circle_3d': {'center': [19.65089421322091, 6.6917994641734815, 87.47433807113856], 'normal': [-0.2739441673774782, -0.12025338669094061, -0.9541979439032655], 'radius': 0.6847430961417035}, 'confidence': 0.6153639954876138, 'timestamp': 1679.913115, 'diameter_3d': 1.369486192283407, 'ellipse': {'center': [299.2921650216922, 167.4347088277746], 'axes': [9.703185833002808, 9.952318822429886], 'angle': -73.21169051285456}, 'location': [299.2921650216922, 167.4347088277746], 'diameter': 9.952318822429886, 'sphere': {'center': [22.938224221750644, 8.134840104464768, 98.92471339797774], 'radius': 12.0}, 'projected_sphere': {'center': [303.76285287045494, 170.98423529899517], 'axes': [150.41741834658865, 150.41741834658865], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 1.450251209442271, 'phi': -1.8503707788850392, 'norm_pos': [0.9352880156927881, 0.3023553798842724], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956184.320163,"{'circle_3d': {'center': [19.528819292909073, 6.6809699505113045, 87.51146584933349], 'normal': [-0.2841170774034644, -0.1211558461627887, -0.9511039623870214], 'radius': 0.6724850353976433}, 'confidence': 0.6932386696910537, 'timestamp': 1679.921515, 'diameter_3d': 1.3449700707952865, 'ellipse': {'center': [298.36817678943356, 167.33772733969704], 'axes': [9.52605510640117, 9.758113294631361], 'angle': -73.32150639991514}, 'location': [298.36817678943356, 167.33772733969704], 'diameter': 9.758113294631361, 'sphere': {'center': [22.938224221750644, 8.134840104464768, 98.92471339797774], 'radius': 12.0}, 'projected_sphere': {'center': [303.76285287045494, 170.98423529899517], 'axes': [150.41741834658865, 150.41741834658865], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 1.4493421029774496, 'phi': -1.861081583140075, 'norm_pos': [0.9324005524669798, 0.302759469417929], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956184.325613,"{'circle_3d': {'center': [19.438592680063884, 6.323346659331607, 87.59020544347567], 'normal': [-0.29163596180723, -0.15095778709443008, -0.9445423295418394], 'radius': 0.7001530287987265}, 'confidence': 0.5722448080466285, 'timestamp': 1679.929915, 'diameter_3d': 1.400306057597453, 'ellipse': {'center': [297.6063258538436, 164.76524163666977], 'axes': [9.894667769515168, 10.129562319359142], 'angle': -78.65230175994672}, 'location': [297.6063258538436, 164.76524163666977], 'diameter': 10.129562319359142, 'sphere': {'center': [22.938224221750644, 8.134840104464768, 98.92471339797774], 'radius': 12.0}, 'projected_sphere': {'center': [303.76285287045494, 170.98423529899517], 'axes': [150.41741834658865, 150.41741834658865], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 1.419259235158383, 'phi': -1.8702694199581247, 'norm_pos': [0.9300197682932613, 0.3134781598472093], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1580956184.334103,"{'circle_3d': {'center': [19.440150159366507, 6.465881866606516, 87.56786276699907], 'normal': [-0.2915061718653446, -0.13907985315485424, -0.9464042192482218], 'radius': 0.683792438745697}, 'confidence': 0.5529130667560095, 'timestamp': 1679.938315, 'diameter_3d': 1.367584877491394, 'ellipse': {'center': [297.65190454415676, 165.78515316783918], 'axes': [9.673477801663791, 9.899536263422764], 'angle': -76.43283566197513}, 'location': [297.65190454415676, 165.78515316783918], 'diameter': 9.899536263422764, 'sphere': {'center': [22.938224221750644, 8.134840104464768, 98.92471339797774], 'radius': 12.0}, 'projected_sphere': {'center': [303.76285287045494, 170.98423529899517], 'axes': [150.41741834658865, 150.41741834658865], 'angle': 90.0}, 'model_confidence': 0.7857901763424269, 'model_id': 11, 'model_birth_timestamp': 1625.187115, 'theta': 1.431264150217196, 'phi': -1.8695895099875641, 'norm_pos': [0.9301622017004899, 0.3092285284673367], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
