eye_packets,776
norm_X,norm_Y,phi,theta,confidence,timestamp
1596180380.931175,"{'circle_3d': {'center': [-0.15734864813270244, -0.028722765707398068, 3.19344129027907], 'normal': [0.15549622001043603, -0.7230811457638172, -0.6730338640836369], 'radius': 0.6834777064612589}, 'confidence': 0.07949063235105447, 'timestamp': 54282.260246, 'diameter_3d': 1.3669554129225179, 'ellipse': {'center': [125.61733306780957, 128.45666082496462], 'axes': [183.28278233206586, 269.1334057702753], 'angle': -80.59639423639595}, 'location': [125.61733306780957, 128.45666082496462], 'diameter': 269.1334057702753, 'sphere': {'center': [-2.0233032882579347, 8.648250983458409, 11.269847659282712], 'radius': 12.0}, 'projected_sphere': {'center': [48.689885023719924, 595.7753407010545], 'axes': [1320.3372796032154, 1320.3372796032154], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 54239.390183, 'theta': 0.7625438627117336, 'phi': -1.3437425648998649, 'norm_pos': [0.3925541658369049, 0.4647639132293141], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180380.937524,"{'circle_3d': {'center': [-0.15797150123529313, -0.029098561720651617, 3.1937011651245193], 'normal': [0.15544431558522012, -0.7231124620982551, -0.673012207846516], 'radius': 0.6839926828879958}, 'confidence': 0.08640670872321414, 'timestamp': 54282.268646, 'diameter_3d': 1.3679853657759915, 'ellipse': {'center': [125.4916377184604, 128.4018174794045], 'axes': [183.38894410944226, 269.3220617521868], 'angle': -80.61162189958793}, 'location': [125.4916377184604, 128.4018174794045], 'diameter': 269.3220617521868, 'sphere': {'center': [-2.0233032882579347, 8.648250983458409, 11.269847659282712], 'radius': 12.0}, 'projected_sphere': {'center': [48.689885023719924, 595.7753407010545], 'axes': [1320.3372796032154, 1320.3372796032154], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 54239.390183, 'theta': 0.7624985257826282, 'phi': -1.3438087227729134, 'norm_pos': [0.39216136787018874, 0.4649924271691479], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180380.9466398,"{'circle_3d': {'center': [-0.15859673823523135, -0.029476206527954574, 3.19396254999136], 'normal': [0.15539221250189195, -0.7231439324988637, -0.6729904257742794], 'radius': 0.6834566924531001}, 'confidence': 0.07532782632219007, 'timestamp': 54282.277046, 'diameter_3d': 1.3669133849062003, 'ellipse': {'center': [125.37761277933414, 128.30233777545834], 'axes': [183.19865238562113, 269.08610545881885], 'angle': -80.62649352003751}, 'location': [125.37761277933414, 128.30233777545834], 'diameter': 269.08610545881885, 'sphere': {'center': [-2.0233032882579347, 8.648250983458409, 11.269847659282712], 'radius': 12.0}, 'projected_sphere': {'center': [48.689885023719924, 595.7753407010545], 'axes': [1320.3372796032154, 1320.3372796032154], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 54239.390183, 'theta': 0.7624529636427837, 'phi': -1.3438751261840185, 'norm_pos': [0.3918050399354192, 0.4654069259355903], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180380.954328,"{'circle_3d': {'center': [-0.1592243586099089, -0.029855699860746654, 3.194225445671327], 'normal': [0.15533991080400214, -0.723175556943263, -0.6729685178009488], 'radius': 0.6835141029936697}, 'confidence': 0.09207075189415244, 'timestamp': 54282.285446, 'diameter_3d': 1.3670282059873393, 'ellipse': {'center': [125.2563229296801, 128.22748682067942], 'axes': [183.1753900813291, 269.0897290049687], 'angle': -80.6416392399829}, 'location': [125.2563229296801, 128.22748682067942], 'diameter': 269.0897290049687, 'sphere': {'center': [-2.0233032882579347, 8.648250983458409, 11.269847659282712], 'radius': 12.0}, 'projected_sphere': {'center': [48.689885023719924, 595.7753407010545], 'axes': [1320.3372796032154, 1320.3372796032154], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 54239.390183, 'theta': 0.7624071762922786, 'phi': -1.343941775133065, 'norm_pos': [0.3914260091552503, 0.46571880491383577], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180380.962555,"{'circle_3d': {'center': [-0.15985436183598, -0.030237041450101643, 3.1944898529600447], 'normal': [0.1552874105351629, -0.7232073354090426, -0.6729464838602223], 'radius': 0.6830713663553016}, 'confidence': 0.07818278715823933, 'timestamp': 54282.293846, 'diameter_3d': 1.3661427327106033, 'ellipse': {'center': [125.14036298625084, 128.1312338100434], 'axes': [183.01103007861693, 268.891279407885], 'angle': -80.65663799044349}, 'location': [125.14036298625084, 128.1312338100434], 'diameter': 268.891279407885, 'sphere': {'center': [-2.0233032882579347, 8.648250983458409, 11.269847659282712], 'radius': 12.0}, 'projected_sphere': {'center': [48.689885023719924, 595.7753407010545], 'axes': [1320.3372796032154, 1320.3372796032154], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 54239.390183, 'theta': 0.7623611637310742, 'phi': -1.34400866962011, 'norm_pos': [0.39106363433203384, 0.4661198591248191], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180380.9715462,"{'circle_3d': {'center': [-0.16048674738719804, -0.030620231025425326, 3.1947557726561424], 'normal': [0.15523471173922807, -0.723239267873653, -0.6729243238855476], 'radius': 0.6827464704923315}, 'confidence': 0.06984919249755718, 'timestamp': 54282.302246, 'diameter_3d': 1.365492940984663, 'ellipse': {'center': [125.02261562292713, 128.03959019968212], 'axes': [182.87969397983358, 268.7403407255462], 'angle': -80.6717276303317}, 'location': [125.02261562292713, 128.03959019968212], 'diameter': 268.7403407255462, 'sphere': {'center': [-2.0233032882579347, 8.648250983458409, 11.269847659282712], 'radius': 12.0}, 'projected_sphere': {'center': [48.689885023719924, 595.7753407010545], 'axes': [1320.3372796032154, 1320.3372796032154], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 54239.390183, 'theta': 0.7623149259591699, 'phi': -1.3440758096451537, 'norm_pos': [0.39069567382164727, 0.46650170750132447], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180380.979373,"{'circle_3d': {'center': [-0.16112151473494718, -0.031005268314780565, 3.1950232055614567], 'normal': [0.15518181446024895, -0.7232713543144325, -0.6729020378101046], 'radius': 0.6826437392996857}, 'confidence': 0.07545838651537162, 'timestamp': 54282.310646, 'diameter_3d': 1.3652874785993714, 'ellipse': {'center': [124.90188075883637, 127.95692411932535], 'axes': [182.81071783071928, 268.6790147186044], 'angle': -80.68694898487804}, 'location': [124.90188075883637, 127.95692411932535], 'diameter': 268.6790147186044, 'sphere': {'center': [-2.0233032882579347, 8.648250983458409, 11.269847659282712], 'radius': 12.0}, 'projected_sphere': {'center': [48.689885023719924, 595.7753407010545], 'axes': [1320.3372796032154, 1320.3372796032154], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 54239.390183, 'theta': 0.762268462976566, 'phi': -1.3441431952081964, 'norm_pos': [0.39031837737136366, 0.466846149502811], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180380.985677,"{'circle_3d': {'center': [-0.16175866334824573, -0.031392153044881965, 3.195292152481043], 'normal': [0.15512871874247408, -0.7233035947086076, -0.6728796255668058], 'radius': 0.6828090485035178}, 'confidence': 0.09500990548833001, 'timestamp': 54282.319046, 'diameter_3d': 1.3656180970070355, 'ellipse': {'center': [124.77762882278336, 127.8851489584798], 'axes': [182.81696587944958, 268.72579790815615], 'angle': -80.70232065445484}, 'location': [124.77762882278336, 127.8851489584798], 'diameter': 268.72579790815615, 'sphere': {'center': [-2.0233032882579347, 8.648250983458409, 11.269847659282712], 'radius': 12.0}, 'projected_sphere': {'center': [48.689885023719924, 595.7753407010545], 'axes': [1320.3372796032154, 1320.3372796032154], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 54239.390183, 'theta': 0.7622217747832627, 'phi': -1.3442108263092378, 'norm_pos': [0.389930090071198, 0.4671452126730008], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180380.995554,"{'circle_3d': {'center': [-0.16239811641815027, -0.03178083855388891, 3.1955625819353806], 'normal': [0.1550754309866487, -0.7233359851676915, -0.6728570897789443], 'radius': 0.682467786018209}, 'confidence': 0.06291475391969928, 'timestamp': 54282.327445, 'diameter_3d': 1.364935572036418, 'ellipse': {'center': [124.65879822186415, 127.79175702615807], 'axes': [182.68044716767164, 268.5679869473715], 'angle': -80.7175381805758}, 'location': [124.65879822186415, 127.79175702615807], 'diameter': 268.5679869473715, 'sphere': {'center': [-2.0233032882579347, 8.648250983458409, 11.269847659282712], 'radius': 12.0}, 'projected_sphere': {'center': [48.689885023719924, 595.7753407010545], 'axes': [1320.3372796032154, 1320.3372796032154], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 54239.390183, 'theta': 0.7621748669775539, 'phi': -1.3442786948531682, 'norm_pos': [0.38955874444332544, 0.4675343457243414], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180381.006042,"{'circle_3d': {'center': [-0.2253187398212293, 0.05111667610379378, 3.0932632094718286], 'normal': [0.14983204570305877, -0.716427858946218, -0.6813820374842403], 'radius': 0.6835312655244802}, 'confidence': 0.06373865565514729, 'timestamp': 54282.335845, 'diameter_3d': 1.3670625310489604, 'ellipse': {'center': [110.45117037605232, 145.69654939159315], 'axes': [197.6138720026464, 278.3766761061068], 'angle': -82.33210441299138}, 'location': [110.45117037605232, 145.69654939159315], 'diameter': 278.3766761061068, 'sphere': {'center': [-2.0233032882579347, 8.648250983458409, 11.269847659282712], 'radius': 12.0}, 'projected_sphere': {'center': [48.689885023719924, 595.7753407010545], 'axes': [1320.3372796032154, 1320.3372796032154], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 54239.390183, 'theta': 0.7721277283896619, 'phi': -1.3543468170009767, 'norm_pos': [0.3451599074251635, 0.3929310442016952], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596180381.014913,"{'circle_3d': {'center': [0.022657693870080653, 0.04490545328002149, 3.158344139714387], 'normal': [0.17049674851066796, -0.716945460848199, -0.6759586266306937], 'radius': 0.6836416125174068}, 'confidence': 0.052103089001818495, 'timestamp': 54282.344245, 'diameter_3d': 1.3672832250348137, 'ellipse': {'center': [161.12869729456864, 143.49074325935297], 'axes': [188.62764597124385, 271.90183554229503], 'angle': -76.0355539950808}, 'location': [161.12869729456864, 143.49074325935297], 'diameter': 271.90183554229503, 'sphere': {'center': [-2.0233032882579347, 8.648250983458409, 11.269847659282712], 'radius': 12.0}, 'projected_sphere': {'center': [48.689885023719924, 595.7753407010545], 'axes': [1320.3372796032154, 1320.3372796032154], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 54239.390183, 'theta': 0.7713855353506502, 'phi': -1.3237203554463646, 'norm_pos': [0.503527179045527, 0.40212190308602935], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
