quatI,quatJ,quatK,quatReal,quatRadianAccuracy,zmq_X,zmq_Y,phi,theta,zmq_confidence,IMUtimestamp
-0.15222,-0.28534,0.92090,0.21759,0.01617,0.44141214541798685,0.3194949098902491,-1.8997034941571778,2.1046252642592753,0.9818946333976006,1580863765.434925
-0.15222,-0.28534,0.92090,0.21759,0.01617,0.4411559781745621,0.3180164938020318,-1.9012967303338526,2.108120883397972,0.9978409253293634,1580863765.4381561
-0.15216,-0.28455,0.92102,0.21808,0.01617,0.44077283115748916,0.31788260241792554,-1.9025464221868427,2.1083851704064696,0.9964874972735098,1580863765.440474
-0.15216,-0.28455,0.92102,0.21808,0.01617,0.44077283115748916,0.31788260241792554,-1.9025464221868427,2.1083851704064696,0.9964874972735098,1580863765.4430232
-0.15204,-0.28387,0.92114,0.21857,0.01617,0.44077283115748916,0.31788260241792554,-1.9025464221868427,2.1083851704064696,0.9964874972735098,1580863765.445974
-0.15204,-0.28387,0.92114,0.21857,0.01617,0.44077283115748916,0.31788260241792554,-1.9025464221868427,2.1083851704064696,0.9964874972735098,1580863765.448533
-0.15198,-0.28314,0.92126,0.21924,0.01611,0.44069769028812555,0.3166352482300858,-1.9034950078862707,2.1113932174902015,0.996401019997451,1580863765.452545
-0.15198,-0.28314,0.92126,0.21924,0.01611,0.44069769028812555,0.3166352482300858,-1.9034950078862707,2.1113932174902015,0.996401019997451,1580863765.454786
-0.15198,-0.28314,0.92126,0.21924,0.01611,0.4411155219384173,0.3154390146268201,-1.9027788223189321,2.1141994945138505,0.9975812653269002,1580863765.458647
-0.15186,-0.28253,0.92126,0.21985,0.01611,0.4411155219384173,0.3154390146268201,-1.9027788223189321,2.1141994945138505,0.9975812653269002,1580863765.460858
-0.15186,-0.28253,0.92126,0.21985,0.01611,0.4411155219384173,0.3154390146268201,-1.9027788223189321,2.1141994945138505,0.9975812653269002,1580863765.46417
-0.15173,-0.28192,0.92133,0.22058,0.01611,0.4411923936001726,0.31518124018436355,-1.9026742936783518,2.11481470412217,0.99807875959225,1580863765.468249
-0.15173,-0.28192,0.92133,0.22058,0.01611,0.4411923936001726,0.31518124018436355,-1.9026742936783518,2.11481470412217,0.99807875959225,1580863765.472634
-0.15161,-0.28143,0.92133,0.22119,0.01611,0.44193169680698163,0.31432454815774635,-1.9006323995344663,2.1166723142875745,0.9958558354678949,1580863765.475862
-0.15161,-0.28143,0.92133,0.22119,0.01611,0.44193169680698163,0.31432454815774635,-1.9006323995344663,2.1166723142875745,0.9958558354678949,1580863765.478912
-0.15149,-0.28088,0.92133,0.22205,0.01611,0.44162554260951997,0.31259553808460605,-1.902631318483064,2.12089345600246,0.9976834668988921,1580863765.482126
-0.15149,-0.28088,0.92133,0.22205,0.01611,0.44162554260951997,0.31259553808460605,-1.902631318483064,2.12089345600246,0.9976834668988921,1580863765.484231
-0.15137,-0.28040,0.92133,0.22284,0.01611,0.44162554260951997,0.31259553808460605,-1.902631318483064,2.12089345600246,0.9976834668988921,1580863765.488333
-0.15137,-0.28040,0.92133,0.22284,0.01611,0.44183560896921553,0.31208602832981236,-1.902231111368478,2.122103872722005,0.9977763486019898,1580863765.4904351
-0.15125,-0.27997,0.92126,0.22363,0.01611,0.44183560896921553,0.31208602832981236,-1.902231111368478,2.122103872722005,0.9977763486019898,1580863765.4923992
-0.15125,-0.27997,0.92126,0.22363,0.01611,0.44183560896921553,0.31208602832981236,-1.902231111368478,2.122103872722005,0.9977763486019898,1580863765.493906
-0.15112,-0.27954,0.92120,0.22455,0.01611,0.4414202566271375,0.3121989703864585,-1.9034987730989157,2.121827265717774,0.997746275282077,1580863765.496226
-0.15112,-0.27954,0.92120,0.22455,0.01611,0.4414202566271375,0.3121989703864585,-1.9034987730989157,2.121827265717774,0.997746275282077,1580863765.4987168
-0.15112,-0.27954,0.92120,0.22455,0.01611,0.4414202566271375,0.3121989703864585,-1.9034987730989157,2.121827265717774,0.997746275282077,1580863765.500232
-0.15106,-0.27905,0.92114,0.22546,0.01611,0.4414202566271375,0.3121989703864585,-1.9034987730989157,2.121827265717774,0.997746275282077,1580863765.503681
-0.15106,-0.27905,0.92114,0.22546,0.01611,0.4414202566271375,0.3121989703864585,-1.9034987730989157,2.121827265717774,0.997746275282077,1580863765.5061371
-0.15100,-0.27863,0.92102,0.22638,0.01611,0.4423183823029998,0.31157081873156,-1.900858183617175,2.123200025599958,0.9950020885122812,1580863765.50973
