quatI,quatJ,quatK,quatReal,quatRadianAccuracy,zmq_X,zmq_Y,phi,theta,zmq_confidence,IMUtimestamp
0.03851,0.02936,-0.99438,0.09387,0.01520,0.4542538722253845,0.3294293116717316,-1.8132409299721886,2.074874830605481,0.9977870394007456,1580863393.565669
0.03845,0.02917,-0.99445,0.09351,0.01520,0.454294433271664,0.3291990606410059,-1.8131933119354502,2.0753719162830166,0.9995080481984163,1580863393.5725288
0.03845,0.02917,-0.99445,0.09351,0.01520,0.454294433271664,0.3291990606410059,-1.8131933119354502,2.0753719162830166,0.9995080481984163,1580863393.5740669
0.03839,0.02869,-0.99457,0.09253,0.01520,0.4543516481545195,0.32874613331219626,-1.8131786899369613,2.076372873368425,0.9026842778377486,1580863393.5835462
0.03833,0.02844,-0.99463,0.09204,0.01520,0.4543516481545195,0.32874613331219626,-1.8131786899369613,2.076372873368425,0.9026842778377486,1580863393.5851378
0.03833,0.02844,-0.99463,0.09204,0.01520,0.4543516481545195,0.32874613331219626,-1.8131786899369613,2.076372873368425,0.9026842778377486,1580863393.5860648
0.03833,0.02844,-0.99463,0.09204,0.01520,0.4543516481545195,0.32874613331219626,-1.8131786899369613,2.076372873368425,0.9026842778377486,1580863393.59196
0.03827,0.02814,-0.99469,0.09149,0.01520,0.4545633705694187,0.32833225411224143,-1.812706371486215,2.0772968822444065,0.9994195420123301,1580863393.593279
0.03827,0.02814,-0.99469,0.09149,0.01520,0.4546541075617732,0.3292498448850564,-1.8121216545657504,2.075244595145665,0.9970637180297708,1580863393.60172
0.03827,0.02814,-0.99469,0.09149,0.01520,0.4546541075617732,0.3292498448850564,-1.8121216545657504,2.075244595145665,0.9970637180297708,1580863393.6028302
0.03827,0.02814,-0.99469,0.09149,0.01520,0.4546541075617732,0.3292498448850564,-1.8121216545657504,2.075244595145665,0.9970637180297708,1580863393.603737
0.03815,0.02771,-0.99475,0.09082,0.01520,0.4547240729390456,0.32925434706966683,-1.8118973636032718,2.0752012857209445,0.9997423435267779,1580863393.611347
0.03802,0.02728,-0.99481,0.09015,0.01520,0.4547240729390456,0.32925434706966683,-1.8118973636032718,2.0752012857209445,0.9997423435267779,1580863393.614804
0.03790,0.02679,-0.99493,0.08948,0.01520,0.4547240729390456,0.32925434706966683,-1.8118973636032718,2.0752012857209445,0.9997423435267779,1580863393.6164448
0.03790,0.02679,-0.99493,0.08948,0.01520,0.454372992494569,0.3292464773237287,-1.8129655364455057,2.075295530186759,0.9994321327582871,1580863393.623611
0.03772,0.02625,-0.99500,0.08875,0.01520,0.4545780508530141,0.3290159515702461,-1.8124478103583161,2.0758077035673073,0.9559661121789758,1580863393.625866
0.03772,0.02625,-0.99500,0.08875,0.01520,0.4545780508530141,0.3290159515702461,-1.8124478103583161,2.0758077035673073,0.9559661121789758,1580863393.626747
0.03772,0.02625,-0.99500,0.08875,0.01520,0.45448486085705697,0.32897820131477473,-1.8127368926617426,2.075900352127897,0.9974560356447894,1580863393.6354282
0.03735,0.02496,-0.99518,0.08716,0.01520,0.45448486085705697,0.32897820131477473,-1.8127368926617426,2.075900352127897,0.9974560356447894,1580863393.6393988
0.03735,0.02496,-0.99518,0.08716,0.01520,0.45442847391996943,0.3285949819069266,-1.8130201009335436,2.076731573963282,0.9836057016817279,1580863393.6429062
0.03723,0.02429,-0.99524,0.08643,0.01520,0.45442847391996943,0.3285949819069266,-1.8130201009335436,2.076731573963282,0.9836057016817279,1580863393.6443799
0.03723,0.02429,-0.99524,0.08643,0.01520,0.45448213703581947,0.32877007841805306,-1.812805362636692,2.0763447173743548,0.9945285718454069,1580863393.652826
0.03723,0.02429,-0.99524,0.08643,0.01520,0.45448213703581947,0.32877007841805306,-1.812805362636692,2.0763447173743548,0.9945285718454069,1580863393.654037
0.03723,0.02429,-0.99524,0.08643,0.01520,0.4546918453982956,0.32832625762355605,-1.812341809718856,2.0773230485038408,0.999318015709507,1580863393.6591182
0.03699,0.02350,-0.99536,0.08551,0.01520,0.4546918453982956,0.32832625762355605,-1.812341809718856,2.0773230485038408,0.999318015709507,1580863393.6612759
0.03699,0.02350,-0.99536,0.08551,0.01520,0.45452769934599946,0.32881601612656675,-1.8126432569038862,2.0762188823554406,0.9927874492038394,1580863393.667407
0.03680,0.02277,-0.99548,0.08472,0.01520,0.45452769934599946,0.32881601612656675,-1.8126432569038862,2.0762188823554406,0.9927874492038394,1580863393.673831
0.03680,0.02277,-0.99548,0.08472,0.01520,0.45452769934599946,0.32881601612656675,-1.8126432569038862,2.0762188823554406,0.9927874492038394,1580863393.676051
0.03662,0.02179,-0.99561,0.08368,0.01520,0.4550721360562441,0.32891125150843814,-1.8110461227280805,2.07603991944036,0.9376972073719807,1580863393.677322
0.03662,0.02179,-0.99561,0.08368,0.01520,0.4550721360562441,0.32891125150843814,-1.8110461227280805,2.07603991944036,0.9376972073719807,1580863393.6782532
0.03662,0.02179,-0.99561,0.08368,0.01520,0.4548311141333987,0.32933815997051397,-1.8116023701130417,2.075091937320603,0.9086027112618894,1580863393.6867251
0.03613,0.02002,-0.99579,0.08179,0.01520,0.4548311141333987,0.32933815997051397,-1.8116023701130417,2.075091937320603,0.9086027112618894,1580863393.69233
0.03613,0.02002,-0.99579,0.08179,0.01520,0.4549756919621183,0.32882407347838805,-1.8113490087986337,2.076221232714777,0.9992383329219631,1580863393.6937048
0.03589,0.01904,-0.99591,0.08087,0.01520,0.45485005657389194,0.3287102195057424,-1.8117644919873306,2.076493757159613,0.9916394606939,1580863393.700191
0.03589,0.01904,-0.99591,0.08087,0.01520,0.45485005657389194,0.3287102195057424,-1.8117644919873306,2.076493757159613,0.9916394606939,1580863393.701192
0.03589,0.01904,-0.99591,0.08087,0.01520,0.4547649752163464,0.3281846833189128,-1.812169953948758,2.077625309047768,0.9994781757177355,1580863393.709051
0.03564,0.01807,-0.99597,0.07996,0.01520,0.4547649752163464,0.3281846833189128,-1.812169953948758,2.077625309047768,0.9994781757177355,1580863393.711898
0.03564,0.01807,-0.99597,0.07996,0.01520,0.4547649752163464,0.3281846833189128,-1.812169953948758,2.077625309047768,0.9994781757177355,1580863393.7126532
0.03564,0.01807,-0.99597,0.07996,0.01520,0.4547649752163464,0.3281846833189128,-1.812169953948758,2.077625309047768,0.9994781757177355,1580863393.71582
0.03564,0.01807,-0.99597,0.07996,0.01520,0.4545443653479625,0.3281672177015629,-1.8128227835544117,2.077671697302291,0.9179031102379611,1580863393.721007
0.03522,0.01581,-0.99622,0.07794,0.01520,0.4546700579998171,0.32877180462673583,-1.8122329300203517,2.076297832802612,0.9840852556849553,1580863393.7274969
0.03522,0.01581,-0.99622,0.07794,0.01520,0.4546700579998171,0.32877180462673583,-1.8122329300203517,2.076297832802612,0.9840852556849553,1580863393.729449
0.03522,0.01581,-0.99622,0.07794,0.01520,0.4546700579998171,0.32877180462673583,-1.8122329300203517,2.076297832802612,0.9840852556849553,1580863393.730386
0.03510,0.01477,-0.99628,0.07703,0.01520,0.45415107765777113,0.32871341802530607,-1.8137906141103461,2.0764745119017056,0.9995661027556071,1580863393.738988
0.03510,0.01477,-0.99628,0.07703,0.01520,0.45415107765777113,0.32871341802530607,-1.8137906141103461,2.0764745119017056,0.9995661027556071,1580863393.740211
0.03491,0.01355,-0.99640,0.07599,0.01520,0.45415107765777113,0.32871341802530607,-1.8137906141103461,2.0764745119017056,0.9995661027556071,1580863393.7418618
0.03491,0.01355,-0.99640,0.07599,0.01520,0.45415107765777113,0.32871341802530607,-1.8137906141103461,2.0764745119017056,0.9995661027556071,1580863393.742831
0.03491,0.01355,-0.99640,0.07599,0.01520,0.45394695899126847,0.32748620003496665,-1.8148336735047457,2.0792463631643776,0.9998156695592916,1580863393.7489972
0.03479,0.01239,-0.99652,0.07507,0.01526,0.45394695899126847,0.32748620003496665,-1.8148336735047457,2.0792463631643776,0.9998156695592916,1580863393.7514722
0.03479,0.01239,-0.99652,0.07507,0.01526,0.45394695899126847,0.32748620003496665,-1.8148336735047457,2.0792463631643776,0.9998156695592916,1580863393.756072
0.03479,0.01239,-0.99652,0.07507,0.01526,0.45394695899126847,0.32748620003496665,-1.8148336735047457,2.0792463631643776,0.9998156695592916,1580863393.7595232
0.03479,0.01239,-0.99652,0.07507,0.01526,0.45394695899126847,0.32748620003496665,-1.8148336735047457,2.0792463631643776,0.9998156695592916,1580863393.7603998
0.03461,0.01123,-0.99658,0.07416,0.01526,0.45394695899126847,0.32748620003496665,-1.8148336735047457,2.0792463631643776,0.9998156695592916,1580863393.7614698
0.03461,0.01123,-0.99658,0.07416,0.01526,0.4538952690761532,0.32837669547564896,-1.8147141819033386,2.0773298637137594,0.9994401197125456,1580863393.7698402
0.03461,0.01123,-0.99658,0.07416,0.01526,0.4538952690761532,0.32837669547564896,-1.8147141819033386,2.0773298637137594,0.9994401197125456,1580863393.770769
0.03461,0.01123,-0.99658,0.07416,0.01526,0.4538952690761532,0.32837669547564896,-1.8147141819033386,2.0773298637137594,0.9994401197125456,1580863393.7799911
0.03461,0.01123,-0.99658,0.07416,0.01526,0.45405372149301765,0.32756983440133447,-1.81448115645849,2.0790395191986693,0.9906384374092208,1580863393.782184
0.03455,0.01013,-0.99664,0.07330,0.01526,0.453810088565022,0.3283044692849191,-1.8149743177355435,2.0774682351478075,0.9621358863331512,1580863393.7888699
0.03455,0.01013,-0.99664,0.07330,0.01526,0.453810088565022,0.3283044692849191,-1.8149743177355435,2.0774682351478075,0.9621358863331512,1580863393.7951958
