eye_packets,34
norm_X,norm_Y,phi,theta,confidence,timestamp
1581665285.793663,"{'circle_3d': {'center': [-1.9574630782116897, 4.7003684659443845, 76.97118837644558], 'normal': [-0.12872684452351682, 0.6587262206964134, -0.7412888544056483], 'radius': 2.1145658899581856}, 'confidence': 0.9980097103226441, 'timestamp': 7245.385027, 'diameter_3d': 4.229131779916371, 'ellipse': {'center': [144.27201311791424, 157.64559726887265], 'axes': [23.776781020670498, 34.073914446676], 'angle': -78.2497020107866}, 'location': [144.27201311791424, 157.64559726887265], 'diameter': 34.073914446676, 'sphere': {'center': [-0.4127409439294878, -3.204346182412577, 85.86665462931336], 'radius': 12.0}, 'projected_sphere': {'center': [157.01980487837798, 96.86302509778254], 'axes': [173.2919497590422, 173.2919497590422], 'angle': 90.0}, 'model_confidence': 0.8771355569341277, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 2.2899208364521613, 'phi': -1.7427344736874573, 'norm_pos': [0.450850040993482, 0.34314334471303065], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665285.8022258,"{'circle_3d': {'center': [-1.9554613919783987, 4.694433502383241, 76.9655708127083], 'normal': [-0.12856003733740926, 0.6582316403996515, -0.7417569847170891], 'radius': 2.1115086418131064}, 'confidence': 0.9982198705375492, 'timestamp': 7245.393427, 'diameter_3d': 4.223017283626213, 'ellipse': {'center': [144.28686275797162, 157.6011357144468], 'axes': [23.762938127330727, 34.027107526231525], 'angle': -78.25468909040426}, 'location': [144.28686275797162, 157.6011357144468], 'diameter': 34.027107526231525, 'sphere': {'center': [-0.4127409439294878, -3.204346182412577, 85.86665462931336], 'radius': 12.0}, 'projected_sphere': {'center': [157.01980487837798, 96.86302509778254], 'axes': [173.2919497590422, 173.2919497590422], 'angle': 90.0}, 'model_confidence': 0.8769701543354658, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 2.2892636734478127, 'phi': -1.7424097711557123, 'norm_pos': [0.4508964461186613, 0.343328601189805], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665285.810823,"{'circle_3d': {'center': [-1.9559967159406821, 4.700417217453335, 76.97097718381802], 'normal': [-0.12860464766759952, 0.6587302833221593, -0.741306453791278], 'radius': 2.1132960332565816}, 'confidence': 0.997477116000472, 'timestamp': 7245.401827, 'diameter_3d': 4.226592066513163, 'ellipse': {'center': [144.28369740309634, 157.64634433117308], 'axes': [23.763321298217214, 34.053535458198645], 'angle': -78.26033536788168}, 'location': [144.28369740309634, 157.64634433117308], 'diameter': 34.053535458198645, 'sphere': {'center': [-0.4127409439294878, -3.204346182412577, 85.86665462931336], 'radius': 12.0}, 'projected_sphere': {'center': [157.01980487837798, 96.86302509778254], 'axes': [173.2919497590422, 173.2919497590422], 'angle': 90.0}, 'model_confidence': 0.8765575859179031, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 2.289926236144644, 'phi': -1.7425704524211492, 'norm_pos': [0.45088655438467606, 0.34314023195344545], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665285.821138,"{'circle_3d': {'center': [-1.9607285926700873, 4.705800738984458, 76.97658658000915], 'normal': [-0.1289989707283833, 0.6591789101164195, -0.7408390041086842], 'radius': 2.1254377630920716}, 'confidence': 0.9981354537549223, 'timestamp': 7245.410227, 'diameter_3d': 4.250875526184143, 'ellipse': {'center': [144.24726813521048, 157.68451682201467], 'axes': [23.87917753922723, 34.24677287263185], 'angle': -78.23483255487885}, 'location': [144.24726813521048, 157.68451682201467], 'diameter': 34.24677287263185, 'sphere': {'center': [-0.4127409439294878, -3.204346182412577, 85.86665462931336], 'radius': 12.0}, 'projected_sphere': {'center': [157.01980487837798, 96.86302509778254], 'axes': [173.2919497590422, 173.2919497590422], 'angle': 90.0}, 'model_confidence': 0.8764376912708594, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 2.290522669439635, 'phi': -1.7431933646073823, 'norm_pos': [0.45077271292253274, 0.34298117990827215], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665285.82911,"{'circle_3d': {'center': [-1.9500026221860411, 4.716815899591587, 76.98453676231884], 'normal': [-0.12810513985471278, 0.6600968401670138, -0.74017648891621], 'radius': 2.11832365513203}, 'confidence': 0.9965206223951811, 'timestamp': 7245.418627, 'diameter_3d': 4.23664731026406, 'ellipse': {'center': [144.33467501788846, 157.77075828654995], 'axes': [23.770562100770295, 34.12856697671811], 'angle': -78.32937416553922}, 'location': [144.33467501788846, 157.77075828654995], 'diameter': 34.12856697671811, 'sphere': {'center': [-0.4127409439294878, -3.204346182412577, 85.86665462931336], 'radius': 12.0}, 'projected_sphere': {'center': [157.01980487837798, 96.86302509778254], 'axes': [173.2919497590422, 173.2919497590422], 'angle': 90.0}, 'model_confidence': 0.8759738732433298, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 2.2917439976687213, 'phi': -1.7421723976518149, 'norm_pos': [0.4510458594309014, 0.3426218404727085], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665285.837489,"{'circle_3d': {'center': [-1.9602635614934827, 4.704980193611624, 76.97577559371425], 'normal': [-0.1289602181303329, 0.65911053133535, -0.740906586299926], 'radius': 2.1319490564507313}, 'confidence': 0.9977631531145107, 'timestamp': 7245.427027, 'diameter_3d': 4.263898112901463, 'ellipse': {'center': [144.25108515373984, 157.67696291374259], 'axes': [23.955384695341525, 34.35208455014544], 'angle': -78.23687044835958}, 'location': [144.25108515373984, 157.67696291374259], 'diameter': 34.35208455014544, 'sphere': {'center': [-0.4127409439294878, -3.204346182412577, 85.86665462931336], 'radius': 12.0}, 'projected_sphere': {'center': [157.01980487837798, 96.86302509778254], 'axes': [173.2919497590422, 173.2919497590422], 'angle': 90.0}, 'model_confidence': 0.8757172574542449, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 2.2904317421579075, 'phi': -1.7431271831737745, 'norm_pos': [0.450784641105437, 0.34301265452607255], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665285.845357,"{'circle_3d': {'center': [-1.9600132919837088, 4.724692861921447, 76.99330756552884], 'normal': [-0.12893936233785175, 0.660753253694502, -0.7394455886487101], 'radius': 2.113441507817101}, 'confidence': 0.9960192809052915, 'timestamp': 7245.435427, 'diameter_3d': 4.226883015634202, 'ellipse': {'center': [144.25586724772404, 157.83095683658507], 'axes': [23.68336906295417, 34.04603269539837], 'angle': -78.26992208014491}, 'location': [144.25586724772404, 157.83095683658507], 'diameter': 34.04603269539837, 'sphere': {'center': [-0.4127409439294878, -3.204346182412577, 85.86665462931336], 'radius': 12.0}, 'projected_sphere': {'center': [157.01980487837798, 96.86302509778254], 'axes': [173.2919497590422, 173.2919497590422], 'angle': 90.0}, 'model_confidence': 0.8749166853819768, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 2.2926181761380278, 'phi': -1.743433581766538, 'norm_pos': [0.45079958514913765, 0.3423710131808956], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665285.85327,"{'circle_3d': {'center': [-1.9603219561100902, 4.718272839017986, 76.98762873386713], 'normal': [-0.12896508434838352, 0.6602182517858803, -0.7399188246205188], 'radius': 2.1381589034639106}, 'confidence': 0.997098056638623, 'timestamp': 7245.443827, 'diameter_3d': 4.276317806927821, 'ellipse': {'center': [144.25319047713037, 157.7769630280358], 'axes': [23.981477472813854, 34.44688634234072], 'angle': -78.25753632182388}, 'location': [144.25319047713037, 157.7769630280358], 'diameter': 34.44688634234072, 'sphere': {'center': [-0.4127409439294878, -3.204346182412577, 85.86665462931336], 'radius': 12.0}, 'projected_sphere': {'center': [157.01980487837798, 96.86302509778254], 'axes': [173.2919497590422, 173.2919497590422], 'angle': 90.0}, 'model_confidence': 0.8743988608797881, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 2.2919056369028485, 'phi': -1.7433590840417241, 'norm_pos': [0.4507912202410324, 0.3425959873831842], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665285.88615,"{'circle_3d': {'center': [-1.9529785942315439, 4.72291525521004, 76.99049588353975], 'normal': [-0.12835313752517133, 0.6606051198018847, -0.7396798954811344], 'radius': 2.1634894142285854}, 'confidence': 0.9981889412026509, 'timestamp': 7245.452227, 'diameter_3d': 4.326978828457171, 'ellipse': {'center': [144.31364816638842, 157.80765481923999], 'axes': [24.255382842888487, 34.85380967004535], 'angle': -78.31758655745138}, 'location': [144.31364816638842, 157.80765481923999], 'diameter': 34.85380967004535, 'sphere': {'center': [-0.4127409439294878, -3.204346182412577, 85.86665462931336], 'radius': 12.0}, 'projected_sphere': {'center': [157.01980487837798, 96.86302509778254], 'axes': [173.2919497590422, 173.2919497590422], 'angle': 90.0}, 'model_confidence': 0.8742421930067579, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 2.292420840139924, 'phi': -1.7426107063265541, 'norm_pos': [0.4509801505199638, 0.34246810491983337], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581665285.886268,"{'circle_3d': {'center': [-1.966782657544571, 4.72277740714528, 76.99277915417738], 'normal': [-0.12950347613459026, 0.6605936324631547, -0.7394896229279976], 'radius': 2.142677656713427}, 'confidence': 0.9975840485430991, 'timestamp': 7245.460627, 'diameter_3d': 4.285355313426854, 'ellipse': {'center': [144.20252394213114, 157.80982495821095], 'axes': [24.012900129381602, 34.517420420278185], 'angle': -78.21830534180272}, 'location': [144.20252394213114, 157.80982495821095], 'diameter': 34.517420420278185, 'sphere': {'center': [-0.4127409439294878, -3.204346182412577, 85.86665462931336], 'radius': 12.0}, 'projected_sphere': {'center': [157.01980487837798, 96.86302509778254], 'axes': [173.2919497590422, 173.2919497590422], 'angle': 90.0}, 'model_confidence': 0.8740324595887583, 'model_id': 1, 'model_birth_timestamp': 6816.050373, 'theta': 2.2924055387573397, 'phi': -1.744163743282297, 'norm_pos': [0.4506328873191598, 0.3424590626741211], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
