eye_packets,774
norm_X,norm_Y,phi,theta,confidence,timestamp
1581666710.518901,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 8670.075533, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [0.051785264451932225, -1.3644147901020867, 90.66287530323197], 'radius': 12.0}, 'projected_sphere': {'center': [160.35413463176425, 110.66942045424918], 'axes': [164.12451017279346, 164.12451017279346], 'angle': 90.0}, 'model_confidence': 0.791347672976217, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581666710.528013,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 8670.083933, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [0.051785264451932225, -1.3644147901020867, 90.66287530323197], 'radius': 12.0}, 'projected_sphere': {'center': [160.35413463176425, 110.66942045424918], 'axes': [164.12451017279346, 164.12451017279346], 'angle': 90.0}, 'model_confidence': 0.791347672976217, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581666710.535243,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 8670.092333, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [0.051785264451932225, -1.3644147901020867, 90.66287530323197], 'radius': 12.0}, 'projected_sphere': {'center': [160.35413463176425, 110.66942045424918], 'axes': [164.12451017279346, 164.12451017279346], 'angle': 90.0}, 'model_confidence': 0.791347672976217, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581666710.548075,"{'circle_3d': {'center': [0.03878666646041196, 5.539182089706476, 80.8475718867528], 'normal': [-0.0010832164992933557, 0.5752997399840472, -0.8179419513732643], 'radius': 2.3137893965931977}, 'confidence': 0.05022806020873193, 'timestamp': 8670.100733, 'diameter_3d': 4.627578793186395, 'ellipse': {'center': [160.29797604085152, 162.25111053038458], 'axes': [27.635643277726956, 35.49257193602569], 'angle': -89.9318064149135}, 'location': [160.29797604085152, 162.25111053038458], 'diameter': 35.49257193602569, 'sphere': {'center': [0.051785264451932225, -1.3644147901020867, 90.66287530323197], 'radius': 12.0}, 'projected_sphere': {'center': [160.35413463176425, 110.66942045424918], 'axes': [164.12451017279346, 164.12451017279346], 'angle': 90.0}, 'model_confidence': 0.791347672976217, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 2.1837668836197084, 'phi': -1.5721206455490808, 'norm_pos': [0.500931175127661, 0.3239537061233976], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581666710.554751,"{'circle_3d': {'center': [1.041197841573701, 3.3346051164802857, 79.66559042605543], 'normal': [0.08245104809348075, 0.39158499221519777, -0.9164404064313785], 'radius': 2.307584333434801}, 'confidence': 0.24248021660817504, 'timestamp': 8670.109133, 'diameter_3d': 4.615168666869602, 'ellipse': {'center': [168.06493240369736, 145.76845391206248], 'axes': [32.29311004244443, 35.92037081706933], 'angle': 77.6619132309068}, 'location': [168.06493240369736, 145.76845391206248], 'diameter': 35.92037081706933, 'sphere': {'center': [0.051785264451932225, -1.3644147901020867, 90.66287530323197], 'radius': 12.0}, 'projected_sphere': {'center': [160.35413463176425, 110.66942045424918], 'axes': [164.12451017279346, 164.12451017279346], 'angle': 90.0}, 'model_confidence': 0.791347672976217, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 1.973149841297618, 'phi': -1.4810690971791955, 'norm_pos': [0.5252029137615543, 0.392631442033073], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581666710.562697,"{'circle_3d': {'center': [0.4364988305986204, 3.484900960373083, 79.69309261512844], 'normal': [0.032059463845557364, 0.404109645872931, -0.9141485573419617], 'radius': 2.2837087380404855}, 'confidence': 0.04719908216169562, 'timestamp': 8670.117533, 'diameter_3d': 4.567417476080971, 'ellipse': {'center': [163.38142882612317, 146.92754489840462], 'axes': [31.853253098893347, 35.53626265358695], 'angle': 85.2519585924558}, 'location': [163.38142882612317, 146.92754489840462], 'diameter': 35.53626265358695, 'sphere': {'center': [0.051785264451932225, -1.3644147901020867, 90.66287530323197], 'radius': 12.0}, 'projected_sphere': {'center': [160.35413463176425, 110.66942045424918], 'axes': [164.12451017279346, 164.12451017279346], 'angle': 90.0}, 'model_confidence': 0.791347672976217, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 1.9868015753499728, 'phi': -1.5357403944843968, 'norm_pos': [0.5105669650816349, 0.3878018962566474], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581666710.570581,"{'circle_3d': {'center': [0.28565873960602267, 3.445064866880494, 79.6713236099227], 'normal': [0.019489456262840873, 0.4007899714152151, -0.9159626411091065], 'radius': 2.2872592149154993}, 'confidence': 0.03764681615055563, 'timestamp': 8670.125933, 'diameter_3d': 4.574518429830999, 'ellipse': {'center': [162.21415998621916, 146.62533979221223], 'axes': [31.991929241371704, 35.60116874830637], 'angle': 87.0570617168866}, 'location': [162.21415998621916, 146.62533979221223], 'diameter': 35.60116874830637, 'sphere': {'center': [0.051785264451932225, -1.3644147901020867, 90.66287530323197], 'radius': 12.0}, 'projected_sphere': {'center': [160.35413463176425, 110.66942045424918], 'axes': [164.12451017279346, 164.12451017279346], 'angle': 90.0}, 'model_confidence': 0.791347672976217, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 1.9831752646270526, 'phi': -1.5495219701763847, 'norm_pos': [0.5069192499569348, 0.38906108419911567], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581666710.581318,"{'circle_3d': {'center': [0.6667425963196323, 2.848668747463284, 79.4436171020193], 'normal': [0.05124644432230836, 0.3510902947971144, -0.9349381834343894], 'radius': 2.2915660222875323}, 'confidence': 0.14810076539016984, 'timestamp': 8670.134333, 'diameter_3d': 4.5831320445750645, 'ellipse': {'center': [165.1792700820796, 142.06477899187576], 'axes': [32.97854010194681, 35.77005247418261], 'angle': 81.30493627902797}, 'location': [165.1792700820796, 142.06477899187576], 'diameter': 35.77005247418261, 'sphere': {'center': [0.051785264451932225, -1.3644147901020867, 90.66287530323197], 'radius': 12.0}, 'projected_sphere': {'center': [160.35413463176425, 110.66942045424918], 'axes': [164.12451017279346, 164.12451017279346], 'angle': 90.0}, 'model_confidence': 0.791347672976217, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 1.929531596511834, 'phi': -1.5160384663529956, 'norm_pos': [0.5161852190064987, 0.4080634208671844], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581666710.58688,"{'circle_3d': {'center': [1.223986364835791, 2.8466245345496874, 79.48731749225469], 'normal': [0.09768342503198818, 0.35091994372098106, -0.9312964842481064], 'radius': 2.3798357582297736}, 'confidence': 0.08939137308361753, 'timestamp': 8670.142733, 'diameter_3d': 4.759671516459547, 'ellipse': {'center': [169.497647675587, 142.02462308252814], 'axes': [34.05598334076154, 37.12800634432336], 'angle': 73.813395644938}, 'location': [169.497647675587, 142.02462308252814], 'diameter': 37.12800634432336, 'sphere': {'center': [0.051785264451932225, -1.3644147901020867, 90.66287530323197], 'radius': 12.0}, 'projected_sphere': {'center': [160.35413463176425, 110.66942045424918], 'axes': [164.12451017279346, 164.12451017279346], 'angle': 90.0}, 'model_confidence': 0.791347672976217, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 1.929349670101907, 'phi': -1.4662887504217996, 'norm_pos': [0.5296801489862093, 0.4082307371561328], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581666710.5963268,"{'circle_3d': {'center': [1.212028742913891, 2.7978325714596064, 79.46780799785773], 'normal': [0.09668695653849657, 0.3468539467968078, -0.9329222754478533], 'radius': 2.3728035754451753}, 'confidence': 0.035817073271731885, 'timestamp': 8670.151133, 'diameter_3d': 4.745607150890351, 'ellipse': {'center': [169.40735684176752, 141.65205179958238], 'axes': [34.038031218900954, 37.02732416321848], 'angle': 73.78275270010298}, 'location': [169.40735684176752, 141.65205179958238], 'diameter': 37.02732416321848, 'sphere': {'center': [0.051785264451932225, -1.3644147901020867, 90.66287530323197], 'radius': 12.0}, 'projected_sphere': {'center': [160.35413463176425, 110.66942045424918], 'axes': [164.12451017279346, 164.12451017279346], 'angle': 90.0}, 'model_confidence': 0.791347672976217, 'model_id': 120, 'model_birth_timestamp': 8281.920388, 'theta': 1.9250110507327967, 'phi': -1.467526203018144, 'norm_pos': [0.5293979901305235, 0.4097831175017401], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
