eye_packets,772
norm_X,norm_Y,phi,theta,confidence,timestamp
1596613404.745575,"{'circle_3d': {'center': [-1.7833436057953365, 6.310026314580678, 75.7407601599561], 'normal': [-0.17161651710884307, 0.49559414233735355, -0.8514306883923864], 'radius': 2.6333832624714697}, 'confidence': 0.9819095605408255, 'timestamp': 171714.915735, 'diameter_3d': 5.266766524942939, 'ellipse': {'center': [145.50657023847538, 171.3535421306084], 'axes': [34.76450074433884, 43.12038208517317], 'angle': -71.24680414461724}, 'location': [145.50657023847538, 171.3535421306084], 'diameter': 43.12038208517317, 'sphere': {'center': [0.2760545995107804, 0.36289660653243533, 85.95792842066473], 'radius': 12.0}, 'projected_sphere': {'center': [161.99113513833282, 122.61751184776132], 'axes': [173.10794098223954, 173.10794098223954], 'angle': 90.0}, 'model_confidence': 0.9386314833830012, 'model_id': 101, 'model_birth_timestamp': 171692.840577, 'theta': 2.089315084032312, 'phi': -1.7696938594749871, 'norm_pos': [0.4547080319952356, 0.28602690778913176], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613404.752801,"{'circle_3d': {'center': [-1.8321759723898392, 6.283162291856287, 75.73511970334636], 'normal': [-0.1756858809917183, 0.49335547377698763, -0.8519007264431977], 'radius': 2.6558884259330635}, 'confidence': 0.9997420167452972, 'timestamp': 171714.924135, 'diameter_3d': 5.311776851866127, 'ellipse': {'center': [145.11011868351665, 171.1334395656695], 'axes': [35.09130552061043, 43.4922410370191], 'angle': -70.74874795257807}, 'location': [145.11011868351665, 171.1334395656695], 'diameter': 43.4922410370191, 'sphere': {'center': [0.2760545995107804, 0.36289660653243533, 85.95792842066473], 'radius': 12.0}, 'projected_sphere': {'center': [161.99113513833282, 122.61751184776132], 'axes': [173.10794098223954, 173.10794098223954], 'angle': 90.0}, 'model_confidence': 0.9391414868276216, 'model_id': 101, 'model_birth_timestamp': 171692.840577, 'theta': 2.0867395082312954, 'phi': -1.774173223421675, 'norm_pos': [0.4534691208859895, 0.28694400180971036], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613404.761656,"{'circle_3d': {'center': [-1.8548059418977068, 6.260401396997139, 75.7266591641397], 'normal': [-0.17757171178404058, 0.49145873253872535, -0.8526057713770857], 'radius': 2.6484593084678947}, 'confidence': 0.9910822316154654, 'timestamp': 171714.932535, 'diameter_3d': 5.296918616935789, 'ellipse': {'center': [144.92385139491176, 170.95528958437882], 'axes': [35.03626099528255, 43.37536049359248], 'angle': -70.48637552035802}, 'location': [144.92385139491176, 170.95528958437882], 'diameter': 43.37536049359248, 'sphere': {'center': [0.2760545995107804, 0.36289660653243533, 85.95792842066473], 'radius': 12.0}, 'projected_sphere': {'center': [161.99113513833282, 122.61751184776132], 'axes': [173.10794098223954, 173.10794098223954], 'angle': 90.0}, 'model_confidence': 0.9403643760099167, 'model_id': 101, 'model_birth_timestamp': 171692.840577, 'theta': 2.084560259341986, 'phi': -1.7761304630692072, 'norm_pos': [0.45288703560909926, 0.28768629339842156], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613404.770614,"{'circle_3d': {'center': [-1.8762656927247092, 6.2395337321183355, 75.71914658619747], 'normal': [-0.17936002435295748, 0.4897197604654917, -0.8532318195389386], 'radius': 2.6160532042294884}, 'confidence': 0.9999326348237474, 'timestamp': 171714.940935, 'diameter_3d': 5.232106408458977, 'ellipse': {'center': [144.74515285112443, 170.79751824165464], 'axes': [34.645199217068416, 42.84868012844549], 'angle': -70.23868149884105}, 'location': [144.74515285112443, 170.79751824165464], 'diameter': 42.84868012844549, 'sphere': {'center': [0.2760545995107804, 0.36289660653243533, 85.95792842066473], 'radius': 12.0}, 'projected_sphere': {'center': [161.99113513833282, 122.61751184776132], 'axes': [173.10794098223954, 173.10794098223954], 'angle': 90.0}, 'model_confidence': 0.942485806896598, 'model_id': 101, 'model_birth_timestamp': 171692.840577, 'theta': 2.0825646308216177, 'phi': -1.7779920711005723, 'norm_pos': [0.4523286026597638, 0.2883436739931057], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613404.776639,"{'circle_3d': {'center': [-1.9119365269242672, 6.214764989443912, 75.7125230475366], 'normal': [-0.1823325938695873, 0.4876556985759564, -0.8537837810940098], 'radius': 2.649775886179162}, 'confidence': 0.9999957437996218, 'timestamp': 171714.949335, 'diameter_3d': 5.299551772358324, 'ellipse': {'center': [144.4564589569873, 170.59251758361728], 'axes': [35.1262972471757, 43.40498812498566], 'angle': -69.85582674482926}, 'location': [144.4564589569873, 170.59251758361728], 'diameter': 43.40498812498566, 'sphere': {'center': [0.2760545995107804, 0.36289660653243533, 85.95792842066473], 'radius': 12.0}, 'projected_sphere': {'center': [161.99113513833282, 122.61751184776132], 'axes': [173.10794098223954, 173.10794098223954], 'angle': 90.0}, 'model_confidence': 0.9441343408327141, 'model_id': 101, 'model_birth_timestamp': 171692.840577, 'theta': 2.0801988309717014, 'phi': -1.7811940561716575, 'norm_pos': [0.45142643424058526, 0.2891978434015947], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613404.7852879,"{'circle_3d': {'center': [-1.9314360460780162, 6.204983760162395, 75.71112390710883], 'normal': [-0.1839575537990664, 0.48684059613583, -0.8539003761296591], 'radius': 2.6650522563518324}, 'confidence': 0.9998977749436109, 'timestamp': 171714.957735, 'diameter_3d': 5.330104512703665, 'ellipse': {'center': [144.2988324387634, 170.5103371834909], 'axes': [35.336446500751435, 43.65611206197666], 'angle': -69.65782458091803}, 'location': [144.2988324387634, 170.5103371834909], 'diameter': 43.65611206197666, 'sphere': {'center': [0.2760545995107804, 0.36289660653243533, 85.95792842066473], 'radius': 12.0}, 'projected_sphere': {'center': [161.99113513833282, 122.61751184776132], 'axes': [173.10794098223954, 173.10794098223954], 'angle': 90.0}, 'model_confidence': 0.9461058328226413, 'model_id': 101, 'model_birth_timestamp': 171692.840577, 'theta': 2.079265432927938, 'phi': -1.7829854616807728, 'norm_pos': [0.4509338513711357, 0.28954026173545466], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613404.806421,"{'circle_3d': {'center': [-1.9648169061097618, 6.212238081278031, 75.72251444725266], 'normal': [-0.1867392921350452, 0.4874451228954663, -0.8529511644510054], 'radius': 2.6829363764575844}, 'confidence': 0.9994991818863176, 'timestamp': 171714.966135, 'diameter_3d': 5.365872752915169, 'ellipse': {'center': [144.03100232801427, 170.55818790609703], 'axes': [35.51606376903388, 43.94260447522988], 'angle': -69.39517073645389}, 'location': [144.03100232801427, 170.55818790609703], 'diameter': 43.94260447522988, 'sphere': {'center': [0.2760545995107804, 0.36289660653243533, 85.95792842066473], 'radius': 12.0}, 'projected_sphere': {'center': [161.99113513833282, 122.61751184776132], 'axes': [173.10794098223954, 173.10794098223954], 'angle': 90.0}, 'model_confidence': 0.9463408860630906, 'model_id': 101, 'model_birth_timestamp': 171692.840577, 'theta': 2.079957647915525, 'phi': -1.7863288137409818, 'norm_pos': [0.4500968822750446, 0.28934088372459565], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613404.810071,"{'circle_3d': {'center': [-1.968024780670524, 6.208468569016398, 75.72106385348077], 'normal': [-0.1870066150151087, 0.4871309968736636, -0.85307204726533], 'radius': 2.696420273739247}, 'confidence': 0.9988851593215732, 'timestamp': 171714.974535, 'diameter_3d': 5.392840547478494, 'ellipse': {'center': [144.00581954054212, 170.5253390613753], 'axes': [35.70221278886446, 44.164368240661254], 'angle': -69.35577558088069}, 'location': [144.00581954054212, 170.5253390613753], 'diameter': 44.164368240661254, 'sphere': {'center': [0.2760545995107804, 0.36289660653243533, 85.95792842066473], 'radius': 12.0}, 'projected_sphere': {'center': [161.99113513833282, 122.61751184776132], 'axes': [173.10794098223954, 173.10794098223954], 'angle': 90.0}, 'model_confidence': 0.9467626076809399, 'model_id': 101, 'model_birth_timestamp': 171692.840577, 'theta': 2.0795979237138957, 'phi': -1.7865982252032115, 'norm_pos': [0.45001818606419414, 0.28947775391093633], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613404.814292,"{'circle_3d': {'center': [-1.9980497707287062, 6.191377388421268, 75.71794496909557], 'normal': [-0.18950869751995722, 0.48570673182406937, -0.8533319542974298], 'radius': 2.6774606644982963}, 'confidence': 0.9994262879311216, 'timestamp': 171714.982935, 'diameter_3d': 5.354921328996593, 'ellipse': {'center': [143.7592501657406, 170.39256521999755], 'axes': [35.467545409749974, 43.85552267061328], 'angle': -69.04462517033363}, 'location': [143.7592501657406, 170.39256521999755], 'diameter': 43.85552267061328, 'sphere': {'center': [0.2760545995107804, 0.36289660653243533, 85.95792842066473], 'radius': 12.0}, 'projected_sphere': {'center': [161.99113513833282, 122.61751184776132], 'axes': [173.10794098223954, 173.10794098223954], 'angle': 90.0}, 'model_confidence': 0.9472194693471825, 'model_id': 101, 'model_birth_timestamp': 171692.840577, 'theta': 2.077967817983505, 'phi': -1.7893305623775717, 'norm_pos': [0.44924765676793943, 0.29003097825001023], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1596613404.820632,"{'circle_3d': {'center': [-2.018376169305503, 6.200186367057518, 75.72750146482471], 'normal': [-0.1912025640680236, 0.4864408133770903, -0.8525355796533352], 'radius': 2.660727598098804}, 'confidence': 0.9996451661898681, 'timestamp': 171714.991335, 'diameter_3d': 5.321455196197608, 'ellipse': {'center': [143.59428120530168, 170.4620798622221], 'axes': [35.197616898785874, 43.57588707189523], 'angle': -68.90016263605499}, 'location': [143.59428120530168, 170.4620798622221], 'diameter': 43.57588707189523, 'sphere': {'center': [0.2760545995107804, 0.36289660653243533, 85.95792842066473], 'radius': 12.0}, 'projected_sphere': {'center': [161.99113513833282, 122.61751184776132], 'axes': [173.10794098223954, 173.10794098223954], 'angle': 90.0}, 'model_confidence': 0.9474930973069173, 'model_id': 101, 'model_birth_timestamp': 171692.840577, 'theta': 2.078807807294586, 'phi': -1.7914207607592105, 'norm_pos': [0.44873212876656776, 0.28974133390740786], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
