eye_packets,777
norm_X,norm_Y,phi,theta,confidence,timestamp
1581482128.599421,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 349813.066339, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [4.2296013967138295, 2.6382297975860043, 89.10642004629504], 'radius': 12.0}, 'projected_sphere': {'center': [189.42944924282827, 138.3567297805646], 'axes': [166.9913345443474, 166.9913345443474], 'angle': 90.0}, 'model_confidence': 0.8579592613917719, 'model_id': 13, 'model_birth_timestamp': 349755.8888, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482128.6075609,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 349813.074739, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [4.2296013967138295, 2.6382297975860043, 89.10642004629504], 'radius': 12.0}, 'projected_sphere': {'center': [189.42944924282827, 138.3567297805646], 'axes': [166.9913345443474, 166.9913345443474], 'angle': 90.0}, 'model_confidence': 0.8579592613917719, 'model_id': 13, 'model_birth_timestamp': 349755.8888, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482128.615991,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 349813.083139, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [4.2296013967138295, 2.6382297975860043, 89.10642004629504], 'radius': 12.0}, 'projected_sphere': {'center': [189.42944924282827, 138.3567297805646], 'axes': [166.9913345443474, 166.9913345443474], 'angle': 90.0}, 'model_confidence': 0.8579592613917719, 'model_id': 13, 'model_birth_timestamp': 349755.8888, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482128.623157,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 349813.091538, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [4.2296013967138295, 2.6382297975860043, 89.10642004629504], 'radius': 12.0}, 'projected_sphere': {'center': [189.42944924282827, 138.3567297805646], 'axes': [166.9913345443474, 166.9913345443474], 'angle': 90.0}, 'model_confidence': 0.8579592613917719, 'model_id': 13, 'model_birth_timestamp': 349755.8888, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482128.6312692,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 349813.099938, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [4.2296013967138295, 2.6382297975860043, 89.10642004629504], 'radius': 12.0}, 'projected_sphere': {'center': [189.42944924282827, 138.3567297805646], 'axes': [166.9913345443474, 166.9913345443474], 'angle': 90.0}, 'model_confidence': 0.8579592613917719, 'model_id': 13, 'model_birth_timestamp': 349755.8888, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482128.6399748,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 349813.108338, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [4.2296013967138295, 2.6382297975860043, 89.10642004629504], 'radius': 12.0}, 'projected_sphere': {'center': [189.42944924282827, 138.3567297805646], 'axes': [166.9913345443474, 166.9913345443474], 'angle': 90.0}, 'model_confidence': 0.8579592613917719, 'model_id': 13, 'model_birth_timestamp': 349755.8888, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482128.6473541,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 349813.116738, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [4.2296013967138295, 2.6382297975860043, 89.10642004629504], 'radius': 12.0}, 'projected_sphere': {'center': [189.42944924282827, 138.3567297805646], 'axes': [166.9913345443474, 166.9913345443474], 'angle': 90.0}, 'model_confidence': 0.8579592613917719, 'model_id': 13, 'model_birth_timestamp': 349755.8888, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482128.659202,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 349813.125138, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [4.2296013967138295, 2.6382297975860043, 89.10642004629504], 'radius': 12.0}, 'projected_sphere': {'center': [189.42944924282827, 138.3567297805646], 'axes': [166.9913345443474, 166.9913345443474], 'angle': 90.0}, 'model_confidence': 0.8579592613917719, 'model_id': 13, 'model_birth_timestamp': 349755.8888, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482128.668931,"{'circle_3d': {'center': [1.15428277082178, 9.554790385870287, 79.79494298957445], 'normal': [-0.2562765521576708, 0.5763800490236903, -0.7759564213933827], 'radius': 2.955438480854932}, 'confidence': 0.9981600288208922, 'timestamp': 349813.133538, 'diameter_3d': 5.910876961709864, 'ellipse': {'center': [169.14280456336581, 193.89986326311953], 'axes': [32.60569365055722, 46.01003194368104], 'angle': -69.21916056498124}, 'location': [169.14280456336581, 193.89986326311953], 'diameter': 46.01003194368104, 'sphere': {'center': [4.2296013967138295, 2.6382297975860043, 89.10642004629504], 'radius': 12.0}, 'projected_sphere': {'center': [189.42944924282827, 138.3567297805646], 'axes': [166.9913345443474, 166.9913345443474], 'angle': 90.0}, 'model_confidence': 0.8581109302092549, 'model_id': 13, 'model_birth_timestamp': 349755.8888, 'theta': 2.185088261808925, 'phi': -1.8897890078521558, 'norm_pos': [0.5285712642605181, 0.1920839030703353], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482128.6752698,"{'circle_3d': {'center': [1.1257808243396523, 9.55999071998573, 79.80827380160481], 'normal': [-0.2586517143645148, 0.5768134101999772, -0.7748455203908522], 'radius': 2.9227062717994383}, 'confidence': 0.9999067046868839, 'timestamp': 349813.141938, 'diameter_3d': 5.845412543598877, 'ellipse': {'center': [168.91718704230223, 193.93590700499664], 'axes': [32.18221669660408, 45.49272357855804], 'angle': -69.02916261446457}, 'location': [168.91718704230223, 193.93590700499664], 'diameter': 45.49272357855804, 'sphere': {'center': [4.2296013967138295, 2.6382297975860043, 89.10642004629504], 'radius': 12.0}, 'projected_sphere': {'center': [189.42944924282827, 138.3567297805646], 'axes': [166.9913345443474, 166.9913345443474], 'angle': 90.0}, 'model_confidence': 0.858289699714121, 'model_id': 13, 'model_birth_timestamp': 349755.8888, 'theta': 2.1856186729031513, 'phi': -1.892976436654047, 'norm_pos': [0.5278662095071944, 0.19193372081251403], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482128.6837509,"{'circle_3d': {'center': [1.1558738449159165, 9.59812954705632, 79.82676518123452], 'normal': [-0.2561439626498261, 0.5799916457891929, -0.773304572088377], 'radius': 2.9449329048139576}, 'confidence': 0.9992604371736116, 'timestamp': 349813.150338, 'diameter_3d': 5.889865809627915, 'ellipse': {'center': [169.14960821391804, 194.20907349601364], 'axes': [32.32291915768642, 45.82817997184383], 'angle': -69.33127289686854}, 'location': [169.14960821391804, 194.20907349601364], 'diameter': 45.82817997184383, 'sphere': {'center': [4.2296013967138295, 2.6382297975860043, 89.10642004629504], 'radius': 12.0}, 'projected_sphere': {'center': [189.42944924282827, 138.3567297805646], 'axes': [166.9913345443474, 166.9913345443474], 'angle': 90.0}, 'model_confidence': 0.858255731425106, 'model_id': 13, 'model_birth_timestamp': 349755.8888, 'theta': 2.1895147621131597, 'phi': -1.8906553558706942, 'norm_pos': [0.5285925256684939, 0.19079552709994319], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
