eye_packets,777
norm_X,norm_Y,phi,theta,confidence,timestamp
1581482568.696971,"{'circle_3d': {'center': [0.11044999180444215, -5.34408497206814, 77.93914173977826], 'normal': [-0.3899993769235574, 0.17078290223980722, -0.9048390388913299], 'radius': 15.137819702398529}, 'confidence': 0.008226285525794538, 'timestamp': 350253.168975, 'diameter_3d': 30.275639404797058, 'ellipse': {'center': [169.19507752846374, 73.55633382309111], 'axes': [221.89665459737174, 242.21191440358092], 'angle': -14.825433587390862}, 'location': [169.19507752846374, 73.55633382309111], 'diameter': 242.21191440358092, 'sphere': {'center': [4.790442514887129, -7.393479798945826, 88.79721020647422], 'radius': 12.0}, 'projected_sphere': {'center': [193.44783414167972, 68.37723544818985], 'axes': [167.57283213515976, 167.57283213515976], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 350242.215375, 'theta': 1.7424205169014024, 'phi': -1.9777508483011128, 'norm_pos': [0.5287346172764492, 0.6935152757371204], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482568.704604,"{'circle_3d': {'center': [-1.8960587894418293, -7.8517269304599475, 78.84328083794512], 'normal': [-0.5572084420274133, -0.038187260959510125, -0.829494114044092], 'radius': 15.594107516457662}, 'confidence': 0.008490435092386938, 'timestamp': 350253.177375, 'diameter_3d': 31.188215032915323, 'ellipse': {'center': [156.25447991985163, 58.27137146787655], 'axes': [200.78571863054907, 247.8633537605613], 'angle': 11.418662436311003}, 'location': [156.25447991985163, 58.27137146787655], 'diameter': 247.8633537605613, 'sphere': {'center': [4.790442514887129, -7.393479798945826, 88.79721020647422], 'radius': 12.0}, 'projected_sphere': {'center': [193.44783414167972, 68.37723544818985], 'axes': [167.57283213515976, 167.57283213515976], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 350242.215375, 'theta': 1.5325997785364753, 'phi': -2.1623063962411218, 'norm_pos': [0.48829524974953636, 0.7572026188838477], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482568.713273,"{'circle_3d': {'center': [-1.9327252385715195, -10.394100873888357, 79.32117261033392], 'normal': [-0.5602639794548875, -0.250051756245211, -0.7896697996783586], 'radius': 16.33701945930295}, 'confidence': 0.011238321639040531, 'timestamp': 350253.185775, 'diameter_3d': 32.6740389186059, 'ellipse': {'center': [156.47269890156505, 42.71547683485237], 'axes': [191.90798508303547, 258.7854650398988], 'angle': 30.513364350211493}, 'location': [156.47269890156505, 42.71547683485237], 'diameter': 258.7854650398988, 'sphere': {'center': [4.790442514887129, -7.393479798945826, 88.79721020647422], 'radius': 12.0}, 'projected_sphere': {'center': [193.44783414167972, 68.37723544818985], 'axes': [167.57283213515976, 167.57283213515976], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 350242.215375, 'theta': 1.318062617663709, 'phi': -2.187864035163563, 'norm_pos': [0.48897718406739077, 0.8220188465214484], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482568.720441,"{'circle_3d': {'center': [2.8070036910613076, -2.0268010409643242, 78.2490004275226], 'normal': [-0.16528656865215177, 0.44722322983179186, -0.8790174815793016], 'radius': 2.188805305138393}, 'confidence': 0.1913834544930859, 'timestamp': 350253.194175, 'diameter_3d': 4.377610610276786, 'ellipse': {'center': [182.31553230590382, 103.74719668340458], 'axes': [31.091359665938963, 34.70095109023189], 'angle': -72.78421199636533}, 'location': [182.31553230590382, 103.74719668340458], 'diameter': 34.70095109023189, 'sphere': {'center': [4.790442514887129, -7.393479798945826, 88.79721020647422], 'radius': 12.0}, 'projected_sphere': {'center': [193.44783414167972, 68.37723544818985], 'axes': [167.57283213515976, 167.57283213515976], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 350242.215375, 'theta': 2.0344547073351587, 'phi': -1.7566616243799065, 'norm_pos': [0.5697360384559494, 0.5677200138191476], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482568.730013,"{'circle_3d': {'center': [0.0008907294346656158, -5.1492595924519025, 78.02578182583531], 'normal': [-0.39912931545437214, 0.1870183505411604, -0.8976190317199095], 'radius': 15.370316708832052}, 'confidence': 0.005424213323487199, 'timestamp': 350253.202575, 'diameter_3d': 30.740633417664103, 'ellipse': {'center': [168.69220158809466, 74.70316996077617], 'axes': [223.50246154825857, 245.70010703105672], 'angle': -17.01215182678704}, 'location': [168.69220158809466, 74.70316996077617], 'diameter': 245.70010703105672, 'sphere': {'center': [4.790442514887129, -7.393479798945826, 88.79721020647422], 'radius': 12.0}, 'projected_sphere': {'center': [193.44783414167972, 68.37723544818985], 'axes': [167.57283213515976, 167.57283213515976], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 350242.215375, 'theta': 1.7589223899578632, 'phi': -1.989195095314332, 'norm_pos': [0.5271631299627958, 0.6887367918300993], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482568.736462,"{'circle_3d': {'center': [-2.3827014017273225, -7.920069726309871, 79.19154992724636], 'normal': [-0.5977619930512041, -0.043882493947003706, -0.800471689935655], 'radius': 15.863035365588104}, 'confidence': 0.007100405841330886, 'timestamp': 350253.210975, 'diameter_3d': 31.726070731176208, 'ellipse': {'center': [153.1504850960237, 57.97259582665687], 'axes': [195.2324763441333, 251.3037360411434], 'angle': 10.870409939672108}, 'location': [153.1504850960237, 57.97259582665687], 'diameter': 251.3037360411434, 'sphere': {'center': [4.790442514887129, -7.393479798945826, 88.79721020647422], 'radius': 12.0}, 'projected_sphere': {'center': [193.44783414167972, 68.37723544818985], 'axes': [167.57283213515976, 167.57283213515976], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 350242.215375, 'theta': 1.5268997367384753, 'phi': -2.2122220153256453, 'norm_pos': [0.478595265925074, 0.7584475173889297], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482568.749981,"{'circle_3d': {'center': [2.8107378860215864, -2.0174692549472795, 78.25305162395732], 'normal': [-0.16497538573879522, 0.44800087866654553, -0.8786798818764083], 'radius': 2.242884393510035}, 'confidence': 0.19018870383888542, 'timestamp': 350253.219375, 'diameter_3d': 4.48576878702007, 'ellipse': {'center': [182.34753248744636, 103.81203332279702], 'axes': [31.84475092633634, 35.556757572017695], 'angle': -72.85974397229106}, 'location': [182.34753248744636, 103.81203332279702], 'diameter': 35.556757572017695, 'sphere': {'center': [4.790442514887129, -7.393479798945826, 88.79721020647422], 'radius': 12.0}, 'projected_sphere': {'center': [193.44783414167972, 68.37723544818985], 'axes': [167.57283213515976, 167.57283213515976], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 350242.215375, 'theta': 2.0353243390259026, 'phi': -1.7563893347874295, 'norm_pos': [0.5698360390232698, 0.5674498611550124], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482568.7577548,"{'circle_3d': {'center': [1.0946347884367853, -5.164111441497082, 77.6002944715088], 'normal': [-0.30798397720419546, 0.18578069645406212, -0.9330763112471183], 'radius': 15.067622274419278}, 'confidence': 0.006754428048025069, 'timestamp': 350253.227775, 'diameter_3d': 30.135244548838557, 'ellipse': {'center': [175.53892678505244, 74.46639071569025], 'axes': [229.4193152703887, 241.76091667065958], 'angle': -21.10521163595046}, 'location': [175.53892678505244, 74.46639071569025], 'diameter': 241.76091667065958, 'sphere': {'center': [4.790442514887129, -7.393479798945826, 88.79721020647422], 'radius': 12.0}, 'projected_sphere': {'center': [193.44783414167972, 68.37723544818985], 'axes': [167.57283213515976, 167.57283213515976], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 350242.215375, 'theta': 1.7576626577499352, 'phi': -1.8896103738876338, 'norm_pos': [0.5485591462032888, 0.6897233720179573], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482568.764645,"{'circle_3d': {'center': [-1.567923819087051, -7.795277668400618, 78.6281524312875], 'normal': [-0.5298638611645149, -0.03348315578789932, -0.8474214812655595], 'radius': 15.494261001622975}, 'confidence': 0.009842228020407425, 'timestamp': 350253.236175, 'diameter_3d': 30.98852200324595, 'ellipse': {'center': [158.4297763350242, 58.54298577881939], 'axes': [205.01384904884205, 246.79701361683425], 'angle': 11.732270463224664}, 'location': [158.4297763350242, 58.54298577881939], 'diameter': 246.79701361683425, 'sphere': {'center': [4.790442514887129, -7.393479798945826, 88.79721020647422], 'radius': 12.0}, 'projected_sphere': {'center': [193.44783414167972, 68.37723544818985], 'axes': [167.57283213515976, 167.57283213515976], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 350242.215375, 'theta': 1.5373069113996045, 'phi': -2.129586918205996, 'norm_pos': [0.4950930510469506, 0.7560708925882526], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482568.7722728,"{'circle_3d': {'center': [-3.3471278132244677, -10.559996118188154, 80.56598164962988], 'normal': [-0.6781308606759663, -0.26387635993686065, -0.6859357130703618], 'radius': 16.11066696972633}, 'confidence': 0.015359188019030712, 'timestamp': 350253.244575, 'diameter_3d': 32.22133393945266, 'ellipse': {'center': [145.46647472780137, 41.56162876397086], 'axes': [157.06564220736325, 251.90536615275477], 'angle': 25.88543963316241}, 'location': [145.46647472780137, 41.56162876397086], 'diameter': 251.90536615275477, 'sphere': {'center': [4.790442514887129, -7.393479798945826, 88.79721020647422], 'radius': 12.0}, 'projected_sphere': {'center': [193.44783414167972, 68.37723544818985], 'axes': [167.57283213515976, 167.57283213515976], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 350242.215375, 'theta': 1.3037575196420406, 'phi': -2.3504727993501726, 'norm_pos': [0.4545827335243793, 0.8268265468167881], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
