eye_packets,778
norm_X,norm_Y,phi,theta,confidence,timestamp
1581482532.629426,"{'circle_3d': {'center': [11.371257451758185, -11.27810923671246, 289.8149834190385], 'normal': [0.08654210543222293, -0.3972911238774305, -0.9136028824798914], 'radius': 8.537987594542866}, 'confidence': 0.9995730031733043, 'timestamp': 350217.099375, 'diameter_3d': 17.07597518908573, 'ellipse': {'center': [184.28742446019382, 96.06466420874246], 'axes': [32.67808892664624, 36.54682960494231], 'angle': -74.58239491197163}, 'location': [184.28742446019382, 96.06466420874246], 'diameter': 36.54682960494231, 'sphere': {'center': [10.33275218657151, -6.510615750183295, 300.77821800879724], 'radius': 12.0}, 'projected_sphere': {'center': [181.2991033662117, 106.57954092608003], 'axes': [49.47166752469019, 49.47166752469019], 'angle': 90.0}, 'model_confidence': 0.8395892668372706, 'model_id': 1, 'model_birth_timestamp': 350216.906175, 'theta': 1.1622332073434603, 'phi': -1.4763519648161905, 'norm_pos': [0.5758982014381057, 0.5997305657969064], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482532.6405098,"{'circle_3d': {'center': [11.30774421794626, -11.202898548983375, 289.7767693462419], 'normal': [0.08124933594789589, -0.39102356656667336, -0.9167873885462781], 'radius': 8.611922864010396}, 'confidence': 0.9988992604869047, 'timestamp': 350217.107775, 'diameter_3d': 17.22384572802079, 'ellipse': {'center': [184.15641382843106, 96.2234824866994], 'axes': [33.10338323409216, 36.868361664975204], 'angle': -75.03828379522109}, 'location': [184.15641382843106, 96.2234824866994], 'diameter': 36.868361664975204, 'sphere': {'center': [10.33275218657151, -6.510615750183295, 300.77821800879724], 'radius': 12.0}, 'projected_sphere': {'center': [181.2991033662117, 106.57954092608003], 'axes': [49.47166752469019, 49.47166752469019], 'angle': 90.0}, 'model_confidence': 0.8410669901331214, 'model_id': 1, 'model_birth_timestamp': 350216.906175, 'theta': 1.1690528842669397, 'phi': -1.4824032954156143, 'norm_pos': [0.575488793213847, 0.5990688229720859], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482532.6459782,"{'circle_3d': {'center': [11.242327676274344, -11.282131632315558, 289.80528273080114], 'normal': [0.07579795747523618, -0.39762632351102195, -0.9144112731663419], 'radius': 8.637677314639314}, 'confidence': 0.9987323759995637, 'timestamp': 350217.116175, 'diameter_3d': 17.275354629278628, 'ellipse': {'center': [184.01679175224265, 96.0601477062338], 'axes': [33.10613618873764, 36.975565909915915], 'angle': -75.97400641438988}, 'location': [184.01679175224265, 96.0601477062338], 'diameter': 36.975565909915915, 'sphere': {'center': [10.33275218657151, -6.510615750183295, 300.77821800879724], 'radius': 12.0}, 'projected_sphere': {'center': [181.2991033662117, 106.57954092608003], 'axes': [49.47166752469019, 49.47166752469019], 'angle': 90.0}, 'model_confidence': 0.8416476843154275, 'model_id': 1, 'model_birth_timestamp': 350216.906175, 'theta': 1.161867914938231, 'phi': -1.4880927725163373, 'norm_pos': [0.5750524742257583, 0.5997493845573592], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482532.652432,"{'circle_3d': {'center': [11.290531094728266, -11.241098336750294, 289.7916264508446], 'normal': [0.07981490901306294, -0.39420688221391664, -0.9155492964960542], 'radius': 8.550454899922824}, 'confidence': 0.9991090107310775, 'timestamp': 350217.124575, 'diameter_3d': 17.10090979984565, 'ellipse': {'center': [184.11968778882797, 96.141473258976], 'axes': [32.81584426048493, 36.6034926324241], 'angle': -75.33742126775904}, 'location': [184.11968778882797, 96.141473258976], 'diameter': 36.6034926324241, 'sphere': {'center': [10.33275218657151, -6.510615750183295, 300.77821800879724], 'radius': 12.0}, 'projected_sphere': {'center': [181.2991033662117, 106.57954092608003], 'axes': [49.47166752469019, 49.47166752469019], 'angle': 90.0}, 'model_confidence': 0.8439399277307302, 'model_id': 1, 'model_birth_timestamp': 350216.906175, 'theta': 1.1655916378513762, 'phi': -1.483839094942415, 'norm_pos': [0.5753740243400874, 0.5994105280876], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482532.660358,"{'circle_3d': {'center': [11.345266346743838, -11.275936487763088, 289.8116080794051], 'normal': [0.08437618001436076, -0.39711006146498284, -0.9138841607826791], 'radius': 8.682906525520071}, 'confidence': 0.9980157834580508, 'timestamp': 350217.132975, 'diameter_3d': 17.365813051040142, 'ellipse': {'center': [184.23183494597058, 96.07558769445373], 'axes': [33.24740332941072, 37.16781462275722], 'angle': -74.85272477674714}, 'location': [184.23183494597058, 96.07558769445373], 'diameter': 37.16781462275722, 'sphere': {'center': [10.33275218657151, -6.510615750183295, 300.77821800879724], 'radius': 12.0}, 'projected_sphere': {'center': [181.2991033662117, 106.57954092608003], 'axes': [49.47166752469019, 49.47166752469019], 'angle': 90.0}, 'model_confidence': 0.8411202839997078, 'model_id': 1, 'model_birth_timestamp': 350216.906175, 'theta': 1.1624305007241822, 'phi': -1.4787303365428393, 'norm_pos': [0.5757244842061581, 0.5996850512731094], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482532.67088,"{'circle_3d': {'center': [11.317847988098215, -11.146082355780148, 289.7536075571663], 'normal': [0.08209131679389209, -0.3862888837997378, -0.9187175376359142], 'radius': 8.386494793701134}, 'confidence': 0.999605658604416, 'timestamp': 350217.141375, 'diameter_3d': 16.772989587402268, 'ellipse': {'center': [184.18134167287508, 96.33141589523996], 'axes': [32.31644747497895, 35.90582433865894], 'angle': -74.75609167987615}, 'location': [184.18134167287508, 96.33141589523996], 'diameter': 35.90582433865894, 'sphere': {'center': [10.33275218657151, -6.510615750183295, 300.77821800879724], 'radius': 12.0}, 'projected_sphere': {'center': [181.2991033662117, 106.57954092608003], 'axes': [49.47166752469019, 49.47166752469019], 'angle': 90.0}, 'model_confidence': 0.8453630033925519, 'model_id': 1, 'model_birth_timestamp': 350216.906175, 'theta': 1.1741915633797684, 'phi': -1.4816787506233158, 'norm_pos': [0.5755666927277346, 0.5986191004365002], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482532.6766322,"{'circle_3d': {'center': [11.264076755370324, -11.074376047211674, 289.7190712741337], 'normal': [0.07761038073323454, -0.38031335808569827, -0.9215955612219613], 'radius': 8.564434822580013}, 'confidence': 0.9996957783574498, 'timestamp': 350217.149775, 'diameter_3d': 17.128869645160027, 'ellipse': {'center': [184.06958727871012, 96.4875907515472], 'axes': [33.130119682959425, 36.672239225659084], 'angle': -75.13050081759444}, 'location': [184.06958727871012, 96.4875907515472], 'diameter': 36.672239225659084, 'sphere': {'center': [10.33275218657151, -6.510615750183295, 300.77821800879724], 'radius': 12.0}, 'projected_sphere': {'center': [181.2991033662117, 106.57954092608003], 'axes': [49.47166752469019, 49.47166752469019], 'angle': 90.0}, 'model_confidence': 0.8496139478684217, 'model_id': 1, 'model_birth_timestamp': 350216.906175, 'theta': 1.1806612362898368, 'phi': -1.4867815008250642, 'norm_pos': [0.5752174602459691, 0.5979683718685533], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482532.685289,"{'circle_3d': {'center': [11.341397716370913, -11.06298863587372, 289.7211598419589], 'normal': [0.08405379414995039, -0.37936440714086883, -0.9214215139031945], 'radius': 8.644851534542145}, 'confidence': 0.997576356696528, 'timestamp': 350217.158175, 'diameter_3d': 17.28970306908429, 'ellipse': {'center': [184.230967339904, 96.51513000839634], 'axes': [33.42684220790122, 37.01588697968481], 'angle': -74.23553979126551}, 'location': [184.230967339904, 96.51513000839634], 'diameter': 37.01588697968481, 'sphere': {'center': [10.33275218657151, -6.510615750183295, 300.77821800879724], 'radius': 12.0}, 'projected_sphere': {'center': [181.2991033662117, 106.57954092608003], 'axes': [49.47166752469019, 49.47166752469019], 'angle': 90.0}, 'model_confidence': 0.8449490823440597, 'model_id': 1, 'model_birth_timestamp': 350216.906175, 'theta': 1.1816870708707263, 'phi': -1.4798262323857252, 'norm_pos': [0.5757217729372, 0.5978536249650153], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482532.693166,"{'circle_3d': {'center': [11.158723754500889, -11.201927590841409, 289.76416497720743], 'normal': [0.06883096399411495, -0.39094265338817624, -0.9178377526324862], 'radius': 8.554218330224327}, 'confidence': 0.9992148080298646, 'timestamp': 350217.166575, 'diameter_3d': 17.108436660448653, 'ellipse': {'center': [183.84513692682035, 96.22217830885612], 'axes': [32.93972216381237, 36.62370711331093], 'angle': -76.66384807451684}, 'location': [183.84513692682035, 96.22217830885612], 'diameter': 36.62370711331093, 'sphere': {'center': [10.33275218657151, -6.510615750183295, 300.77821800879724], 'radius': 12.0}, 'projected_sphere': {'center': [181.2991033662117, 106.57954092608003], 'axes': [49.47166752469019, 49.47166752469019], 'angle': 90.0}, 'model_confidence': 0.8471078086614625, 'model_id': 1, 'model_birth_timestamp': 350216.906175, 'theta': 1.169140795356995, 'phi': -1.495943919444654, 'norm_pos': [0.5745160528963136, 0.5990742570464329], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482532.704823,"{'circle_3d': {'center': [11.122484610770876, -11.251711736742264, 289.78284027338486], 'normal': [0.06581103534994719, -0.39509133221324744, -0.916281477951033], 'radius': 8.749471677771371}, 'confidence': 0.9962785790664991, 'timestamp': 350217.174975, 'diameter_3d': 17.498943355542742, 'ellipse': {'center': [183.766317664598, 96.12771263754797], 'axes': [33.627364695515595, 37.45769760898914], 'angle': -77.19294021658892}, 'location': [183.766317664598, 96.12771263754797], 'diameter': 37.45769760898914, 'sphere': {'center': [10.33275218657151, -6.510615750183295, 300.77821800879724], 'radius': 12.0}, 'projected_sphere': {'center': [181.2991033662117, 106.57954092608003], 'axes': [49.47166752469019, 49.47166752469019], 'angle': 90.0}, 'model_confidence': 0.8379815489578779, 'model_id': 1, 'model_birth_timestamp': 350216.906175, 'theta': 1.1646290569472977, 'phi': -1.4990954143309165, 'norm_pos': [0.5742697427018688, 0.5994678640102168], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482532.714218,"{'circle_3d': {'center': [11.312095521104485, -11.259087596787275, 289.8012921297036], 'normal': [0.08161194454441464, -0.3957059872169983, -0.9147438232578017], 'radius': 8.563869282837693}, 'confidence': 0.9982967506962915, 'timestamp': 350217.183375, 'diameter_3d': 17.127738565675386, 'ellipse': {'center': [184.16408841230077, 96.10491219103243], 'axes': [32.83106912331683, 36.65963287175008], 'angle': -75.15795325646465}, 'location': [184.16408841230077, 96.10491219103243], 'diameter': 36.65963287175008, 'sphere': {'center': [10.33275218657151, -6.510615750183295, 300.77821800879724], 'radius': 12.0}, 'projected_sphere': {'center': [181.2991033662117, 106.57954092608003], 'axes': [49.47166752469019, 49.47166752469019], 'angle': 90.0}, 'model_confidence': 0.8369067383508733, 'model_id': 1, 'model_birth_timestamp': 350216.906175, 'theta': 1.1639598695852105, 'phi': -1.4818135652650812, 'norm_pos': [0.5755127762884399, 0.5995628658706982], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
