eye_packets,776
norm_X,norm_Y,phi,theta,confidence,timestamp
1581482588.353611,"{'circle_3d': {'center': [2.579851971671062, -0.44989121980027047, 72.41242449419343], 'normal': [-0.15725583788306335, 0.5362366825092016, -0.829289347443473], 'radius': 2.0812444884265386}, 'confidence': 0.7078162195944296, 'timestamp': 350272.824975, 'diameter_3d': 4.162488976853077, 'ellipse': {'center': [182.16137326567568, 115.91919035279415], 'axes': [29.865114520183393, 35.66375958538607], 'angle': -76.57255475679148}, 'location': [182.16137326567568, 115.91919035279415], 'diameter': 35.66375958538607, 'sphere': {'center': [4.466922026267822, -6.884731409910689, 82.3638966635151], 'radius': 12.0}, 'projected_sphere': {'center': [193.62506836703437, 68.17470218070113], 'axes': [180.6616806971861, 180.6616806971861], 'angle': 90.0}, 'model_confidence': 0.5163455417153462, 'model_id': 1, 'model_birth_timestamp': 350254.571775, 'theta': 2.1367685393771327, 'phi': -1.758198462266346, 'norm_pos': [0.5692542914552365, 0.5170033735300243], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482588.361335,"{'circle_3d': {'center': [2.580631387662859, -0.44684612202154916, 72.41424638590776], 'normal': [-0.1571908865504135, 0.5364904406574281, -0.8291375231339452], 'radius': 2.088079368759197}, 'confidence': 0.8118996626728338, 'timestamp': 350272.833375, 'diameter_3d': 4.176158737518394, 'ellipse': {'center': [182.16793039564604, 115.94380426230053], 'axes': [29.956265323773486, 35.780041586666584], 'angle': -76.58625169103303}, 'location': [182.16793039564604, 115.94380426230053], 'diameter': 35.780041586666584, 'sphere': {'center': [4.466922026267822, -6.884731409910689, 82.3638966635151], 'radius': 12.0}, 'projected_sphere': {'center': [193.62506836703437, 68.17470218070113], 'axes': [180.6616806971861, 180.6616806971861], 'angle': 90.0}, 'model_confidence': 0.5163455417153462, 'model_id': 1, 'model_birth_timestamp': 350254.571775, 'theta': 2.137069205308272, 'phi': -1.7581563625953691, 'norm_pos': [0.5692747824863938, 0.5169008155737478], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482588.370003,"{'circle_3d': {'center': [2.581417406430035, -0.44379864723072693, 72.41606989204355], 'normal': [-0.15712538498648226, 0.5367443968899969, -0.8289855642892963], 'radius': 2.0655365362800335}, 'confidence': 0.8013139314263517, 'timestamp': 350272.841775, 'diameter_3d': 4.131073072560067, 'ellipse': {'center': [182.17249970547553, 115.97489252205445], 'axes': [29.62578390748244, 35.39280151601553], 'angle': -76.59993230970488}, 'location': [182.17249970547553, 115.97489252205445], 'diameter': 35.39280151601553, 'sphere': {'center': [4.466922026267822, -6.884731409910689, 82.3638966635151], 'radius': 12.0}, 'projected_sphere': {'center': [193.62506836703437, 68.17470218070113], 'axes': [180.6616806971861, 180.6616806971861], 'angle': 90.0}, 'model_confidence': 0.5163455417153462, 'model_id': 1, 'model_birth_timestamp': 350254.571775, 'theta': 2.1373701634877627, 'phi': -1.7581136358024505, 'norm_pos': [0.569289061579611, 0.5167712811581064], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482588.3765252,"{'circle_3d': {'center': [2.582210024657087, -0.4407487973818043, 72.41789501660142], 'normal': [-0.15705933346756132, 0.5369985510440739, -0.8288334705761409], 'radius': 2.0708286124395334}, 'confidence': 0.8870916835779827, 'timestamp': 350272.850175, 'diameter_3d': 4.141657224879067, 'ellipse': {'center': [182.1790574497301, 115.99989411139393], 'axes': [29.69479242040237, 35.48264042087487], 'angle': -76.6137342618105}, 'location': [182.1790574497301, 115.99989411139393], 'diameter': 35.48264042087487, 'sphere': {'center': [4.466922026267822, -6.884731409910689, 82.3638966635151], 'radius': 12.0}, 'projected_sphere': {'center': [193.62506836703437, 68.17470218070113], 'axes': [180.6616806971861, 180.6616806971861], 'angle': 90.0}, 'model_confidence': 0.5163455417153462, 'model_id': 1, 'model_birth_timestamp': 350254.571775, 'theta': 2.1376714139176944, 'phi': -1.7580702818872873, 'norm_pos': [0.5693095545304065, 0.516667107869192], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482588.385694,"{'circle_3d': {'center': [2.583009239003541, -0.43769657449539423, 72.41972176355866], 'normal': [-0.15699273227202337, 0.5372529029512744, -0.8286812416630374], 'radius': 2.061760520002062}, 'confidence': 0.7344208894146939, 'timestamp': 350272.858575, 'diameter_3d': 4.123521040004124, 'ellipse': {'center': [182.18467833279027, 116.02805364223512], 'axes': [29.557783532700803, 35.3263628833488], 'angle': -76.62755603474857}, 'location': [182.18467833279027, 116.02805364223512], 'diameter': 35.3263628833488, 'sphere': {'center': [4.466922026267822, -6.884731409910689, 82.3638966635151], 'radius': 12.0}, 'projected_sphere': {'center': [193.62506836703437, 68.17470218070113], 'axes': [180.6616806971861, 180.6616806971861], 'angle': 90.0}, 'model_confidence': 0.5163455417153462, 'model_id': 1, 'model_birth_timestamp': 350254.571775, 'theta': 2.1379729565938934, 'phi': -1.7580263008504808, 'norm_pos': [0.5693271197899696, 0.516549776490687], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482588.393502,"{'circle_3d': {'center': [2.5838150461369054, -0.434641980531973, 72.42155013694507], 'normal': [-0.15692558167757636, 0.5375074524482263, -0.8285288772141695], 'radius': 2.072046121289699}, 'confidence': 0.7406029165951286, 'timestamp': 350272.866975, 'diameter_3d': 4.144092242579398, 'ellipse': {'center': [182.19169120403143, 116.052001977932], 'axes': [29.69836364681685, 35.50177701890458], 'angle': -76.64147824605274}, 'location': [182.19169120403143, 116.052001977932], 'diameter': 35.50177701890458, 'sphere': {'center': [4.466922026267822, -6.884731409910689, 82.3638966635151], 'radius': 12.0}, 'projected_sphere': {'center': [193.62506836703437, 68.17470218070113], 'axes': [180.6616806971861, 180.6616806971861], 'angle': 90.0}, 'model_confidence': 0.5163455417153462, 'model_id': 1, 'model_birth_timestamp': 350254.571775, 'theta': 2.138274791518444, 'phi': -1.7579816926917322, 'norm_pos': [0.5693490350125983, 0.5164499917586167], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482588.4054558,"{'circle_3d': {'center': [2.584627442710704, -0.43158501747630673, 72.42338014079242], 'normal': [-0.1568578819630931, 0.5377621993695316, -0.828376376893557], 'radius': 2.069808362826546}, 'confidence': 0.8488102991217483, 'timestamp': 350272.875375, 'diameter_3d': 4.139616725653092, 'ellipse': {'center': [182.1978943041472, 116.07870820191248], 'axes': [29.65932295257175, 35.46256100245546], 'angle': -76.65542441087284}, 'location': [182.1978943041472, 116.07870820191248], 'diameter': 35.46256100245546, 'sphere': {'center': [4.466922026267822, -6.884731409910689, 82.3638966635151], 'radius': 12.0}, 'projected_sphere': {'center': [193.62506836703437, 68.17470218070113], 'axes': [180.6616806971861, 180.6616806971861], 'angle': 90.0}, 'model_confidence': 0.5163455417153462, 'model_id': 1, 'model_birth_timestamp': 350254.571775, 'theta': 2.138576918691347, 'phi': -1.7579364574110414, 'norm_pos': [0.56936841970046, 0.5163387158253647], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482588.412798,"{'circle_3d': {'center': [2.585446425369927, -0.4285256873164087, 72.42521177914702], 'normal': [-0.15678963340815796, 0.5380171435495235, -0.8282237403640075], 'radius': 2.0786360843062353}, 'confidence': 0.7287084461814568, 'timestamp': 350272.883775, 'diameter_3d': 4.1572721686124705, 'ellipse': {'center': [182.20491847708448, 116.10300537475302], 'axes': [29.778897743538977, 35.61297839008597], 'angle': -76.66945097375606}, 'location': [182.20491847708448, 116.10300537475302], 'diameter': 35.61297839008597, 'sphere': {'center': [4.466922026267822, -6.884731409910689, 82.3638966635151], 'radius': 12.0}, 'projected_sphere': {'center': [193.62506836703437, 68.17470218070113], 'axes': [180.6616806971861, 180.6616806971861], 'angle': 90.0}, 'model_confidence': 0.5163455417153462, 'model_id': 1, 'model_birth_timestamp': 350254.571775, 'theta': 2.1388793381126026, 'phi': -1.7578905950084087, 'norm_pos': [0.569390370240889, 0.5162374776051957], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482588.4212081,"{'circle_3d': {'center': [2.5983774102344346, -0.32465611904319935, 72.49100685373588], 'normal': [-0.15571205133611563, 0.5466729409056242, -0.8227408174816021], 'radius': 2.075033024762221}, 'confidence': 0.6548086081810034, 'timestamp': 350272.892175, 'diameter_3d': 4.150066049524442, 'ellipse': {'center': [182.2943473042768, 116.9940018405158], 'axes': [29.478738186532688, 35.51974101194271], 'angle': -76.99377520934395}, 'location': [182.2943473042768, 116.9940018405158], 'diameter': 35.51974101194271, 'sphere': {'center': [4.466922026267822, -6.884731409910689, 82.3638966635151], 'radius': 12.0}, 'projected_sphere': {'center': [193.62506836703437, 68.17470218070113], 'axes': [180.6616806971861, 180.6616806971861], 'angle': 90.0}, 'model_confidence': 0.5163455417153462, 'model_id': 1, 'model_birth_timestamp': 350254.571775, 'theta': 2.14918204978221, 'phi': -1.757844105483834, 'norm_pos': [0.569669835325865, 0.5125249923311841], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482588.428753,"{'circle_3d': {'center': [2.5862707147213486, -0.4294194146038226, 72.42447526749683], 'normal': [-0.15672094262887276, 0.5379426662755721, -0.8282851163348561], 'radius': 2.072040586205054}, 'confidence': 0.7602359176070925, 'timestamp': 350272.900575, 'diameter_3d': 4.144081172410108, 'ellipse': {'center': [182.21172078522793, 116.09677408639251], 'axes': [29.68702648897027, 35.50032100390676], 'angle': -76.67569991803984}, 'location': [182.21172078522793, 116.09677408639251], 'diameter': 35.50032100390676, 'sphere': {'center': [4.466922026267822, -6.884731409910689, 82.3638966635151], 'radius': 12.0}, 'projected_sphere': {'center': [193.62506836703437, 68.17470218070113], 'axes': [180.6616806971861, 180.6616806971861], 'angle': 90.0}, 'model_confidence': 0.5163455417153462, 'model_id': 1, 'model_birth_timestamp': 350254.571775, 'theta': 2.1387909857821614, 'phi': -1.7577969888373175, 'norm_pos': [0.5694116274538372, 0.5162634413066979], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581482588.437109,"{'circle_3d': {'center': [2.5881034911031855, -0.4179823632063524, 72.43156573473155], 'normal': [-0.15656821126371967, 0.5388957538920279, -0.8276942440652963], 'radius': 2.0572769626583254}, 'confidence': 0.7856765454419483, 'timestamp': 350272.908975, 'diameter_3d': 4.114553925316651, 'ellipse': {'center': [182.22412252221343, 116.19808877336212], 'axes': [29.448780053218517, 35.243953286656726], 'angle': -76.71594424553494}, 'location': [182.22412252221343, 116.19808877336212], 'diameter': 35.243953286656726, 'sphere': {'center': [4.466922026267822, -6.884731409910689, 82.3638966635151], 'radius': 12.0}, 'projected_sphere': {'center': [193.62506836703437, 68.17470218070113], 'axes': [180.6616806971861, 180.6616806971861], 'angle': 90.0}, 'model_confidence': 0.5163455417153462, 'model_id': 1, 'model_birth_timestamp': 350254.571775, 'theta': 2.139922009384968, 'phi': -1.757749245068526, 'norm_pos': [0.569450382881917, 0.5158412967776578], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
