eye_packets,778
norm_X,norm_Y,phi,theta,confidence,timestamp
1581481666.629822,"{'circle_3d': {'center': [5.542092639210464, 3.6834343983912947, 83.69361526045758], 'normal': [-0.2357953765894829, 0.45089215412109407, -0.8608697960383227], 'radius': 2.606371497239162}, 'confidence': 0.5316915169822023, 'timestamp': 349351.099033, 'diameter_3d': 5.212742994478324, 'ellipse': {'center': [201.1880657755223, 147.0601811246267], 'axes': [32.989537056612036, 38.736191229073114], 'angle': -69.61689451872348}, 'location': [201.1880657755223, 147.0601811246267], 'diameter': 38.736191229073114, 'sphere': {'center': [8.371637158284258, -1.7272714510618328, 94.02405281291745], 'radius': 12.0}, 'projected_sphere': {'center': [215.20305584427177, 108.61027292889453], 'axes': [158.2573772862907, 158.2573772862907], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 138, 'model_birth_timestamp': 349325.680657, 'theta': 2.038560938415724, 'phi': -1.838142981467754, 'norm_pos': [0.6287127055485071, 0.38724924531405547], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581481666.636579,"{'circle_3d': {'center': [5.593091599337531, 3.4229223806775155, 83.54764178278067], 'normal': [-0.2315454632455606, 0.42918281931161234, -0.8730342525113975], 'radius': 2.646205535663377}, 'confidence': 0.9916278891103546, 'timestamp': 349351.107433, 'diameter_3d': 5.292411071326754, 'ellipse': {'center': [201.6415248642562, 145.17417661178183], 'axes': [34.11312966440553, 39.395806036487464], 'angle': -69.32345283111174}, 'location': [201.6415248642562, 145.17417661178183], 'diameter': 39.395806036487464, 'sphere': {'center': [8.371637158284258, -1.7272714510618328, 94.02405281291745], 'radius': 12.0}, 'projected_sphere': {'center': [215.20305584427177, 108.61027292889453], 'axes': [158.2573772862907, 158.2573772862907], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 138, 'model_birth_timestamp': 349325.680657, 'theta': 2.01438416510416, 'phi': -1.8300468813392776, 'norm_pos': [0.6301297652008007, 0.39510759745090906], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581481666.644526,"{'circle_3d': {'center': [5.574944406986342, 3.4004170699846665, 83.5414329072848], 'normal': [-0.23305772927482638, 0.427307376753875, -0.87355165880272], 'radius': 2.6203634813075456}, 'confidence': 0.993843213990085, 'timestamp': 349351.115833, 'diameter_3d': 5.240726962615091, 'ellipse': {'center': [201.50812459128107, 145.01422592641293], 'axes': [33.812375588603736, 39.01319261341504], 'angle': -69.06716185116196}, 'location': [201.50812459128107, 145.01422592641293], 'diameter': 39.01319261341504, 'sphere': {'center': [8.371637158284258, -1.7272714510618328, 94.02405281291745], 'radius': 12.0}, 'projected_sphere': {'center': [215.20305584427177, 108.61027292889453], 'axes': [158.2573772862907, 158.2573772862907], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 138, 'model_birth_timestamp': 349325.680657, 'theta': 2.0123087853401014, 'phi': -1.8315169404237666, 'norm_pos': [0.6297128893477534, 0.3957740586399461], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581481666.6526709,"{'circle_3d': {'center': [5.575142233733801, 3.401175347222486, 83.5417510821843], 'normal': [-0.23304124371253798, 0.427370566523693, -0.8735251442277613], 'radius': 2.5963145503568748}, 'confidence': 0.5639457283034728, 'timestamp': 349351.124233, 'diameter_3d': 5.1926291007137495, 'ellipse': {'center': [201.5069777024023, 145.0237896212952], 'axes': [33.50049030320094, 38.65492209602305], 'angle': -69.07148906785535}, 'location': [201.5069777024023, 145.0237896212952], 'diameter': 38.65492209602305, 'sphere': {'center': [8.371637158284258, -1.7272714510618328, 94.02405281291745], 'radius': 12.0}, 'projected_sphere': {'center': [215.20305584427177, 108.61027292889453], 'axes': [158.2573772862907, 158.2573772862907], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 138, 'model_birth_timestamp': 349325.680657, 'theta': 2.0123786784552027, 'phi': -1.8315068820059557, 'norm_pos': [0.6297093053200072, 0.39573420991126995], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581481666.661217,"{'circle_3d': {'center': [5.6666497391862425, 3.28967917301584, 83.46406940866495], 'normal': [-0.22541561825816803, 0.41807921867313946, -0.8799986170210411], 'radius': 2.612189013680352}, 'confidence': 0.5753895668181916, 'timestamp': 349351.132633, 'diameter_3d': 5.224378027360704, 'ellipse': {'center': [202.2236333720092, 144.21879711079643], 'axes': [34.01174415995731, 38.92877062488299], 'angle': -69.65495486424997}, 'location': [202.2236333720092, 144.21879711079643], 'diameter': 38.92877062488299, 'sphere': {'center': [8.371637158284258, -1.7272714510618328, 94.02405281291745], 'radius': 12.0}, 'projected_sphere': {'center': [215.20305584427177, 108.61027292889453], 'axes': [158.2573772862907, 158.2573772862907], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 138, 'model_birth_timestamp': 349325.680657, 'theta': 2.0021261736203186, 'phi': -1.8215590333035117, 'norm_pos': [0.6319488542875288, 0.3990883453716816], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581481666.669955,"{'circle_3d': {'center': [5.504948774194088, 3.7262987403442307, 83.72644775756939], 'normal': [-0.23889069867418072, 0.4544641826171717, -0.8581337546123377], 'radius': 2.639166339390274}, 'confidence': 0.46472578096266665, 'timestamp': 349351.141033, 'diameter_3d': 5.278332678780548, 'ellipse': {'center': [200.90151593939873, 147.36041489406352], 'axes': [33.274459100530066, 39.207842748872984], 'angle': -69.38649541505481}, 'location': [200.90151593939873, 147.36041489406352], 'diameter': 39.207842748872984, 'sphere': {'center': [8.371637158284258, -1.7272714510618328, 94.02405281291745], 'radius': 12.0}, 'projected_sphere': {'center': [215.20305584427177, 108.61027292889453], 'axes': [158.2573772862907, 158.2573772862907], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 138, 'model_birth_timestamp': 349325.680657, 'theta': 2.0425669236026276, 'phi': -1.842305876505801, 'norm_pos': [0.627817237310621, 0.3859982712747353], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581481666.6765802,"{'circle_3d': {'center': [5.683379128182482, 3.3688589888295533, 83.49776556131701], 'normal': [-0.22402150250848127, 0.4246775366576153, -0.8771906043000359], 'radius': 2.619402216574034}, 'confidence': 0.4966491137344191, 'timestamp': 349351.149433, 'diameter_3d': 5.238804433148068, 'ellipse': {'center': [202.3305770459204, 144.79327668555788], 'axes': [33.954572110227595, 39.021754641457385], 'angle': -70.07805467897026}, 'location': [202.3305770459204, 144.79327668555788], 'diameter': 39.021754641457385, 'sphere': {'center': [8.371637158284258, -1.7272714510618328, 94.02405281291745], 'radius': 12.0}, 'projected_sphere': {'center': [215.20305584427177, 108.61027292889453], 'axes': [158.2573772862907, 158.2573772862907], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 138, 'model_birth_timestamp': 349325.680657, 'theta': 2.0094020052069137, 'phi': -1.8208369610272177, 'norm_pos': [0.6322830532685012, 0.3966946804768422], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581481666.6848488,"{'circle_3d': {'center': [5.762759758033805, 3.2842602905015164, 83.43734849505887], 'normal': [-0.21740645002087117, 0.41762764513027917, -0.8822253598215481], 'radius': 2.626786446838702}, 'confidence': 0.5800854067609246, 'timestamp': 349351.157833, 'diameter_3d': 5.253572893677404, 'ellipse': {'center': [202.94878148334934, 144.18334217132872], 'axes': [34.28747875078701, 39.16137625589326], 'angle': -70.64793954657492}, 'location': [202.94878148334934, 144.18334217132872], 'diameter': 39.16137625589326, 'sphere': {'center': [8.371637158284258, -1.7272714510618328, 94.02405281291745], 'radius': 12.0}, 'projected_sphere': {'center': [215.20305584427177, 108.61027292889453], 'axes': [158.2573772862907, 158.2573772862907], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 138, 'model_birth_timestamp': 349325.680657, 'theta': 2.001629127536487, 'phi': -1.8124118087295524, 'norm_pos': [0.6342149421354667, 0.3992360742861304], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581481666.693696,"{'circle_3d': {'center': [5.585936477838273, 3.613777513479152, 83.64556218675516], 'normal': [-0.23214172337049874, 0.44508741371174865, -0.8648742188468573], 'radius': 2.627248992697219}, 'confidence': 0.46458461106389115, 'timestamp': 349351.166233, 'diameter_3d': 5.254497985394438, 'ellipse': {'center': [201.53736705970144, 146.5572917162112], 'axes': [33.4474333211814, 39.06940357777833], 'angle': -69.8380765966544}, 'location': [201.53736705970144, 146.5572917162112], 'diameter': 39.06940357777833, 'sphere': {'center': [8.371637158284258, -1.7272714510618328, 94.02405281291745], 'radius': 12.0}, 'projected_sphere': {'center': [215.20305584427177, 108.61027292889453], 'axes': [158.2573772862907, 158.2573772862907], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 138, 'model_birth_timestamp': 349325.680657, 'theta': 2.032068201083596, 'phi': -1.8330265041693488, 'norm_pos': [0.629804272061567, 0.38934461784912], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581481666.7052958,"{'circle_3d': {'center': [5.467514677811286, 3.370964923814371, 83.55628999155486], 'normal': [-0.24201020670608095, 0.4248530312396835, -0.8723135684468816], 'radius': 2.6074665824797716}, 'confidence': 0.5091557986713258, 'timestamp': 349351.174633, 'diameter_3d': 5.214933164959543, 'ellipse': {'center': [200.70670352391934, 144.79506976191846], 'axes': [33.6155696366001, 38.81116057679653], 'angle': -67.88272545633878}, 'location': [200.70670352391934, 144.79506976191846], 'diameter': 38.81116057679653, 'sphere': {'center': [8.371637158284258, -1.7272714510618328, 94.02405281291745], 'radius': 12.0}, 'projected_sphere': {'center': [215.20305584427177, 108.61027292889453], 'axes': [158.2573772862907, 158.2573772862907], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 138, 'model_birth_timestamp': 349325.680657, 'theta': 2.00959585685964, 'phi': -1.8414248103901554, 'norm_pos': [0.627208448512248, 0.39668720932533974], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
