eye_packets,776
norm_X,norm_Y,phi,theta,confidence,timestamp
1581481758.5240252,"{'circle_3d': {'center': [5.66973901383605e-07, 6.285069646949637e-07, 1.112837347960749e-05], 'normal': [-0.1516725369951826, 0.5493681411958625, -0.8216995113546361], 'radius': 3.666199291075549e-07}, 'confidence': 0.9999999999999807, 'timestamp': 349442.99595, 'diameter_3d': 7.332398582151098e-07, 'ellipse': {'center': [191.6831022894356, 154.7247639950471], 'axes': [32.56754865742785, 40.933341020319034], 'angle': -79.12686422848023}, 'location': [191.6831022894356, 154.7247639950471], 'diameter': 40.933341020319034, 'sphere': {'center': [1.8200710109160927, -6.592417065843386, 9.860405264629113], 'radius': 12.0}, 'projected_sphere': {'center': [274.4419520783685, -294.5162872244925], 'axes': [1509.0657635925972, 1509.0657635925972], 'angle': 90.0}, 'model_confidence': 0.6015052514175223, 'model_id': 1, 'model_birth_timestamp': 349418.737777, 'theta': 2.1524041850315023, 'phi': -1.7533257758847, 'norm_pos': [0.5990096946544863, 0.3553134833539704], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581481758.532525,"{'circle_3d': {'center': [5.723140652502678e-07, 6.234230687240938e-07, 1.1123988802097529e-05], 'normal': [-0.15167253655016896, 0.5493681407722045, -0.821699511720026], 'radius': 3.5653920672015924e-07}, 'confidence': 0.9999999999999875, 'timestamp': 349443.00435, 'diameter_3d': 7.130784134403185e-07, 'ellipse': {'center': [191.98820768871042, 154.4707222506783], 'axes': [31.695697891716474, 39.82406200213335], 'angle': -79.16007243241697}, 'location': [191.98820768871042, 154.4707222506783], 'diameter': 39.82406200213335, 'sphere': {'center': [1.8200710109160927, -6.592417065843386, 9.860405264629113], 'radius': 12.0}, 'projected_sphere': {'center': [274.4419520783685, -294.5162872244925], 'axes': [1509.0657635925972, 1509.0657635925972], 'angle': 90.0}, 'model_confidence': 0.6028970593377481, 'model_id': 1, 'model_birth_timestamp': 349418.737777, 'theta': 2.15240418452448, 'phi': -1.7533257752815916, 'norm_pos': [0.59996314902722, 0.35637199062217373], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581481758.540925,"{'circle_3d': {'center': [5.802988582992441e-07, 6.247690640392989e-07, 1.112341483811008e-05], 'normal': [-0.15167253588476953, 0.5493681408843708, -0.8216995117678563], 'radius': 3.6318641260536123e-07}, 'confidence': 0.9999999999999721, 'timestamp': 349443.01275, 'diameter_3d': 7.263728252107225e-07, 'ellipse': {'center': [192.43846692254172, 154.5371443050978], 'axes': [32.28900290269311, 40.57058506873413], 'angle': -79.21181996593346}, 'location': [192.43846692254172, 154.5371443050978], 'diameter': 40.57058506873413, 'sphere': {'center': [1.8200710109160927, -6.592417065843386, 9.860405264629113], 'radius': 12.0}, 'projected_sphere': {'center': [274.4419520783685, -294.5162872244925], 'axes': [1509.0657635925972, 1509.0657635925972], 'angle': 90.0}, 'model_confidence': 0.6012488680612771, 'model_id': 1, 'model_birth_timestamp': 349418.737777, 'theta': 2.1524041846587174, 'phi': -1.7533257744880981, 'norm_pos': [0.6013702091329429, 0.3560952320620925], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581481758.547958,"{'circle_3d': {'center': [5.760712815661151e-07, 6.282825850689733e-07, 1.1126544233519553e-05], 'normal': [-0.15167253623706758, 0.5493681411771643, -0.8216995115070733], 'radius': 3.626027117639387e-07}, 'confidence': 0.9999999999999855, 'timestamp': 349443.02115, 'diameter_3d': 7.252054235278774e-07, 'ellipse': {'center': [192.1933605204951, 154.72427753662558], 'axes': [32.21955149943526, 40.49318886571014], 'angle': -79.18516281943018}, 'location': [192.1933605204951, 154.72427753662558], 'diameter': 40.49318886571014, 'sphere': {'center': [1.8200710109160927, -6.592417065843386, 9.860405264629113], 'radius': 12.0}, 'projected_sphere': {'center': [274.4419520783685, -294.5162872244925], 'axes': [1509.0657635925972, 1509.0657635925972], 'angle': 90.0}, 'model_confidence': 0.6007110144828021, 'model_id': 1, 'model_birth_timestamp': 349418.737777, 'theta': 2.1524041850091247, 'phi': -1.753325774959366, 'norm_pos': [0.6006042516265472, 0.35531551026406005], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581481758.556681,"{'circle_3d': {'center': [5.74887953908032e-07, 6.247578516749286e-07, 1.1124406107398954e-05], 'normal': [-0.15167253633567823, 0.5493681408834364, -0.8216995116852505], 'radius': 3.615288950024765e-07}, 'confidence': 0.9999999999999981, 'timestamp': 349443.02955, 'diameter_3d': 7.23057790004953e-07, 'ellipse': {'center': [192.1330433553846, 154.53607483259037], 'axes': [32.136705590467656, 40.38063985256129], 'angle': -79.17696669214303}, 'location': [192.1330433553846, 154.53607483259037], 'diameter': 40.38063985256129, 'sphere': {'center': [1.8200710109160927, -6.592417065843386, 9.860405264629113], 'radius': 12.0}, 'projected_sphere': {'center': [274.4419520783685, -294.5162872244925], 'axes': [1509.0657635925972, 1509.0657635925972], 'angle': 90.0}, 'model_confidence': 0.6025399316220148, 'model_id': 1, 'model_birth_timestamp': 349418.737777, 'theta': 2.152404184657599, 'phi': -1.7533257750367137, 'norm_pos': [0.6004157604855769, 0.3560996881975401], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581481758.56409,"{'circle_3d': {'center': [5.744910185345731e-07, 6.323528651819288e-07, 1.1129557215383556e-05], 'normal': [-0.1516725363687562, 0.5493681415163543, -0.8216995112559915], 'radius': 3.6119490825561325e-07}, 'confidence': 0.9999999999999908, 'timestamp': 349443.03795, 'diameter_3d': 7.223898165112265e-07, 'ellipse': {'center': [192.09583239213737, 154.94398415297866], 'axes': [32.07715423796963, 40.324793765860846], 'angle': -79.17563218392205}, 'location': [192.09583239213737, 154.94398415297866], 'diameter': 40.324793765860846, 'sphere': {'center': [1.8200710109160927, -6.592417065843386, 9.860405264629113], 'radius': 12.0}, 'projected_sphere': {'center': [274.4419520783685, -294.5162872244925], 'axes': [1509.0657635925972, 1509.0657635925972], 'angle': 90.0}, 'model_confidence': 0.6037679615567337, 'model_id': 1, 'model_birth_timestamp': 349418.737777, 'theta': 2.152404185415058, 'phi': -1.753325775168893, 'norm_pos': [0.6002994762254292, 0.35440006602925556], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581481758.5726678,"{'circle_3d': {'center': [5.735285031338577e-07, 6.246451436098255e-07, 1.1124581687838031e-05], 'normal': [-0.1516725364489658, 0.5493681408740442, -0.8216995116706188], 'radius': 3.556210462715107e-07}, 'confidence': 0.999999999999993, 'timestamp': 349443.04635, 'diameter_3d': 7.112420925430214e-07, 'ellipse': {'center': [192.05374024353176, 154.53845112706733], 'axes': [31.610424960354912, 39.71963803387611], 'angle': -79.16806574817377}, 'location': [192.05374024353176, 154.53845112706733], 'diameter': 39.71963803387611, 'sphere': {'center': [1.8200710109160927, -6.592417065843386, 9.860405264629113], 'radius': 12.0}, 'projected_sphere': {'center': [274.4419520783685, -294.5162872244925], 'axes': [1509.0657635925972, 1509.0657635925972], 'angle': 90.0}, 'model_confidence': 0.6048364936404815, 'model_id': 1, 'model_birth_timestamp': 349418.737777, 'theta': 2.152404184646359, 'phi': -1.7533257751732194, 'norm_pos': [0.6001679382610368, 0.3560897869705528], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581481758.580819,"{'circle_3d': {'center': [5.806512271000486e-07, 6.259506850625485e-07, 1.1124139799534305e-05], 'normal': [-0.15167253585540547, 0.5493681409828393, -0.8216995117074428], 'radius': 3.6956316947444607e-07}, 'confidence': 0.9999999999999835, 'timestamp': 349443.05475, 'diameter_3d': 7.391263389488921e-07, 'ellipse': {'center': [192.45930892655971, 154.59064422144735], 'axes': [32.85195495816656, 41.28059215076777], 'angle': -79.2144177950519}, 'location': [192.45930892655971, 154.59064422144735], 'diameter': 41.28059215076777, 'sphere': {'center': [1.8200710109160927, -6.592417065843386, 9.860405264629113], 'radius': 12.0}, 'projected_sphere': {'center': [274.4419520783685, -294.5162872244925], 'axes': [1509.0657635925972, 1509.0657635925972], 'angle': 90.0}, 'model_confidence': 0.6047791064488717, 'model_id': 1, 'model_birth_timestamp': 349418.737777, 'theta': 2.152404184776562, 'phi': -1.7533257744666637, 'norm_pos': [0.6014353403954991, 0.3558723157439694], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581481758.58864,"{'circle_3d': {'center': [5.797461537504489e-07, 6.244721673098752e-07, 1.1123318362393775e-05], 'normal': [-0.15167253593082825, 0.5493681408596295, -0.821699511775896], 'radius': 3.669732386651408e-07}, 'confidence': 0.9999999999999675, 'timestamp': 349443.06315, 'diameter_3d': 7.339464773302816e-07, 'ellipse': {'center': [192.4098941483623, 154.51488103561388], 'axes': [32.62657202493612, 40.993981184364664], 'angle': -79.20830971803287}, 'location': [192.4098941483623, 154.51488103561388], 'diameter': 40.993981184364664, 'sphere': {'center': [1.8200710109160927, -6.592417065843386, 9.860405264629113], 'radius': 12.0}, 'projected_sphere': {'center': [274.4419520783685, -294.5162872244925], 'axes': [1509.0657635925972, 1509.0657635925972], 'angle': 90.0}, 'model_confidence': 0.6025517815853698, 'model_id': 1, 'model_birth_timestamp': 349418.737777, 'theta': 2.1524041846291078, 'phi': -1.7533257745405577, 'norm_pos': [0.6012809192136321, 0.3561879956849422], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581481758.5965052,"{'circle_3d': {'center': [5.786297176957333e-07, 6.2519278465345e-07, 1.1124006222829053e-05], 'normal': [-0.15167253602386457, 0.5493681409196809, -0.8216995117185741], 'radius': 3.5858767432853683e-07}, 'confidence': 0.9999999999999873, 'timestamp': 349443.07155, 'diameter_3d': 7.171753486570737e-07, 'ellipse': {'center': [192.34131926664975, 154.56615585519143], 'axes': [31.876750134955735, 40.05423374979783], 'angle': -79.2010353275004}, 'location': [192.34131926664975, 154.56615585519143], 'diameter': 40.05423374979783, 'sphere': {'center': [1.8200710109160927, -6.592417065843386, 9.860405264629113], 'radius': 12.0}, 'projected_sphere': {'center': [274.4419520783685, -294.5162872244925], 'axes': [1509.0657635925972, 1509.0657635925972], 'angle': 90.0}, 'model_confidence': 0.6033835966844037, 'model_id': 1, 'model_birth_timestamp': 349418.737777, 'theta': 2.1524041847009756, 'phi': -1.7533257746625037, 'norm_pos': [0.6010666227082805, 0.355974350603369], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581481758.610312,"{'circle_3d': {'center': [5.782986742808305e-07, 6.256172451202247e-07, 1.1124351113167563e-05], 'normal': [-0.15167253605145153, 0.5493681409550526, -0.8216995116898334], 'radius': 3.625951170175241e-07}, 'confidence': 0.9999999999999913, 'timestamp': 349443.07995, 'diameter_3d': 7.251902340350482e-07, 'ellipse': {'center': [192.32390741414562, 154.58248110107647], 'axes': [32.23128147083663, 40.50070810036519], 'angle': -79.19906617623677}, 'location': [192.32390741414562, 154.58248110107647], 'diameter': 40.50070810036519, 'sphere': {'center': [1.8200710109160927, -6.592417065843386, 9.860405264629113], 'radius': 12.0}, 'projected_sphere': {'center': [274.4419520783685, -294.5162872244925], 'axes': [1509.0657635925972, 1509.0657635925972], 'angle': 90.0}, 'model_confidence': 0.6033567200899315, 'model_id': 1, 'model_birth_timestamp': 349418.737777, 'theta': 2.1524041847433075, 'phi': -1.753325774701214, 'norm_pos': [0.6010122106692051, 0.35590632874551476], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
