eye_packets,776
norm_X,norm_Y,phi,theta,confidence,timestamp
1582011730.296101,"{'circle_3d': {'center': [-0.8462536232945302, 1.5453267409908626, 11.778179400544875], 'normal': [0.062338303567303126, -0.6725738969401412, -0.7373996806773807], 'radius': 0.3095370472478934}, 'confidence': 0.3406471856882296, 'timestamp': 4654.026911, 'diameter_3d': 0.6190740944957868, 'ellipse': {'center': [115.41971896086012, 201.58364134520264], 'axes': [26.99129057427786, 32.67652822781569], 'angle': 89.26979795114315}, 'location': [115.41971896086012, 201.58364134520264], 'diameter': 32.67652822781569, 'sphere': {'center': [-1.5943132661021677, 9.616213504272558, 20.626975568673444], 'radius': 12.0}, 'projected_sphere': {'center': [112.07856713203475, 409.0415200618971], 'axes': [721.385447442839, 721.385447442839], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4634.320511, 'theta': 0.8331149140500881, 'phi': -1.4864588435111643, 'norm_pos': [0.3606866217526879, 0.16006816106165567], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011730.302523,"{'circle_3d': {'center': [-1.0505921429912333, 1.3560492836216689, 11.939395100662695], 'normal': [0.04531009359257787, -0.6883470183875741, -0.7239650390008957], 'radius': 0.3085434017253889}, 'confidence': 0.47118337086808015, 'timestamp': 4654.035311, 'diameter_3d': 0.6170868034507778, 'ellipse': {'center': [105.41294495184121, 190.64697941880013], 'axes': [25.72951100250446, 32.187959215803275], 'angle': 86.66146420185177}, 'location': [105.41294495184121, 190.64697941880013], 'diameter': 32.187959215803275, 'sphere': {'center': [-1.5943132661021677, 9.616213504272558, 20.626975568673444], 'radius': 12.0}, 'projected_sphere': {'center': [112.07856713203475, 409.0415200618971], 'axes': [721.385447442839, 721.385447442839], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4634.320511, 'theta': 0.8115885206166183, 'phi': -1.508291827587595, 'norm_pos': [0.3294154529745038, 0.20563758575499946], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011730.3096802,"{'circle_3d': {'center': [-1.1307628696499594, 1.2825054220513774, 12.005233828730733], 'normal': [0.03862919970435069, -0.6944756735184318, -0.7184784783285593], 'radius': 0.3088380967835201}, 'confidence': 0.36505735138157175, 'timestamp': 4654.043711, 'diameter_3d': 0.6176761935670402, 'ellipse': {'center': [101.57262749946564, 186.45990102083567], 'axes': [25.282475052551558, 32.065158681592656], 'angle': 85.78208331776071}, 'location': [101.57262749946564, 186.45990102083567], 'diameter': 32.065158681592656, 'sphere': {'center': [-1.5943132661021677, 9.616213504272558, 20.626975568673444], 'radius': 12.0}, 'projected_sphere': {'center': [112.07856713203475, 409.0415200618971], 'axes': [721.385447442839, 721.385447442839], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4634.320511, 'theta': 0.8031054034167734, 'phi': -1.5170827592908145, 'norm_pos': [0.31741446093583014, 0.22308374574651801], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011730.318948,"{'circle_3d': {'center': [-1.128381241647467, 1.2873097660330384, 12.000720884992507], 'normal': [0.038827668704558393, -0.6940753115199599, -0.7188545569734114], 'radius': 0.3128897981498454}, 'confidence': 0.32733845172231263, 'timestamp': 4654.052111, 'diameter_3d': 0.6257795962996908, 'ellipse': {'center': [101.67288034528332, 186.73921782670146], 'axes': [25.645395233267347, 32.497637807716046], 'angle': 85.79581916696209}, 'location': [101.67288034528332, 186.73921782670146], 'diameter': 32.497637807716046, 'sphere': {'center': [-1.5943132661021677, 9.616213504272558, 20.626975568673444], 'radius': 12.0}, 'projected_sphere': {'center': [112.07856713203475, 409.0415200618971], 'axes': [721.385447442839, 721.385447442839], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4634.320511, 'theta': 0.8036616863400577, 'phi': -1.5168355147312502, 'norm_pos': [0.31772775107901036, 0.2219199257220772], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011730.327035,"{'circle_3d': {'center': [-1.042058140444098, 1.37174050529714, 11.92504019512868], 'normal': [0.046021260471505815, -0.687039416581285, -0.7251612811287305], 'radius': 0.3068862312626753}, 'confidence': 0.3627359592162811, 'timestamp': 4654.060511, 'diameter_3d': 0.6137724625253506, 'ellipse': {'center': [105.79117252748424, 191.54579939944853], 'axes': [25.68979521057013, 32.05149745722873], 'angle': 86.72787147754158}, 'location': [105.79117252748424, 191.54579939944853], 'diameter': 32.05149745722873, 'sphere': {'center': [-1.5943132661021677, 9.616213504272558, 20.626975568673444], 'radius': 12.0}, 'projected_sphere': {'center': [112.07856713203475, 409.0415200618971], 'axes': [721.385447442839, 721.385447442839], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4634.320511, 'theta': 0.8133896224485924, 'phi': -1.5074178408468157, 'norm_pos': [0.3305974141483882, 0.20189250250229784], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011730.3365052,"{'circle_3d': {'center': [-1.1449763149389, 1.2766076594839024, 12.010185524934059], 'normal': [0.037444745930272305, -0.6949671537323879, -0.7180658369782821], 'radius': 0.3107195821122287}, 'confidence': 0.35213247190173935, 'timestamp': 4654.068911, 'diameter_3d': 0.6214391642244574, 'ellipse': {'center': [100.86272919267111, 186.13065474690274], 'axes': [25.396924729206763, 32.25186912233727], 'angle': 85.602629941385}, 'location': [100.86272919267111, 186.13065474690274], 'diameter': 32.25186912233727, 'sphere': {'center': [-1.5943132661021677, 9.616213504272558, 20.626975568673444], 'radius': 12.0}, 'projected_sphere': {'center': [112.07856713203475, 409.0415200618971], 'axes': [721.385447442839, 721.385447442839], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4634.320511, 'theta': 0.8024221076325092, 'phi': -1.518696841747413, 'norm_pos': [0.31519602872709723, 0.22445560522123864], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011730.345908,"{'circle_3d': {'center': [-1.3124866044967076, 1.368128380981636, 11.915508095752749], 'normal': [0.023485555133788343, -0.6873404269409101, -0.7259556227433913], 'radius': 0.308728733012586}, 'confidence': 0.3602307337504069, 'timestamp': 4654.077311, 'diameter_3d': 0.617457466025172, 'ellipse': {'center': [91.6785539166944, 191.41822716910696], 'axes': [25.75907116075703, 32.372133338201536], 'angle': 82.72205291247857}, 'location': [91.6785539166944, 191.41822716910696], 'diameter': 32.372133338201536, 'sphere': {'center': [-1.5943132661021677, 9.616213504272558, 20.626975568673444], 'radius': 12.0}, 'projected_sphere': {'center': [112.07856713203475, 409.0415200618971], 'axes': [721.385447442839, 721.385447442839], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4634.320511, 'theta': 0.8129752803137643, 'phi': -1.538456379011018, 'norm_pos': [0.28649548098967, 0.2024240534620544], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011730.3550751,"{'circle_3d': {'center': [-1.044860421491291, 1.359683182846382, 11.936301911072487], 'normal': [0.045787737050906385, -0.6880441934521814, -0.7242228048000797], 'radius': 0.30681682485523376}, 'confidence': 0.28636367339442637, 'timestamp': 4654.085711, 'diameter_3d': 0.6136336497104675, 'ellipse': {'center': [105.69681199349861, 190.8515746147287], 'axes': [25.608492037432523, 32.01436263057844], 'angle': 86.73377650290384}, 'location': [105.69681199349861, 190.8515746147287], 'diameter': 32.01436263057844, 'sphere': {'center': [-1.5943132661021677, 9.616213504272558, 20.626975568673444], 'radius': 12.0}, 'projected_sphere': {'center': [112.07856713203475, 409.0415200618971], 'axes': [721.385447442839, 721.385447442839], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4634.320511, 'theta': 0.8120059078359461, 'phi': -1.5076570893484305, 'norm_pos': [0.3303025374796832, 0.20478510577196374], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011730.3620028,"{'circle_3d': {'center': [-0.9778506841420883, 1.445918910540545, 11.859635029109773], 'normal': [0.05137188183000661, -0.680857882811001, -0.7306117116303058], 'radius': 0.30657074953741986}, 'confidence': 0.39202328502484024, 'timestamp': 4654.094111, 'diameter_3d': 0.6131414990748397, 'ellipse': {'center': [108.84827211739477, 195.81970101157174], 'axes': [26.12707771454729, 32.17745982437489], 'angle': 87.4377331863052}, 'location': [108.84827211739477, 195.81970101157174], 'diameter': 32.17745982437489, 'sphere': {'center': [-1.5943132661021677, 9.616213504272558, 20.626975568673444], 'radius': 12.0}, 'projected_sphere': {'center': [112.07856713203475, 409.0415200618971], 'axes': [721.385447442839, 721.385447442839], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4634.320511, 'theta': 0.8218630227575748, 'phi': -1.5005983398801677, 'norm_pos': [0.34015085036685866, 0.1840845791184511], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011730.374293,"{'circle_3d': {'center': [-1.0760994222105116, 1.4385593275904522, 11.860138819959985], 'normal': [0.04318448699097135, -0.6814711813901755, -0.7305697290594549], 'radius': 0.30835833250314704}, 'confidence': 0.41150532328770917, 'timestamp': 4654.102511, 'diameter_3d': 0.6167166650062941, 'ellipse': {'center': [103.71491981506155, 195.43448536330362], 'axes': [26.228749007798257, 32.396842476546965], 'angle': 85.91229631535221}, 'location': [103.71491981506155, 195.43448536330362], 'diameter': 32.396842476546965, 'sphere': {'center': [-1.5943132661021677, 9.616213504272558, 20.626975568673444], 'radius': 12.0}, 'projected_sphere': {'center': [112.07856713203475, 409.0415200618971], 'axes': [721.385447442839, 721.385447442839], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4634.320511, 'theta': 0.8210253322752132, 'phi': -1.5117543300499374, 'norm_pos': [0.32410912442206735, 0.18568964431956825], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011730.377913,"{'circle_3d': {'center': [-0.9796336681932536, 1.5266945150560467, 11.784925381357155], 'normal': [0.05122329982574284, -0.6741265824347092, -0.7368375156096908], 'radius': 0.3099714705630469}, 'confidence': 0.36188819804736294, 'timestamp': 4654.110911, 'diameter_3d': 0.6199429411260938, 'ellipse': {'center': [108.42938598383401, 200.55728980455274], 'axes': [26.92469199621404, 32.744791673918385], 'angle': 87.08072349322853}, 'location': [108.42938598383401, 200.55728980455274], 'diameter': 32.744791673918385, 'sphere': {'center': [-1.5943132661021677, 9.616213504272558, 20.626975568673444], 'radius': 12.0}, 'projected_sphere': {'center': [112.07856713203475, 409.0415200618971], 'axes': [721.385447442839, 721.385447442839], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4634.320511, 'theta': 0.831014769550832, 'phi': -1.5013902213402845, 'norm_pos': [0.3388418311994813, 0.1643446258143636], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
