eye_packets,772
norm_X,norm_Y,phi,theta,confidence,timestamp
1582011708.0737128,"{'circle_3d': {'center': [-0.7420535246473144, 35.66314814348837, 424.7704315032977], 'normal': [-0.06859832209387327, -0.877234870483337, -0.47513498315109165], 'radius': 13.149296345996675}, 'confidence': 1.1395635106659086e-05, 'timestamp': 4631.808911, 'diameter_3d': 26.29859269199335, 'ellipse': {'center': [158.93546502186942, 172.34083192472963], 'axes': [21.07580871809554, 38.40145048068121], 'angle': 85.20039745237789}, 'location': [158.93546502186942, 172.34083192472963], 'diameter': 38.40145048068121, 'sphere': {'center': [0.08112634047916478, 46.18996658928842, 430.4720513011108], 'radius': 12.0}, 'projected_sphere': {'center': [160.116844591757, 186.52645438606416], 'axes': [34.56670405203982, 34.56670405203982], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4625.240111, 'theta': 0.5007247443709872, 'phi': -1.7141820258113787, 'norm_pos': [0.4966733281933419, 0.28191320031362654], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011708.170478,"{'circle_3d': {'center': [-0.9586877255096163, 35.70163029984544, 424.73501473266145], 'normal': [-0.08665117216573176, -0.8740280241202482, -0.4780863807041146], 'radius': 13.444685035956324}, 'confidence': 1.248765872008395e-05, 'timestamp': 4631.901311, 'diameter_3d': 26.889370071912648, 'ellipse': {'center': [158.62524440300484, 172.41497731727912], 'axes': [21.656947614076618, 39.268917026287866], 'angle': 83.91767808482857}, 'location': [158.62524440300484, 172.41497731727912], 'diameter': 39.268917026287866, 'sphere': {'center': [0.08112634047916478, 46.18996658928842, 430.4720513011108], 'radius': 12.0}, 'projected_sphere': {'center': [160.116844591757, 186.52645438606416], 'axes': [34.56670405203982, 34.56670405203982], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4625.240111, 'theta': 0.5073645868356489, 'phi': -1.7500957530682593, 'norm_pos': [0.49570388875939014, 0.28160426117800363], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011708.1790369,"{'circle_3d': {'center': [-0.9715020067632197, 35.709801329550906, 424.72243307977016], 'normal': [-0.08771902893686537, -0.873347104978126, -0.4791348517783899], 'radius': 13.312637055101998}, 'confidence': 0.7706428137311265, 'timestamp': 4631.909711, 'diameter_3d': 26.625274110203996, 'ellipse': {'center': [158.60637017923176, 172.42291416822553], 'axes': [21.483591687555926, 38.88413854233661], 'angle': 83.83718714017164}, 'location': [158.60637017923176, 172.42291416822553], 'diameter': 38.88413854233661, 'sphere': {'center': [0.08112634047916478, 46.18996658928842, 430.4720513011108], 'radius': 12.0}, 'projected_sphere': {'center': [160.116844591757, 186.52645438606416], 'axes': [34.56670405203982, 34.56670405203982], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4625.240111, 'theta': 0.5087642524071339, 'phi': -1.751869016314485, 'norm_pos': [0.49564490681009926, 0.2815711909657269], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011708.18539,"{'circle_3d': {'center': [-0.9725745995667742, 35.73321592550746, 424.68015352193146], 'normal': [-0.08780841167049491, -0.8713958886484133, -0.48265814826494635], 'radius': 13.321657513854245}, 'confidence': 0.6578314850601483, 'timestamp': 4631.918111, 'diameter_3d': 26.64331502770849, 'ellipse': {'center': [158.60491968107738, 172.46390425084644], 'axes': [21.633123838674756, 38.91433697973486], 'angle': 83.81310926187581}, 'location': [158.60491968107738, 172.46390425084644], 'diameter': 38.91433697973486, 'sphere': {'center': [0.08112634047916478, 46.18996658928842, 430.4720513011108], 'radius': 12.0}, 'projected_sphere': {'center': [160.116844591757, 186.52645438606416], 'axes': [34.56670405203982, 34.56670405203982], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4625.240111, 'theta': 0.5127557752235828, 'phi': -1.7507548852791086, 'norm_pos': [0.4956403740033668, 0.2814003989548065], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011708.1935968,"{'circle_3d': {'center': [-1.029023009025344, 35.71220546713539, 424.728873584124], 'normal': [-0.09251244579204242, -0.8731467601794186, -0.47859814308223053], 'radius': 13.364891539516437}, 'confidence': 1.267161581575138e-05, 'timestamp': 4631.926511, 'diameter_3d': 26.729783079032874, 'ellipse': {'center': [158.52393327662807, 172.42762483432801], 'axes': [21.545194263530618, 39.03657939645505], 'angle': 83.50177884967279}, 'location': [158.52393327662807, 172.42762483432801], 'diameter': 39.03657939645505, 'sphere': {'center': [0.08112634047916478, 46.18996658928842, 430.4720513011108], 'radius': 12.0}, 'projected_sphere': {'center': [160.116844591757, 186.52645438606416], 'axes': [34.56670405203982, 34.56670405203982], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4625.240111, 'theta': 0.5091754034066145, 'phi': -1.7617401983599918, 'norm_pos': [0.4953872914894627, 0.28155156319029995], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011708.202358,"{'circle_3d': {'center': [-0.9882303914036891, 35.71911386929513, 424.7085697581382], 'normal': [-0.08911306099023783, -0.872571059999441, -0.4802901285810507], 'radius': 13.366523386884385}, 'confidence': 0.71406928665632, 'timestamp': 4631.934911, 'diameter_3d': 26.73304677376877, 'ellipse': {'center': [158.58256090605462, 172.44096624832076], 'axes': [21.614466431806648, 39.04299130682451], 'angle': 83.73294653866276}, 'location': [158.58256090605462, 172.44096624832076], 'diameter': 39.04299130682451, 'sphere': {'center': [0.08112634047916478, 46.18996658928842, 430.4720513011108], 'radius': 12.0}, 'projected_sphere': {'center': [160.116844591757, 186.52645438606416], 'axes': [34.56670405203982, 34.56670405203982], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4625.240111, 'theta': 0.5103551836967455, 'phi': -1.7542502341069075, 'norm_pos': [0.4955705028314207, 0.2814959739653301], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011708.2106721,"{'circle_3d': {'center': [-0.9915306195029073, 35.74191089030223, 424.6679545447598], 'normal': [-0.08938807999850601, -0.8706713082488492, -0.48367472969591674], 'radius': 13.378683559355935}, 'confidence': 1.4980771400052717e-05, 'timestamp': 4631.943311, 'diameter_3d': 26.75736711871187, 'ellipse': {'center': [158.57792393967566, 172.48094677877296], 'axes': [21.76425819019664, 39.08224508639653], 'angle': 83.69606625490663}, 'location': [158.57792393967566, 172.48094677877296], 'diameter': 39.08224508639653, 'sphere': {'center': [0.08112634047916478, 46.18996658928842, 430.4720513011108], 'radius': 12.0}, 'projected_sphere': {'center': [160.116844591757, 186.52645438606416], 'axes': [34.56670405203982, 34.56670405203982], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4625.240111, 'theta': 0.5142308291854142, 'phi': -1.7535446806337602, 'norm_pos': [0.49555601231148644, 0.28132938842177935], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011708.218899,"{'circle_3d': {'center': [-1.0742792163204942, 35.697398727876205, 424.7649454081931], 'normal': [-0.09628379639997157, -0.8743806551176844, -0.47559215774314223], 'radius': 13.337437605135566}, 'confidence': 0.5868547364208211, 'timestamp': 4631.951711, 'diameter_3d': 26.674875210271132, 'ellipse': {'center': [158.4587646668718, 172.39919898894058], 'axes': [21.383717759528974, 38.95329205566256], 'angle': 83.25205873709115}, 'location': [158.4587646668718, 172.39919898894058], 'diameter': 38.95329205566256, 'sphere': {'center': [0.08112634047916478, 46.18996658928842, 430.4720513011108], 'radius': 12.0}, 'projected_sphere': {'center': [160.116844591757, 186.52645438606416], 'axes': [34.56670405203982, 34.56670405203982], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4625.240111, 'theta': 0.5066383483017181, 'phi': -1.770546873504193, 'norm_pos': [0.4951836395839743, 0.28167000421274757], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011708.226451,"{'circle_3d': {'center': [-0.9516329762614636, 35.81592795442408, 424.5295997366445], 'normal': [-0.08606327639505236, -0.8645032195720276, -0.495204297038856], 'radius': 13.365422638082695}, 'confidence': 2.1755494860720148e-05, 'timestamp': 4631.960111, 'diameter_3d': 26.73084527616539, 'ellipse': {'center': [158.63536673644313, 172.60945338082965], 'axes': [22.187147148086165, 39.055847478881766], 'angle': 83.8725445184066}, 'location': [158.63536673644313, 172.60945338082965], 'diameter': 39.055847478881766, 'sphere': {'center': [0.08112634047916478, 46.18996658928842, 430.4720513011108], 'radius': 12.0}, 'projected_sphere': {'center': [160.116844591757, 186.52645438606416], 'axes': [34.56670405203982, 34.56670405203982], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4625.240111, 'theta': 0.5266351642387075, 'phi': -1.7428710822892695, 'norm_pos': [0.4957355210513848, 0.28079394424654314], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011708.2350929,"{'circle_3d': {'center': [-1.0884939429654827, 35.7274882061671, 424.71283829278457], 'normal': [-0.09746835695372064, -0.871873198593443, -0.4799344173605189], 'radius': 13.327852279647542}, 'confidence': 0.26124925824049605, 'timestamp': 4631.968511, 'diameter_3d': 26.655704559295085, 'ellipse': {'center': [158.43838274680286, 172.4505741866229], 'axes': [21.53419899641799, 38.93007122371037], 'angle': 83.14461415883393}, 'location': [158.43838274680286, 172.4505741866229], 'diameter': 38.93007122371037, 'sphere': {'center': [0.08112634047916478, 46.18996658928842, 430.4720513011108], 'radius': 12.0}, 'projected_sphere': {'center': [160.116844591757, 186.52645438606416], 'axes': [34.56670405203982, 34.56670405203982], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4625.240111, 'theta': 0.5117819835595273, 'phi': -1.771158217873958, 'norm_pos': [0.4951199460837589, 0.2814559408890712], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011708.242243,"{'circle_3d': {'center': [-1.0632601422717909, 35.721833218354774, 424.7180471903682], 'normal': [-0.09536554022924629, -0.8723444475778037, -0.47950034256188023], 'radius': 13.412885339703672}, 'confidence': 1.3038194720094154e-05, 'timestamp': 4631.976911, 'diameter_3d': 26.825770679407345, 'ellipse': {'center': [158.47496590795575, 172.4453748520717], 'axes': [21.65610363201102, 39.17803129584415], 'angle': 83.2955516306218}, 'location': [158.47496590795575, 172.4453748520717], 'diameter': 39.17803129584415, 'sphere': {'center': [0.08112634047916478, 46.18996658928842, 430.4720513011108], 'radius': 12.0}, 'projected_sphere': {'center': [160.116844591757, 186.52645438606416], 'axes': [34.56670405203982, 34.56670405203982], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4625.240111, 'theta': 0.5108188982310117, 'phi': -1.7671197716380975, 'norm_pos': [0.49523426846236174, 0.28147760478303463], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011708.25616,"{'circle_3d': {'center': [-0.9699649573058883, 35.84143684895028, 424.4884788483818], 'normal': [-0.08759094148208776, -0.8623774783615117, -0.49863103772741824], 'radius': 13.275617756770671}, 'confidence': 0.5421553200562084, 'timestamp': 4631.985311, 'diameter_3d': 26.551235513541343, 'ellipse': {'center': [158.60875021878425, 172.6487927746049], 'axes': [22.16787585537283, 38.79702833119303], 'angle': 83.7449580568144}, 'location': [158.60875021878425, 172.6487927746049], 'diameter': 38.79702833119303, 'sphere': {'center': [0.08112634047916478, 46.18996658928842, 430.4720513011108], 'radius': 12.0}, 'projected_sphere': {'center': [160.116844591757, 186.52645438606416], 'axes': [34.56670405203982, 34.56670405203982], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4625.240111, 'theta': 0.5308491648186668, 'phi': -1.744685059217994, 'norm_pos': [0.49565234443370076, 0.2806300301058129], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011708.2616608,"{'circle_3d': {'center': [-0.9710321540155463, 35.82261070029456, 424.5213459333912], 'normal': [-0.08767987454122593, -0.8639463240828212, -0.4958921139766348], 'radius': 13.424348977071508}, 'confidence': 2.2225240346007702e-05, 'timestamp': 4631.993711, 'diameter_3d': 26.848697954143017, 'ellipse': {'center': [158.6077450602396, 172.62308674209365], 'axes': [22.31091318237947, 39.229016710145544], 'angle': 83.7532895327474}, 'location': [158.6077450602396, 172.62308674209365], 'diameter': 39.229016710145544, 'sphere': {'center': [0.08112634047916478, 46.18996658928842, 430.4720513011108], 'radius': 12.0}, 'projected_sphere': {'center': [160.116844591757, 186.52645438606416], 'axes': [34.56670405203982, 34.56670405203982], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4625.240111, 'theta': 0.5277420798452576, 'phi': -1.745799994459331, 'norm_pos': [0.4956492033132488, 0.2807371385746098], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011708.2695801,"{'circle_3d': {'center': [-0.9499504388710328, 35.819467170572196, 424.52313354394767], 'normal': [-0.0859230649458498, -0.8642082848930186, -0.49574314643026435], 'radius': 13.414202202938101}, 'confidence': 2.2133899295506687e-05, 'timestamp': 4632.002111, 'diameter_3d': 26.828404405876203, 'ellipse': {'center': [158.6379760512283, 172.61781603713024], 'axes': [22.289079970292473, 39.199077469443374], 'angle': 83.87974734441116}, 'location': [158.6379760512283, 172.61781603713024], 'diameter': 39.199077469443374, 'sphere': {'center': [0.08112634047916478, 46.18996658928842, 430.4720513011108], 'radius': 12.0}, 'projected_sphere': {'center': [160.116844591757, 186.52645438606416], 'axes': [34.56670405203982, 34.56670405203982], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4625.240111, 'theta': 0.5272216545173953, 'phi': -1.7424131403941197, 'norm_pos': [0.49574367516008844, 0.2807590998452907], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011708.28024,"{'circle_3d': {'center': [-0.9482418283847235, 35.866644490656626, 424.44134470728363], 'normal': [-0.08578068073865736, -0.860276841552649, -0.5025588828189299], 'radius': 13.417507733818269}, 'confidence': 2.7473881432649172e-05, 'timestamp': 4632.010511, 'diameter_3d': 26.835015467636538, 'ellipse': {'center': [158.64055651474632, 172.69920673454385], 'axes': [22.557385487047565, 39.216192473058975], 'angle': 83.85382687089668}, 'location': [158.64055651474632, 172.69920673454385], 'diameter': 39.216192473058975, 'sphere': {'center': [0.08112634047916478, 46.18996658928842, 430.4720513011108], 'radius': 12.0}, 'projected_sphere': {'center': [160.116844591757, 186.52645438606416], 'axes': [34.56670405203982, 34.56670405203982], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4625.240111, 'theta': 0.5349838922549167, 'phi': -1.739854909396753, 'norm_pos': [0.4957517391085823, 0.2804199719394006], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011708.288387,"{'circle_3d': {'center': [-0.8593358244553427, 35.81745075396297, 424.51164475774067], 'normal': [-0.07837184707787563, -0.8643763196104539, -0.49670054528084473], 'radius': 13.49183338190099}, 'confidence': 2.2878208709609105e-05, 'timestamp': 4632.018911, 'diameter_3d': 26.98366676380198, 'ellipse': {'center': [158.76838001330358, 172.62036393498633], 'axes': [22.458649928585846, 39.4267365245947], 'angle': 84.41505035424119}, 'location': [158.76838001330358, 172.62036393498633], 'diameter': 39.4267365245947, 'sphere': {'center': [0.08112634047916478, 46.18996658928842, 430.4720513011108], 'radius': 12.0}, 'projected_sphere': {'center': [160.116844591757, 186.52645438606416], 'axes': [34.56670405203982, 34.56670405203982], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4625.240111, 'theta': 0.5268875827341376, 'phi': -1.7272910392072913, 'norm_pos': [0.4961511875415737, 0.28074848360422366], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
