eye_packets,772
norm_X,norm_Y,phi,theta,confidence,timestamp
1582011708.0737128,"{'circle_3d': {'center': [-0.7420535246473144, 35.66314814348837, 424.7704315032977], 'normal': [-0.06859832209387327, -0.877234870483337, -0.47513498315109165], 'radius': 13.149296345996675}, 'confidence': 1.1395635106659086e-05, 'timestamp': 4631.808911, 'diameter_3d': 26.29859269199335, 'ellipse': {'center': [158.93546502186942, 172.34083192472963], 'axes': [21.07580871809554, 38.40145048068121], 'angle': 85.20039745237789}, 'location': [158.93546502186942, 172.34083192472963], 'diameter': 38.40145048068121, 'sphere': {'center': [0.08112634047916478, 46.18996658928842, 430.4720513011108], 'radius': 12.0}, 'projected_sphere': {'center': [160.116844591757, 186.52645438606416], 'axes': [34.56670405203982, 34.56670405203982], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4625.240111, 'theta': 0.5007247443709872, 'phi': -1.7141820258113787, 'norm_pos': [0.4966733281933419, 0.28191320031362654], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011708.086634,"{'circle_3d': {'center': [-0.7559532770977914, 35.645828874603936, 424.8045600071073], 'normal': [-0.06975663479807968, -0.8786781428903732, -0.4722909411669594], 'radius': 13.15479579796601}, 'confidence': 1.0366061023336925e-05, 'timestamp': 4631.817311, 'diameter_3d': 26.30959159593202, 'ellipse': {'center': [158.9154695860016, 172.31060081018921], 'axes': [20.976572466914007, 38.414528123759915], 'angle': 85.1301368947997}, 'location': [158.9154695860016, 172.31060081018921], 'diameter': 38.414528123759915, 'sphere': {'center': [0.08112634047916478, 46.18996658928842, 430.4720513011108], 'radius': 12.0}, 'projected_sphere': {'center': [160.116844591757, 186.52645438606416], 'axes': [34.56670405203982, 34.56670405203982], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4625.240111, 'theta': 0.4977100030570561, 'phi': -1.7174346026268137, 'norm_pos': [0.496610842456255, 0.2820391632908783], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011708.09412,"{'circle_3d': {'center': [-0.781689820380494, 35.67028097819676, 424.76313170837255], 'normal': [-0.0719013467383049, -0.8766404675909716, -0.475743299394853], 'radius': 13.183462999927825}, 'confidence': 0.7649582493029963, 'timestamp': 4631.825711, 'diameter_3d': 26.36692599985565, 'ellipse': {'center': [158.87861075966836, 172.35376871898575], 'axes': [21.15256399263862, 38.502106712942386], 'angle': 84.96604008601923}, 'location': [158.87861075966836, 172.35376871898575], 'diameter': 38.502106712942386, 'sphere': {'center': [0.08112634047916478, 46.18996658928842, 430.4720513011108], 'radius': 12.0}, 'projected_sphere': {'center': [160.116844591757, 186.52645438606416], 'axes': [34.56670405203982, 34.56670405203982], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4625.240111, 'theta': 0.50196152799011, 'phi': -1.7207958735459863, 'norm_pos': [0.4964956586239636, 0.2818592970042261], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011708.103657,"{'circle_3d': {'center': [-0.7601878055885466, 35.7084214375406, 424.6902348270693], 'normal': [-0.07010951217230928, -0.8734620959789848, -0.48181803950346186], 'radius': 13.20188248290937}, 'confidence': 1.4190916176270996e-05, 'timestamp': 4631.834111, 'diameter_3d': 26.40376496581874, 'ellipse': {'center': [158.90964074066977, 172.42132014546814], 'axes': [21.41352392675409, 38.56238917636008], 'angle': 85.06769797734412}, 'location': [158.90964074066977, 172.42132014546814], 'diameter': 38.56238917636008, 'sphere': {'center': [0.08112634047916478, 46.18996658928842, 430.4720513011108], 'radius': 12.0}, 'projected_sphere': {'center': [160.116844591757, 186.52645438606416], 'axes': [34.56670405203982, 34.56670405203982], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4625.240111, 'theta': 0.5085281289616826, 'phi': -1.7152925543194897, 'norm_pos': [0.496592627314593, 0.28157783272721604], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011708.110375,"{'circle_3d': {'center': [-0.819863452137572, 35.660294498217425, 424.7874912435407], 'normal': [-0.0750824827180614, -0.8774726742559162, -0.4737133381308391], 'radius': 13.08953350458001}, 'confidence': 0.10125639365936547, 'timestamp': 4631.842511, 'diameter_3d': 26.17906700916002, 'ellipse': {'center': [158.82343784361836, 172.33134762606272], 'axes': [20.92401030436682, 38.22556834490896], 'angle': 84.7510682095041}, 'location': [158.82343784361836, 172.33134762606272], 'diameter': 38.22556834490896, 'sphere': {'center': [0.08112634047916478, 46.18996658928842, 430.4720513011108], 'radius': 12.0}, 'projected_sphere': {'center': [160.116844591757, 186.52645438606416], 'axes': [34.56670405203982, 34.56670405203982], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4625.240111, 'theta': 0.5002291588244443, 'phi': -1.7279864623681769, 'norm_pos': [0.4963232432613074, 0.28195271822473866], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011708.11863,"{'circle_3d': {'center': [-0.8836065914144907, 35.6365151268776, 424.84231306557456], 'normal': [-0.08039441099113796, -0.8794542885342349, -0.4691448529613542], 'radius': 13.230699249304795}, 'confidence': 0.7694157430150126, 'timestamp': 4631.850911, 'diameter_3d': 26.46139849860959, 'ellipse': {'center': [158.73221607840787, 172.2943353431093], 'axes': [20.973976357092003, 38.63346619209348], 'angle': 84.39862599527748}, 'location': [158.73221607840787, 172.2943353431093], 'diameter': 38.63346619209348, 'sphere': {'center': [0.08112634047916478, 46.18996658928842, 430.4720513011108], 'radius': 12.0}, 'projected_sphere': {'center': [160.116844591757, 186.52645438606416], 'axes': [34.56670405203982, 34.56670405203982], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4625.240111, 'theta': 0.49608183624511665, 'phi': -1.7405116078871339, 'norm_pos': [0.4960381752450246, 0.28210693607037785], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011708.127934,"{'circle_3d': {'center': [-0.8845443029996033, 35.72972087427391, 424.6711255310424], 'normal': [-0.08047255362323068, -0.8716871429178754, -0.4834104808390355], 'radius': 13.287141013201985}, 'confidence': 1.4899510045629505e-05, 'timestamp': 4631.859311, 'diameter_3d': 26.57428202640397, 'ellipse': {'center': [158.73126580544957, 172.4588325524512], 'axes': [21.60889640404687, 38.81384551273049], 'angle': 84.32844073953413}, 'location': [158.73126580544957, 172.4588325524512], 'diameter': 38.81384551273049, 'sphere': {'center': [0.08112634047916478, 46.18996658928842, 430.4720513011108], 'radius': 12.0}, 'projected_sphere': {'center': [160.116844591757, 186.52645438606416], 'axes': [34.56670405203982, 34.56670405203982], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4625.240111, 'theta': 0.5121617686679503, 'phi': -1.7357520583694173, 'norm_pos': [0.4960352056420299, 0.2814215310314533], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011708.135019,"{'circle_3d': {'center': [-0.8454310950745951, 35.68640553366086, 424.743465396254], 'normal': [-0.07721311962947999, -0.87529675463563, -0.4773821587380675], 'radius': 13.25162851234467}, 'confidence': 1.2241130307844017e-05, 'timestamp': 4631.867711, 'diameter_3d': 26.50325702468934, 'ellipse': {'center': [158.7872539586761, 172.3831529070945], 'axes': [21.322578948629978, 38.70335583945844], 'angle': 84.58565295082522}, 'location': [158.7872539586761, 172.3831529070945], 'diameter': 38.70335583945844, 'sphere': {'center': [0.08112634047916478, 46.18996658928842, 430.4720513011108], 'radius': 12.0}, 'projected_sphere': {'center': [160.116844591757, 186.52645438606416], 'axes': [34.56670405203982, 34.56670405203982], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4625.240111, 'theta': 0.5047471965775027, 'phi': -1.7311504083307923, 'norm_pos': [0.4962101686208628, 0.2817368628871062], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011708.141556,"{'circle_3d': {'center': [-0.8525086844439219, 35.67291639790414, 424.7694220029589], 'normal': [-0.07780291874359056, -0.8764208492820231, -0.4752191081793276], 'radius': 13.25228971847006}, 'confidence': 0.7489789045996587, 'timestamp': 4631.876111, 'diameter_3d': 26.50457943694012, 'ellipse': {'center': [158.777056572184, 172.35954128818332], 'axes': [21.24093925382717, 38.70298312692112], 'angle': 84.55362742384024}, 'location': [158.777056572184, 172.35954128818332], 'diameter': 38.70298312692112, 'sphere': {'center': [0.08112634047916478, 46.18996658928842, 430.4720513011108], 'radius': 12.0}, 'projected_sphere': {'center': [160.116844591757, 186.52645438606416], 'axes': [34.56670405203982, 34.56670405203982], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4625.240111, 'theta': 0.5024177867189953, 'phi': -1.733076709413242, 'norm_pos': [0.496178301788075, 0.2818352446325695], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011708.150144,"{'circle_3d': {'center': [-0.843859483515674, 35.7136251656941, 424.69358510308814], 'normal': [-0.0770821519995699, -0.8730284519661935, -0.4815388498352204], 'radius': 13.250536939566162}, 'confidence': 0.4651548923941993, 'timestamp': 4631.884511, 'diameter_3d': 26.501073879132324, 'ellipse': {'center': [158.78956694978513, 172.43039753526884], 'axes': [21.479311211483967, 38.70464516510924], 'angle': 84.57659075450805}, 'location': [158.78956694978513, 172.43039753526884], 'diameter': 38.70464516510924, 'sphere': {'center': [0.08112634047916478, 46.18996658928842, 430.4720513011108], 'radius': 12.0}, 'projected_sphere': {'center': [160.116844591757, 186.52645438606416], 'axes': [34.56670405203982, 34.56670405203982], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4625.240111, 'theta': 0.5094180553888783, 'phi': -1.7295243528275912, 'norm_pos': [0.4962173967180785, 0.2815400102697132], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582011708.158727,"{'circle_3d': {'center': [-0.9465602665180953, 35.70925347579284, 424.7189205994493], 'normal': [-0.08564055058310502, -0.8733927594579645, -0.4794275584717934], 'radius': 13.3468243528705}, 'confidence': 1.3055434956998901e-05, 'timestamp': 4631.892911, 'diameter_3d': 26.693648705741, 'ellipse': {'center': [158.6423281080528, 172.42422168921948], 'axes': [21.55100767404611, 38.984271151638474], 'angle': 83.9823668139052}, 'location': [158.6423281080528, 172.42422168921948], 'diameter': 38.984271151638474, 'sphere': {'center': [0.08112634047916478, 46.18996658928842, 430.4720513011108], 'radius': 12.0}, 'projected_sphere': {'center': [160.116844591757, 186.52645438606416], 'axes': [34.56670405203982, 34.56670405203982], 'angle': 90.0}, 'model_confidence': 0.0, 'model_id': 1, 'model_birth_timestamp': 4625.240111, 'theta': 0.5086705170996585, 'phi': -1.7475627640030729, 'norm_pos': [0.495757275337665, 0.28156574296158554], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
