eye_packets,753
norm_X,norm_Y,phi,theta,confidence,timestamp
1582012695.319562,"{'circle_3d': {'center': [0.25818506965865673, 1.5941532138971928, 12.571609324869833], 'normal': [-0.20207474276343132, 0.5820051574447226, -0.7876774689203929], 'radius': 0.402092877168609}, 'confidence': 0.9994682555396579, 'timestamp': 5619.045972, 'diameter_3d': 0.804185754337218, 'ellipse': {'center': [172.83897428933471, 198.3592715681436], 'axes': [28.446927670587588, 39.72574926085897], 'angle': -74.02416470068113}, 'location': [172.83897428933471, 198.3592715681436], 'diameter': 39.72574926085897, 'sphere': {'center': [2.6830819828198327, -5.389908675439478, 22.02373895191455], 'radius': 12.0}, 'projected_sphere': {'center': [235.53262563547074, -31.7336990811896], 'axes': [675.6345973991154, 675.6345973991154], 'angle': 90.0}, 'model_confidence': 0.9354779826934556, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.191988654890811, 'phi': -1.8219254721188194, 'norm_pos': [0.540121794654171, 0.1735030351327349], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012695.3273652,"{'circle_3d': {'center': [0.2561765137192533, 1.592313689522002, 12.5707658381116], 'normal': [-0.20224212242504827, 0.58185186374679, -0.7877477594835791], 'radius': 0.3996706111630837}, 'confidence': 0.9993276777727715, 'timestamp': 5619.054371, 'diameter_3d': 0.7993412223261674, 'ellipse': {'center': [172.73955858711682, 198.27692241381482], 'axes': [28.283093510573856, 39.4887055253431], 'angle': -73.99819407142793}, 'location': [172.73955858711682, 198.27692241381482], 'diameter': 39.4887055253431, 'sphere': {'center': [2.6830819828198327, -5.389908675439478, 22.02373895191455], 'radius': 12.0}, 'projected_sphere': {'center': [235.53262563547074, -31.7336990811896], 'axes': [675.6345973991154, 675.6345973991154], 'angle': 90.0}, 'model_confidence': 0.9352389987144161, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.1918001573884407, 'phi': -1.8221033440558094, 'norm_pos': [0.53981112058474, 0.17384615660910496], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012695.339382,"{'circle_3d': {'center': [0.2551795875973535, 1.5926397488270352, 12.571262691058552], 'normal': [-0.20232519960187326, 0.5818790353555428, -0.7877063550713331], 'radius': 0.4009142166951527}, 'confidence': 0.9993482848540981, 'timestamp': 5619.062771, 'diameter_3d': 0.8018284333903054, 'ellipse': {'center': [172.69055435525178, 198.2883278340879], 'axes': [28.367296513845677, 39.60995330410929], 'angle': -73.98815792340098}, 'location': [172.69055435525178, 198.2883278340879], 'diameter': 39.60995330410929, 'sphere': {'center': [2.6830819828198327, -5.389908675439478, 22.02373895191455], 'radius': 12.0}, 'projected_sphere': {'center': [235.53262563547074, -31.7336990811896], 'axes': [675.6345973991154, 675.6345973991154], 'angle': 90.0}, 'model_confidence': 0.9350189799368192, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.1918335670868245, 'phi': -1.8222149466234294, 'norm_pos': [0.5396579823601618, 0.1737986340246337], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012695.347557,"{'circle_3d': {'center': [0.25717183579151337, 1.594635327365542, 12.572225579368041], 'normal': [-0.2021591789190266, 0.582045333567085, -0.7876261143788756], 'radius': 0.40198342209005683}, 'confidence': 0.999530898980318, 'timestamp': 5619.071171, 'diameter_3d': 0.8039668441801137, 'ellipse': {'center': [172.788331401988, 198.37937370482635], 'axes': [28.43429954487927, 39.71288015227643], 'angle': -74.01429012997654}, 'location': [172.788331401988, 198.37937370482635], 'diameter': 39.71288015227643, 'sphere': {'center': [2.6830819828198327, -5.389908675439478, 22.02373895191455], 'radius': 12.0}, 'projected_sphere': {'center': [235.53262563547074, -31.7336990811896], 'axes': [675.6345973991154, 675.6345973991154], 'angle': 90.0}, 'model_confidence': 0.9348538057897149, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.1920380616409254, 'phi': -1.8220417463072676, 'norm_pos': [0.5399635356312125, 0.17341927622989017], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012695.3551302,"{'circle_3d': {'center': [0.25858878669608476, 1.5944594376221781, 12.571732032577406], 'normal': [-0.202041099676979, 0.5820306760884714, -0.7876672432780952], 'radius': 0.4007381825373084}, 'confidence': 0.9997276216484783, 'timestamp': 5619.079571, 'diameter_3d': 0.8014763650746168, 'ellipse': {'center': [172.85803498995747, 198.37536109468016], 'axes': [28.34986100548246, 39.59152643613707], 'angle': -74.02921521483113}, 'location': [172.85803498995747, 198.37536109468016], 'diameter': 39.59152643613707, 'sphere': {'center': [2.6830819828198327, -5.389908675439478, 22.02373895191455], 'radius': 12.0}, 'projected_sphere': {'center': [235.53262563547074, -31.7336990811896], 'axes': [675.6345973991154, 675.6345973991154], 'angle': 90.0}, 'model_confidence': 0.9347716503117387, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.192020036344464, 'phi': -1.821888521847256, 'norm_pos': [0.5401813593436171, 0.1734359954388327], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012695.363303,"{'circle_3d': {'center': [0.2572010823221449, 1.59443643162082, 12.57207109475392], 'normal': [-0.20215674170814066, 0.5820287589216915, -0.7876389880967191], 'radius': 0.4025595009625278}, 'confidence': 0.9996660337290265, 'timestamp': 5619.087971, 'diameter_3d': 0.8051190019250556, 'ellipse': {'center': [172.79023678647968, 198.36977691661212], 'axes': [28.47637317113528, 39.770300877885], 'angle': -74.01416126012288}, 'location': [172.79023678647968, 198.36977691661212], 'diameter': 39.770300877885, 'sphere': {'center': [2.6830819828198327, -5.389908675439478, 22.02373895191455], 'radius': 12.0}, 'projected_sphere': {'center': [235.53262563547074, -31.7336990811896], 'axes': [675.6345973991154, 675.6345973991154], 'angle': 90.0}, 'model_confidence': 0.9348185579075019, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.192017678691528, 'phi': -1.8220349073382318, 'norm_pos': [0.539969489957749, 0.1734592628474495], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012695.371626,"{'circle_3d': {'center': [0.25687776513791727, 1.5935493766900546, 12.571498649835382], 'normal': [-0.20218368480682627, 0.581954837677461, -0.7876866918399306], 'radius': 0.4036475692764025}, 'confidence': 0.9996985421785357, 'timestamp': 5619.096371, 'diameter_3d': 0.807295138552805, 'ellipse': {'center': [172.77546655317292, 198.32817059041076], 'axes': [28.55833775678811, 39.879589152361696], 'angle': -74.00865452392915}, 'location': [172.77546655317292, 198.32817059041076], 'diameter': 39.879589152361696, 'sphere': {'center': [2.6830819828198327, -5.389908675439478, 22.02373895191455], 'radius': 12.0}, 'projected_sphere': {'center': [235.53262563547074, -31.7336990811896], 'axes': [675.6345973991154, 675.6345973991154], 'angle': 90.0}, 'model_confidence': 0.9348152814790955, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.1919267764163446, 'phi': -1.8220524153599882, 'norm_pos': [0.5399233329786653, 0.17363262253995515], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012695.379413,"{'circle_3d': {'center': [0.2582970383803658, 1.5930093812264454, 12.570735546270992], 'normal': [-0.20206541203662226, 0.5819098380554936, -0.7877502838036298], 'radius': 0.39906079342287537}, 'confidence': 0.9988051156990253, 'timestamp': 5619.104771, 'diameter_3d': 0.7981215868457507, 'ellipse': {'center': [172.8438095213702, 198.31219066034737], 'axes': [28.239519821252426, 39.42879159720928], 'angle': -74.02273802855346}, 'location': [172.8438095213702, 198.31219066034737], 'diameter': 39.42879159720928, 'sphere': {'center': [2.6830819828198327, -5.389908675439478, 22.02373895191455], 'radius': 12.0}, 'projected_sphere': {'center': [235.53262563547074, -31.7336990811896], 'axes': [675.6345973991154, 675.6345973991154], 'angle': 90.0}, 'model_confidence': 0.9343934756276373, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.1918714424724244, 'phi': -1.8218921093448044, 'norm_pos': [0.5401369047542819, 0.173699205581886], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012695.3875258,"{'circle_3d': {'center': [0.25839988828282934, 1.5915029575500759, 12.569596560814773], 'normal': [-0.20205684121141695, 0.5817843027491295, -0.7878451992583146], 'radius': 0.3978510645971356}, 'confidence': 0.9988998313131887, 'timestamp': 5619.113171, 'diameter_3d': 0.7957021291942712, 'ellipse': {'center': [172.84943193323946, 198.24650200284276], 'axes': [28.16330827944028, 39.312749996816535], 'angle': -74.0204091928124}, 'location': [172.84943193323946, 198.24650200284276], 'diameter': 39.312749996816535, 'sphere': {'center': [2.6830819828198327, -5.389908675439478, 22.02373895191455], 'radius': 12.0}, 'projected_sphere': {'center': [235.53262563547074, -31.7336990811896], 'axes': [675.6345973991154, 675.6345973991154], 'angle': 90.0}, 'model_confidence': 0.9340182437322264, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.1917170891191877, 'phi': -1.8218529066167395, 'norm_pos': [0.5401544747913734, 0.17397290832148848], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582012695.39566,"{'circle_3d': {'center': [0.25551701964440143, 1.591807515586516, 12.570561318043039], 'normal': [-0.2022970802646193, 0.5818096825854995, -0.7877648028226258], 'radius': 0.40101483989436854}, 'confidence': 0.9994332422305627, 'timestamp': 5619.121571, 'diameter_3d': 0.8020296797887371, 'ellipse': {'center': [172.70796292231242, 198.25149593105454], 'axes': [28.380209509255028, 39.62212414412139], 'angle': -73.98991282797593}, 'location': [172.70796292231242, 198.25149593105454], 'diameter': 39.62212414412139, 'sphere': {'center': [2.6830819828198327, -5.389908675439478, 22.02373895191455], 'radius': 12.0}, 'projected_sphere': {'center': [235.53262563547074, -31.7336990811896], 'axes': [675.6345973991154, 675.6345973991154], 'angle': 90.0}, 'model_confidence': 0.9338682148118838, 'model_id': 117, 'model_birth_timestamp': 5464.517336, 'theta': 2.1917482938089576, 'phi': -1.8221635823980127, 'norm_pos': [0.5397123841322263, 0.17395210028727282], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
