quatI,quatJ,quatK,quatReal,quatRadianAccuracy,zmq_X,zmq_Y,zmq_confidence,IMUtimestamp
0.03949,-0.06000,-0.94910,0.30664,0.39001,0.5253790655329657,0.13654276361129758,0.9999863049473872,1580790683.3314629
0.03955,-0.06000,-0.94910,0.30664,0.39001,0.5253541275167386,0.13686060307310177,0.9998970343681509,1580790683.339081
0.03955,-0.06006,-0.94910,0.30664,0.39001,0.5253541275167386,0.13686060307310177,0.9998970343681509,1580790683.340066
0.03955,-0.06006,-0.94910,0.30664,0.39001,0.5253541275167386,0.13686060307310177,0.9998970343681509,1580790683.3435478
0.03961,-0.06006,-0.94910,0.30664,0.39008,0.5257951330445017,0.13660621597103773,0.9996581727836954,1580790683.345511
0.03967,-0.06000,-0.94910,0.30664,0.39008,0.5257951330445017,0.13660621597103773,0.9996581727836954,1580790683.3486578
0.03967,-0.06000,-0.94910,0.30664,0.39008,0.5257951330445017,0.13660621597103773,0.9996581727836954,1580790683.353476
0.03973,-0.06000,-0.94910,0.30664,0.39008,0.5257951330445017,0.13660621597103773,0.9996581727836954,1580790683.355856
0.03979,-0.05994,-0.94910,0.30664,0.39008,0.5257951330445017,0.13660621597103773,0.9996581727836954,1580790683.35861
0.03979,-0.05994,-0.94910,0.30664,0.39008,0.5257951330445017,0.13660621597103773,0.9996581727836954,1580790683.3589602
0.03979,-0.05994,-0.94910,0.30664,0.39008,0.5257951330445017,0.13660621597103773,0.9996581727836954,1580790683.359308
0.03979,-0.05994,-0.94910,0.30664,0.39008,0.5250748443304397,0.13660491390749196,0.9997739064121175,1580790683.36313
0.03992,-0.05981,-0.94910,0.30664,0.39008,0.5250748443304397,0.13660491390749196,0.9997739064121175,1580790683.364392
0.03992,-0.05981,-0.94910,0.30664,0.39008,0.5250748443304397,0.13660491390749196,0.9997739064121175,1580790683.36544
0.03998,-0.05969,-0.94910,0.30664,0.39008,0.5247300150907616,0.1371994393528685,0.9998003791811054,1580790683.3711202
0.04010,-0.05957,-0.94910,0.30664,0.39008,0.5259866098687692,0.1360397711239194,0.9998017868445794,1580790683.3733199
0.04010,-0.05957,-0.94910,0.30664,0.39008,0.5259866098687692,0.1360397711239194,0.9998017868445794,1580790683.3736992
0.04010,-0.05957,-0.94910,0.30664,0.39008,0.5259866098687692,0.1360397711239194,0.9998017868445794,1580790683.3740091
0.04010,-0.05957,-0.94910,0.30664,0.39008,0.5256522071463803,0.13600121118166775,0.999942388399691,1580790683.3765519
0.04016,-0.05939,-0.94910,0.30664,0.39008,0.5256522071463803,0.13600121118166775,0.999942388399691,1580790683.379905
0.04016,-0.05939,-0.94910,0.30664,0.39008,0.5256522071463803,0.13600121118166775,0.999942388399691,1580790683.381529
0.04022,-0.05920,-0.94916,0.30664,0.39008,0.5256522071463803,0.13600121118166775,0.999942388399691,1580790683.3841999
0.04022,-0.05920,-0.94916,0.30664,0.39008,0.5245537624881065,0.13564204036567118,0.9996967373914659,1580790683.3849669
0.04022,-0.05920,-0.94916,0.30664,0.39008,0.5245537624881065,0.13564204036567118,0.9996967373914659,1580790683.388903
0.04034,-0.05896,-0.94916,0.30664,0.39008,0.5245537624881065,0.13564204036567118,0.9996967373914659,1580790683.3896708
0.04034,-0.05896,-0.94916,0.30664,0.39008,0.5245537624881065,0.13564204036567118,0.9996967373914659,1580790683.389865
0.04034,-0.05896,-0.94916,0.30664,0.39008,0.5245537624881065,0.13564204036567118,0.9996967373914659,1580790683.390054
0.04034,-0.05896,-0.94916,0.30664,0.39008,0.5245537624881065,0.13564204036567118,0.9996967373914659,1580790683.3924859
0.04041,-0.05872,-0.94916,0.30664,0.39008,0.5245537624881065,0.13564204036567118,0.9996967373914659,1580790683.393354
0.04041,-0.05872,-0.94916,0.30664,0.39008,0.5245537624881065,0.13564204036567118,0.9996967373914659,1580790683.39363
0.04041,-0.05872,-0.94916,0.30664,0.39008,0.5245537624881065,0.13564204036567118,0.9996967373914659,1580790683.395977
0.04047,-0.05853,-0.94916,0.30664,0.39008,0.526018254289839,0.13525743797078726,0.9998463219064848,1580790683.398824
0.04047,-0.05853,-0.94916,0.30664,0.39008,0.526018254289839,0.13525743797078726,0.9998463219064848,1580790683.3991969
0.04047,-0.05853,-0.94916,0.30664,0.39008,0.526018254289839,0.13525743797078726,0.9998463219064848,1580790683.399456
0.04047,-0.05853,-0.94916,0.30664,0.39008,0.526018254289839,0.13525743797078726,0.9998463219064848,1580790683.403351
0.04047,-0.05823,-0.94916,0.30664,0.39008,0.526018254289839,0.13525743797078726,0.9998463219064848,1580790683.4066591
0.04053,-0.05798,-0.94922,0.30664,0.39008,0.5252610034312977,0.13483562244223601,0.9996405104042734,1580790683.409413
0.04053,-0.05798,-0.94922,0.30664,0.39008,0.5252610034312977,0.13483562244223601,0.9996405104042734,1580790683.4098392
0.04053,-0.05798,-0.94922,0.30664,0.39008,0.525912512648523,0.13415707809554944,0.9995262187918252,1580790683.412329
0.04053,-0.05774,-0.94922,0.30658,0.39008,0.525912512648523,0.13415707809554944,0.9995262187918252,1580790683.413667
0.04053,-0.05774,-0.94922,0.30658,0.39008,0.525912512648523,0.13415707809554944,0.9995262187918252,1580790683.414321
0.04053,-0.05774,-0.94922,0.30658,0.39008,0.525912512648523,0.13415707809554944,0.9995262187918252,1580790683.414785
0.04053,-0.05774,-0.94922,0.30658,0.39008,0.525912512648523,0.13415707809554944,0.9995262187918252,1580790683.417005
0.04053,-0.05750,-0.94922,0.30658,0.39008,0.525912512648523,0.13415707809554944,0.9995262187918252,1580790683.4183402
0.04053,-0.05750,-0.94922,0.30658,0.39008,0.525912512648523,0.13415707809554944,0.9995262187918252,1580790683.4185631
0.04053,-0.05750,-0.94922,0.30658,0.39008,0.5253175510072806,0.13380506743310017,0.9997435568048331,1580790683.421783
0.04053,-0.05731,-0.94928,0.30658,0.39008,0.5253175510072806,0.13380506743310017,0.9997435568048331,1580790683.4238799
0.04053,-0.05731,-0.94928,0.30658,0.39008,0.5253175510072806,0.13380506743310017,0.9997435568048331,1580790683.4242718
0.04053,-0.05731,-0.94928,0.30658,0.39008,0.5253175510072806,0.13380506743310017,0.9997435568048331,1580790683.425832
0.04053,-0.05707,-0.94928,0.30652,0.39008,0.5253175510072806,0.13380506743310017,0.9997435568048331,1580790683.428661
0.04047,-0.05688,-0.94928,0.30646,0.39008,0.5258308263648865,0.13356114680670006,0.9998619942576893,1580790683.4357371
0.04047,-0.05676,-0.94934,0.30646,0.39008,0.5245106344848828,0.13285188013408755,0.9998573118975168,1580790683.4408479
0.04041,-0.05664,-0.94934,0.30640,0.39008,0.5245106344848828,0.13285188013408755,0.9998573118975168,1580790683.444551
0.04041,-0.05664,-0.94934,0.30640,0.39008,0.5243081497390534,0.13356490147477695,0.9999405072509213,1580790683.4455512
0.04041,-0.05664,-0.94934,0.30640,0.39008,0.5243081497390534,0.13356490147477695,0.9999405072509213,1580790683.446028
0.04034,-0.05658,-0.94940,0.30634,0.39008,0.5243081497390534,0.13356490147477695,0.9999405072509213,1580790683.452974
0.04028,-0.05652,-0.94940,0.30627,0.39008,0.5247271402934299,0.13264232859466485,0.9996612816411146,1580790683.458218
0.04022,-0.05652,-0.94940,0.30621,0.39008,0.5237068342635164,0.13376130160947908,0.9996639485557093,1580790683.461814
0.04010,-0.05652,-0.94946,0.30615,0.39008,0.5237068342635164,0.13376130160947908,0.9996639485557093,1580790683.463905
