quatI,quatJ,quatK,quatReal,quatRadianAccuracy,zmq_X,zmq_Y,zmq_confidence,IMUtimestamp
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.49537260237522673,0.2712615162110623,0.9992258797325452,1580792397.143717
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.4963107098888414,0.27033953732196925,0.999398221533674,1580792397.1544409
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.4963107098888414,0.27033953732196925,0.999398221533674,1580792397.155485
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.4963107098888414,0.27033953732196925,0.999398221533674,1580792397.157172
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.4963107098888414,0.27033953732196925,0.999398221533674,1580792397.15777
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.4952760904918255,0.2707718157982584,0.9994340717514499,1580792397.159764
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.4952760904918255,0.2707718157982584,0.9994340717514499,1580792397.16016
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.4952760904918255,0.2707718157982584,0.9994340717514499,1580792397.1625931
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.4952760904918255,0.2707718157982584,0.9994340717514499,1580792397.163105
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.4952760904918255,0.2707718157982584,0.9994340717514499,1580792397.164929
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.4952760904918255,0.2707718157982584,0.9994340717514499,1580792397.1652238
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.4952760904918255,0.2707718157982584,0.9994340717514499,1580792397.1673129
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.4952760904918255,0.2707718157982584,0.9994340717514499,1580792397.167685
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.4952760904918255,0.2707718157982584,0.9994340717514499,1580792397.171055
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.49607947233704913,0.27058495814952266,0.9018711110990606,1580792397.172446
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.49607947233704913,0.27058495814952266,0.9018711110990606,1580792397.1743941
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.49607947233704913,0.27058495814952266,0.9018711110990606,1580792397.1758761
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.49616057700327704,0.2707035718613924,0.9973452062538876,1580792397.183118
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.49616057700327704,0.2707035718613924,0.9973452062538876,1580792397.185527
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.49616057700327704,0.2707035718613924,0.9973452062538876,1580792397.1859462
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.49616057700327704,0.2707035718613924,0.9973452062538876,1580792397.186225
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.49568313404935604,0.2705485787298396,0.9994492583555057,1580792397.188607
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.49568313404935604,0.2705485787298396,0.9994492583555057,1580792397.189155
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.49568313404935604,0.2705485787298396,0.9994492583555057,1580792397.1894531
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.49568313404935604,0.2705485787298396,0.9994492583555057,1580792397.192024
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.49568313404935604,0.2705485787298396,0.9994492583555057,1580792397.192675
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.49596439587745367,0.2704198123348217,0.9995901493571283,1580792397.194485
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.49596439587745367,0.2704198123348217,0.9995901493571283,1580792397.194823
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.49596439587745367,0.2704198123348217,0.9995901493571283,1580792397.196927
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.49596439587745367,0.2704198123348217,0.9995901493571283,1580792397.1973429
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.49596439587745367,0.2704198123348217,0.9995901493571283,1580792397.20075
0.02899,-0.04340,-0.98047,0.18964,0.01672,0.49596439587745367,0.2704198123348217,0.9995901493571283,1580792397.2027462
