eye_packets,770
norm_X,norm_Y,phi,theta,confidence,timestamp
1594714787.1560519,"{'circle_3d': {'center': [3.212600143526493, 0.7235550361810352, 26.313262409209393], 'normal': [0.40277207273011517, 0.5336507851270119, -0.7436339805052016], 'radius': 0.9219776853269642}, 'confidence': 0.3281036889496315, 'timestamp': 23909.242676, 'diameter_3d': 1.8439553706539284, 'ellipse': {'center': [235.50958477094997, 136.7557248323631], 'axes': [29.47163815891849, 43.57724695865718], 'angle': 49.08157939849127}, 'location': [235.50958477094997, 136.7557248323631], 'diameter': 43.57724695865718, 'sphere': {'center': [-1.6206647292348884, -5.680254385343107, 35.23687017527181], 'radius': 12.0}, 'projected_sphere': {'center': [131.48406975058816, 20.05475226956476], 'axes': [422.2849511317365, 422.2849511317365], 'angle': 90.0}, 'model_confidence': 0.27348854353327345, 'model_id': 11, 'model_birth_timestamp': 23847.351476, 'theta': 2.1337078963487666, 'phi': -1.0744044183086552, 'norm_pos': [0.7359674524092187, 0.43018447986515385], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594714787.16441,"{'circle_3d': {'center': [3.7693987255523114, 0.8926419015568001, 26.7666723998344], 'normal': [0.44917195456559994, 0.547741357241659, -0.7058498146197844], 'radius': 0.9266659756422239}, 'confidence': 0.18890597301690232, 'timestamp': 23909.251076, 'diameter_3d': 1.8533319512844477, 'ellipse': {'center': [247.1278847793031, 140.4013517806354], 'axes': [26.733685984994896, 43.077202789438495], 'angle': 47.0416216938134}, 'location': [247.1278847793031, 140.4013517806354], 'diameter': 43.077202789438495, 'sphere': {'center': [-1.6206647292348884, -5.680254385343107, 35.23687017527181], 'radius': 12.0}, 'projected_sphere': {'center': [131.48406975058816, 20.05475226956476], 'axes': [422.2849511317365, 422.2849511317365], 'angle': 90.0}, 'model_confidence': 0.27348854353327345, 'model_id': 11, 'model_birth_timestamp': 23847.351476, 'theta': 2.150458537306777, 'phi': -1.0040723530579867, 'norm_pos': [0.7722746399353222, 0.41499436758068586], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594714787.171804,"{'circle_3d': {'center': [3.830186344148827, 0.8542296658249038, 26.775857188588567], 'normal': [0.45423758944864295, 0.5445403375973342, -0.705084415556937], 'radius': 0.9211761326253841}, 'confidence': 0.21742786137594694, 'timestamp': 23909.259476, 'diameter_3d': 1.8423522652507682, 'ellipse': {'center': [248.506335102426, 139.50971151403397], 'axes': [26.495128246733156, 42.81214803265311], 'angle': 46.51153748641627}, 'location': [248.506335102426, 139.50971151403397], 'diameter': 42.81214803265311, 'sphere': {'center': [-1.6206647292348884, -5.680254385343107, 35.23687017527181], 'radius': 12.0}, 'projected_sphere': {'center': [131.48406975058816, 20.05475226956476], 'axes': [422.2849511317365, 422.2849511317365], 'angle': 90.0}, 'model_confidence': 0.27348854353327345, 'model_id': 11, 'model_birth_timestamp': 23847.351476, 'theta': 2.1466373012713857, 'phi': -0.9984869867361339, 'norm_pos': [0.7765822971950812, 0.4187095353581918], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594714787.180414,"{'circle_3d': {'center': [3.300788409560373, 0.629450398677788, 26.29444743078326], 'normal': [0.410121094899605, 0.5258087320017412, -0.7452018953740457], 'radius': 0.9249142833383893}, 'confidence': 0.16328797005144585, 'timestamp': 23909.267876, 'diameter_3d': 1.8498285666767786, 'ellipse': {'center': [237.63795936616802, 134.54930739133977], 'axes': [29.63869791391568, 43.757113140456724], 'angle': 48.00272311129689}, 'location': [237.63795936616802, 134.54930739133977], 'diameter': 43.757113140456724, 'sphere': {'center': [-1.6206647292348884, -5.680254385343107, 35.23687017527181], 'radius': 12.0}, 'projected_sphere': {'center': [131.48406975058816, 20.05475226956476], 'axes': [422.2849511317365, 422.2849511317365], 'angle': 90.0}, 'model_confidence': 0.27348854353327345, 'model_id': 11, 'model_birth_timestamp': 23847.351476, 'theta': 2.124461935909693, 'phi': -1.0676852328049973, 'norm_pos': [0.7426186230192751, 0.4393778858694176], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594714787.1882172,"{'circle_3d': {'center': [3.242439546881732, 0.7231446980541731, 26.32919388016751], 'normal': [0.405258689676385, 0.5336165902831067, -0.7423063579253585], 'radius': 0.9194436434403955}, 'confidence': 0.29486722744603383, 'timestamp': 23909.276276, 'diameter_3d': 1.838887286880791, 'ellipse': {'center': [236.167239309504, 136.73829197232234], 'axes': [29.28349423087695, 43.43273816044034], 'angle': 48.90597192657651}, 'location': [236.167239309504, 136.73829197232234], 'diameter': 43.43273816044034, 'sphere': {'center': [-1.6206647292348884, -5.680254385343107, 35.23687017527181], 'radius': 12.0}, 'projected_sphere': {'center': [131.48406975058816, 20.05475226956476], 'axes': [422.2849511317365, 422.2849511317365], 'angle': 90.0}, 'model_confidence': 0.27348854353327345, 'model_id': 11, 'model_birth_timestamp': 23847.351476, 'theta': 2.1336674633251116, 'phi': -1.0710714350509882, 'norm_pos': [0.7380226228422, 0.4302571167819902], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594714787.1961548,"{'circle_3d': {'center': [3.1772784403990935, 0.6911134445071214, 26.27107889297485], 'normal': [0.39982859746949845, 0.5309473191541857, -0.7471492735247468], 'radius': 0.9164352429306936}, 'confidence': 0.3200403974766946, 'timestamp': 23909.284676, 'diameter_3d': 1.8328704858613871, 'ellipse': {'center': [234.7989057024233, 136.01966172463648], 'axes': [29.55885228844428, 43.38442010998974], 'angle': 49.09304992748085}, 'location': [234.7989057024233, 136.01966172463648], 'diameter': 43.38442010998974, 'sphere': {'center': [-1.6206647292348884, -5.680254385343107, 35.23687017527181], 'radius': 12.0}, 'projected_sphere': {'center': [131.48406975058816, 20.05475226956476], 'axes': [422.2849511317365, 422.2849511317365], 'angle': 90.0}, 'model_confidence': 0.27348854353327345, 'model_id': 11, 'model_birth_timestamp': 23847.351476, 'theta': 2.1305144073850264, 'phi': -1.0794343812081348, 'norm_pos': [0.7337465803200728, 0.4332514094806813], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594714787.204176,"{'circle_3d': {'center': [3.198852101445297, 0.6673521971321987, 26.265797318979395], 'normal': [0.4016264025566821, 0.5289672152062755, -0.7475894046910346], 'radius': 0.9194195841384422}, 'confidence': 0.3188630550448322, 'timestamp': 23909.293076, 'diameter_3d': 1.8388391682768843, 'ellipse': {'center': [235.3210107269047, 135.4606789952623], 'axes': [29.677318008095355, 43.53691751554653], 'angle': 48.822645941645334}, 'location': [235.3210107269047, 135.4606789952623], 'diameter': 43.53691751554653, 'sphere': {'center': [-1.6206647292348884, -5.680254385343107, 35.23687017527181], 'radius': 12.0}, 'projected_sphere': {'center': [131.48406975058816, 20.05475226956476], 'axes': [422.2849511317365, 422.2849511317365], 'angle': 90.0}, 'model_confidence': 0.27348854353327345, 'model_id': 11, 'model_birth_timestamp': 23847.351476, 'theta': 2.128179445034959, 'phi': -1.0778112668079267, 'norm_pos': [0.7353781585215772, 0.43558050418640704], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594714787.216991,"{'circle_3d': {'center': [3.214094867576171, 0.6434641512093089, 26.2571327898297], 'normal': [0.4028966330675883, 0.5269765447127014, -0.7483114487868425], 'radius': 0.9244953480801172}, 'confidence': 0.31686214849468025, 'timestamp': 23909.301476, 'diameter_3d': 1.8489906961602345, 'ellipse': {'center': [235.70280355090455, 134.89891325411676], 'axes': [29.886433051720505, 43.793928383842996], 'angle': 48.588112138028144}, 'location': [235.70280355090455, 134.89891325411676], 'diameter': 43.793928383842996, 'sphere': {'center': [-1.6206647292348884, -5.680254385343107, 35.23687017527181], 'radius': 12.0}, 'projected_sphere': {'center': [131.48406975058816, 20.05475226956476], 'axes': [422.2849511317365, 422.2849511317365], 'angle': 90.0}, 'model_confidence': 0.27348854353327345, 'model_id': 11, 'model_birth_timestamp': 23847.351476, 'theta': 2.12583544303836, 'phi': -1.0768967093933748, 'norm_pos': [0.7365712610965767, 0.4379211947745135], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594714787.22494,"{'circle_3d': {'center': [3.623606646492262, 1.0228373963797797, 26.777190612573946], 'normal': [0.43702261464392916, 0.5585909818102406, -0.7049732968914887], 'radius': 0.9212740885442222}, 'confidence': 0.20819495932408746, 'timestamp': 23909.309876, 'diameter_3d': 1.8425481770884444, 'ellipse': {'center': [243.72485775270954, 143.4077446785091], 'axes': [26.583122061939868, 42.795982509894074], 'angle': 48.539397707839576}, 'location': [243.72485775270954, 143.4077446785091], 'diameter': 42.795982509894074, 'sphere': {'center': [-1.6206647292348884, -5.680254385343107, 35.23687017527181], 'radius': 12.0}, 'projected_sphere': {'center': [131.48406975058816, 20.05475226956476], 'axes': [422.2849511317365, 422.2849511317365], 'angle': 90.0}, 'model_confidence': 0.27348854353327345, 'model_id': 11, 'model_birth_timestamp': 23847.351476, 'theta': 2.163482401394222, 'phi': -1.0158629293323107, 'norm_pos': [0.7616401804772173, 0.4024677305062121], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594714787.2331321,"{'circle_3d': {'center': [3.7008669631914115, 0.9715842395313379, 26.78498616310441], 'normal': [0.4434609743688583, 0.5543198854062038, -0.7043236676806167], 'radius': 0.9272557821283944}, 'confidence': 0.25208455478739167, 'timestamp': 23909.318276, 'diameter_3d': 1.8545115642567889, 'ellipse': {'center': [245.48461026189784, 142.21286754361594], 'axes': [26.677766220002628, 43.06778816182708], 'angle': 47.845874784993306}, 'location': [245.48461026189784, 142.21286754361594], 'diameter': 43.06778816182708, 'sphere': {'center': [-1.6206647292348884, -5.680254385343107, 35.23687017527181], 'radius': 12.0}, 'projected_sphere': {'center': [131.48406975058816, 20.05475226956476], 'axes': [422.2849511317365, 422.2849511317365], 'angle': 90.0}, 'model_confidence': 0.27348854353327345, 'model_id': 11, 'model_birth_timestamp': 23847.351476, 'theta': 2.15834192322552, 'phi': -1.00887687492771, 'norm_pos': [0.7671394070684308, 0.4074463852349336], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1594714787.2407098,"{'circle_3d': {'center': [3.2066905239493986, 0.6502757613019412, 26.257948785596305], 'normal': [0.4022796044320238, 0.5275441788870873, -0.7482434491396254], 'radius': 0.9229983386003415}, 'confidence': 0.17156350656950767, 'timestamp': 23909.326676, 'diameter_3d': 1.845996677200683, 'ellipse': {'center': [235.52653083753202, 135.0600404727353], 'axes': [29.83637189573459, 43.72085375755963], 'angle': 48.672878418892}, 'location': [235.52653083753202, 135.0600404727353], 'diameter': 43.72085375755963, 'sphere': {'center': [-1.6206647292348884, -5.680254385343107, 35.23687017527181], 'radius': 12.0}, 'projected_sphere': {'center': [131.48406975058816, 20.05475226956476], 'axes': [422.2849511317365, 422.2849511317365], 'angle': 90.0}, 'model_confidence': 0.27348854353327345, 'model_id': 11, 'model_birth_timestamp': 23847.351476, 'theta': 2.1265034807847174, 'phi': -1.0774982813798575, 'norm_pos': [0.7360204088672876, 0.43724983136360296], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
