eye_packets,773
norm_X,norm_Y,phi,theta,confidence,timestamp
1582268505.851936,"{'circle_3d': {'center': [4.5050629730865825, 7.5441196625630225, 74.62134176985107], 'normal': [0.23502603070706066, 0.7565841413169614, -0.6101993133376665], 'radius': 1.211900964371972}, 'confidence': 0.040576769393008395, 'timestamp': 57574.491179, 'diameter_3d': 2.423801928743944, 'ellipse': {'center': [197.4135752434282, 182.6160551092981], 'axes': [10.460624720493431, 20.14672779927574], 'angle': 71.85022063409902}, 'location': [197.4135752434282, 182.6160551092981], 'diameter': 20.14672779927574, 'sphere': {'center': [1.6847506046018539, -1.5348900332405158, 81.94373352990307], 'radius': 12.0}, 'projected_sphere': {'center': [172.74710499335464, 108.38676516659021], 'axes': [181.58801605701748, 181.58801605701748], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 57530.735783, 'theta': 2.428869681137969, 'phi': -1.2031457730523005, 'norm_pos': [0.6169174226357131, 0.23909977037792463], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268505.859804,"{'circle_3d': {'center': [5.569883116294609, 7.046967797844194, 74.51019725612072], 'normal': [0.32376104264106287, 0.715154819257059, -0.6194613561485293], 'radius': 1.295940709145609}, 'confidence': 0.018863848239322776, 'timestamp': 57574.499579, 'diameter_3d': 2.591881418291218, 'ellipse': {'center': [206.31806510734265, 178.56570935987742], 'axes': [11.377265268120345, 21.576873026852972], 'angle': 64.6870192498293}, 'location': [206.31806510734265, 178.56570935987742], 'diameter': 21.576873026852972, 'sphere': {'center': [1.6847506046018539, -1.5348900332405158, 81.94373352990307], 'radius': 12.0}, 'projected_sphere': {'center': [172.74710499335464, 108.38676516659021], 'axes': [181.58801605701748, 181.58801605701748], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 57530.735783, 'theta': 2.3676419057443128, 'phi': -1.0891938925686178, 'norm_pos': [0.6447439534604458, 0.2559762110005107], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268505.872006,"{'circle_3d': {'center': [5.32139798161219, 8.457213123175631, 76.38201883326298], 'normal': [0.30305394808419456, 0.8326752630346785, -0.4634762247200078], 'radius': 1.132403164358664}, 'confidence': 0.04843344375823069, 'timestamp': 57574.507979, 'diameter_3d': 2.264806328717328, 'ellipse': {'center': [203.18259753361514, 188.607239886334], 'axes': [6.436264482059373, 18.391497659047193], 'angle': 69.4420207116173}, 'location': [203.18259753361514, 188.607239886334], 'diameter': 18.391497659047193, 'sphere': {'center': [1.6847506046018539, -1.5348900332405158, 81.94373352990307], 'radius': 12.0}, 'projected_sphere': {'center': [172.74710499335464, 108.38676516659021], 'axes': [181.58801605701748, 181.58801605701748], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 57530.735783, 'theta': 2.554717682287959, 'phi': -0.9917042208606927, 'norm_pos': [0.6349456172925473, 0.21413650047360833], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268505.881174,"{'circle_3d': {'center': [5.3735177406105255, 8.387824000684976, 76.29282712320683], 'normal': [0.30739726133405587, 0.8268928361604573, -0.4709088672246862], 'radius': 1.191144898917877}, 'confidence': 0.22904283942712053, 'timestamp': 57574.516379, 'diameter_3d': 2.382289797835754, 'ellipse': {'center': [203.6547428697666, 188.1184221378274], 'axes': [6.936499079022204, 19.368349075271627], 'angle': 69.03190811192714}, 'location': [203.6547428697666, 188.1184221378274], 'diameter': 19.368349075271627, 'sphere': {'center': [1.6847506046018539, -1.5348900332405158, 81.94373352990307], 'radius': 12.0}, 'projected_sphere': {'center': [172.74710499335464, 108.38676516659021], 'axes': [181.58801605701748, 181.58801605701748], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 57530.735783, 'theta': 2.544356127406776, 'phi': -0.9924731970021781, 'norm_pos': [0.6364210714680206, 0.2161732410923859], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268505.890914,"{'circle_3d': {'center': [5.115016971207186, 8.484900052631623, 76.30129794859647], 'normal': [0.2858555305504442, 0.8349825071560113, -0.4702029651088832], 'radius': 1.204100920317749}, 'confidence': 0.2266215956448828, 'timestamp': 57574.524779, 'diameter_3d': 2.408201840635498, 'ellipse': {'center': [201.5503022983298, 188.89833495155878], 'axes': [7.0081283126723255, 19.57674446903064], 'angle': 70.53229746429507}, 'location': [201.5503022983298, 188.89833495155878], 'diameter': 19.57674446903064, 'sphere': {'center': [1.6847506046018539, -1.5348900332405158, 81.94373352990307], 'radius': 12.0}, 'projected_sphere': {'center': [172.74710499335464, 108.38676516659021], 'axes': [181.58801605701748, 181.58801605701748], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 57530.735783, 'theta': 2.558897322093421, 'phi': -1.0245585086029836, 'norm_pos': [0.6298446946822807, 0.2129236043685051], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268505.896271,"{'circle_3d': {'center': [5.3769596846707435, 8.510341595366747, 76.5159426683568], 'normal': [0.30768409000574076, 0.8371026357172717, -0.45231590512885583], 'radius': 1.1865666985827306}, 'confidence': 0.20962805228915907, 'timestamp': 57574.533179, 'diameter_3d': 2.373133397165461, 'ellipse': {'center': [203.55647559696786, 188.9150605464834], 'axes': [6.490602329994218, 19.237639018493184], 'angle': 69.28188062430318}, 'location': [203.55647559696786, 188.9150605464834], 'diameter': 19.237639018493184, 'sphere': {'center': [1.6847506046018539, -1.5348900332405158, 81.94373352990307], 'radius': 12.0}, 'projected_sphere': {'center': [172.74710499335464, 108.38676516659021], 'axes': [181.58801605701748, 181.58801605701748], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 57530.735783, 'theta': 2.562761502787868, 'phi': -0.9734544869480053, 'norm_pos': [0.6361139862405245, 0.2128539143896525], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268505.904067,"{'circle_3d': {'center': [6.2313819467923315, 7.0455230728363345, 74.89358073955336], 'normal': [0.3788859451825397, 0.7150344255064041, -0.5875127325291427], 'radius': 1.206988752754845}, 'confidence': 0.08310096246803346, 'timestamp': 57574.541579, 'diameter_3d': 2.41397750550969, 'ellipse': {'center': [211.55887740878288, 178.26801282525543], 'axes': [9.764591089145194, 19.993068885862783], 'angle': 61.204886719919266}, 'location': [211.55887740878288, 178.26801282525543], 'diameter': 19.993068885862783, 'sphere': {'center': [1.6847506046018539, -1.5348900332405158, 81.94373352990307], 'radius': 12.0}, 'projected_sphere': {'center': [172.74710499335464, 108.38676516659021], 'axes': [181.58801605701748, 181.58801605701748], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 57530.735783, 'theta': 2.3674696754353683, 'phi': -0.9980159239564697, 'norm_pos': [0.6611214919024465, 0.2572166132281024], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268505.912093,"{'circle_3d': {'center': [5.117233603186859, 8.466134989364843, 76.269444238578], 'normal': [0.2860402498820838, 0.8334187518837799, -0.47285744094375565], 'radius': 1.160848998226718}, 'confidence': 0.21116692279311552, 'timestamp': 57574.549979, 'diameter_3d': 2.321697996453436, 'ellipse': {'center': [201.5864266748537, 188.77761067582838], 'axes': [6.815087018823015, 18.881291530485974], 'angle': 70.48238237439975}, 'location': [201.5864266748537, 188.77761067582838], 'diameter': 18.881291530485974, 'sphere': {'center': [1.6847506046018539, -1.5348900332405158, 81.94373352990307], 'radius': 12.0}, 'projected_sphere': {'center': [172.74710499335464, 108.38676516659021], 'axes': [181.58801605701748, 181.58801605701748], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 57530.735783, 'theta': 2.556061656108828, 'phi': -1.0267680729889974, 'norm_pos': [0.6299575833589178, 0.2134266221840484], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268505.9197462,"{'circle_3d': {'center': [5.070141284346593, 8.467915575410828, 76.24434672946298], 'normal': [0.2821158899787281, 0.8335671340542782, -0.4749489000366744], 'radius': 1.1900097087633277}, 'confidence': 0.2285300050949616, 'timestamp': 57574.558379, 'diameter_3d': 2.3800194175266554, 'ellipse': {'center': [201.21666200634309, 188.81216283596783], 'axes': [7.036185785007987, 19.362025930026878], 'angle': 70.723711700432}, 'location': [201.21666200634309, 188.81216283596783], 'diameter': 19.362025930026878, 'sphere': {'center': [1.6847506046018539, -1.5348900332405158, 81.94373352990307], 'radius': 12.0}, 'projected_sphere': {'center': [172.74710499335464, 108.38676516659021], 'axes': [181.58801605701748, 181.58801605701748], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 57530.735783, 'theta': 2.5563302064979427, 'phi': -1.0348061182556487, 'norm_pos': [0.6288020687698221, 0.2132826548501341], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268505.9276748,"{'circle_3d': {'center': [6.472406781394588, 7.149797749393687, 75.18691871440141], 'normal': [0.398971348066061, 0.7237239818861834, -0.5630679012918045], 'radius': 1.1717343256982622}, 'confidence': 0.08722496217095002, 'timestamp': 57574.566779, 'diameter_3d': 2.3434686513965244, 'ellipse': {'center': [213.34723383604444, 178.9064653527949], 'axes': [8.885497925399509, 19.333387491490484], 'angle': 60.319651573827656}, 'location': [213.34723383604444, 178.9064653527949], 'diameter': 19.333387491490484, 'sphere': {'center': [1.6847506046018539, -1.5348900332405158, 81.94373352990307], 'radius': 12.0}, 'projected_sphere': {'center': [172.74710499335464, 108.38676516659021], 'axes': [181.58801605701748, 181.58801605701748], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 57530.735783, 'theta': 2.379979862087503, 'phi': -0.954343791772734, 'norm_pos': [0.6667101057376389, 0.25455639436335464], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582268505.937182,"{'circle_3d': {'center': [6.803671048215779, 7.2890912171929925, 75.62439745845148], 'normal': [0.42657670363449396, 0.7353317708694593, -0.5266113392876325], 'radius': 1.1651244021701759}, 'confidence': 0.0901628942994371, 'timestamp': 57574.575178, 'diameter_3d': 2.3302488043403518, 'ellipse': {'center': [215.75580590125276, 179.71223076601993], 'axes': [7.9716992965065545, 19.11323140138791], 'angle': 59.15684294806206}, 'location': [215.75580590125276, 179.71223076601993], 'diameter': 19.11323140138791, 'sphere': {'center': [1.6847506046018539, -1.5348900332405158, 81.94373352990307], 'radius': 12.0}, 'projected_sphere': {'center': [172.74710499335464, 108.38676516659021], 'axes': [181.58801605701748, 181.58801605701748], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 57530.735783, 'theta': 2.3969524267592766, 'phi': -0.8899628242609838, 'norm_pos': [0.6742368934414149, 0.251199038474917], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
