eye_packets,764
norm_X,norm_Y,phi,theta,confidence,timestamp
1582269322.688266,"{'circle_3d': {'center': [-2.348413266730069, 1.1136112393458113, 17.202553165335686], 'normal': [0.34450453637746586, -0.8235421881848487, -0.4506605027013777], 'radius': 1.4435798980997292}, 'confidence': 0.09983329319144484, 'timestamp': 58391.312343, 'diameter_3d': 2.8871597961994584, 'ellipse': {'center': [74.2011238824725, 161.99189537098584], 'axes': [57.324711049095185, 104.95841124847605], 'angle': -71.34336630796953}, 'location': [74.2011238824725, 161.99189537098584], 'diameter': 104.95841124847605, 'sphere': {'center': [-6.48246770325966, 10.996117497563997, 22.61047919775222], 'radius': 12.0}, 'projected_sphere': {'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}, 'model_confidence': 0.7195671802045611, 'model_id': 1, 'model_birth_timestamp': 58336.256858, 'theta': 0.6031688827395669, 'phi': -0.9181152189110257, 'norm_pos': [0.23187851213272656, 0.325033769287559], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582269322.707747,"{'circle_3d': {'center': [-2.356250004065899, 1.1042262321654874, 17.21373807996708], 'normal': [0.34385147493281343, -0.8243242721165425, -0.44972842648209505], 'radius': 1.4525795309411837}, 'confidence': 0.09934048388060712, 'timestamp': 58391.329142, 'diameter_3d': 2.9051590618823675, 'ellipse': {'center': [73.96172462577512, 161.64500694428312], 'axes': [57.50543653227831, 105.5553880506182], 'angle': -71.41194741017199}, 'location': [73.96172462577512, 161.64500694428312], 'diameter': 105.5553880506182, 'sphere': {'center': [-6.48246770325966, 10.996117497563997, 22.61047919775222], 'radius': 12.0}, 'projected_sphere': {'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}, 'model_confidence': 0.7195671802045611, 'model_id': 1, 'model_birth_timestamp': 58336.256858, 'theta': 0.6017887830760257, 'phi': -0.9180317785064139, 'norm_pos': [0.23113038945554726, 0.32647913773215365], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582269322.7133398,"{'circle_3d': {'center': [-2.416677970910353, 1.0967887477121696, 17.181607845925946], 'normal': [0.33881581102910885, -0.8249440624876522, -0.45240594598552275], 'radius': 1.4489615308439439}, 'confidence': 0.08777626630222056, 'timestamp': 58391.337542, 'diameter_3d': 2.8979230616878877, 'ellipse': {'center': [71.6181439599672, 161.45785148276212], 'axes': [57.757637172384285, 105.54127627819295], 'angle': -71.92452818500455}, 'location': [71.6181439599672, 161.45785148276212], 'diameter': 105.54127627819295, 'sphere': {'center': [-6.48246770325966, 10.996117497563997, 22.61047919775222], 'radius': 12.0}, 'projected_sphere': {'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}, 'model_confidence': 0.7195671802045611, 'model_id': 1, 'model_birth_timestamp': 58336.256858, 'theta': 0.6006931009103726, 'phi': -0.9279868472559262, 'norm_pos': [0.22380669987489749, 0.32725895215515777], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582269322.716894,"{'circle_3d': {'center': [-2.196944286994472, 1.1575435520985522, 17.240492999608758], 'normal': [0.3571269513554323, -0.8198811621221204, -0.4474988498452885], 'radius': 1.4487654974438742}, 'confidence': 0.1075813638649886, 'timestamp': 58391.345942, 'diameter_3d': 2.8975309948877483, 'ellipse': {'center': [79.84144915462124, 163.47926802346896], 'axes': [57.16675543972843, 104.98085602582158], 'angle': -70.05261524452752}, 'location': [79.84144915462124, 163.47926802346896], 'diameter': 104.98085602582158, 'sphere': {'center': [-6.48246770325966, 10.996117497563997, 22.61047919775222], 'radius': 12.0}, 'projected_sphere': {'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}, 'model_confidence': 0.7195671802045611, 'model_id': 1, 'model_birth_timestamp': 58336.256858, 'theta': 0.6095929037371146, 'phi': -0.8972448657779595, 'norm_pos': [0.2495045286081914, 0.318836383235546], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582269322.724606,"{'circle_3d': {'center': [-1.9345956957553696, 1.2841351063282254, 17.22584752644125], 'normal': [0.37898933395869094, -0.8093318659363145, -0.4487193059425809], 'radius': 1.4478199439951853}, 'confidence': 0.10744262748496806, 'timestamp': 58391.354342, 'diameter_3d': 2.8956398879903706, 'ellipse': {'center': [89.22507049559132, 168.08100263210878], 'axes': [57.652938948713675, 104.81234820266842], 'angle': -67.7508813180797}, 'location': [89.22507049559132, 168.08100263210878], 'diameter': 104.81234820266842, 'sphere': {'center': [-6.48246770325966, 10.996117497563997, 22.61047919775222], 'radius': 12.0}, 'projected_sphere': {'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}, 'model_confidence': 0.7195671802045611, 'model_id': 1, 'model_birth_timestamp': 58336.256858, 'theta': 0.6277826415631628, 'phi': -0.8694442953063191, 'norm_pos': [0.2788283452987229, 0.29966248903288006], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582269322.7399712,"{'circle_3d': {'center': [-2.2568850066922668, 2.0171810501391754, 15.863394557140666], 'normal': [0.3521318913806161, -0.7482447039520684, -0.5622570533842962], 'radius': 1.4495626658496121}, 'confidence': 0.0877628603389927, 'timestamp': 58391.362742, 'diameter_3d': 2.8991253316992243, 'ellipse': {'center': [70.25516595419123, 201.4821314185235], 'axes': [80.31985140797077, 114.0669878506439], 'angle': -69.77227688543144}, 'location': [70.25516595419123, 201.4821314185235], 'diameter': 114.0669878506439, 'sphere': {'center': [-6.48246770325966, 10.996117497563997, 22.61047919775222], 'radius': 12.0}, 'projected_sphere': {'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}, 'model_confidence': 0.7195671802045611, 'model_id': 1, 'model_birth_timestamp': 58336.256858, 'theta': 0.7253840283755796, 'phi': -1.0112751190702398, 'norm_pos': [0.21954739360684758, 0.16049111908948543], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582269322.7420301,"{'circle_3d': {'center': [-2.90138563371272, 1.143723588548431, 16.770429071874673], 'normal': [0.29842350579557836, -0.8210328257512973, -0.4866708438231289], 'radius': 1.4472974019153406}, 'confidence': 0.08741913489013031, 'timestamp': 58391.371142, 'diameter_3d': 2.8945948038306812, 'ellipse': {'center': [51.44863137123322, 164.38060074253642], 'axes': [63.24301859624569, 108.53557626848492], 'angle': -76.24276891282331}, 'location': [51.44863137123322, 164.38060074253642], 'diameter': 108.53557626848492, 'sphere': {'center': [-6.48246770325966, 10.996117497563997, 22.61047919775222], 'radius': 12.0}, 'projected_sphere': {'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}, 'model_confidence': 0.7195671802045611, 'model_id': 1, 'model_birth_timestamp': 58336.256858, 'theta': 0.6075784758701769, 'phi': -1.0207320018455102, 'norm_pos': [0.1607769730351038, 0.31508083023943156], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582269322.7495449,"{'circle_3d': {'center': [-1.592451072020892, 1.5591982611846973, 17.03981562217502], 'normal': [0.40750138593656404, -0.7864099363649417, -0.4642219646314334], 'radius': 1.4482722293821262}, 'confidence': 0.10506847212638545, 'timestamp': 58391.379542, 'diameter_3d': 2.8965444587642524, 'ellipse': {'center': [100.87575319477892, 178.69973688296915], 'axes': [60.80779381708021, 105.79584101620041], 'angle': -64.39449851956954}, 'location': [100.87575319477892, 178.69973688296915], 'diameter': 105.79584101620041, 'sphere': {'center': [-6.48246770325966, 10.996117497563997, 22.61047919775222], 'radius': 12.0}, 'projected_sphere': {'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}, 'model_confidence': 0.7195671802045611, 'model_id': 1, 'model_birth_timestamp': 58336.256858, 'theta': 0.6658209644900959, 'phi': -0.8503737484830678, 'norm_pos': [0.31523672873368414, 0.2554177629876285], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582269322.756768,"{'circle_3d': {'center': [-1.6381661678291568, 1.5266934530654943, 17.055053840563147], 'normal': [0.40369179461920857, -0.7891186703748752, -0.4629521130990893], 'radius': 1.4403827987523383}, 'confidence': 0.08316053150605397, 'timestamp': 58391.387942, 'diameter_3d': 2.8807655975046766, 'ellipse': {'center': [99.28123892939345, 177.43709581054875], 'axes': [60.207386698091504, 105.14238987196275], 'angle': -64.84989199678364}, 'location': [99.28123892939345, 177.43709581054875], 'diameter': 105.14238987196275, 'sphere': {'center': [-6.48246770325966, 10.996117497563997, 22.61047919775222], 'radius': 12.0}, 'projected_sphere': {'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}, 'model_confidence': 0.7195671802045611, 'model_id': 1, 'model_birth_timestamp': 58336.256858, 'theta': 0.6614234823804114, 'phi': -0.8536709742447444, 'norm_pos': [0.31025387165435453, 0.2606787674560469], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582269322.7713048,"{'circle_3d': {'center': [-1.7018196505877015, 1.4515855180830837, 17.12893621341378], 'normal': [0.3983873377226632, -0.7953776649567428, -0.4567952486948699], 'radius': 1.4471252812442585}, 'confidence': 0.11006146389992066, 'timestamp': 58391.396342, 'diameter_3d': 2.894250562488517, 'ellipse': {'center': [97.24103275062777, 174.45708586903345], 'axes': [59.30778309700634, 105.21631217829574], 'angle': -65.54535866101031}, 'location': [97.24103275062777, 174.45708586903345], 'diameter': 105.21631217829574, 'sphere': {'center': [-6.48246770325966, 10.996117497563997, 22.61047919775222], 'radius': 12.0}, 'projected_sphere': {'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}, 'model_confidence': 0.7195671802045611, 'model_id': 1, 'model_birth_timestamp': 58336.256858, 'theta': 0.651165909658819, 'phi': -0.8535910222989773, 'norm_pos': [0.3038782273457118, 0.2730954755456939], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1582269322.777208,"{'circle_3d': {'center': [-2.159998113330256, 1.1714434328531205, 17.244658089447082], 'normal': [0.36020579916078366, -0.8187228387259063, -0.44715175902542814], 'radius': 1.4486796002029652}, 'confidence': 0.09994758722181854, 'timestamp': 58391.404742, 'diameter_3d': 2.8973592004059303, 'ellipse': {'center': [81.19152210599543, 163.96718325581077], 'axes': [57.14748970892871, 104.92058178217479], 'angle': -69.73532540403725}, 'location': [81.19152210599543, 163.96718325581077], 'diameter': 104.92058178217479, 'sphere': {'center': [-6.48246770325966, 10.996117497563997, 22.61047919775222], 'radius': 12.0}, 'projected_sphere': {'center': [-17.75518779896288, 421.5235895207138], 'axes': [658.1019300767083, 658.1019300767083], 'angle': 90.0}, 'model_confidence': 0.7195671802045611, 'model_id': 1, 'model_birth_timestamp': 58336.256858, 'theta': 0.6116131359133781, 'phi': -0.8926767267682382, 'norm_pos': [0.2537235065812357, 0.31680340310078847], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
