eye_packets,775
norm_X,norm_Y,phi,theta,confidence,timestamp
1581656496.123949,"{'circle_3d': {'center': [9.19894609374694e-08, -3.998217756873146e-09, 2.7135003275446934e-06], 'normal': [0.18281566241509659, -0.5065972053359586, -0.842578011297189], 'radius': 9.279752277980326e-08}, 'confidence': 0.8571644425392173, 'timestamp': 3026.064889, 'diameter_3d': 1.8559504555960652e-07, 'ellipse': {'center': [180.91381241308164, 119.3957656602528], 'axes': [35.431234893155946, 42.433340194675175], 'angle': -67.48180507793595}, 'location': [180.91381241308164, 119.3957656602528], 'diameter': 42.433340194675175, 'sphere': {'center': [-2.193787856991698, 6.079166460033286, 10.110938849066596], 'radius': 12.0}, 'projected_sphere': {'center': [25.477529669718393, 492.77282174133467], 'axes': [1471.6734244094125, 1471.6734244094125], 'angle': 90.0}, 'model_confidence': 0.7715566494882142, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 1.0395628540865762, 'phi': -1.357136257790089, 'norm_pos': [0.5653556637908801, 0.50251764308228], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656496.1297762,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 3026.073289, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-2.193787856991698, 6.079166460033286, 10.110938849066596], 'radius': 12.0}, 'projected_sphere': {'center': [25.477529669718393, 492.77282174133467], 'axes': [1471.6734244094125, 1471.6734244094125], 'angle': 90.0}, 'model_confidence': 0.7715566494882142, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656496.134783,"{'circle_3d': {'center': [9.144508217318048e-08, -4.845131407194003e-09, 2.7138914155955263e-06], 'normal': [0.18281566236973168, -0.5065972054065347, -0.8425780112645983], 'radius': 9.365949206343827e-08}, 'confidence': 0.8127888441085829, 'timestamp': 3026.081689, 'diameter_3d': 1.8731898412687654e-07, 'ellipse': {'center': [180.78445171286498, 119.2080334490428], 'axes': [35.75059288980664, 42.82105709969144], 'angle': -67.50918889403104}, 'location': [180.78445171286498, 119.2080334490428], 'diameter': 42.82105709969144, 'sphere': {'center': [-2.193787856991698, 6.079166460033286, 10.110938849066596], 'radius': 12.0}, 'projected_sphere': {'center': [25.477529669718393, 492.77282174133467], 'axes': [1471.6734244094125, 1471.6734244094125], 'angle': 90.0}, 'model_confidence': 0.7715566522426442, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 1.0395628540047188, 'phi': -1.3571362578334938, 'norm_pos': [0.564951411602703, 0.5032998606289883], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656496.1412191,"{'circle_3d': {'center': [9.123494804086363e-08, -6.430703969328988e-09, 2.714799142822244e-06], 'normal': [0.1828156623522205, -0.5065972055386658, -0.8425780111889544], 'radius': 9.363576827571507e-08}, 'confidence': 0.9252104759216345, 'timestamp': 3026.090088, 'diameter_3d': 1.8727153655143014e-07, 'ellipse': {'center': [180.72958281682517, 118.84579892491055], 'axes': [35.71794826869044, 42.79550111763211], 'angle': -67.53788566142808}, 'location': [180.72958281682517, 118.84579892491055], 'diameter': 42.79550111763211, 'sphere': {'center': [-2.193787856991698, 6.079166460033286, 10.110938849066596], 'radius': 12.0}, 'projected_sphere': {'center': [25.477529669718393, 492.77282174133467], 'axes': [1471.6734244094125, 1471.6734244094125], 'angle': 90.0}, 'model_confidence': 0.7715566718103473, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 1.039562853851467, 'phi': -1.357136257834739, 'norm_pos': [0.5647799463025787, 0.504809171146206], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656496.156203,"{'circle_3d': {'center': [9.163756642394105e-08, -6.1459877187530765e-09, 2.7147153165429927e-06], 'normal': [0.18281566238577204, -0.5065972055149395, -0.8425780111959399], 'radius': 9.365106896931355e-08}, 'confidence': 0.9671715497970612, 'timestamp': 3026.098488, 'diameter_3d': 1.873021379386271e-07, 'ellipse': {'center': [180.82216875199566, 118.91092314326764], 'axes': [35.72580785291871, 42.80404397535696], 'angle': -67.52257387473324}, 'location': [180.82216875199566, 118.91092314326764], 'diameter': 42.80404397535696, 'sphere': {'center': [-2.193787856991698, 6.079166460033286, 10.110938849066596], 'radius': 12.0}, 'projected_sphere': {'center': [25.477529669718393, 492.77282174133467], 'axes': [1471.6734244094125, 1471.6734244094125], 'angle': 90.0}, 'model_confidence': 0.771556711171828, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 1.0395628538789856, 'phi': -1.3571362577984272, 'norm_pos': [0.5650692773499865, 0.5045378202363848], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656496.158991,"{'circle_3d': {'center': [9.15240265797479e-08, -5.41644862295243e-09, 2.7142520480083476e-06], 'normal': [0.1828156623763104, -0.5065972054541446, -0.8425780112345457], 'radius': 9.36908391808979e-08}, 'confidence': 0.864301681518557, 'timestamp': 3026.106888, 'diameter_3d': 1.873816783617958e-07, 'ellipse': {'center': [180.7996710403992, 119.07776010003904], 'axes': [35.75312203879352, 42.829627112747616], 'angle': -67.51522731405922}, 'location': [180.7996710403992, 119.07776010003904], 'diameter': 42.829627112747616, 'sphere': {'center': [-2.193787856991698, 6.079166460033286, 10.110938849066596], 'radius': 12.0}, 'projected_sphere': {'center': [25.477529669718393, 492.77282174133467], 'axes': [1471.6734244094125, 1471.6734244094125], 'angle': 90.0}, 'model_confidence': 0.7715567178499749, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 1.0395628539494985, 'phi': -1.357136257818646, 'norm_pos': [0.5649989720012475, 0.5038426662498373], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656496.167647,"{'circle_3d': {'center': [9.14209219438078e-08, -6.043192612992243e-09, 2.7146065058047952e-06], 'normal': [0.18281566236771835, -0.5065972055063732, -0.8425780112050075], 'radius': 9.389957002727818e-08}, 'confidence': 0.9712603092193632, 'timestamp': 3026.115288, 'diameter_3d': 1.8779914005455636e-07, 'ellipse': {'center': [180.77293589223612, 118.93605039036296], 'axes': [35.82360540146188, 42.9193101704201], 'angle': -67.52711491145075}, 'location': [180.77293589223612, 118.93605039036296], 'diameter': 42.9193101704201, 'sphere': {'center': [-2.193787856991698, 6.079166460033286, 10.110938849066596], 'radius': 12.0}, 'projected_sphere': {'center': [25.477529669718393, 492.77282174133467], 'axes': [1471.6734244094125, 1471.6734244094125], 'angle': 90.0}, 'model_confidence': 0.7715567582976202, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 1.0395628538889214, 'phi': -1.3571362578211206, 'norm_pos': [0.5649154246632379, 0.5044331233734877], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656496.174659,"{'circle_3d': {'center': [9.17551501444791e-08, -6.089353909999318e-09, 2.7147067775956657e-06], 'normal': [0.18281566239557068, -0.50659720551022, -0.8425780111966514], 'radius': 9.387798126022493e-08}, 'confidence': 1.0, 'timestamp': 3026.123688, 'diameter_3d': 1.8775596252044986e-07, 'ellipse': {'center': [180.8485809416946, 118.92538632501704], 'axes': [35.812604051851665, 42.90798850345664], 'angle': -67.51846882578458}, 'location': [180.8485809416946, 118.92538632501704], 'diameter': 42.90798850345664, 'sphere': {'center': [-2.193787856991698, 6.079166460033286, 10.110938849066596], 'radius': 12.0}, 'projected_sphere': {'center': [25.477529669718393, 492.77282174133467], 'axes': [1471.6734244094125, 1471.6734244094125], 'angle': 90.0}, 'model_confidence': 0.7715568215171609, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 1.0395628538844595, 'phi': -1.3571362577874957, 'norm_pos': [0.5651518154427956, 0.5044775569790956], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656496.1825101,"{'circle_3d': {'center': [9.146808155335862e-08, -6.30085050801199e-09, 2.7147716519237974e-06], 'normal': [0.18281566237164829, -0.5065972055278447, -0.8425780111912453], 'radius': 9.37688325659024e-08}, 'confidence': 0.9786525964736963, 'timestamp': 3026.132088, 'diameter_3d': 1.875376651318048e-07, 'ellipse': {'center': [180.7827503292748, 118.87635126274695], 'axes': [35.76936281082515, 42.85689623093518], 'angle': -67.52951553633325}, 'location': [180.7827503292748, 118.87635126274695], 'diameter': 42.85689623093518, 'sphere': {'center': [-2.193787856991698, 6.079166460033286, 10.110938849066596], 'radius': 12.0}, 'projected_sphere': {'center': [25.477529669718393, 492.77282174133467], 'axes': [1471.6734244094125, 1471.6734244094125], 'angle': 90.0}, 'model_confidence': 0.7715568691016306, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 1.0395628538640178, 'phi': -1.3571362578132815, 'norm_pos': [0.5649460947789837, 0.5046818697385544], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656496.189736,"{'circle_3d': {'center': [9.155615066092082e-08, -6.285015174967157e-09, 2.7147812424743734e-06], 'normal': [0.1828156623789874, -0.5065972055265251, -0.8425780111904462], 'radius': 9.438155290625762e-08}, 'confidence': 0.9780752658844019, 'timestamp': 3026.140488, 'diameter_3d': 1.8876310581251523e-07, 'ellipse': {'center': [180.80139741584327, 118.88410784028368], 'axes': [36.00296765632557, 43.13692578980821], 'angle': -67.5267952358935}, 'location': [180.80139741584327, 118.88410784028368], 'diameter': 43.13692578980821, 'sphere': {'center': [-2.193787856991698, 6.079166460033286, 10.110938849066596], 'radius': 12.0}, 'projected_sphere': {'center': [25.477529669718393, 492.77282174133467], 'axes': [1471.6734244094125, 1471.6734244094125], 'angle': 90.0}, 'model_confidence': 0.7715569154187696, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 1.0395628538655481, 'phi': -1.3571362578047663, 'norm_pos': [0.5650043669245102, 0.5046495506654847], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656496.202304,"{'circle_3d': {'center': [9.12543107745023e-08, -6.370994398707808e-09, 2.714767443734445e-06], 'normal': [0.18281566235383406, -0.50659720553369, -0.842578011191596], 'radius': 9.379268594837838e-08}, 'confidence': 1.0, 'timestamp': 3026.148888, 'diameter_3d': 1.8758537189675676e-07, 'ellipse': {'center': [180.733890065039, 118.8604854750626], 'axes': [35.778666491619944, 42.86776411984026], 'angle': -67.53647819628891}, 'location': [180.733890065039, 118.8604854750626], 'diameter': 42.86776411984026, 'sphere': {'center': [-2.193787856991698, 6.079166460033286, 10.110938849066596], 'radius': 12.0}, 'projected_sphere': {'center': [25.477529669718393, 492.77282174133467], 'axes': [1471.6734244094125, 1471.6734244094125], 'angle': 90.0}, 'model_confidence': 0.7715569806971634, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 1.0395628538572381, 'phi': -1.3571362578335597, 'norm_pos': [0.5647934064532468, 0.5047479771872392], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
