eye_packets,775
norm_X,norm_Y,phi,theta,confidence,timestamp
1581656496.123949,"{'circle_3d': {'center': [9.19894609374694e-08, -3.998217756873146e-09, 2.7135003275446934e-06], 'normal': [0.18281566241509659, -0.5065972053359586, -0.842578011297189], 'radius': 9.279752277980326e-08}, 'confidence': 0.8571644425392173, 'timestamp': 3026.064889, 'diameter_3d': 1.8559504555960652e-07, 'ellipse': {'center': [180.91381241308164, 119.3957656602528], 'axes': [35.431234893155946, 42.433340194675175], 'angle': -67.48180507793595}, 'location': [180.91381241308164, 119.3957656602528], 'diameter': 42.433340194675175, 'sphere': {'center': [-2.193787856991698, 6.079166460033286, 10.110938849066596], 'radius': 12.0}, 'projected_sphere': {'center': [25.477529669718393, 492.77282174133467], 'axes': [1471.6734244094125, 1471.6734244094125], 'angle': 90.0}, 'model_confidence': 0.7715566494882142, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 1.0395628540865762, 'phi': -1.357136257790089, 'norm_pos': [0.5653556637908801, 0.50251764308228], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656496.209565,"{'circle_3d': {'center': [9.122249755577627e-08, -6.564223831162508e-09, 2.7148767198781343e-06], 'normal': [0.18281566235118296, -0.5065972055497925, -0.8425780111824897], 'radius': 9.402326510266681e-08}, 'confidence': 0.9449928402900732, 'timestamp': 3026.157288, 'diameter_3d': 1.8804653020533363e-07, 'ellipse': {'center': [180.72526578123396, 118.81792878492152], 'axes': [35.86383871140133, 42.9714066316154], 'angle': -67.54012591610301}, 'location': [180.72526578123396, 118.81792878492152], 'diameter': 42.9714066316154, 'sphere': {'center': [-2.193787856991698, 6.079166460033286, 10.110938849066596], 'radius': 12.0}, 'projected_sphere': {'center': [25.477529669718393, 492.77282174133467], 'axes': [1471.6734244094125, 1471.6734244094125], 'angle': 90.0}, 'model_confidence': 0.771557008683954, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 1.0395628538385617, 'phi': -1.3571362578343251, 'norm_pos': [0.5647664555663561, 0.5049252967294937], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656496.2174878,"{'circle_3d': {'center': [9.103194642534618e-08, -7.079434816148478e-09, 2.715145145160136e-06], 'normal': [0.1828156623353037, -0.5065972055927267, -0.8425780111601209], 'radius': 9.29480028178409e-08}, 'confidence': 0.8598493933677696, 'timestamp': 3026.165688, 'diameter_3d': 1.858960056356818e-07, 'ellipse': {'center': [180.68214119488653, 118.6931162649069], 'axes': [35.44654905276592, 42.475435302477415], 'angle': -67.55289426983624}, 'location': [180.68214119488653, 118.6931162649069], 'diameter': 42.475435302477415, 'sphere': {'center': [-2.193787856991698, 6.079166460033286, 10.110938849066596], 'radius': 12.0}, 'projected_sphere': {'center': [25.477529669718393, 492.77282174133467], 'axes': [1471.6734244094125, 1471.6734244094125], 'angle': 90.0}, 'model_confidence': 0.771557013839097, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 1.0395628537887645, 'phi': -1.3571362578468227, 'norm_pos': [0.5646316912340203, 0.5054453488962212], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656496.226122,"{'circle_3d': {'center': [9.113125987170179e-08, -6.95340318657145e-09, 2.715090916538543e-06], 'normal': [0.18281566234357982, -0.5065972055822241, -0.8425780111646399], 'radius': 9.356765279791575e-08}, 'confidence': 1.0, 'timestamp': 3026.174088, 'diameter_3d': 1.871353055958315e-07, 'ellipse': {'center': [180.70383496937615, 118.7260306185494], 'axes': [35.6843915110569, 42.75962056176327], 'angle': -67.54828214721225}, 'location': [180.70383496937615, 118.7260306185494], 'diameter': 42.75962056176327, 'sphere': {'center': [-2.193787856991698, 6.079166460033286, 10.110938849066596], 'radius': 12.0}, 'projected_sphere': {'center': [25.477529669718393, 492.77282174133467], 'axes': [1471.6734244094125, 1471.6734244094125], 'angle': 90.0}, 'model_confidence': 0.7715570755558732, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 1.039562853800946, 'phi': -1.3571362578385533, 'norm_pos': [0.5646994842793005, 0.5053082057560442], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656496.233335,"{'circle_3d': {'center': [9.106362286459557e-08, -6.7330256925401955e-09, 2.714943741821685e-06], 'normal': [0.1828156623379434, -0.5065972055638593, -0.8425780111769045], 'radius': 9.425963646269941e-08}, 'confidence': 0.972452402114871, 'timestamp': 3026.182488, 'diameter_3d': 1.8851927292539882e-07, 'ellipse': {'center': [180.68792187992892, 118.7809844959659], 'axes': [35.95236944989347, 43.078309796105025], 'angle': -67.54696045487373}, 'location': [180.68792187992892, 118.7809844959659], 'diameter': 43.078309796105025, 'sphere': {'center': [-2.193787856991698, 6.079166460033286, 10.110938849066596], 'radius': 12.0}, 'projected_sphere': {'center': [25.477529669718393, 492.77282174133467], 'axes': [1471.6734244094125, 1471.6734244094125], 'angle': 90.0}, 'model_confidence': 0.7715571180967662, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 1.0395628538222461, 'phi': -1.3571362578479582, 'norm_pos': [0.5646497558747778, 0.5050792312668088], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656496.240983,"{'circle_3d': {'center': [9.085223284799326e-08, -6.96945434697227e-09, 2.715040025691451e-06], 'normal': [0.1828156623203276, -0.5065972055835617, -0.8425780111688808], 'radius': 9.460835758623417e-08}, 'confidence': 1.0, 'timestamp': 3026.190887, 'diameter_3d': 1.8921671517246834e-07, 'ellipse': {'center': [180.63810230554628, 118.72936936368001], 'axes': [36.08302367656184, 43.23606910815293], 'angle': -67.55621875007105}, 'location': [180.63810230554628, 118.72936936368001], 'diameter': 43.23606910815293, 'sphere': {'center': [-2.193787856991698, 6.079166460033286, 10.110938849066596], 'radius': 12.0}, 'projected_sphere': {'center': [25.477529669718393, 492.77282174133467], 'axes': [1471.6734244094125, 1471.6734244094125], 'angle': 90.0}, 'model_confidence': 0.7715571795089304, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 1.0395628537993946, 'phi': -1.357136257865952, 'norm_pos': [0.5644940697048322, 0.505294294318], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656496.2489212,"{'circle_3d': {'center': [9.097158137905126e-08, -6.813508868219742e-09, 2.7149721617547584e-06], 'normal': [0.18281566233027327, -0.5065972055705662, -0.8425780111745362], 'radius': 9.374126566342492e-08}, 'confidence': 1.0, 'timestamp': 3026.199287, 'diameter_3d': 1.8748253132684985e-07, 'ellipse': {'center': [180.6678639360331, 118.75911270748296], 'axes': [35.75381255227614, 42.84082018365895], 'angle': -67.55071240081843}, 'location': [180.6678639360331, 118.75911270748296], 'diameter': 42.84082018365895, 'sphere': {'center': [-2.193787856991698, 6.079166460033286, 10.110938849066596], 'radius': 12.0}, 'projected_sphere': {'center': [25.477529669718393, 492.77282174133467], 'axes': [1471.6734244094125, 1471.6734244094125], 'angle': 90.0}, 'model_confidence': 0.7715572449843111, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 1.0395628538144672, 'phi': -1.3571362578560697, 'norm_pos': [0.5645870748001034, 0.505170363718821], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656496.2575831,"{'circle_3d': {'center': [9.102038456276773e-08, -7.273976088129075e-09, 2.715259602936726e-06], 'normal': [0.1828156623343402, -0.5065972056089385, -0.8425780111505827], 'radius': 9.338503962544884e-08}, 'confidence': 1.0, 'timestamp': 3026.207687, 'diameter_3d': 1.867700792508977e-07, 'ellipse': {'center': [180.67764361184965, 118.65164164068699], 'axes': [35.61036142972281, 42.673381031985976], 'angle': -67.5559769359664}, 'location': [180.67764361184965, 118.65164164068699], 'diameter': 42.673381031985976, 'sphere': {'center': [-2.193787856991698, 6.079166460033286, 10.110938849066596], 'radius': 12.0}, 'projected_sphere': {'center': [25.477529669718393, 492.77282174133467], 'axes': [1471.6734244094125, 1471.6734244094125], 'angle': 90.0}, 'model_confidence': 0.771557303243886, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 1.0395628537699613, 'phi': -1.357136257845569, 'norm_pos': [0.5646176362870301, 0.5056181598304709], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656496.265617,"{'circle_3d': {'center': [9.079674079259803e-08, -6.9741599162398416e-09, 2.7150308170575954e-06], 'normal': [0.18281566231570323, -0.5065972055839538, -0.8425780111696483], 'radius': 9.384131291476035e-08}, 'confidence': 1.0, 'timestamp': 3026.216087, 'diameter_3d': 1.876826258295207e-07, 'ellipse': {'center': [180.62725146973162, 118.72310707676354], 'axes': [35.7905376531919, 42.885528026965304], 'angle': -67.55788091638868}, 'location': [180.62725146973162, 118.72310707676354], 'diameter': 42.885528026965304, 'sphere': {'center': [-2.193787856991698, 6.079166460033286, 10.110938849066596], 'radius': 12.0}, 'projected_sphere': {'center': [25.477529669718393, 492.77282174133467], 'axes': [1471.6734244094125, 1471.6734244094125], 'angle': 90.0}, 'model_confidence': 0.7715573684357935, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 1.0395628537989399, 'phi': -1.3571362578713824, 'norm_pos': [0.5644601608429113, 0.5053203871801519], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656496.274157,"{'circle_3d': {'center': [9.116440180534369e-08, -6.783762884765565e-09, 2.714996112374024e-06], 'normal': [0.18281566234634164, -0.5065972055680874, -0.8425780111725403], 'radius': 9.394465300717118e-08}, 'confidence': 0.9688061475753814, 'timestamp': 3026.224487, 'diameter_3d': 1.8788930601434235e-07, 'ellipse': {'center': [180.71126681804955, 118.76728518866574], 'axes': [35.83073460813094, 42.9335116475173], 'angle': -67.5449012115227}, 'location': [180.71126681804955, 118.76728518866574], 'diameter': 42.9335116475173, 'sphere': {'center': [-2.193787856991698, 6.079166460033286, 10.110938849066596], 'radius': 12.0}, 'projected_sphere': {'center': [25.477529669718393, 492.77282174133467], 'axes': [1471.6734244094125, 1471.6734244094125], 'angle': 90.0}, 'model_confidence': 0.7715574090494726, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 1.0395628538173425, 'phi': -1.3571362578373658, 'norm_pos': [0.5647227088064048, 0.5051363117138927], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656496.285524,"{'circle_3d': {'center': [9.146931123638069e-08, -7.000445556570867e-09, 2.7151925490187523e-06], 'normal': [0.18281566237175076, -0.5065972055861443, -0.8425780111561706], 'radius': 9.38526201879037e-08}, 'confidence': 1.0, 'timestamp': 3026.232887, 'diameter_3d': 1.877052403758074e-07, 'ellipse': {'center': [180.7796341442388, 118.71723618675716], 'axes': [35.79035281756848, 42.888422809252035], 'angle': -67.53952649473302}, 'location': [180.7796341442388, 118.71723618675716], 'diameter': 42.888422809252035, 'sphere': {'center': [-2.193787856991698, 6.079166460033286, 10.110938849066596], 'radius': 12.0}, 'projected_sphere': {'center': [25.477529669718393, 492.77282174133467], 'axes': [1471.6734244094125, 1471.6734244094125], 'angle': 90.0}, 'model_confidence': 0.7715574734057373, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 1.0395628537963992, 'phi': -1.3571362578045394, 'norm_pos': [0.5649363567007463, 0.5053448492218451], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656496.294581,"{'circle_3d': {'center': [9.100813658236007e-08, -6.9602927865730635e-09, 2.7150683443721846e-06], 'normal': [0.18281566233331953, -0.5065972055827982, -0.8425780111665209], 'radius': 9.40537783775115e-08}, 'confidence': 0.911816537380222, 'timestamp': 3026.241287, 'diameter_3d': 1.88107556755023e-07, 'ellipse': {'center': [180.67477291542002, 118.72771979335293], 'axes': [35.87055786588003, 42.982156909100524], 'angle': -67.55177950260726}, 'location': [180.67477291542002, 118.72771979335293], 'diameter': 42.982156909100524, 'sphere': {'center': [-2.193787856991698, 6.079166460033286, 10.110938849066596], 'radius': 12.0}, 'projected_sphere': {'center': [25.477529669718393, 492.77282174133467], 'axes': [1471.6734244094125, 1471.6734244094125], 'angle': 90.0}, 'model_confidence': 0.7715574894275767, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 1.0395628538002801, 'phi': -1.3571362578506456, 'norm_pos': [0.5646086653606875, 0.5053011675276962], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656496.302536,"{'circle_3d': {'center': [9.12130082575402e-08, -7.004104851660031e-09, 2.715139137521305e-06], 'normal': [0.18281566235039218, -0.5065972055864493, -0.8425780111606215], 'radius': 9.355037548905902e-08}, 'confidence': 1.0, 'timestamp': 3026.249687, 'diameter_3d': 1.8710075097811804e-07, 'ellipse': {'center': [180.72218190480953, 118.71435006536615], 'axes': [35.676509013185154, 42.75098802195177], 'angle': -67.54673397307096}, 'location': [180.72218190480953, 118.71435006536615], 'diameter': 42.75098802195177, 'sphere': {'center': [-2.193787856991698, 6.079166460033286, 10.110938849066596], 'radius': 12.0}, 'projected_sphere': {'center': [25.477529669718393, 492.77282174133467], 'axes': [1471.6734244094125, 1471.6734244094125], 'angle': 90.0}, 'model_confidence': 0.7715575529135488, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 1.0395628537960455, 'phi': -1.3571362578298434, 'norm_pos': [0.5647568184525298, 0.5053568747276411], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656496.309563,"{'circle_3d': {'center': [9.179882587417865e-08, -7.181042427362172e-09, 2.7153726289697033e-06], 'normal': [0.18281566239921032, -0.506597205601194, -0.8425780111411639], 'radius': 9.382785538345829e-08}, 'confidence': 1.0, 'timestamp': 3026.258087, 'diameter_3d': 1.8765571076691658e-07, 'ellipse': {'center': [180.85358312091515, 118.67588379262818], 'axes': [35.77606556796771, 42.874364535742096], 'angle': -67.53295053217074}, 'location': [180.85358312091515, 118.67588379262818], 'diameter': 42.874364535742096, 'sphere': {'center': [-2.193787856991698, 6.079166460033286, 10.110938849066596], 'radius': 12.0}, 'projected_sphere': {'center': [25.477529669718393, 492.77282174133467], 'axes': [1471.6734244094125, 1471.6734244094125], 'angle': 90.0}, 'model_confidence': 0.7715576183131234, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 1.0395628537789439, 'phi': -1.3571362577697241, 'norm_pos': [0.5651674472528598, 0.5055171508640492], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656496.317373,"{'circle_3d': {'center': [9.165897285612346e-08, -7.05223879293726e-09, 2.7152648414130454e-06], 'normal': [0.1828156623875559, -0.5065972055904604, -0.8425780111501462], 'radius': 9.458374384531056e-08}, 'confidence': 0.95052003860474, 'timestamp': 3026.266487, 'diameter_3d': 1.8916748769062112e-07, 'ellipse': {'center': [180.82073330356832, 118.7103715001474], 'axes': [36.067378115590294, 43.22156727772033], 'angle': -67.53494444861144}, 'location': [180.82073330356832, 118.7103715001474], 'diameter': 43.22156727772033, 'sphere': {'center': [-2.193787856991698, 6.079166460033286, 10.110938849066596], 'radius': 12.0}, 'projected_sphere': {'center': [25.477529669718393, 492.77282174133467], 'axes': [1471.6734244094125, 1471.6734244094125], 'angle': 90.0}, 'model_confidence': 0.7715576477292263, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 1.039562853791393, 'phi': -1.3571362577851431, 'norm_pos': [0.565064791573651, 0.5053734520827191], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656496.32822,"{'circle_3d': {'center': [9.132549427803838e-08, -7.1961521186381106e-09, 2.71527901318791e-06], 'normal': [0.18281566235976604, -0.5065972056024531, -0.8425780111489652], 'radius': 9.377394121284149e-08}, 'confidence': 1.0, 'timestamp': 3026.274887, 'diameter_3d': 1.8754788242568297e-07, 'ellipse': {'center': [180.7463046705468, 118.67203504823797], 'axes': [35.758131366625385, 42.850993238849966], 'angle': -67.54634251889009}, 'location': [180.7463046705468, 118.67203504823797], 'diameter': 42.850993238849966, 'sphere': {'center': [-2.193787856991698, 6.079166460033286, 10.110938849066596], 'radius': 12.0}, 'projected_sphere': {'center': [25.477529669718393, 492.77282174133467], 'axes': [1471.6734244094125, 1471.6734244094125], 'angle': 90.0}, 'model_confidence': 0.7715577061023215, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 1.0395628537774835, 'phi': -1.3571362578163517, 'norm_pos': [0.5648322020954588, 0.5055331872990084], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
