eye_packets,775
norm_X,norm_Y,phi,theta,confidence,timestamp
1581655304.129196,"{'circle_3d': {'center': [6.330477222061525, -2.7548291268327096, 59.51759294166055], 'normal': [0.6872257373363235, 0.2563047809548465, -0.6797268901568002], 'radius': 1.8028825654190606}, 'confidence': 0.04125781893243892, 'timestamp': 1834.089867, 'diameter_3d': 3.605765130838121, 'ellipse': {'center': [225.71182759914686, 91.1893686848379], 'axes': [23.177885104497282, 37.67657165890874], 'angle': 17.09499918590313}, 'location': [225.71182759914686, 91.1893686848379], 'diameter': 37.67657165890874, 'sphere': {'center': [-1.9162316259743581, -5.830486498290868, 67.67431562354216], 'radius': 12.0}, 'projected_sphere': {'center': [142.4443941965657, 66.58384653567435], 'axes': [219.8766232491257, 219.8766232491257], 'angle': 90.0}, 'model_confidence': 0.469686131936331, 'model_id': 1, 'model_birth_timestamp': 1614.061823, 'theta': 1.829993660973436, 'phi': -0.7799124049254641, 'norm_pos': [0.7053494612473339, 0.6200442971465088], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581655304.1374578,"{'circle_3d': {'center': [6.201135636365414, -2.7502595897941644, 59.39056339882736], 'normal': [0.6764472718616478, 0.2566855757080586, -0.6903126853928997], 'radius': 1.8417532122875313}, 'confidence': 0.010006190500987078, 'timestamp': 1834.098267, 'diameter_3d': 3.6835064245750626, 'ellipse': {'center': [224.4899877178631, 91.16886243580032], 'axes': [24.230473769014452, 38.57079898412883], 'angle': 17.314390321328418}, 'location': [224.4899877178631, 91.16886243580032], 'diameter': 38.57079898412883, 'sphere': {'center': [-1.9162316259743581, -5.830486498290868, 67.67431562354216], 'radius': 12.0}, 'projected_sphere': {'center': [142.4443941965657, 66.58384653567435], 'axes': [219.8766232491257, 219.8766232491257], 'angle': 90.0}, 'model_confidence': 0.469686131936331, 'model_id': 1, 'model_birth_timestamp': 1614.061823, 'theta': 1.8303876359618196, 'phi': -0.795542547443307, 'norm_pos': [0.7015312116183222, 0.620129739850832], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581655304.144458,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 1834.106667, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-1.9162316259743581, -5.830486498290868, 67.67431562354216], 'radius': 12.0}, 'projected_sphere': {'center': [142.4443941965657, 66.58384653567435], 'axes': [219.8766232491257, 219.8766232491257], 'angle': 90.0}, 'model_confidence': 0.469686131936331, 'model_id': 1, 'model_birth_timestamp': 1614.061823, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581655304.157207,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 1834.115067, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-1.9162316259743581, -5.830486498290868, 67.67431562354216], 'radius': 12.0}, 'projected_sphere': {'center': [142.4443941965657, 66.58384653567435], 'axes': [219.8766232491257, 219.8766232491257], 'angle': 90.0}, 'model_confidence': 0.469686131936331, 'model_id': 1, 'model_birth_timestamp': 1614.061823, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581655304.16386,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 1834.123467, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-1.9162316259743581, -5.830486498290868, 67.67431562354216], 'radius': 12.0}, 'projected_sphere': {'center': [142.4443941965657, 66.58384653567435], 'axes': [219.8766232491257, 219.8766232491257], 'angle': 90.0}, 'model_confidence': 0.469686131936331, 'model_id': 1, 'model_birth_timestamp': 1614.061823, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581655304.169336,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 1834.131867, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-1.9162316259743581, -5.830486498290868, 67.67431562354216], 'radius': 12.0}, 'projected_sphere': {'center': [142.4443941965657, 66.58384653567435], 'axes': [219.8766232491257, 219.8766232491257], 'angle': 90.0}, 'model_confidence': 0.469686131936331, 'model_id': 1, 'model_birth_timestamp': 1614.061823, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581655304.176734,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 1834.140267, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-1.9162316259743581, -5.830486498290868, 67.67431562354216], 'radius': 12.0}, 'projected_sphere': {'center': [142.4443941965657, 66.58384653567435], 'axes': [219.8766232491257, 219.8766232491257], 'angle': 90.0}, 'model_confidence': 0.469686131936331, 'model_id': 1, 'model_birth_timestamp': 1614.061823, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581655304.1885738,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 1834.148667, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-1.9162316259743581, -5.830486498290868, 67.67431562354216], 'radius': 12.0}, 'projected_sphere': {'center': [142.4443941965657, 66.58384653567435], 'axes': [219.8766232491257, 219.8766232491257], 'angle': 90.0}, 'model_confidence': 0.469686131936331, 'model_id': 1, 'model_birth_timestamp': 1614.061823, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581655304.197918,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 1834.157067, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-1.9162316259743581, -5.830486498290868, 67.67431562354216], 'radius': 12.0}, 'projected_sphere': {'center': [142.4443941965657, 66.58384653567435], 'axes': [219.8766232491257, 219.8766232491257], 'angle': 90.0}, 'model_confidence': 0.469686131936331, 'model_id': 1, 'model_birth_timestamp': 1614.061823, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581655304.2054908,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 1834.165467, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-1.9162316259743581, -5.830486498290868, 67.67431562354216], 'radius': 12.0}, 'projected_sphere': {'center': [142.4443941965657, 66.58384653567435], 'axes': [219.8766232491257, 219.8766232491257], 'angle': 90.0}, 'model_confidence': 0.469686131936331, 'model_id': 1, 'model_birth_timestamp': 1614.061823, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581655304.214735,"{'circle_3d': {'center': [0.0, -0.0, 0.0], 'normal': [0.0, -0.0, 0.0], 'radius': 0.0}, 'confidence': 0.0, 'timestamp': 1834.173867, 'diameter_3d': 0.0, 'ellipse': {'center': [160.0, 120.0], 'axes': [0.0, 0.0], 'angle': 90.0}, 'location': [160.0, 120.0], 'diameter': 0.0, 'sphere': {'center': [-1.9162316259743581, -5.830486498290868, 67.67431562354216], 'radius': 12.0}, 'projected_sphere': {'center': [142.4443941965657, 66.58384653567435], 'axes': [219.8766232491257, 219.8766232491257], 'angle': 90.0}, 'model_confidence': 0.469686131936331, 'model_id': 1, 'model_birth_timestamp': 1614.061823, 'theta': 0.0, 'phi': 0.0, 'norm_pos': [0.5, 0.5], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
