eye_packets,776
norm_X,norm_Y,phi,theta,confidence,timestamp
1581656464.0533068,"{'circle_3d': {'center': [100.91537125249724, -12.14707779402373, 3147.746874031704], 'normal': [0.6428896276364924, 0.4980624449179484, -0.5819164266797835], 'radius': 97.22777522542818}, 'confidence': 1.1196782892186619e-05, 'timestamp': 2994.01054, 'diameter_3d': 194.45555045085635, 'ellipse': {'center': [179.66804191790226, 117.43437435108677], 'axes': [21.580527524476462, 38.32283120391916], 'angle': 36.89377469975272}, 'location': [179.66804191790226, 117.43437435108677], 'diameter': 38.32283120391916, 'sphere': {'center': [93.20069572085933, -18.12382713303911, 3154.7298711518615], 'radius': 12.0}, 'projected_sphere': {'center': [178.31676045398916, 116.43811886233497], 'axes': [4.716727139166113, 4.716727139166113], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2984.577338, 'theta': 2.0921592477336475, 'phi': -0.7356573029846647, 'norm_pos': [0.5614626309934445, 0.5106901068704718], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656464.061373,"{'circle_3d': {'center': [101.11552837860302, -12.101039093404147, 3148.015599171256], 'normal': [0.6595693881453067, 0.5018990033029137, -0.5595226650504584], 'radius': 97.05958404949591}, 'confidence': 0.06954762753881219, 'timestamp': 2994.01894, 'diameter_3d': 194.11916809899182, 'ellipse': {'center': [179.71001353013426, 117.44952956090752], 'axes': [20.663698150744196, 38.25356090523111], 'angle': 36.45360273985478}, 'location': [179.71001353013426, 117.44952956090752], 'diameter': 38.25356090523111, 'sphere': {'center': [93.20069572085933, -18.12382713303911, 3154.7298711518615], 'radius': 12.0}, 'projected_sphere': {'center': [178.31676045398916, 116.43811886233497], 'axes': [4.716727139166113, 4.716727139166113], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2984.577338, 'theta': 2.096589274084006, 'phi': -0.7035150736670263, 'norm_pos': [0.5615937922816696, 0.5106269601628853], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656464.068866,"{'circle_3d': {'center': [101.31627677521288, -12.430869564391053, 3147.9676541875965], 'normal': [0.6762984211961297, 0.4744131307206716, -0.5635180803553985], 'radius': 97.11779029564356}, 'confidence': 0.32899028428802973, 'timestamp': 2994.02734, 'diameter_3d': 194.23558059128712, 'ellipse': {'center': [179.74242180027176, 117.3922570241549], 'axes': [20.805233662513174, 38.276353517810364], 'angle': 34.255742230665625}, 'location': [179.74242180027176, 117.3922570241549], 'diameter': 38.276353517810364, 'sphere': {'center': [93.20069572085933, -18.12382713303911, 3154.7298711518615], 'radius': 12.0}, 'projected_sphere': {'center': [178.31676045398916, 116.43811886233497], 'axes': [4.716727139166113, 4.716727139166113], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2984.577338, 'theta': 2.0650935707840525, 'phi': -0.6946824794558646, 'norm_pos': [0.5616950681258492, 0.510865595732688], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656464.078828,"{'circle_3d': {'center': [100.71444032095361, -12.48350159960205, 3147.264593530673], 'normal': [0.6261453833411902, 0.47002712778642175, -0.6221064684323422], 'radius': 97.29990888966964}, 'confidence': 4.466221746879384e-05, 'timestamp': 2994.03574, 'diameter_3d': 194.59981777933928, 'ellipse': {'center': [179.62105550905108, 117.36597538494948], 'axes': [23.16005958217662, 38.355985289334335], 'angle': 35.93973559266011}, 'location': [179.62105550905108, 117.36597538494948], 'diameter': 38.355985289334335, 'sphere': {'center': [93.20069572085933, -18.12382713303911, 3154.7298711518615], 'radius': 12.0}, 'projected_sphere': {'center': [178.31676045398916, 116.43811886233497], 'axes': [4.716727139166113, 4.716727139166113], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2984.577338, 'theta': 2.060117838966273, 'phi': -0.7821625176356658, 'norm_pos': [0.5613157984657846, 0.5109751025627105], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656464.08534,"{'circle_3d': {'center': [100.95587722922083, -12.678158087823759, 3147.3676806882595], 'normal': [0.6462651256967917, 0.453805753767946, -0.6135158719668272], 'radius': 96.26049676802955}, 'confidence': 0.3540839029330808, 'timestamp': 2994.04414, 'diameter_3d': 192.5209935360591, 'ellipse': {'center': [179.66882485646914, 117.33950871954478], 'axes': [22.558590198626522, 37.94442358974253], 'angle': 34.17196811717056}, 'location': [179.66882485646914, 117.33950871954478], 'diameter': 37.94442358974253, 'sphere': {'center': [93.20069572085933, -18.12382713303911, 3154.7298711518615], 'radius': 12.0}, 'projected_sphere': {'center': [178.31676045398916, 116.43811886233497], 'axes': [4.716727139166113, 4.716727139166113], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2984.577338, 'theta': 2.041827890532271, 'phi': -0.7594080273671773, 'norm_pos': [0.561465077676466, 0.5110853803352301], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656464.093399,"{'circle_3d': {'center': [101.58739706334167, -12.605392473372603, 3148.156430690505], 'normal': [0.6988917785401947, 0.459869554972209, -0.5477867051130265], 'radius': 97.10822066399007}, 'confidence': 0.7778202833319485, 'timestamp': 2994.05254, 'diameter_3d': 194.21644132798014, 'ellipse': {'center': [179.79402501036105, 117.36712599627865], 'axes': [20.16926315278741, 38.27010280720334], 'angle': 32.607099937550934}, 'location': [179.79402501036105, 117.36712599627865], 'diameter': 38.27010280720334, 'sphere': {'center': [93.20069572085933, -18.12382713303911, 3154.7298711518615], 'radius': 12.0}, 'projected_sphere': {'center': [178.31676045398916, 116.43811886233497], 'axes': [4.716727139166113, 4.716727139166113], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2984.577338, 'theta': 2.048644619935046, 'phi': -0.6647804000188504, 'norm_pos': [0.5618563281573783, 0.510970308348839], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656464.1016572,"{'circle_3d': {'center': [101.55236410427452, -12.64619062464115, 3148.078169602985], 'normal': [0.6959723652845995, 0.4564697090331635, -0.5543084624063925], 'radius': 96.92631288058008}, 'confidence': 0.16434609402371905, 'timestamp': 2994.06094, 'diameter_3d': 193.85262576116017, 'ellipse': {'center': [179.7865406685211, 117.35894208819447], 'axes': [20.384491105443733, 38.199156554561775], 'angle': 32.510476697132226}, 'location': [179.7865406685211, 117.35894208819447], 'diameter': 38.199156554561775, 'sphere': {'center': [93.20069572085933, -18.12382713303911, 3154.7298711518615], 'radius': 12.0}, 'projected_sphere': {'center': [178.31676045398916, 116.43811886233497], 'axes': [4.716727139166113, 4.716727139166113], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2984.577338, 'theta': 2.0448196853004665, 'phi': -0.6725736748162979, 'norm_pos': [0.5618329395891284, 0.5110044079658564], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656464.11329,"{'circle_3d': {'center': [100.56935454526449, -12.644170100802647, 3147.004832256259], 'normal': [0.6140549020337637, 0.4566380860197054, -0.6437532413002399], 'radius': 97.22101506164051}, 'confidence': 0.2855774088819728, 'timestamp': 2994.06934, 'diameter_3d': 194.44203012328103, 'ellipse': {'center': [179.59048394245113, 117.3335036396271], 'axes': [23.986835032168095, 38.32743666127818], 'angle': 35.63000640920349}, 'location': [179.59048394245113, 117.3335036396271], 'diameter': 38.32743666127818, 'sphere': {'center': [93.20069572085933, -18.12382713303911, 3154.7298711518615], 'radius': 12.0}, 'projected_sphere': {'center': [178.31676045398916, 116.43811886233497], 'axes': [4.716727139166113, 4.716727139166113], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2984.577338, 'theta': 2.0450089376216254, 'phi': -0.8090049610211686, 'norm_pos': [0.5612202623201598, 0.5111104015015537], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656464.121444,"{'circle_3d': {'center': [100.86536125744277, -13.0015850518007, 3147.0477140151256], 'normal': [0.6387221280486203, 0.4268535067698677, -0.6401797613946479], 'radius': 96.54765878156033}, 'confidence': 0.7790603386471042, 'timestamp': 2994.07774, 'diameter_3d': 193.09531756312066, 'ellipse': {'center': [179.64379376433524, 117.27758589153567], 'axes': [23.649855701797968, 38.060546599729214], 'angle': 32.807643886827414}, 'location': [179.64379376433524, 117.27758589153567], 'diameter': 38.060546599729214, 'sphere': {'center': [93.20069572085933, -18.12382713303911, 3154.7298711518615], 'radius': 12.0}, 'projected_sphere': {'center': [178.31676045398916, 116.43811886233497], 'axes': [4.716727139166113, 4.716727139166113], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2984.577338, 'theta': 2.0118068353862446, 'phi': -0.7865379167490433, 'norm_pos': [0.5613868555135476, 0.5113433921186015], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656464.129162,"{'circle_3d': {'center': [101.06427049297122, -12.720305405954223, 3147.4520868222507], 'normal': [0.6552978976759909, 0.45029347725707397, -0.6064820274675577], 'radius': 96.42990214112363}, 'confidence': 0.6228147211536023, 'timestamp': 2994.08614, 'diameter_3d': 192.85980428224727, 'ellipse': {'center': [179.6885128997989, 117.33378026291942], 'axes': [22.318535613799163, 38.01020603348359], 'angle': 33.61646893607802}, 'location': [179.6885128997989, 117.33378026291942], 'diameter': 38.01020603348359, 'sphere': {'center': [93.20069572085933, -18.12382713303911, 3154.7298711518615], 'radius': 12.0}, 'projected_sphere': {'center': [178.31676045398916, 116.43811886233497], 'axes': [4.716727139166113, 4.716727139166113], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2984.577338, 'theta': 2.0378903244997892, 'phi': -0.7467293466557974, 'norm_pos': [0.5615266028118715, 0.5111092489045024], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656464.136066,"{'circle_3d': {'center': [101.70356792076223, -12.637582181854132, 3148.279888152836], 'normal': [0.7085726833252409, 0.4571870792654149, -0.5374985832521115], 'radius': 97.43197104593199}, 'confidence': 2.0073430703204664e-06, 'timestamp': 2994.09454, 'diameter_3d': 194.86394209186398, 'ellipse': {'center': [179.81612126538698, 117.36352675844765], 'axes': [19.827903238002897, 38.396328638613525], 'angle': 32.12005532116007}, 'location': [179.81612126538698, 117.36352675844765], 'diameter': 38.396328638613525, 'sphere': {'center': [93.20069572085933, -18.12382713303911, 3154.7298711518615], 'radius': 12.0}, 'projected_sphere': {'center': [178.31676045398916, 116.43811886233497], 'axes': [4.716727139166113, 4.716727139166113], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2984.577338, 'theta': 2.045626122669561, 'phi': -0.6489603414221194, 'norm_pos': [0.5619253789543344, 0.5109853051731348], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656464.144923,"{'circle_3d': {'center': [101.5297269658968, -12.739208324928596, 3147.974642154223], 'normal': [0.6940859370864555, 0.4487182340092096, -0.5629357498031842], 'radius': 97.71902553233222}, 'confidence': 0.6944617267228601, 'timestamp': 2994.10294, 'diameter_3d': 195.43805106466445, 'ellipse': {'center': [179.77607173683776, 117.33832432845631], 'axes': [20.886026826090493, 38.51274659009962], 'angle': 32.12115940349592}, 'location': [179.77607173683776, 117.33832432845631], 'diameter': 38.51274659009962, 'sphere': {'center': [93.20069572085933, -18.12382713303911, 3154.7298711518615], 'radius': 12.0}, 'projected_sphere': {'center': [178.31676045398916, 116.43811886233497], 'axes': [4.716727139166113, 4.716727139166113], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2984.577338, 'theta': 2.0361268816607936, 'phi': -0.6814402205021391, 'norm_pos': [0.561800224177618, 0.5110903152980988], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656464.153009,"{'circle_3d': {'center': [101.12191670940305, -12.634394274440215, 3147.5800190595737], 'normal': [0.6601017490453107, 0.4574527382165746, -0.5958210076906315], 'radius': 97.6760818246044}, 'confidence': 1.7735873744872954e-05, 'timestamp': 2994.11134, 'diameter_3d': 195.3521636492088, 'ellipse': {'center': [179.69607427796487, 117.34693714267749], 'axes': [22.190489237289615, 38.50046317157929], 'angle': 33.863902828525916}, 'location': [179.69607427796487, 117.34693714267749], 'diameter': 38.50046317157929, 'sphere': {'center': [93.20069572085933, -18.12382713303911, 3154.7298711518615], 'radius': 12.0}, 'projected_sphere': {'center': [178.31676045398916, 116.43811886233497], 'axes': [4.716727139166113, 4.716727139166113], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2984.577338, 'theta': 2.04592485007229, 'phi': -0.7342607037030867, 'norm_pos': [0.5615502321186402, 0.5110544285721772], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656464.160919,"{'circle_3d': {'center': [101.02921406138209, -12.493753202282846, 3147.587282816649], 'normal': [0.6523765283768967, 0.469172827563022, -0.5952156946010638], 'radius': 97.04765264739461}, 'confidence': 0.7624979353189226, 'timestamp': 2994.11974, 'diameter_3d': 194.09530529478923, 'ellipse': {'center': [179.68357555552043, 117.37282064794856], 'axes': [22.035411504070723, 38.252829245546245], 'angle': 34.85056100054044}, 'location': [179.68357555552043, 117.37282064794856], 'diameter': 38.252829245546245, 'sphere': {'center': [93.20069572085933, -18.12382713303911, 3154.7298711518615], 'radius': 12.0}, 'projected_sphere': {'center': [178.31676045398916, 116.43811886233497], 'axes': [4.716727139166113, 4.716727139166113], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2984.577338, 'theta': 2.0591502092080587, 'phi': -0.7396132619920539, 'norm_pos': [0.5615111736110013, 0.5109465806335477], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656464.169132,"{'circle_3d': {'center': [101.19594355315645, -12.861516057658505, 3147.492185455033], 'normal': [0.6662706526914269, 0.43852592294838383, -0.6031404747357021], 'radius': 98.10204641613007}, 'confidence': 0.6456983068074924, 'timestamp': 2994.12814, 'diameter_3d': 196.20409283226013, 'ellipse': {'center': [179.7039397339317, 117.30553860864411], 'axes': [22.561054318921872, 38.66896607935285], 'angle': 32.49918336000481}, 'location': [179.7039397339317, 117.30553860864411], 'diameter': 38.66896607935285, 'sphere': {'center': [93.20069572085933, -18.12382713303911, 3154.7298711518615], 'radius': 12.0}, 'projected_sphere': {'center': [178.31676045398916, 116.43811886233497], 'axes': [4.716727139166113, 4.716727139166113], 'angle': 90.0}, 'model_confidence': 1.0, 'model_id': 1, 'model_birth_timestamp': 2984.577338, 'theta': 2.0247541438017502, 'phi': -0.7357072414016939, 'norm_pos': [0.5615748116685365, 0.5112269224639829], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
