eye_packets,773
norm_X,norm_Y,phi,theta,confidence,timestamp
1581654391.563628,"{'circle_3d': {'center': [-0.00020174758904367707, 2.810676690589986e-05, 0.0029517310389515217], 'normal': [-0.3381702724394851, 0.5541071748298376, -0.7606616236147977], 'radius': 0.00011972811557033935}, 'confidence': 0.9999999998827022, 'timestamp': 921.517196, 'diameter_3d': 0.0002394562311406787, 'ellipse': {'center': [117.85685577379803, 125.47757052958944], 'axes': [36.80898812251055, 50.37932253944877], 'angle': -55.485323617924315}, 'location': [117.85685577379803, 125.47757052958944], 'diameter': 50.37932253944877, 'sphere': {'center': [4.057841521684778, -6.649257991191146, 9.130891214416524], 'radius': 12.0}, 'projected_sphere': {'center': [435.5329884417344, -331.4937104966862], 'axes': [1629.6328201245417, 1629.6328201245417], 'angle': 90.0}, 'model_confidence': 0.9838947795062336, 'model_id': 1, 'model_birth_timestamp': 918.728413, 'theta': 2.1580863765103033, 'phi': -1.9891287179498436, 'norm_pos': [0.36830267429311886, 0.47717678946004394], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654391.572414,"{'circle_3d': {'center': [-0.00020162066825424318, 2.77956129206558e-05, 0.0029514479518599757], 'normal': [-0.3381702618627527, 0.5541071489003389, -0.7606616472053886], 'radius': 0.0001189334337301675}, 'confidence': 0.9999999999628659, 'timestamp': 921.525596, 'diameter_3d': 0.000237866867460335, 'ellipse': {'center': [117.87642547834415, 125.41829083558322], 'axes': [36.57130687351059, 50.04957832606936], 'angle': -55.48305469469194}, 'location': [117.87642547834415, 125.41829083558322], 'diameter': 50.04957832606936, 'sphere': {'center': [4.057841521684778, -6.649257991191146, 9.130891214416524], 'radius': 12.0}, 'projected_sphere': {'center': [435.5329884417344, -331.4937104966862], 'axes': [1629.6328201245417, 1629.6328201245417], 'angle': 90.0}, 'model_confidence': 0.9839044619609272, 'model_id': 1, 'model_birth_timestamp': 918.728413, 'theta': 2.1580863453617134, 'phi': -1.9891286948275428, 'norm_pos': [0.36836382961982544, 0.4774237881850699], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654391.5801752,"{'circle_3d': {'center': [-0.00020135217657557547, 2.762656894894633e-05, 0.0029512054467097926], 'normal': [-0.33817023948844616, 0.5541071348133412, -0.7606616674141512], 'radius': 0.00011941898086643105}, 'confidence': 0.9999999999212091, 'timestamp': 921.533996, 'diameter_3d': 0.0002388379617328621, 'ellipse': {'center': [117.9313099313939, 125.37971945481144], 'axes': [36.726923027563046, 50.25808726356689], 'angle': -55.484680670752745}, 'location': [117.9313099313939, 125.37971945481144], 'diameter': 50.25808726356689, 'sphere': {'center': [4.057841521684778, -6.649257991191146, 9.130891214416524], 'radius': 12.0}, 'projected_sphere': {'center': [435.5329884417344, -331.4937104966862], 'axes': [1629.6328201245417, 1629.6328201245417], 'angle': 90.0}, 'model_confidence': 0.983866689375712, 'model_id': 1, 'model_birth_timestamp': 918.728413, 'theta': 2.158086328439284, 'phi': -1.9891286604055014, 'norm_pos': [0.3685353435356059, 0.47758450227161897], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654391.5877702,"{'circle_3d': {'center': [-0.00020166312876224168, 2.754827669093629e-05, 0.0029512866555894135], 'normal': [-0.3381702654011284, 0.5541071282889863, -0.7606616606467446], 'radius': 0.00012009357803851595}, 'confidence': 0.9999999998958748, 'timestamp': 921.542396, 'diameter_3d': 0.0002401871560770319, 'ellipse': {'center': [117.86972362871627, 125.35831514985583], 'axes': [36.932467811368156, 50.54104708712504], 'angle': -55.47900716029755}, 'location': [117.86972362871627, 125.35831514985583], 'diameter': 50.54104708712504, 'sphere': {'center': [4.057841521684778, -6.649257991191146, 9.130891214416524], 'radius': 12.0}, 'projected_sphere': {'center': [435.5329884417344, -331.4937104966862], 'axes': [1629.6328201245417, 1629.6328201245417], 'angle': 90.0}, 'model_confidence': 0.9838004486877994, 'model_id': 1, 'model_birth_timestamp': 918.728413, 'theta': 2.158086320601707, 'phi': -1.9891286921521416, 'norm_pos': [0.36834288633973833, 0.47767368687560074], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654391.596386,"{'circle_3d': {'center': [-0.00020202085638576506, 2.7805193651531113e-05, 0.0029516328441658857], 'normal': [-0.33817029521176367, 0.5541071496987331, -0.7606616317976965], 'radius': 0.00012033395089262647}, 'confidence': 0.9999999999170179, 'timestamp': 921.550796, 'diameter_3d': 0.00024066790178525294, 'ellipse': {'center': [117.80038723090937, 125.41002093155966], 'axes': [36.99772554548138, 50.636443733905054], 'angle': -55.47720297656167}, 'location': [117.80038723090937, 125.41002093155966], 'diameter': 50.636443733905054, 'sphere': {'center': [4.057841521684778, -6.649257991191146, 9.130891214416524], 'radius': 12.0}, 'projected_sphere': {'center': [435.5329884417344, -331.4937104966862], 'axes': [1629.6328201245417, 1629.6328201245417], 'angle': 90.0}, 'model_confidence': 0.9837585504889113, 'model_id': 1, 'model_birth_timestamp': 918.728413, 'theta': 2.1580863463208084, 'phi': -1.9891287389534729, 'norm_pos': [0.36812621009659174, 0.4774582461185014], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654391.6050339,"{'circle_3d': {'center': [-0.00020125308115925833, 2.739527864825675e-05, 0.002950992907116756], 'normal': [-0.3381702312304947, 0.5541071155391495, -0.7606616851257839], 'radius': 0.00011997662533073021}, 'confidence': 0.9999999998858038, 'timestamp': 921.559196, 'diameter_3d': 0.00023995325066146042, 'ellipse': {'center': [117.95130359807331, 125.32747489398054], 'axes': [36.90394620490915, 50.49662779035747], 'angle': -55.482974119309425}, 'location': [117.95130359807331, 125.32747489398054], 'diameter': 50.49662779035747, 'sphere': {'center': [4.057841521684778, -6.649257991191146, 9.130891214416524], 'radius': 12.0}, 'projected_sphere': {'center': [435.5329884417344, -331.4937104966862], 'axes': [1629.6328201245417, 1629.6328201245417], 'angle': 90.0}, 'model_confidence': 0.983681709620543, 'model_id': 1, 'model_birth_timestamp': 918.728413, 'theta': 2.1580863052855825, 'phi': -1.9891286426974657, 'norm_pos': [0.3685978237439791, 0.4778021879417478], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654391.6161122,"{'circle_3d': {'center': [-0.00020236427440689653, 2.725098709177587e-05, 0.0029513818047863793], 'normal': [-0.33817032382993206, 0.5541071035148531, -0.7606616527176447], 'radius': 0.00012094315682647884}, 'confidence': 0.99999999993726, 'timestamp': 921.567596, 'diameter_3d': 0.00024188631365295769, 'ellipse': {'center': [117.72701489464359, 125.28956527981727], 'axes': [37.191254238840635, 50.89782076934397], 'angle': -55.4646422392803}, 'location': [117.72701489464359, 125.28956527981727], 'diameter': 50.89782076934397, 'sphere': {'center': [4.057841521684778, -6.649257991191146, 9.130891214416524], 'radius': 12.0}, 'projected_sphere': {'center': [435.5329884417344, -331.4937104966862], 'axes': [1629.6328201245417, 1629.6328201245417], 'angle': 90.0}, 'model_confidence': 0.983663164976567, 'model_id': 1, 'model_birth_timestamp': 918.728413, 'theta': 2.1580862908410356, 'phi': -1.989128760158341, 'norm_pos': [0.3678969215457612, 0.4779601446674281], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654391.6239228,"{'circle_3d': {'center': [-0.00020106820222753896, 2.7264615296118677e-05, 0.002950815532544837], 'normal': [-0.33817021582391715, 0.5541071046505368, -0.7606616999069983], 'radius': 0.00012043615270511598}, 'confidence': 0.9999999999535444, 'timestamp': 921.575996, 'diameter_3d': 0.00024087230541023196, 'ellipse': {'center': [117.98946076035375, 125.29700702531673], 'axes': [37.04999079984729, 50.69316507165917], 'angle': -55.483892129925486}, 'location': [117.98946076035375, 125.29700702531673], 'diameter': 50.69316507165917, 'sphere': {'center': [4.057841521684778, -6.649257991191146, 9.130891214416524], 'radius': 12.0}, 'projected_sphere': {'center': [435.5329884417344, -331.4937104966862], 'axes': [1629.6328201245417, 1629.6328201245417], 'angle': 90.0}, 'model_confidence': 0.9836629143775033, 'model_id': 1, 'model_birth_timestamp': 918.728413, 'theta': 2.1580862922053097, 'phi': -1.9891286185725063, 'norm_pos': [0.36871706487610545, 0.4779291373945136], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654391.632362,"{'circle_3d': {'center': [-0.0002013002330780722, 2.749341893082402e-05, 0.0029510853603138543], 'normal': [-0.3381702351598213, 0.5541071237175064, -0.7606616774213508], 'radius': 0.00012089597722263251}, 'confidence': 0.9999999998954158, 'timestamp': 921.584396, 'diameter_3d': 0.00024179195444526503, 'ellipse': {'center': [117.94630855656158, 125.34136200789864], 'axes': [37.18481088917225, 50.88223246567182], 'angle': -55.483533611956766}, 'location': [117.94630855656158, 125.34136200789864], 'diameter': 50.88223246567182, 'sphere': {'center': [4.057841521684778, -6.649257991191146, 9.130891214416524], 'radius': 12.0}, 'projected_sphere': {'center': [435.5329884417344, -331.4937104966862], 'axes': [1629.6328201245417, 1629.6328201245417], 'angle': 90.0}, 'model_confidence': 0.9835978347176755, 'model_id': 1, 'model_birth_timestamp': 918.728413, 'theta': 2.1580863151100793, 'phi': -1.9891286507704502, 'norm_pos': [0.3685822142392549, 0.47774432496708896], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654391.6406112,"{'circle_3d': {'center': [-0.00020153551019586047, 2.7131643870248467e-05, 0.0029509264218336995], 'normal': [-0.33817025476624785, 0.5541070935695847, -0.7606616906662241], 'radius': 0.00012087184215270008}, 'confidence': 0.9999999998408896, 'timestamp': 921.592796, 'diameter_3d': 0.00024174368430540015, 'ellipse': {'center': [117.8944921824465, 125.26573621561597], 'axes': [37.18113762423339, 50.875148287586285], 'angle': -55.47519934747533}, 'location': [117.8944921824465, 125.26573621561597], 'diameter': 50.875148287586285, 'sphere': {'center': [4.057841521684778, -6.649257991191146, 9.130891214416524], 'radius': 12.0}, 'projected_sphere': {'center': [435.5329884417344, -331.4937104966862], 'axes': [1629.6328201245417, 1629.6328201245417], 'angle': 90.0}, 'model_confidence': 0.9834725123380017, 'model_id': 1, 'model_birth_timestamp': 918.728413, 'theta': 2.1580862788939834, 'phi': -1.9891286658286864, 'norm_pos': [0.3684202880701453, 0.47805943243493343], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581654391.6478279,"{'circle_3d': {'center': [-0.00020076389596823674, 2.806286198264729e-05, 0.0029512617320630596], 'normal': [-0.3381701904650622, 0.554107171171094, -0.7606616627237051], 'radius': 0.00011995413402700518}, 'confidence': 0.999999999964064, 'timestamp': 921.601196, 'diameter_3d': 0.00023990826805401035, 'ellipse': {'center': [118.05786655081302, 125.46753227972172], 'axes': [36.89076963509002, 50.48189826965181], 'angle': -55.499161257741264}, 'location': [118.05786655081302, 125.46753227972172], 'diameter': 50.48189826965181, 'sphere': {'center': [4.057841521684778, -6.649257991191146, 9.130891214416524], 'radius': 12.0}, 'projected_sphere': {'center': [435.5329884417344, -331.4937104966862], 'axes': [1629.6328201245417, 1629.6328201245417], 'angle': 90.0}, 'model_confidence': 0.9834845574230311, 'model_id': 1, 'model_birth_timestamp': 918.728413, 'theta': 2.1580863721151275, 'phi': -1.989128608881938, 'norm_pos': [0.3689308329712907, 0.4772186155011595], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
