eye_packets,775
norm_X,norm_Y,phi,theta,confidence,timestamp
1581656517.294553,"{'circle_3d': {'center': [6.703738351787529, 0.5899461632142255, 70.8214242121924], 'normal': [0.12911733804838482, 0.5615358790632001, -0.8173164439432369], 'radius': 2.099078256807219}, 'confidence': 0.24917277784141864, 'timestamp': 3047.241088, 'diameter_3d': 4.198156513614438, 'ellipse': {'center': [218.64692164884875, 124.91609644445867], 'axes': [29.316744571198797, 36.894521472310394], 'angle': 70.56195903297117}, 'location': [218.64692164884875, 124.91609644445867], 'diameter': 36.894521472310394, 'sphere': {'center': [5.154330295206912, -6.148484385544172, 80.62922153951124], 'radius': 12.0}, 'projected_sphere': {'center': [199.63432514925478, 72.72110723319659], 'axes': [184.54847654343607, 184.54847654343607], 'angle': 90.0}, 'model_confidence': 0.7435165334647609, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 2.1670371142818454, 'phi': -1.4141140237148904, 'norm_pos': [0.6832716301526524, 0.4795162648147555], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656517.301085,"{'circle_3d': {'center': [6.704232365973182, 0.5882426961682476, 70.82033211218273], 'normal': [0.12915850589718908, 0.5613939234760348, -0.8174074522773754], 'radius': 2.1236395386756297}, 'confidence': 0.22732900287102945, 'timestamp': 3047.249488, 'diameter_3d': 4.247279077351259, 'ellipse': {'center': [218.65116802461156, 124.89543427429551], 'axes': [29.664141008561177, 37.32695642756864], 'angle': 70.55181238470587}, 'location': [218.65116802461156, 124.89543427429551], 'diameter': 37.32695642756864, 'sphere': {'center': [5.154330295206912, -6.148484385544172, 80.62922153951124], 'radius': 12.0}, 'projected_sphere': {'center': [199.63432514925478, 72.72110723319659], 'axes': [184.54847654343607, 184.54847654343607], 'angle': 90.0}, 'model_confidence': 0.7435165334647609, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 2.166865566858554, 'phi': -1.4140820468223667, 'norm_pos': [0.6832849000769111, 0.4796023571904354], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656517.3092659,"{'circle_3d': {'center': [6.813829889085538, 0.4868786325576462, 70.7693017266566], 'normal': [0.13829163282321874, 0.5529469181751513, -0.8216599844045531], 'radius': 2.133327001361042}, 'confidence': 0.21625742671410095, 'timestamp': 3047.257888, 'diameter_3d': 4.266654002722084, 'ellipse': {'center': [219.64860592499275, 124.01068803057603], 'axes': [29.967838003404555, 37.527826143456075], 'angle': 69.29462362629037}, 'location': [219.64860592499275, 124.01068803057603], 'diameter': 37.527826143456075, 'sphere': {'center': [5.154330295206912, -6.148484385544172, 80.62922153951124], 'radius': 12.0}, 'projected_sphere': {'center': [199.63432514925478, 72.72110723319659], 'axes': [184.54847654343607, 184.54847654343607], 'angle': 90.0}, 'model_confidence': 0.7435165334647609, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 2.156693228808895, 'phi': -1.4040514764985992, 'norm_pos': [0.6864018935156023, 0.4832887998725999], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656517.318801,"{'circle_3d': {'center': [6.806701241033347, 0.4920870469196448, 70.7716112151104], 'normal': [0.13769757881886968, 0.5533809527053184, -0.8214675270334035], 'radius': 2.1259687265213283}, 'confidence': 0.21703197270819552, 'timestamp': 3047.266288, 'diameter_3d': 4.251937453042657, 'ellipse': {'center': [219.58481566738692, 124.05782368679093], 'axes': [29.857513312320524, 37.396911854022505], 'angle': 69.37186421945032}, 'location': [219.58481566738692, 124.05782368679093], 'diameter': 37.396911854022505, 'sphere': {'center': [5.154330295206912, -6.148484385544172, 80.62922153951124], 'radius': 12.0}, 'projected_sphere': {'center': [199.63432514925478, 72.72110723319659], 'axes': [184.54847654343607, 184.54847654343607], 'angle': 90.0}, 'model_confidence': 0.7435165334647609, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 2.1572142333818887, 'phi': -1.4047164459925936, 'norm_pos': [0.6862025489605841, 0.48309240130503783], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656517.32569,"{'circle_3d': {'center': [6.8086296480436905, 0.48901304372288745, 70.76986448503365], 'normal': [0.13785827940306492, 0.5531247857722551, -0.8216130878731323], 'radius': 2.1215461257617267}, 'confidence': 0.1890974774216397, 'timestamp': 3047.274688, 'diameter_3d': 4.2430922515234535, 'ellipse': {'center': [219.60327778547435, 124.03210306478412], 'axes': [29.80165452928226, 37.32008643615211], 'angle': 69.34478789391264}, 'location': [219.60327778547435, 124.03210306478412], 'diameter': 37.32008643615211, 'sphere': {'center': [5.154330295206912, -6.148484385544172, 80.62922153951124], 'radius': 12.0}, 'projected_sphere': {'center': [199.63432514925478, 72.72110723319659], 'axes': [184.54847654343607, 184.54847654343607], 'angle': 90.0}, 'model_confidence': 0.7435165334647609, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 2.156906714983224, 'phi': -1.4045550897100536, 'norm_pos': [0.6862602430796073, 0.48319957056339946], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656517.333023,"{'circle_3d': {'center': [6.810552530516558, 0.4859240963066682, 70.76810841759587], 'normal': [0.13801851960913725, 0.5528673734875703, -0.8217594268262809], 'radius': 2.1098271353941054}, 'confidence': 0.19963489466839532, 'timestamp': 3047.283088, 'diameter_3d': 4.219654270788211, 'ellipse': {'center': [219.62201459843885, 124.00797556974955], 'axes': [29.64323443411758, 37.1148700921014], 'angle': 69.31771951075812}, 'location': [219.62201459843885, 124.00797556974955], 'diameter': 37.1148700921014, 'sphere': {'center': [5.154330295206912, -6.148484385544172, 80.62922153951124], 'radius': 12.0}, 'projected_sphere': {'center': [199.63432514925478, 72.72110723319659], 'axes': [184.54847654343607, 184.54847654343607], 'angle': 90.0}, 'model_confidence': 0.7435165334647609, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 2.156597764821053, 'phi': -1.4043944988591253, 'norm_pos': [0.6863187956201214, 0.4833001017927102], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656517.341459,"{'circle_3d': {'center': [6.812469886184109, 0.4828201961599099, 70.76634302249074], 'normal': [0.13817829924809982, 0.5526087151420072, -0.8219065430850413], 'radius': 2.126112348957645}, 'confidence': 0.17921922947500848, 'timestamp': 3047.291488, 'diameter_3d': 4.25222469791529, 'ellipse': {'center': [219.63950452718748, 123.9770766877424], 'axes': [29.878554765409838, 37.402441475527986], 'angle': 69.29048341341858}, 'location': [219.63950452718748, 123.9770766877424], 'diameter': 37.402441475527986, 'sphere': {'center': [5.154330295206912, -6.148484385544172, 80.62922153951124], 'radius': 12.0}, 'projected_sphere': {'center': [199.63432514925478, 72.72110723319659], 'axes': [184.54847654343607, 184.54847654343607], 'angle': 90.0}, 'model_confidence': 0.7435165334647609, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 2.1562873828953935, 'phi': -1.4042346734398168, 'norm_pos': [0.6863734516474609, 0.4834288471344067], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656517.349407,"{'circle_3d': {'center': [6.814381712719028, 0.47970133473851284, 70.76456830948553], 'normal': [0.13833761812600967, 0.5523488100235572, -0.8220544358354759], 'radius': 2.133154399004563}, 'confidence': 0.20680988934833128, 'timestamp': 3047.299888, 'diameter_3d': 4.266308798009126, 'ellipse': {'center': [219.6573503828921, 123.94823033868946], 'axes': [29.984014604107877, 37.52737616983913], 'angle': 69.26326433954247}, 'location': [219.6573503828921, 123.94823033868946], 'diameter': 37.52737616983913, 'sphere': {'center': [5.154330295206912, -6.148484385544172, 80.62922153951124], 'radius': 12.0}, 'projected_sphere': {'center': [199.63432514925478, 72.72110723319659], 'axes': [184.54847654343607, 184.54847654343607], 'angle': 90.0}, 'model_confidence': 0.7435165334647609, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 2.1559755692062117, 'phi': -1.4040756134521117, 'norm_pos': [0.6864292199465378, 0.48354904025546064], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656517.3572721,"{'circle_3d': {'center': [6.707113458578988, 0.5762889150444135, 70.81258828247046], 'normal': [0.129398596947673, 0.560397775049049, -0.818052771420065], 'radius': 2.087552249401121}, 'confidence': 0.24078031588508902, 'timestamp': 3047.308288, 'diameter_3d': 4.175104498802242, 'ellipse': {'center': [218.68400163517722, 124.80006571322124], 'axes': [29.188950535714667, 36.696647894705386], 'angle': 70.48625533457972}, 'location': [218.68400163517722, 124.80006571322124], 'diameter': 36.696647894705386, 'sphere': {'center': [5.154330295206912, -6.148484385544172, 80.62922153951124], 'radius': 12.0}, 'projected_sphere': {'center': [199.63432514925478, 72.72110723319659], 'axes': [184.54847654343607, 184.54847654343607], 'angle': 90.0}, 'model_confidence': 0.7435165334647609, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 2.1656623237535255, 'phi': -1.4139173188960188, 'norm_pos': [0.6833875051099289, 0.4799997261949115], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
1581656517.369778,"{'circle_3d': {'center': [6.716538081096173, 0.5662595012577736, 70.80721963723272], 'normal': [0.13018398215743848, 0.5595619905668291, -0.81850015852321], 'radius': 2.10665474932445}, 'confidence': 0.25760521578623047, 'timestamp': 3047.316687, 'diameter_3d': 4.2133094986489, 'ellipse': {'center': [218.76983553364084, 124.70828299950185], 'axes': [29.474356829523522, 37.03566445557143], 'angle': 70.3739459368838}, 'location': [218.76983553364084, 124.70828299950185], 'diameter': 37.03566445557143, 'sphere': {'center': [5.154330295206912, -6.148484385544172, 80.62922153951124], 'radius': 12.0}, 'projected_sphere': {'center': [199.63432514925478, 72.72110723319659], 'axes': [184.54847654343607, 184.54847654343607], 'angle': 90.0}, 'model_confidence': 0.7435165334647609, 'model_id': 1, 'model_birth_timestamp': 3018.882957, 'theta': 2.1646535388322845, 'phi': -1.4130656632276053, 'norm_pos': [0.6836557360426276, 0.4803821541687423], 'topic': 'pupil.1', 'id': 1, 'method': '3d c++'}"
